language,set_name,range_ordinal,range_start,range_end
c,sym_identifier_character_set_1,449,68448,68466
c,sym_identifier_character_set_1,450,68480,68497
c,sym_identifier_character_set_1,451,68608,68680
c,sym_identifier_character_set_1,452,68736,68786
c,sym_identifier_character_set_1,453,68800,68850
c,sym_identifier_character_set_1,454,68864,68899
c,sym_identifier_character_set_1,455,68938,68965
c,sym_identifier_character_set_1,456,68975,68997
c,sym_identifier_character_set_1,457,69248,69289
c,sym_identifier_character_set_1,458,69296,69297
c,sym_identifier_character_set_1,459,69314,69316
c,sym_identifier_character_set_1,460,69376,69404
c,sym_identifier_character_set_1,461,69415,69415
c,sym_identifier_character_set_1,462,69424,69445
c,sym_identifier_character_set_1,463,69488,69505
c,sym_identifier_character_set_1,464,69552,69572
c,sym_identifier_character_set_1,465,69600,69622
c,sym_identifier_character_set_1,466,69635,69687
c,sym_identifier_character_set_1,467,69745,69746
c,sym_identifier_character_set_1,468,69749,69749
c,sym_identifier_character_set_1,469,69763,69807
c,sym_identifier_character_set_1,470,69840,69864
c,sym_identifier_character_set_1,471,69891,69926
c,sym_identifier_character_set_1,472,69956,69956
c,sym_identifier_character_set_1,473,69959,69959
c,sym_identifier_character_set_1,474,69968,70002
c,sym_identifier_character_set_1,475,70006,70006
c,sym_identifier_character_set_1,476,70019,70066
c,sym_identifier_character_set_1,477,70081,70084
c,sym_identifier_character_set_1,478,70106,70106
c,sym_identifier_character_set_1,479,70108,70108
c,sym_identifier_character_set_1,480,70144,70161
c,sym_identifier_character_set_1,481,70163,70187
c,sym_identifier_character_set_1,482,70207,70208
c,sym_identifier_character_set_1,483,70272,70278
c,sym_identifier_character_set_1,484,70280,70280
c,sym_identifier_character_set_1,485,70282,70285
c,sym_identifier_character_set_1,486,70287,70301
c,sym_identifier_character_set_1,487,70303,70312
c,sym_identifier_character_set_1,488,70320,70366
c,sym_identifier_character_set_1,489,70405,70412
c,sym_identifier_character_set_1,490,70415,70416
c,sym_identifier_character_set_1,491,70419,70440
c,sym_identifier_character_set_1,492,70442,70448
c,sym_identifier_character_set_1,493,70450,70451
c,sym_identifier_character_set_1,494,70453,70457
c,sym_identifier_character_set_1,495,70461,70461
c,sym_identifier_character_set_1,496,70480,70480
c,sym_identifier_character_set_1,497,70493,70497
c,sym_identifier_character_set_1,498,70528,70537
c,sym_identifier_character_set_1,499,70539,70539
c,sym_identifier_character_set_1,500,70542,70542
c,sym_identifier_character_set_1,501,70544,70581
c,sym_identifier_character_set_1,502,70583,70583
c,sym_identifier_character_set_1,503,70609,70609
c,sym_identifier_character_set_1,504,70611,70611
c,sym_identifier_character_set_1,505,70656,70708
c,sym_identifier_character_set_1,506,70727,70730
c,sym_identifier_character_set_1,507,70751,70753
c,sym_identifier_character_set_1,508,70784,70831
c,sym_identifier_character_set_1,509,70852,70853
c,sym_identifier_character_set_1,510,70855,70855
c,sym_identifier_character_set_1,511,71040,71086
c,sym_identifier_character_set_1,512,71128,71131
c,sym_identifier_character_set_1,513,71168,71215
c,sym_identifier_character_set_1,514,71236,71236
c,sym_identifier_character_set_1,515,71296,71338
c,sym_identifier_character_set_1,516,71352,71352
c,sym_identifier_character_set_1,517,71424,71450
c,sym_identifier_character_set_1,518,71488,71494
c,sym_identifier_character_set_1,519,71680,71723
c,sym_identifier_character_set_1,520,71840,71903
c,sym_identifier_character_set_1,521,71935,71942
c,sym_identifier_character_set_1,522,71945,71945
c,sym_identifier_character_set_1,523,71948,71955
c,sym_identifier_character_set_1,524,71957,71958
c,sym_identifier_character_set_1,525,71960,71983
c,sym_identifier_character_set_1,526,71999,71999
c,sym_identifier_character_set_1,527,72001,72001
c,sym_identifier_character_set_1,528,72096,72103
c,sym_identifier_character_set_1,529,72106,72144
c,sym_identifier_character_set_1,530,72161,72161
c,sym_identifier_character_set_1,531,72163,72163
c,sym_identifier_character_set_1,532,72192,72192
c,sym_identifier_character_set_1,533,72203,72242
c,sym_identifier_character_set_1,534,72250,72250
c,sym_identifier_character_set_1,535,72272,72272
c,sym_identifier_character_set_1,536,72284,72329
c,sym_identifier_character_set_1,537,72349,72349
c,sym_identifier_character_set_1,538,72368,72440
c,sym_identifier_character_set_1,539,72640,72672
c,sym_identifier_character_set_1,540,72704,72712
c,sym_identifier_character_set_1,541,72714,72750
c,sym_identifier_character_set_1,542,72768,72768
c,sym_identifier_character_set_1,543,72818,72847
c,sym_identifier_character_set_1,544,72960,72966
c,sym_identifier_character_set_1,545,72968,72969
c,sym_identifier_character_set_1,546,72971,73008
c,sym_identifier_character_set_1,547,73030,73030
c,sym_identifier_character_set_1,548,73056,73061
c,sym_identifier_character_set_1,549,73063,73064
c,sym_identifier_character_set_1,550,73066,73097
c,sym_identifier_character_set_1,551,73112,73112
c,sym_identifier_character_set_1,552,73440,73458
c,sym_identifier_character_set_1,553,73474,73474
c,sym_identifier_character_set_1,554,73476,73488
c,sym_identifier_character_set_1,555,73490,73523
c,sym_identifier_character_set_1,556,73648,73648
c,sym_identifier_character_set_1,557,73728,74649
c,sym_identifier_character_set_1,558,74752,74862
c,sym_identifier_character_set_1,559,74880,75075
c,sym_identifier_character_set_1,560,77712,77808
c,sym_identifier_character_set_1,561,77824,78895
c,sym_identifier_character_set_1,562,78913,78918
c,sym_identifier_character_set_1,563,78944,82938
c,sym_identifier_character_set_1,564,82944,83526
c,sym_identifier_character_set_1,565,90368,90397
c,sym_identifier_character_set_1,566,92160,92728
c,sym_identifier_character_set_1,567,92736,92766
c,sym_identifier_character_set_1,568,92784,92862
c,sym_identifier_character_set_1,569,92880,92909
c,sym_identifier_character_set_1,570,92928,92975
c,sym_identifier_character_set_1,571,92992,92995
c,sym_identifier_character_set_1,572,93027,93047
c,sym_identifier_character_set_1,573,93053,93071
c,sym_identifier_character_set_1,574,93504,93548
c,sym_identifier_character_set_1,575,93760,93823
c,sym_identifier_character_set_1,576,93952,94026
c,sym_identifier_character_set_1,577,94032,94032
c,sym_identifier_character_set_1,578,94099,94111
c,sym_identifier_character_set_1,579,94176,94177
c,sym_identifier_character_set_1,580,94179,94179
c,sym_identifier_character_set_1,581,94208,100343
c,sym_identifier_character_set_1,582,100352,101589
c,sym_identifier_character_set_1,583,101631,101640
c,sym_identifier_character_set_1,584,110576,110579
c,sym_identifier_character_set_1,585,110581,110587
c,sym_identifier_character_set_1,586,110589,110590
c,sym_identifier_character_set_1,587,110592,110882
c,sym_identifier_character_set_1,588,110898,110898
c,sym_identifier_character_set_1,589,110928,110930
c,sym_identifier_character_set_1,590,110933,110933
c,sym_identifier_character_set_1,591,110948,110951
c,sym_identifier_character_set_1,592,110960,111355
c,sym_identifier_character_set_1,593,113664,113770
c,sym_identifier_character_set_1,594,113776,113788
c,sym_identifier_character_set_1,595,113792,113800
