feature,category,evidence_count,files_with_evidence,relative_weight,detection_terms,semanticprogram_axes
network,effect,2579,127,0.13651280965488038,network;socket,effect.graph;purity;runtime.contract
optimizer,meta,143,64,0.007569341520220199,optimizer;optimization;constant folding;dead code,dialect.extension;compiletime.semantics;lowering.pipeline
optional_nullable,type,215,92,0.011380478509421978,optional;nullable;option type;nullability,types.structure;types.origin;conversion.semantics
overload_resolution,type,560,125,0.0296421765826805,overload;candidate function;method resolution;resolve call,types.structure;types.origin;conversion.semantics
ownership,memory,641,109,0.0339297056955325,ownership;owned;move semantics;borrow checker,memory.model;ownership.lifetime;abi.ffi
parameter,declaration,3052,394,0.16154986237560873,parameter;paramdecl;formal;argument,nodes.declaration;scope.binding;types.structure
pattern,expression,1674,152,0.08860893499894135,pattern;match arm;destructure,nodes.expression;operations;evaluation.order;data.flow
pointer,type,181,44,0.009580774931187804,pointertype;pointer type;ptrtype;raw pointer,types.structure;types.origin;conversion.semantics
primitive_bool,type,13,7,0.0006881219563836544,boolean type;booltype,types.structure;types.origin;conversion.semantics
primitive_float,type,2341,280,0.12391488460724116,floating type;float32;float64;double;ieee,types.structure;types.origin;conversion.semantics
primitive_integer,type,8497,590,0.4497670971839932,integer type;int8;int16;int32;int64;uint32;isinteger,types.structure;types.origin;conversion.semantics
primitive_string,type,47,10,0.002487825534617828,string type;strtype;text type,types.structure;types.origin;conversion.semantics
random,effect,634,92,0.03355917848824899,random;rng,effect.graph;purity;runtime.contract
reference,type,373,75,0.01974380690239255,referencetype;reference type;borrow;lvalue reference,types.structure;types.origin;conversion.semantics
reflection,effect,168,42,0.00889265297480415,reflection;reflect;runtime type info;rtti,effect.graph;purity;runtime.contract
return,control,91,41,0.004816853694685581,returnstmt;return statement,control.flow;evaluation.order;effects.control
scope,binding,1427,162,0.07553461782765192,scope;lexical scope;block scope,scope.binding;binding.graph;capture.shadowing
set,expression,0,0,0.0,setexpr;set literal,nodes.expression;operations;evaluation.order;data.flow
shadowing,binding,71,24,0.0037582045310184204,shadowing;shadowed,scope.binding;binding.graph;capture.shadowing
slice,expression,18,12,0.0009527842473004446,sliceexpr;slicing;slice expression,nodes.expression;operations;evaluation.order;data.flow
struct,declaration,1464,196,0.07749311878043616,structdecl;struct ;record,nodes.declaration;scope.binding;types.structure
subtyping,type,394,68,0.020855388524243065,subtype;assignable;variance;inheritance,types.structure;types.origin;conversion.semantics
switch_match,control,9,6,0.0004763921236502223,switchstmt;switch statement;matchexpr;matchstmt;caseclause,control.flow;evaluation.order;effects.control
symbol_table,binding,51,14,0.00269955536735126,symbol table;symboltable;symtab;symbol table,scope.binding;binding.graph;capture.shadowing
task_async,concurrency,4028,323,0.21321194156256618,async;task;future;promise,concurrency.model;synchronization;memory.ordering
thread,concurrency,4341,313,0.22977980097395723,thread;pthread;goroutine,concurrency.model;synchronization;memory.ordering
throw_raise,control,956,331,0.050603430023290284,throwstmt;throw ;raise ;panic,control.flow;evaluation.order;effects.control
time,effect,299,49,0.015826804996824054,clock;system time;monotonic time,effect.graph;purity;runtime.contract
tuple,expression,2291,483,0.12126826169807325,tupleexpr;tuple;product type,nodes.expression;operations;evaluation.order;data.flow
tuple_type,type,87,28,0.0046051238619521494,tupletype;tuple type,types.structure;types.origin;conversion.semantics
type_inference,type,63,32,0.0033347448655515564,type inference;infer type;inferctx;typeck;typecheck,types.structure;types.origin;conversion.semantics
unary_op,expression,33,3,0.0017467711200508153,unaryexpr;unaryop;prefixexpr;postfixexpr,nodes.expression;operations;evaluation.order;data.flow
union_sum,type,17,8,0.0008998517891170866,uniontype;union type;sum type;variant type,types.structure;types.origin;conversion.semantics
unsafe,memory,729,196,0.038587762015668006,unsafe;unchecked;raw pointer,memory.model;ownership.lifetime;abi.ffi
variable,declaration,18892,1864,1.0,vardecl;variable;let ;const ;static ,nodes.declaration;scope.binding;types.structure
visibility,declaration,1051,310,0.05563201355070929,public;private;protected;visibility;exported,nodes.declaration;scope.binding;types.structure
while,control,70,36,0.0037052720728350625,whilestmt;while statement;whileexpr,control.flow;evaluation.order;effects.control
yield,expression,1355,374,0.07172348083845013,yieldexpr;yield ;generator,nodes.expression;operations;evaluation.order;data.flow
