canonical_semantic_id,evidence_languages,feature_count,semantic_axes,relation_axes,categories,origins,source_languages,features
UASF_0028,rust,2,abi.ffi;memory.model;ownership.lifetime;types.structure,,uncategorized,rust,rust,RUST::rust.abi_layout;RUST::rust.slice_fat_pointer
UASF_0029,rust,1,abi.ffi;memory.model;types.structure,,uncategorized,rust,rust,RUST::rust.dst_unsized
UASF_0030,rust,2,abi.ffi;operations;runtime.contract;types.structure,,uncategorized,rust,rust,RUST::rust.trait_object_dyn;RUST::rust.vtable_dispatch
UASF_0031,c;cpp,1,abi.ffi;operations;types.structure,,calls_abi,cpp,cpp,CPP::c_function_pointer
UASF_0032,c;cpp,1,abi.ffi;runtime.contract;types.structure,,object_model,cpp,cpp,CPP::cpp_rtti
UASF_0033,go,1,abi.layout;dialect.extension;memory.model,dialect.extension;layout.graph;memory.graph,memory,go,go,GO::go.unsafe
UASF_0034,c;cpp,1,abi.layout;dialect.extension;validation.contract,,preprocessor,cpp,cpp,CPP::cpp_attributes_pragmas
UASF_0035,c;cpp,2,abi.layout;memory.model;types.structure,,layout_abi,cpp,cpp,CPP::c_bitfields;CPP::cpp_object_representation
UASF_0036,c;cpp,1,abi.layout;object.lifetime,,layout_abi,cpp,cpp,CPP::cpp_multiple_inheritance_layout
UASF_0037,c;cpp,1,abi.layout;operations;runtime.contract,,object_model,cpp,cpp,CPP::cpp_virtual_dispatch
UASF_0038,c;cpp,1,abi.layout;operations;types.structure,,object_model,cpp,cpp,CPP::cpp_member_pointers
UASF_0039,c;cpp,1,abi.layout;runtime.contract;types.structure,,object_model,cpp,cpp,CPP::cpp_inheritance
UASF_0040,c;cpp,1,abi.layout;types.structure,,layout_abi,cpp,cpp,CPP::c_flexible_array_member
UASF_0041,java,2,binding.graph;capture.shadowing;control.flow;data.flow;scope.binding,,bindings_flow,java,java,JAVA::java.definite_assignment_unassignment;JAVA::java.effectively_final_capture
UASF_0042,r,1,binding.graph;capture.shadowing;data.flow;effect.graph;operations;scope.binding,,uncategorized,r,r,R::r.superassignment
UASF_0043,rust,1,binding.graph;capture.shadowing;data.flow;ownership.lifetime;types.structure,,uncategorized,rust,rust,RUST::rust.closure_capture_modes
UASF_0044,r,2,binding.graph;capture.shadowing;data.flow;runtime.contract;scope.binding,,uncategorized,r,r,R::r.closure_environment_capture;R::r.lexical_lookup
UASF_0045,csharp,1,binding.graph;capture.shadowing;nodes.declaration,,declarations,csharp,csharp,CSHARP::primary_constructors
UASF_0046,r,1,binding.graph;capture.shadowing;runtime.contract;scope.binding;types.structure,,uncategorized,r,r,R::r.environment
UASF_0047,c;cpp;csharp;go;java;kotlin;python;r;rust,1,binding.graph;capture.shadowing;scope.binding,binding.graph,binding,generic,python;r;rust;cpp;kotlin;java;csharp;go,GEN::name_resolution
UASF_0048,c;cpp;csharp;go;java;kotlin;python;r;rust,1,binding.graph;capture.shadowing;scope.binding,binding.graph;capture.graph,binding,generic,python;r;rust;cpp;kotlin;java;csharp;go,GEN::capture
UASF_0049,c;cpp;csharp;go;java;kotlin;python;r;rust,2,binding.graph;capture.shadowing;scope.binding,binding.graph;scope.graph,binding,generic,python;r;rust;cpp;kotlin;java;csharp;go,GEN::shadowing;GEN::symbol_table
UASF_0050,c;cpp;csharp;go;java;kotlin;python;r;rust,1,binding.graph;capture.shadowing;scope.binding,lifetime.graph;memory.graph,binding,generic,python;r;rust;cpp;kotlin;java;csharp;go,GEN::lifetime
UASF_0052,csharp,1,binding.graph;capture.shadowing;types.origin,,closures,csharp,csharp,CSHARP::lambda_target_typing
UASF_0053,kotlin,15,binding.graph;compiletime.semantics;conversion.semantics;scope.binding;types.origin;types.structure,,uncategorized,kotlin,kotlin,KOTLIN::kotlin.builder_inference;KOTLIN::kotlin.captured_type;KOTLIN::kotlin.function_type;KOTLIN::kotlin.generic_where_constraints;KOTLIN::kotlin.intersection_type;KOTLIN::kotlin.nothing_type;KOTLIN::kotlin.receiver_function_type;KOTLIN::kotlin.reified_type_parameter;KOTLIN::kotlin.star_projection;KOTLIN::kotlin.suspend_function_type;KOTLIN::kotlin.type_alias;KOTLIN::kotlin.type_inference_constraint_system;KOTLIN::kotlin.unit_type;KOTLIN::kotlin.unsigned_integer_types;KOTLIN::kotlin.variance_in_out
UASF_0055,rust,1,binding.graph;control.flow;data.flow;evaluation.order;nodes.expression,,uncategorized,rust,rust,RUST::rust.pattern_destructuring
UASF_0056,rust,1,binding.graph;control.flow;data.flow;ownership.lifetime,,uncategorized,rust,rust,RUST::rust.nonlexical_lifetimes
UASF_0057,rust,1,binding.graph;control.flow;data.flow;ownership.lifetime;runtime.contract,,uncategorized,rust,rust,RUST::rust.borrow_checker
UASF_0058,rust,1,binding.graph;control.flow;effects.control;evaluation.order,,uncategorized,rust,rust,RUST::rust.let_else
UASF_0059,rust,1,binding.graph;control.flow;evaluation.order;nodes.expression,,uncategorized,rust,rust,RUST::rust.if_let_while_let
UASF_0060,csharp,2,binding.graph;control.flow;operations,,async_iterators;patterns_control,csharp,csharp,CSHARP::foreach_pattern;CSHARP::property_positional_patterns
UASF_0061,rust,1,binding.graph;control.flow;ownership.lifetime;types.structure,,uncategorized,rust,rust,RUST::rust.drop_check
UASF_0062,csharp,1,binding.graph;control.flow;scope.binding,,patterns_control,csharp,csharp,CSHARP::pattern_variable_scope
UASF_0063,csharp,1,binding.graph;control.flow;types.origin,,patterns_control,csharp,csharp,CSHARP::type_patterns
UASF_0064,go,1,binding.graph;control.flow;types.structure,binding.graph;control.flow;types.graph,control,go,go,GO::go.type_switch
UASF_0065,kotlin,13,binding.graph;conversion.semantics;data.flow;evaluation.order;operations;scope.binding;types.structure,,uncategorized,kotlin,kotlin,KOTLIN::kotlin.callable_reference;KOTLIN::kotlin.default_arguments;KOTLIN::kotlin.destructuring_component;KOTLIN::kotlin.implicit_receiver_tower;KOTLIN::kotlin.infix_function;KOTLIN::kotlin.member_extension_resolution;KOTLIN::kotlin.named_arguments;KOTLIN::kotlin.operator_overloading;KOTLIN::kotlin.overload_resolution;KOTLIN::kotlin.reflection_kclass;KOTLIN::kotlin.sam_conversion;KOTLIN::kotlin.trailing_lambda;KOTLIN::kotlin.vararg_spread
UASF_0066,java,7,binding.graph;conversion.semantics;evaluation.order;operations;runtime.contract;scope.binding;types.structure,,calls_resolution_dispatch,java,java,JAVA::java.default_interface_methods;JAVA::java.field_hiding_method_overriding;JAVA::java.lambda_target_typing;JAVA::java.method_invocation_conversion;JAVA::java.method_references;JAVA::java.overload_resolution;JAVA::java.virtual_interface_dispatch
UASF_0067,csharp,3,binding.graph;conversion.semantics;operations,,call_resolution;types_conversions,csharp,csharp,CSHARP::operator_overloading;CSHARP::overload_resolution_csharp;CSHARP::user_defined_conversions
UASF_0068,csharp,2,binding.graph;conversion.semantics;types.origin,,call_resolution;types_generics,csharp,csharp,CSHARP::generic_type_inference;CSHARP::method_group_conversion
UASF_0069,r,1,binding.graph;data.flow;effect.graph;evaluation.order;runtime.contract,,uncategorized,r,r,R::r.promise_forcing
UASF_0070,rust,1,binding.graph;data.flow;effect.graph;memory.model;operations;ownership.lifetime,,uncategorized,rust,rust,RUST::rust.mutable_borrow
UASF_0071,r,1,binding.graph;data.flow;evaluation.order;nodes.declaration;nodes.expression;scope.binding,,uncategorized,r,r,R::r.dots_ellipsis
UASF_0072,r,1,binding.graph;data.flow;evaluation.order;nodes.expression;runtime.contract,,uncategorized,r,r,R::r.promise_lazy_argument
UASF_0073,rust,1,binding.graph;data.flow;evaluation.order;ownership.lifetime,,uncategorized,rust,rust,RUST::rust.reborrow
UASF_0074,rust,1,binding.graph;data.flow;memory.model;operations;ownership.lifetime,,uncategorized,rust,rust,RUST::rust.shared_borrow
UASF_0075,go,1,binding.graph;data.flow;scope.binding,binding.graph;data.flow;scope.graph,declaration,go,go,GO::go.short_decl
UASF_0076,go,1,binding.graph;data.flow;types.structure,binding.graph;data.flow;types.graph,expression,go,go,GO::go.multiple_return
UASF_0077,r,1,binding.graph;dialect.extension;nodes.declaration;runtime.contract;scope.binding,,uncategorized,r,r,R::r.namespace_package
UASF_0078,java,4,binding.graph;dialect.extension;nodes.declaration;scope.binding;types.structure,,bindings_modules,java,java,JAVA::java.access_control;JAVA::java.import_static_resolution;JAVA::java.jpms_modules;JAVA::java.package_namespace_resolution
UASF_0079,csharp,1,binding.graph;dialect.extension;runtime.contract,,types_dynamic,csharp,csharp,CSHARP::dynamic_type_binding
UASF_0080,csharp,1,binding.graph;effect.graph;nodes.declaration,,object_members,csharp,csharp,CSHARP::properties_accessors
UASF_0081,r,1,binding.graph;effect.graph;operations;runtime.contract;scope.binding,,uncategorized,r,r,R::r.active_binding
UASF_0082,csharp,1,binding.graph;evaluation.order,,call_resolution,csharp,csharp,CSHARP::named_optional_arguments
UASF_0083,r,1,binding.graph;evaluation.order;operations;runtime.contract;scope.binding,,uncategorized,r,r,R::r.delayed_assignment
UASF_0084,c;cpp,1,binding.graph;linkage.odr;validation.contract,,modules_linkage,cpp,cpp,CPP::cpp_odr
UASF_0085,kotlin,13,binding.graph;memory.model;nodes.declaration;operations;scope.binding;types.structure,,uncategorized,kotlin,kotlin,KOTLIN::kotlin.annotation_use_site;KOTLIN::kotlin.backing_field_accessor;KOTLIN::kotlin.companion_object;KOTLIN::kotlin.constructor_init_order;KOTLIN::kotlin.context_receivers_parameters;KOTLIN::kotlin.data_class;KOTLIN::kotlin.delegated_property;KOTLIN::kotlin.enum_entry_semantics;KOTLIN::kotlin.extension_function_property;KOTLIN::kotlin.internal_visibility;KOTLIN::kotlin.object_singleton;KOTLIN::kotlin.sealed_class_interface;KOTLIN::kotlin.value_class
UASF_0086,go,2,binding.graph;name.resolution;operations;types.structure,binding.graph;dispatch.graph;types.graph,declaration;type,go,go,GO::go.method;GO::go.embedding
UASF_0087,c;cpp,1,binding.graph;name.resolution;scope.binding,,modules_linkage,cpp,cpp,CPP::cpp_name_lookup
UASF_0088,csharp,1,binding.graph;nodes.declaration,,declarations,csharp,csharp,CSHARP::partial_types_methods
UASF_0089,csharp,1,binding.graph;nodes.declaration;operations,,object_members,csharp,csharp,CSHARP::indexers
UASF_0090,java,8,binding.graph;nodes.declaration;runtime.contract;scope.binding;types.structure,,declarations_object_model,java,java,JAVA::java.annotation_semantics;JAVA::java.class_interface_inheritance;JAVA::java.enums_semantics;JAVA::java.inner_local_anonymous_classes;JAVA::java.records;JAVA::java.sealed_classes_interfaces;JAVA::java.static_instance_initialization_order;JAVA::java.value_class_preview
UASF_0091,c;cpp,1,binding.graph;nodes.declaration;types.origin,,patterns_bindings,cpp,cpp,CPP::cpp_structured_bindings
UASF_0092,rust,1,binding.graph;nodes.expression;ownership.lifetime,,uncategorized,rust,rust,RUST::rust.ref_patterns
UASF_0093,csharp,1,binding.graph;operations;runtime.contract,,object_model,csharp,csharp,CSHARP::virtual_override_new_dispatch
UASF_0094,csharp,1,binding.graph;operations;scope.binding,,call_resolution,csharp,csharp,CSHARP::extension_methods
UASF_0095,csharp,1,binding.graph;operations;types.structure,,object_model,csharp,csharp,CSHARP::static_abstract_interface_members
UASF_0096,rust,1,binding.graph;ownership.lifetime;types.origin,,uncategorized,rust,rust,RUST::rust.region_inference
UASF_0097,csharp,2,binding.graph;runtime.contract,,object_model,csharp,csharp,CSHARP::default_interface_members;CSHARP::explicit_interface_impl
UASF_0098,csharp,2,binding.graph;runtime.contract;types.structure,,object_model,csharp,csharp,CSHARP::class_inheritance;CSHARP::interface_implementation
UASF_0099,csharp,1,binding.graph;scope.binding,,declarations,csharp,csharp,CSHARP::global_usings_file_namespace
UASF_0100,csharp,1,binding.graph;types.structure,,types_generics,csharp,csharp,CSHARP::generic_constraints
UASF_0101,kotlin,3,capture.shadowing;compiletime.semantics;data.flow;evaluation.order;nodes.declaration;nodes.expression;scope.binding,,uncategorized,kotlin,kotlin,KOTLIN::kotlin.crossinline_noinline;KOTLIN::kotlin.inline_function;KOTLIN::kotlin.nonlocal_return
UASF_0102,rust,1,capture.shadowing;compiletime.semantics;dialect.extension;scope.binding,,uncategorized,rust,rust,RUST::rust.macro_rules_hygiene
UASF_0103,rust,1,capture.shadowing;compiletime.semantics;scope.binding,,uncategorized,rust,rust,RUST::rust.name_resolution_hygiene
UASF_0104,csharp,1,capture.shadowing;lowering.pipeline;memory.model,,closures,csharp,csharp,CSHARP::closure_capture_rewriting
UASF_0105,rust,1,capture.shadowing;operations;types.structure,,uncategorized,rust,rust,RUST::rust.fn_traits
UASF_0106,c;cpp,1,capture.shadowing;ownership.lifetime;types.structure,,patterns_bindings,cpp,cpp,CPP::cpp_lambdas_capture
UASF_0107,c;cpp,1,compiletime.evaluation;compiletime.semantics;operations,,compiletime,cpp,cpp,CPP::cpp_constexpr
UASF_0108,c;cpp,1,compiletime.evaluation;initialization.order;validation.contract,,compiletime,cpp,cpp,CPP::cpp_consteval_constinit
UASF_0109,csharp,1,compiletime.semantics;control.flow,,patterns_control,csharp,csharp,CSHARP::pattern_exhaustiveness
UASF_0110,kotlin,4,compiletime.semantics;control.flow;data.flow;effect.graph;purity;scope.binding;types.structure,,uncategorized,kotlin,kotlin,KOTLIN::kotlin.calls_in_place_effect;KOTLIN::kotlin.const_evaluation;KOTLIN::kotlin.contracts_dsl;KOTLIN::kotlin.returns_implies_effect
UASF_0111,java,3,compiletime.semantics;control.flow;data.flow;lowering.pipeline;memory.model;runtime.contract,,jit_vm_optimization,java,java,JAVA::java.escape_analysis_scalar_replacement;JAVA::java.safepoint_deoptimization_osr;JAVA::java.tiered_jit_compilation
UASF_0112,java,6,compiletime.semantics;control.flow;data.flow;lowering.pipeline;runtime.contract;types.structure,,bytecode_jvm,java,java,JAVA::java.bytecode_operand_stack_frames;JAVA::java.bytecode_verification;JAVA::java.classfile_descriptors_signatures;JAVA::java.constant_pool;JAVA::java.exception_table_bytecode;JAVA::java.invokedynamic_bootstrap
UASF_0113,rust,1,compiletime.semantics;control.flow;data.flow;types.structure,,uncategorized,rust,rust,RUST::rust.match_exhaustiveness
UASF_0114,csharp,1,compiletime.semantics;conversion.semantics,,types_conversions,csharp,csharp,CSHARP::constant_expression_conversions
UASF_0115,csharp,1,compiletime.semantics;data.flow;ownership.lifetime,,refs_memory,csharp,csharp,CSHARP::scoped_refs_escape_analysis
UASF_0116,csharp,1,compiletime.semantics;dialect.extension,,metaprogramming,csharp,csharp,CSHARP::source_generators_compiletime
UASF_0117,rust,1,compiletime.semantics;dialect.extension;effect.graph;lowering.pipeline,,uncategorized,rust,rust,RUST::rust.proc_macro
UASF_0118,c;cpp;csharp;go;java;kotlin;python;r;rust,1,compiletime.semantics;dialect.extension;lowering.pipeline,compiletime.graph;data.flow,meta,generic,python;r;rust;cpp;kotlin;java;csharp;go,GEN::compile_time_eval
UASF_0119,c;cpp;csharp;go;java;kotlin;python;r;rust,1,compiletime.semantics;dialect.extension;lowering.pipeline,compiletime.graph;dialect.extension,meta,generic,python;r;rust;cpp;kotlin;java;csharp;go,GEN::macro
UASF_0120,c;cpp;csharp;go;java;kotlin;python;r;rust,1,compiletime.semantics;dialect.extension;lowering.pipeline,contract.graph;lowering.graph,meta,generic,python;r;rust;cpp;kotlin;java;csharp;go,GEN::optimizer
UASF_0121,c;cpp;csharp;go;java;kotlin;python;r;rust,1,compiletime.semantics;dialect.extension;lowering.pipeline,dialect.extension;runtime.graph,meta,generic,python;r;rust;cpp;kotlin;java;csharp;go,GEN::bytecode_vm
UASF_0122,c;cpp;csharp;go;java;kotlin;python;r;rust,2,compiletime.semantics;dialect.extension;lowering.pipeline,lowering.graph,meta,generic,python;r;rust;cpp;kotlin;java;csharp;go,GEN::code_generation;GEN::ir
UASF_0123,java,5,compiletime.semantics;dialect.extension;lowering.pipeline;nodes.declaration;types.structure,,compiletime_metadata,java,java,JAVA::java.annotation_processing;JAVA::java.bridge_synthetic_methods;JAVA::java.classfile_lowering;JAVA::java.compile_time_constants;JAVA::java.preview_feature_gating
UASF_0124,r,1,compiletime.semantics;dialect.extension;lowering.pipeline;runtime.contract,,uncategorized,r,r,R::r.bytecode_compiler
UASF_0125,rust,1,compiletime.semantics;dialect.extension;nodes.declaration,,uncategorized,rust,rust,RUST::rust.attributes_cfg
UASF_0126,rust,1,compiletime.semantics;dialect.extension;runtime.contract,,uncategorized,rust,rust,RUST::rust.feature_gates
UASF_0127,rust,1,compiletime.semantics;effect.graph;evaluation.order;operations;runtime.contract,,uncategorized,rust,rust,RUST::rust.const_eval
UASF_0128,csharp,1,compiletime.semantics;nodes.declaration,,declarations,csharp,csharp,CSHARP::required_members
UASF_0129,csharp,1,compiletime.semantics;nodes.declaration;runtime.contract,,metadata_runtime,csharp,csharp,CSHARP::attributes_metadata
UASF_0130,rust,2,compiletime.semantics;nodes.declaration;scope.binding,,uncategorized,rust,rust,RUST::rust.crate_module_resolution;RUST::rust.visibility_privacy
UASF_0131,rust,2,compiletime.semantics;nodes.declaration;types.origin;types.structure,,uncategorized,rust,rust,RUST::rust.associated_consts;RUST::rust.const_generics
UASF_0132,rust,1,compiletime.semantics;operations;types.structure,,uncategorized,rust,rust,RUST::rust.specialization
UASF_0133,c;cpp,1,compiletime.semantics;overload.resolution;template.instantiation,,overload_templates,cpp,cpp,CPP::cpp_sfinae
UASF_0134,c;cpp,1,compiletime.semantics;overload.resolution;types.structure,,overload_templates,cpp,cpp,CPP::cpp_concepts_constraints
UASF_0135,c;cpp,2,compiletime.semantics;preprocessor.semantics,,preprocessor,cpp,cpp,CPP::cpp_preprocessor_conditional;CPP::cpp_preprocessor_macro
UASF_0136,rust,1,compiletime.semantics;runtime.contract;scope.binding;types.structure,,uncategorized,rust,rust,RUST::rust.coherence_orphan
UASF_0137,c;cpp,1,compiletime.semantics;template.instantiation;types.structure,,overload_templates,cpp,cpp,CPP::cpp_templates
UASF_0138,csharp,1,compiletime.semantics;types.origin,,types_nullability,csharp,csharp,CSHARP::null_forgiving_operator
UASF_0139,kotlin,4,concurrency.model;control.flow;data.flow;evaluation.order;lowering.pipeline;runtime.contract;synchronization,,uncategorized,kotlin,kotlin,KOTLIN::kotlin.continuation_state_machine;KOTLIN::kotlin.coroutine_suspension_points;KOTLIN::kotlin.suspend_lambda;KOTLIN::kotlin.suspend_resume
UASF_0140,rust,1,concurrency.model;control.flow;data.flow;evaluation.order;operations,,uncategorized,rust,rust,RUST::rust.async_await
UASF_0141,rust,1,concurrency.model;control.flow;data.flow;evaluation.order;ownership.lifetime,,uncategorized,rust,rust,RUST::rust.await_suspension
UASF_0142,go,2,concurrency.model;control.flow;effect.graph,concurrency.graph;control.flow;effect.graph,concurrency,go,go,GO::go.statement;GO::go.select
UASF_0143,rust,1,concurrency.model;control.flow;operations;runtime.contract,,uncategorized,rust,rust,RUST::rust.future_poll
UASF_0144,go,1,concurrency.model;data.flow;effect.graph,concurrency.graph;data.flow;effect.graph,concurrency,go,go,GO::go.channel
UASF_0145,java,8,concurrency.model;data.flow;effect.graph;memory.ordering;runtime.contract;synchronization,,concurrency_memory_model,java,java,JAVA::java.atomic_varhandle_ordering;JAVA::java.final_field_memory_semantics;JAVA::java.happens_before_jmm;JAVA::java.monitor_synchronized;JAVA::java.structured_concurrency;JAVA::java.thread_interruption;JAVA::java.virtual_threads;JAVA::java.volatile_semantics
UASF_0146,rust,1,concurrency.model;effect.graph;memory.ordering;operations;synchronization,,uncategorized,rust,rust,RUST::rust.atomic_ordering
UASF_0147,go,1,concurrency.model;memory.model,concurrency.graph;memory.graph,concurrency,go,go,GO::go.memory_model
UASF_0148,rust,1,concurrency.model;memory.model;memory.ordering;runtime.contract;synchronization,,uncategorized,rust,rust,RUST::rust.thread_memory_model
UASF_0149,rust,1,concurrency.model;memory.ordering;ownership.lifetime;types.structure,,uncategorized,rust,rust,RUST::rust.send_sync_auto_traits
UASF_0150,c;cpp,1,concurrency.model;memory.ordering;synchronization,,concurrency_memory,cpp,cpp,CPP::c_atomic_memory_order
UASF_0151,c;cpp;csharp;go;java;kotlin;python;r;rust,1,concurrency.model;memory.ordering;synchronization,concurrency.graph;control.flow,concurrency,generic,python;r;rust;cpp;kotlin;java;csharp;go,GEN::task_async
UASF_0152,c;cpp;csharp;go;java;kotlin;python;r;rust,1,concurrency.model;memory.ordering;synchronization,concurrency.graph;data.flow;effect.graph,concurrency,generic,python;r;rust;cpp;kotlin;java;csharp;go,GEN::channel
UASF_0153,c;cpp;csharp;go;java;kotlin;python;r;rust,2,concurrency.model;memory.ordering;synchronization,concurrency.graph;effect.graph,concurrency,generic,python;r;rust;cpp;kotlin;java;csharp;go,GEN::lock_mutex;GEN::thread
UASF_0154,c;cpp;csharp;go;java;kotlin;python;r;rust,1,concurrency.model;memory.ordering;synchronization,concurrency.graph;effect.graph;memory.graph,concurrency,generic,python;r;rust;cpp;kotlin;java;csharp;go,GEN::atomic
UASF_0155,c;cpp;go;java;kotlin;python;rust,1,concurrency.model;memory.ordering;synchronization,concurrency.graph;memory.graph,concurrency,generic,python;rust;cpp;kotlin;java;go,GEN::memory_model
UASF_0156,c;cpp,1,concurrency.model;storage.duration,,concurrency_memory,cpp,cpp,CPP::c_thread_local
UASF_0157,kotlin,8,control.flow;conversion.semantics;data.flow;evaluation.order;operations;runtime.contract;types.structure,,uncategorized,kotlin,kotlin,KOTLIN::kotlin.definitely_non_null_type;KOTLIN::kotlin.elvis_operator;KOTLIN::kotlin.non_null_assertion;KOTLIN::kotlin.null_safety_flow;KOTLIN::kotlin.nullable_type;KOTLIN::kotlin.platform_flexible_type;KOTLIN::kotlin.safe_call;KOTLIN::kotlin.smart_cast
UASF_0158,c;cpp,1,control.flow;coroutine.state_machine;object.lifetime,,coroutines,cpp,cpp,CPP::cpp_coroutine_lowering
UASF_0159,c;cpp,1,control.flow;coroutine.state_machine;operations,,coroutines,cpp,cpp,CPP::cpp_co_yield
UASF_0160,c;cpp,1,control.flow;data.flow;effect.graph,,compiler_ir,cpp,cpp,CPP::clang_cfg
UASF_0161,rust,1,control.flow;data.flow;effect.graph;evaluation.order,,uncategorized,rust,rust,RUST::rust.match_guards
UASF_0162,rust,1,control.flow;data.flow;effect.graph;evaluation.order;lowering.pipeline,,uncategorized,rust,rust,RUST::rust.mir_semantics
