feature,family,description,recommended_detection_sources,semanticprogram_axes,current_sp_coverage,collector_change
c_effective_type_aliasing,pointer_memory,Effective type/strict aliasing,sema_core;codegen_abi;analysis_cfg,memory.model;pointer.provenance;language.undefined_behavior,0.02,Add first-class Clang/C/C++ ontology feature; prefer AST/Sema/Parse/CodeGen structural evidence to keyword counting.
c_qualifiers,pointer_memory,const/volatile/restrict,ast_core;sema_core;codegen_abi,types.structure;memory.model;effect.graph,0.12,Add first-class Clang/C/C++ ontology feature; prefer AST/Sema/Parse/CodeGen structural evidence to keyword counting.
c_storage_duration,object_lifetime,Automatic/static/thread storage duration,sema_core;ast_core;codegen_abi,storage.duration;object.lifetime,0.06,Add first-class Clang/C/C++ ontology feature; prefer AST/Sema/Parse/CodeGen structural evidence to keyword counting.
c_linkage,modules_linkage,C linkage semantics,sema_core;ast_core,linkage.odr;scope.binding,0.05,Add first-class Clang/C/C++ ontology feature; prefer AST/Sema/Parse/CodeGen structural evidence to keyword counting.
c_unspecified_eval_order,evaluation_ub,Unspecified sequencing/evaluation order,sema_core;analysis_cfg,evaluation.order;language.unspecified_behavior,0.08,Add first-class Clang/C/C++ ontology feature; prefer AST/Sema/Parse/CodeGen structural evidence to keyword counting.
c_designated_initializers,initialization,Designated initializers,parser_core;sema_core;ast_core,nodes.expression;initialization.order,0.10,Add first-class Clang/C/C++ ontology feature; prefer AST/Sema/Parse/CodeGen structural evidence to keyword counting.
c_compound_literals,initialization,Compound literal object lifetime,parser_core;sema_core;ast_core,nodes.expression;object.lifetime,0.05,Add first-class Clang/C/C++ ontology feature; prefer AST/Sema/Parse/CodeGen structural evidence to keyword counting.
c_variadic,calls_abi,C varargs/default promotions,sema_core;codegen_abi,abi.ffi;conversion.semantics,0.12,Add first-class Clang/C/C++ ontology feature; prefer AST/Sema/Parse/CodeGen structural evidence to keyword counting.
c_function_pointer,calls_abi,Function pointer invocation,ast_core;sema_core;codegen_abi,types.structure;abi.ffi;operations,0.20,Add first-class Clang/C/C++ ontology feature; prefer AST/Sema/Parse/CodeGen structural evidence to keyword counting.
c_union_active_member,object_lifetime,Union active member/type punning,sema_core;ast_core;codegen_abi,types.structure;object.lifetime;language.undefined_behavior,0.05,Add first-class Clang/C/C++ ontology feature; prefer AST/Sema/Parse/CodeGen structural evidence to keyword counting.
c_atomic_memory_order,concurrency_memory,Atomic memory order/fences,sema_core;codegen_abi;analysis_cfg,memory.ordering;synchronization;concurrency.model,0.08,Add first-class Clang/C/C++ ontology feature; prefer AST/Sema/Parse/CodeGen structural evidence to keyword counting.
c_thread_local,concurrency_memory,Thread-local storage,sema_core;codegen_abi,storage.duration;concurrency.model,0.05,Add first-class Clang/C/C++ ontology feature; prefer AST/Sema/Parse/CodeGen structural evidence to keyword counting.
cpp_value_categories,value_categories,lvalue/xvalue/prvalue/glvalue,ast_core;sema_core,value.category;nodes.expression;conversion.semantics,0.03,Add first-class Clang/C/C++ ontology feature; prefer AST/Sema/Parse/CodeGen structural evidence to keyword counting.
cpp_reference_binding,ownership_lifetime,Reference binding/lifetime extension,sema_core;ast_core,ownership.lifetime;object.lifetime;value.category,0.05,Add first-class Clang/C/C++ ontology feature; prefer AST/Sema/Parse/CodeGen structural evidence to keyword counting.
cpp_temp_materialization,ownership_lifetime,Temporary materialization,sema_core;ast_core;codegen_abi,object.lifetime;value.category,0.02,Add first-class Clang/C/C++ ontology feature; prefer AST/Sema/Parse/CodeGen structural evidence to keyword counting.
cpp_raii_destructors,ownership_lifetime,RAII/destruction cleanup,sema_core;ast_core;codegen_abi,object.lifetime;effects.control;exception.unwind,0.08,Add first-class Clang/C/C++ ontology feature; prefer AST/Sema/Parse/CodeGen structural evidence to keyword counting.
cpp_ctor_initialization_order,initialization,Base/member initialization order,sema_core;ast_core;codegen_abi,initialization.order;object.lifetime,0.05,Add first-class Clang/C/C++ ontology feature; prefer AST/Sema/Parse/CodeGen structural evidence to keyword counting.
cpp_copy_move,ownership_lifetime,Copy/move semantics,sema_core;ast_core,ownership.lifetime;operations;object.lifetime,0.08,Add first-class Clang/C/C++ ontology feature; prefer AST/Sema/Parse/CodeGen structural evidence to keyword counting.
cpp_overload_resolution,overload_templates,Overload candidate/ranking,sema_core,overload.resolution;types.structure;conversion.semantics,0.03,Add first-class Clang/C/C++ ontology feature; prefer AST/Sema/Parse/CodeGen structural evidence to keyword counting.
cpp_adl,overload_templates,Argument-dependent lookup,sema_core,overload.resolution;scope.binding;name.resolution,0.01,Add first-class Clang/C/C++ ontology feature; prefer AST/Sema/Parse/CodeGen structural evidence to keyword counting.
cpp_name_lookup,modules_linkage,C++ name lookup,sema_core;ast_core,name.resolution;scope.binding;binding.graph,0.12,Add first-class Clang/C/C++ ontology feature; prefer AST/Sema/Parse/CodeGen structural evidence to keyword counting.
cpp_templates,overload_templates,Template instantiation,sema_core;ast_core,template.instantiation;compiletime.semantics;types.structure,0.03,Add first-class Clang/C/C++ ontology feature; prefer AST/Sema/Parse/CodeGen structural evidence to keyword counting.
cpp_partial_specialization,overload_templates,Partial specialization ordering,sema_core,template.instantiation;overload.resolution,0.01,Add first-class Clang/C/C++ ontology feature; prefer AST/Sema/Parse/CodeGen structural evidence to keyword counting.
cpp_sfinae,overload_templates,SFINAE substitution failure,sema_core,template.instantiation;overload.resolution;compiletime.semantics,0.00,Add first-class Clang/C/C++ ontology feature; prefer AST/Sema/Parse/CodeGen structural evidence to keyword counting.
cpp_concepts_constraints,overload_templates,Concept constraints/normalization,sema_core;ast_core,types.structure;overload.resolution;compiletime.semantics,0.01,Add first-class Clang/C/C++ ontology feature; prefer AST/Sema/Parse/CodeGen structural evidence to keyword counting.
cpp_parameter_packs,overload_templates,Parameter packs/expansion,sema_core;ast_core,template.instantiation;nodes.expression,0.01,Add first-class Clang/C/C++ ontology feature; prefer AST/Sema/Parse/CodeGen structural evidence to keyword counting.
cpp_fold_expressions,overload_templates,Fold expressions,parser_core;sema_core;ast_core,nodes.expression;operations;template.instantiation,0.01,Add first-class Clang/C/C++ ontology feature; prefer AST/Sema/Parse/CodeGen structural evidence to keyword counting.
cpp_template_deduction,overload_templates,Template argument deduction/CTAD,sema_core,types.origin;template.instantiation;overload.resolution,0.02,Add first-class Clang/C/C++ ontology feature; prefer AST/Sema/Parse/CodeGen structural evidence to keyword counting.
cpp_auto_decltype,numeric_types,auto/decltype deduction,sema_core;ast_core,types.origin;types.structure,0.08,Add first-class Clang/C/C++ ontology feature; prefer AST/Sema/Parse/CodeGen structural evidence to keyword counting.
cpp_structured_bindings,patterns_bindings,Structured bindings,sema_core;ast_core,binding.graph;nodes.declaration;types.origin,0.05,Add first-class Clang/C/C++ ontology feature; prefer AST/Sema/Parse/CodeGen structural evidence to keyword counting.
cpp_lambdas_capture,patterns_bindings,Lambda capture/closure objects,sema_core;ast_core;codegen_abi,capture.shadowing;ownership.lifetime;types.structure,0.15,Add first-class Clang/C/C++ ontology feature; prefer AST/Sema/Parse/CodeGen structural evidence to keyword counting.
cpp_inheritance,object_model,Multiple/virtual inheritance,sema_core;ast_core;codegen_abi,types.structure;abi.layout;runtime.contract,0.05,Add first-class Clang/C/C++ ontology feature; prefer AST/Sema/Parse/CodeGen structural evidence to keyword counting.
cpp_virtual_dispatch,object_model,Virtual dispatch/vtables,sema_core;codegen_abi;ast_core,runtime.contract;abi.layout;operations,0.05,Add first-class Clang/C/C++ ontology feature; prefer AST/Sema/Parse/CodeGen structural evidence to keyword counting.
cpp_rtti,object_model,RTTI/typeid/dynamic_cast,sema_core;codegen_abi,runtime.contract;types.structure;abi.ffi,0.02,Add first-class Clang/C/C++ ontology feature; prefer AST/Sema/Parse/CodeGen structural evidence to keyword counting.
cpp_member_pointers,object_model,Pointer-to-member representation,sema_core;codegen_abi,abi.layout;types.structure;operations,0.01,Add first-class Clang/C/C++ ontology feature; prefer AST/Sema/Parse/CodeGen structural evidence to keyword counting.
cpp_access_friend,object_model,Access control/friend,sema_core;ast_core,scope.binding;validation.contract;name.resolution,0.03,Add first-class Clang/C/C++ ontology feature; prefer AST/Sema/Parse/CodeGen structural evidence to keyword counting.
cpp_operator_overload,overload_templates,Operator overload resolution,sema_core,overload.resolution;operations,0.03,Add first-class Clang/C/C++ ontology feature; prefer AST/Sema/Parse/CodeGen structural evidence to keyword counting.
cpp_exceptions,exceptions,Throw/catch matching,sema_core;codegen_abi;analysis_cfg,exception.unwind;effects.control;runtime.contract,0.05,Add first-class Clang/C/C++ ontology feature; prefer AST/Sema/Parse/CodeGen structural evidence to keyword counting.
cpp_stack_unwind,exceptions,Unwind/destructor cleanup,codegen_abi;analysis_cfg;sema_core,exception.unwind;object.lifetime;effects.control,0.03,Add first-class Clang/C/C++ ontology feature; prefer AST/Sema/Parse/CodeGen structural evidence to keyword counting.
cpp_noexcept,exceptions,noexcept/termination,sema_core;codegen_abi,runtime.contract;exception.unwind;validation.contract,0.03,Add first-class Clang/C/C++ ontology feature; prefer AST/Sema/Parse/CodeGen structural evidence to keyword counting.
cpp_constexpr,compiletime,constexpr evaluation,sema_core;ast_core,compiletime.evaluation;compiletime.semantics;operations,0.05,Add first-class Clang/C/C++ ontology feature; prefer AST/Sema/Parse/CodeGen structural evidence to keyword counting.
cpp_consteval_constinit,compiletime,consteval/constinit guarantees,sema_core;ast_core,compiletime.evaluation;initialization.order;validation.contract,0.01,Add first-class Clang/C/C++ ontology feature; prefer AST/Sema/Parse/CodeGen structural evidence to keyword counting.
cpp_coroutine_lowering,coroutines,Coroutine suspend/resume/frame,sema_core;ast_core;codegen_abi,coroutine.state_machine;control.flow;object.lifetime,0.00,Add first-class Clang/C/C++ ontology feature; prefer AST/Sema/Parse/CodeGen structural evidence to keyword counting.
cpp_co_await,coroutines,co_await awaiter protocol,sema_core;ast_core,coroutine.state_machine;operations;evaluation.order,0.00,Add first-class Clang/C/C++ ontology feature; prefer AST/Sema/Parse/CodeGen structural evidence to keyword counting.
cpp_co_yield,coroutines,co_yield promise interaction,sema_core;ast_core,coroutine.state_machine;operations;control.flow,0.00,Add first-class Clang/C/C++ ontology feature; prefer AST/Sema/Parse/CodeGen structural evidence to keyword counting.
cpp_modules,modules_linkage,C++ modules/import/export,sema_core;parser_core;frontend,module.semantics;name.resolution;linkage.odr,0.01,Add first-class Clang/C/C++ ontology feature; prefer AST/Sema/Parse/CodeGen structural evidence to keyword counting.
cpp_odr,modules_linkage,One Definition Rule,sema_core;basic_language_model,linkage.odr;binding.graph;validation.contract,0.01,Add first-class Clang/C/C++ ontology feature; prefer AST/Sema/Parse/CodeGen structural evidence to keyword counting.
cpp_static_initialization,initialization,Static/dynamic initialization order,sema_core;codegen_abi,initialization.order;storage.duration;runtime.contract,0.02,Add first-class Clang/C/C++ ontology feature; prefer AST/Sema/Parse/CodeGen structural evidence to keyword counting.
cpp_new_delete,pointer_memory,new/delete lifetime,sema_core;codegen_abi;ast_core,object.lifetime;memory.model;effect.graph,0.08,Add first-class Clang/C/C++ ontology feature; prefer AST/Sema/Parse/CodeGen structural evidence to keyword counting.
cpp_placement_new,pointer_memory,Placement-new lifetime restart,sema_core;codegen_abi,object.lifetime;pointer.provenance;memory.model,0.01,Add first-class Clang/C/C++ ontology feature; prefer AST/Sema/Parse/CodeGen structural evidence to keyword counting.
cpp_object_representation,layout_abi,Padding/triviality/object representation,sema_core;ast_core;codegen_abi,abi.layout;memory.model;types.structure,0.03,Add first-class Clang/C/C++ ontology feature; prefer AST/Sema/Parse/CodeGen structural evidence to keyword counting.
cpp_abi_mangling,layout_abi,Name mangling/ABI identity,codegen_abi;basic_language_model,abi.ffi;abi.layout;linkage.odr,0.08,Add first-class Clang/C/C++ ontology feature; prefer AST/Sema/Parse/CodeGen structural evidence to keyword counting.
cpp_multiple_inheritance_layout,layout_abi,Multiple inheritance layout,codegen_abi;ast_core,abi.layout;object.lifetime,0.01,Add first-class Clang/C/C++ ontology feature; prefer AST/Sema/Parse/CodeGen structural evidence to keyword counting.
cpp_preprocessor_macro,preprocessor,Macro expansion/rescanning,lexer_preprocessor;parser_core,preprocessor.semantics;compiletime.semantics,0.00,Add first-class Clang/C/C++ ontology feature; prefer AST/Sema/Parse/CodeGen structural evidence to keyword counting.
cpp_preprocessor_conditional,preprocessor,Conditional compilation,lexer_preprocessor;frontend,preprocessor.semantics;compiletime.semantics,0.00,Add first-class Clang/C/C++ ontology feature; prefer AST/Sema/Parse/CodeGen structural evidence to keyword counting.
cpp_include_model,preprocessor,Header include/search model,lexer_preprocessor;frontend,preprocessor.semantics;module.semantics,0.00,Add first-class Clang/C/C++ ontology feature; prefer AST/Sema/Parse/CodeGen structural evidence to keyword counting.
cpp_attributes_pragmas,preprocessor,Attributes/pragmas with semantic/ABI effects,parser_core;sema_core;basic_language_model,dialect.extension;abi.layout;validation.contract,0.12,Add first-class Clang/C/C++ ontology feature; prefer AST/Sema/Parse/CodeGen structural evidence to keyword counting.
cpp_ub_model,undefined_behavior,C++ undefined-behavior contract,sema_core;analysis_cfg;codegen_abi,language.undefined_behavior;runtime.contract;validation.contract,0.02,Add first-class Clang/C/C++ ontology feature; prefer AST/Sema/Parse/CodeGen structural evidence to keyword counting.
cpp_impl_defined,undefined_behavior,Implementation-defined behavior,basic_language_model;sema_core,language.implementation_defined;runtime.contract,0.01,Add first-class Clang/C/C++ ontology feature; prefer AST/Sema/Parse/CodeGen structural evidence to keyword counting.
cpp_unspecified_behavior,undefined_behavior,Unspecified behavior,sema_core;analysis_cfg,language.unspecified_behavior;evaluation.order,0.01,Add first-class Clang/C/C++ ontology feature; prefer AST/Sema/Parse/CodeGen structural evidence to keyword counting.
clang_ast_semantic_nodes,compiler_ir,Clang AST taxonomy as frontend evidence,ast_core,nodes.declaration;nodes.expression;types.structure,0.35,Add first-class Clang/C/C++ ontology feature; prefer AST/Sema/Parse/CodeGen structural evidence to keyword counting.
clang_sema_constraints,compiler_ir,Sema constraint checking,sema_core,validation.contract;types.origin;scope.binding,0.20,Add first-class Clang/C/C++ ontology feature; prefer AST/Sema/Parse/CodeGen structural evidence to keyword counting.
clang_cfg,compiler_ir,Clang CFG/effect graph,analysis_cfg,control.flow;effect.graph;data.flow,0.35,Add first-class Clang/C/C++ ontology feature; prefer AST/Sema/Parse/CodeGen structural evidence to keyword counting.
clang_codegen_lowering,compiler_ir,AST-to-LLVM lowering evidence,codegen_abi,lowering.pipeline;abi.ffi;memory.model,0.35,Add first-class Clang/C/C++ ontology feature; prefer AST/Sema/Parse/CodeGen structural evidence to keyword counting.
