rank,cluster,gap_score,implementation_block,codex_instruction,acceptance_matrix,top_features
11,compiler_ir,5.715795,Frontend semantic evidence pipeline,"Use AST/Sema/CFG/CodeGen as evidence and lowering checkpoints, not copied Clang IR.",Recompute full Clang matrix and Python/R/Rust regression matrices; accept only broad gap reduction without semantic regression.,clang_sema_constraints;clang_codegen_lowering;bytecode_vm;optimizer;clang_ast_semantic_nodes;code_generation;clang_cfg;ir
12,coroutines,5.457372,Coroutine state machine,"Represent suspend/resume, promise/awaiter protocol and coroutine frame lifetime.",Recompute full Clang matrix and Python/R/Rust regression matrices; accept only broad gap reduction without semantic regression.,cpp_coroutine_lowering;cpp_co_await;cpp_co_yield;task_async;yield;await
13,exceptions,4.748515,Exception/unwind graph,"Add throw/catch matching, noexcept and unwind/cleanup edges.",Recompute full Clang matrix and Python/R/Rust regression matrices; accept only broad gap reduction without semantic regression.,cpp_noexcept;cpp_stack_unwind;cpp_exceptions;exception_try;throw_raise
14,patterns_bindings,4.731693,Binding/capture/decomposition,Generalize binding graph for structured bindings and lambda capture modes.,Recompute full Clang matrix and Python/R/Rust regression matrices; accept only broad gap reduction without semantic regression.,cpp_structured_bindings;cpp_lambdas_capture;pattern;capture;closure_lambda;shadowing;scope
15,initialization,4.144577,Initialization dependency graph,Model base/member/static/designated initialization ordering as explicit graph edges.,Recompute full Clang matrix and Python/R/Rust regression matrices; accept only broad gap reduction without semantic regression.,cpp_ctor_initialization_order;c_compound_literals;c_designated_initializers;cpp_static_initialization
16,calls_abi,3.965497,Call/FFI contracts,"Generalize function types, varargs, pointers-to-functions and ABI passing.",Recompute full Clang matrix and Python/R/Rust regression matrices; accept only broad gap reduction without semantic regression.,c_function_pointer;c_variadic;ffi;function_type;function;parameter
17,undefined_behavior,3.873213,Behavior-policy contracts,Represent UB/implementation-defined/unspecified behavior explicitly and reject unsafe lowering.,Recompute full Clang matrix and Python/R/Rust regression matrices; accept only broad gap reduction without semantic regression.,c_signed_overflow_ub;cpp_impl_defined;cpp_unspecified_behavior;cpp_ub_model
18,compiletime,3.213844,Compile-time execution,Add constexpr/consteval validation and execution contracts.,Recompute full Clang matrix and Python/R/Rust regression matrices; accept only broad gap reduction without semantic regression.,cpp_constexpr;compile_time_eval;cpp_consteval_constinit;constant
19,object_lifetime,3.040687,Storage/object lifetime contracts,"Represent storage duration, active union member, VLA/compound-literal lifetime and destruction.",Recompute full Clang matrix and Python/R/Rust regression matrices; accept only broad gap reduction without semantic regression.,c_union_active_member;c_vla;c_storage_duration
20,effects_runtime,2.473030,Effect graph,Refine allocation/mutation/global/IO effects and interaction with lifetime.,Recompute full Clang matrix and Python/R/Rust regression matrices; accept only broad gap reduction without semantic regression.,filesystem;io;mutation;global_state;random;network;time
21,value_categories,0.948389,C++ value-category graph,Represent lvalue/xvalue/prvalue/glvalue and materialization as first-class semantic facts.,Recompute full Clang matrix and Python/R/Rust regression matrices; accept only broad gap reduction without semantic regression.,cpp_value_categories
22,evaluation_ub,0.814622,Sequencing/behavior policy,Represent unspecified sequencing/evaluation choices rather than choosing silently.,Recompute full Clang matrix and Python/R/Rust regression matrices; accept only broad gap reduction without semantic regression.,c_unspecified_eval_order
