canonical_semantic_id,signature_hash,source_feature_count,language_label_count,language_labels,evidence_channels,semantic_axes,relation_axes,categories,source_features
UASF_0025,18db470974c3f098e84e247a,2,2,generic_archetype;zig,BASE_553_MATRIX;SOURCE_DERIVED_MISSING_LANGUAGE,abi.ffi;memory.model;ownership.lifetime,layout.graph;types.graph,memory,GEN::layout_alignment;ZIG::source.layout_alignment
UASF_0026,d44197ed802dae09fe6a3d6d,3,3,generic_archetype;nim;swift,BASE_553_MATRIX;SOURCE_DERIVED_MISSING_LANGUAGE,abi.ffi;memory.model;ownership.lifetime,memory.graph;ownership.graph,memory,GEN::ownership;NIM::source.ownership;SWIFT::source.ownership
UASF_0027,128f28f31a3d2ac674994ce1,1,1,r,BASE_553_MATRIX,abi.ffi;memory.model;ownership.lifetime;runtime.contract,,uncategorized,R::r.gc_protect
UASF_0028,94fca73dc69ccc59d95e630b,2,1,rust,BASE_553_MATRIX,abi.ffi;memory.model;ownership.lifetime;types.structure,,uncategorized,RUST::rust.abi_layout;RUST::rust.slice_fat_pointer
UASF_0029,88f2546266de740312c8442d,1,1,rust,BASE_553_MATRIX,abi.ffi;memory.model;types.structure,,uncategorized,RUST::rust.dst_unsized
UASF_0030,f107e1a18fab7bf070227756,2,1,rust,BASE_553_MATRIX,abi.ffi;operations;runtime.contract;types.structure,,uncategorized,RUST::rust.trait_object_dyn;RUST::rust.vtable_dispatch
UASF_0031,0c0c063308a3e13c35227d9d,1,1,c,BASE_553_MATRIX,abi.ffi;operations;types.structure,,calls_abi,CPP::c_function_pointer
UASF_0032,e6160a5a72d10cb0f071f6b1,1,1,cpp,BASE_553_MATRIX,abi.ffi;runtime.contract;types.structure,,object_model,CPP::cpp_rtti
UASF_0033,468ca784bdcf7b8e4e1603c5,1,1,go,BASE_553_MATRIX,abi.layout;dialect.extension;memory.model,dialect.extension;layout.graph;memory.graph,memory,GO::go.unsafe
UASF_0034,a9e40163768344b127fe7926,1,1,cpp,BASE_553_MATRIX,abi.layout;dialect.extension;validation.contract,,preprocessor,CPP::cpp_attributes_pragmas
UASF_0035,f2e4387cc8c4dbe674d41c57,2,2,c;cpp,BASE_553_MATRIX,abi.layout;memory.model;types.structure,,layout_abi,CPP::c_bitfields;CPP::cpp_object_representation
UASF_0036,3e1e9477d96afc2d8b4f6450,1,1,cpp,BASE_553_MATRIX,abi.layout;object.lifetime,,layout_abi,CPP::cpp_multiple_inheritance_layout
UASF_0037,5d184caa950305fde0aeffc5,1,1,cpp,BASE_553_MATRIX,abi.layout;operations;runtime.contract,,object_model,CPP::cpp_virtual_dispatch
UASF_0038,1add65c60acc5f8b606ddb8b,1,1,cpp,BASE_553_MATRIX,abi.layout;operations;types.structure,,object_model,CPP::cpp_member_pointers
UASF_0039,2383286a76d018f5f8f7b93b,1,1,cpp,BASE_553_MATRIX,abi.layout;runtime.contract;types.structure,,object_model,CPP::cpp_inheritance
UASF_0040,029a3f16a50ad8d32bd3d7df,1,1,c,BASE_553_MATRIX,abi.layout;types.structure,,layout_abi,CPP::c_flexible_array_member
UASF_0041,d96a19bb22cb48388b2dc6a1,2,1,java,BASE_553_MATRIX,binding.graph;capture.shadowing;control.flow;data.flow;scope.binding,,bindings_flow,JAVA::java.definite_assignment_unassignment;JAVA::java.effectively_final_capture
UASF_0042,02929231aabb44af2c5dcd46,1,1,r,BASE_553_MATRIX,binding.graph;capture.shadowing;data.flow;effect.graph;operations;scope.binding,,uncategorized,R::r.superassignment
UASF_0043,85a2682d765567dad229b484,1,1,rust,BASE_553_MATRIX,binding.graph;capture.shadowing;data.flow;ownership.lifetime;types.structure,,uncategorized,RUST::rust.closure_capture_modes
UASF_0044,4371b30d4f7e5ae409b50516,2,1,r,BASE_553_MATRIX,binding.graph;capture.shadowing;data.flow;runtime.contract;scope.binding,,uncategorized,R::r.closure_environment_capture;R::r.lexical_lookup
UASF_0045,a4507837c705721b277e7afd,1,1,csharp,BASE_553_MATRIX,binding.graph;capture.shadowing;nodes.declaration,,declarations,CSHARP::primary_constructors
UASF_0046,e2226eb593b68382ddb0f24e,1,1,r,BASE_553_MATRIX,binding.graph;capture.shadowing;runtime.contract;scope.binding;types.structure,,uncategorized,R::r.environment
UASF_0047,c48e1d875d0fb48a333ce5a9,5,5,generic_archetype;julia;nim;swift;zig,BASE_553_MATRIX;SOURCE_DERIVED_MISSING_LANGUAGE,binding.graph;capture.shadowing;scope.binding,binding.graph,binding,GEN::name_resolution;JULIA::source.name_resolution;NIM::source.name_resolution;SWIFT::source.name_resolution;ZIG::source.name_resolution
UASF_0048,cb2e21577620799363aba340,4,4,generic_archetype;julia;nim;swift,BASE_553_MATRIX;SOURCE_DERIVED_MISSING_LANGUAGE,binding.graph;capture.shadowing;scope.binding,binding.graph;capture.graph,binding,GEN::capture;JULIA::source.closure_capture;NIM::source.capture;SWIFT::source.capture
UASF_0049,9cf8b2f1787c2fcbddb3421d,6,5,generic_archetype;julia;nim;swift;zig,BASE_553_MATRIX;SOURCE_DERIVED_MISSING_LANGUAGE,binding.graph;capture.shadowing;scope.binding,binding.graph;scope.graph,binding,GEN::shadowing;GEN::symbol_table;JULIA::source.shadowing;NIM::source.shadowing;SWIFT::source.shadowing;ZIG::source.shadowing
UASF_0050,8086172bbdcd700a3963cfd3,2,2,generic_archetype;nim,BASE_553_MATRIX;SOURCE_DERIVED_MISSING_LANGUAGE,binding.graph;capture.shadowing;scope.binding,lifetime.graph;memory.graph,binding,GEN::lifetime;NIM::source.lifetime
UASF_0051,0bbb3f5899e065da053d98f4,5,5,generic_archetype;julia;nim;swift;zig,BASE_553_MATRIX;SOURCE_DERIVED_MISSING_LANGUAGE,binding.graph;capture.shadowing;scope.binding,scope.graph,binding,GEN::scope;JULIA::source.lexical_scope;NIM::source.scope;SWIFT::source.scope;ZIG::source.scope
UASF_0052,249721d375527a106fc6108a,1,1,csharp,BASE_553_MATRIX,binding.graph;capture.shadowing;types.origin,,closures,CSHARP::lambda_target_typing
UASF_0053,88b6c905ed2ddca52a441c59,15,1,kotlin,BASE_553_MATRIX,binding.graph;compiletime.semantics;conversion.semantics;scope.binding;types.origin;types.structure,,uncategorized,KOTLIN::kotlin.builder_inference;KOTLIN::kotlin.captured_type;KOTLIN::kotlin.function_type;KOTLIN::kotlin.generic_where_constraints;KOTLIN::kotlin.intersection_type;KOTLIN::kotlin.nothing_type;KOTLIN::kotlin.receiver_function_type;KOTLIN::kotlin.reified_type_parameter;KOTLIN::kotlin.star_projection;KOTLIN::kotlin.suspend_function_type;KOTLIN::kotlin.type_alias;KOTLIN::kotlin.type_inference_constraint_system;KOTLIN::kotlin.unit_type;KOTLIN::kotlin.unsigned_integer_types;KOTLIN::kotlin.variance_in_out
UASF_0054,2480b7c768179a737efb2c5f,1,1,go,BASE_553_MATRIX,binding.graph;control.flow;data.flow,binding.graph;control.flow;data.flow,control,GO::go.range
UASF_0055,503ff07b183948445c9acf3f,1,1,rust,BASE_553_MATRIX,binding.graph;control.flow;data.flow;evaluation.order;nodes.expression,,uncategorized,RUST::rust.pattern_destructuring
UASF_0056,138ddb60c604b96b18c43d9c,1,1,rust,BASE_553_MATRIX,binding.graph;control.flow;data.flow;ownership.lifetime,,uncategorized,RUST::rust.nonlexical_lifetimes
UASF_0057,747f3149efcbd3b9d664c005,1,1,rust,BASE_553_MATRIX,binding.graph;control.flow;data.flow;ownership.lifetime;runtime.contract,,uncategorized,RUST::rust.borrow_checker
UASF_0058,c0e43f261721959e63740487,1,1,rust,BASE_553_MATRIX,binding.graph;control.flow;effects.control;evaluation.order,,uncategorized,RUST::rust.let_else
UASF_0059,ebf0e71dfeb8468b3c189f05,1,1,rust,BASE_553_MATRIX,binding.graph;control.flow;evaluation.order;nodes.expression,,uncategorized,RUST::rust.if_let_while_let
UASF_0060,6b781fd91335126ff4bc9642,2,1,csharp,BASE_553_MATRIX,binding.graph;control.flow;operations,,async_iterators;patterns_control,CSHARP::foreach_pattern;CSHARP::property_positional_patterns
UASF_0061,63009e10d8804e125a787650,1,1,rust,BASE_553_MATRIX,binding.graph;control.flow;ownership.lifetime;types.structure,,uncategorized,RUST::rust.drop_check
UASF_0062,6ca9a322c438e1abb576ba03,1,1,csharp,BASE_553_MATRIX,binding.graph;control.flow;scope.binding,,patterns_control,CSHARP::pattern_variable_scope
UASF_0063,7501214e1f9309edd7d0aeb9,1,1,csharp,BASE_553_MATRIX,binding.graph;control.flow;types.origin,,patterns_control,CSHARP::type_patterns
UASF_0064,bb6840d2b55a22f3bb7ee8fd,1,1,go,BASE_553_MATRIX,binding.graph;control.flow;types.structure,binding.graph;control.flow;types.graph,control,GO::go.type_switch
UASF_0065,533830305400c8010b8c086e,13,1,kotlin,BASE_553_MATRIX,binding.graph;conversion.semantics;data.flow;evaluation.order;operations;scope.binding;types.structure,,uncategorized,KOTLIN::kotlin.callable_reference;KOTLIN::kotlin.default_arguments;KOTLIN::kotlin.destructuring_component;KOTLIN::kotlin.implicit_receiver_tower;KOTLIN::kotlin.infix_function;KOTLIN::kotlin.member_extension_resolution;KOTLIN::kotlin.named_arguments;KOTLIN::kotlin.operator_overloading;KOTLIN::kotlin.overload_resolution;KOTLIN::kotlin.reflection_kclass;KOTLIN::kotlin.sam_conversion;KOTLIN::kotlin.trailing_lambda;KOTLIN::kotlin.vararg_spread
UASF_0066,40a3c87ae50c5bd2693d592b,7,1,java,BASE_553_MATRIX,binding.graph;conversion.semantics;evaluation.order;operations;runtime.contract;scope.binding;types.structure,,calls_resolution_dispatch,JAVA::java.default_interface_methods;JAVA::java.field_hiding_method_overriding;JAVA::java.lambda_target_typing;JAVA::java.method_invocation_conversion;JAVA::java.method_references;JAVA::java.overload_resolution;JAVA::java.virtual_interface_dispatch
UASF_0067,5ceff445e31e69015af155bb,3,1,csharp,BASE_553_MATRIX,binding.graph;conversion.semantics;operations,,call_resolution;types_conversions,CSHARP::operator_overloading;CSHARP::overload_resolution_csharp;CSHARP::user_defined_conversions
UASF_0068,0cba1e1601b49e48bd8cedd2,2,1,csharp,BASE_553_MATRIX,binding.graph;conversion.semantics;types.origin,,call_resolution;types_generics,CSHARP::generic_type_inference;CSHARP::method_group_conversion
UASF_0069,802aea0640b11e92a13168c9,1,1,r,BASE_553_MATRIX,binding.graph;data.flow;effect.graph;evaluation.order;runtime.contract,,uncategorized,R::r.promise_forcing
UASF_0070,c7d46cecbf67f86c0f1f2bbe,1,1,rust,BASE_553_MATRIX,binding.graph;data.flow;effect.graph;memory.model;operations;ownership.lifetime,,uncategorized,RUST::rust.mutable_borrow
UASF_0071,81306f94317ce31b1092f987,1,1,r,BASE_553_MATRIX,binding.graph;data.flow;evaluation.order;nodes.declaration;nodes.expression;scope.binding,,uncategorized,R::r.dots_ellipsis
UASF_0072,e5b1330f37fdc9ed89d50318,1,1,r,BASE_553_MATRIX,binding.graph;data.flow;evaluation.order;nodes.expression;runtime.contract,,uncategorized,R::r.promise_lazy_argument
UASF_0073,416a7b334e7518bf7c6987b5,1,1,rust,BASE_553_MATRIX,binding.graph;data.flow;evaluation.order;ownership.lifetime,,uncategorized,RUST::rust.reborrow
UASF_0074,59e06b04d95f6799c5958855,1,1,rust,BASE_553_MATRIX,binding.graph;data.flow;memory.model;operations;ownership.lifetime,,uncategorized,RUST::rust.shared_borrow
UASF_0075,67a2e64402684ac27a07ad91,1,1,go,BASE_553_MATRIX,binding.graph;data.flow;scope.binding,binding.graph;data.flow;scope.graph,declaration,GO::go.short_decl
UASF_0076,9f56442ca8bc9e6c323a986e,1,1,go,BASE_553_MATRIX,binding.graph;data.flow;types.structure,binding.graph;data.flow;types.graph,expression,GO::go.multiple_return
UASF_0077,126db78f308cfa27c72af715,1,1,r,BASE_553_MATRIX,binding.graph;dialect.extension;nodes.declaration;runtime.contract;scope.binding,,uncategorized,R::r.namespace_package
UASF_0078,8b456fde242e51d2b9512d2d,4,1,java,BASE_553_MATRIX,binding.graph;dialect.extension;nodes.declaration;scope.binding;types.structure,,bindings_modules,JAVA::java.access_control;JAVA::java.import_static_resolution;JAVA::java.jpms_modules;JAVA::java.package_namespace_resolution
UASF_0079,a78f4fc2d9652890c7fc985f,1,1,csharp,BASE_553_MATRIX,binding.graph;dialect.extension;runtime.contract,,types_dynamic,CSHARP::dynamic_type_binding
UASF_0080,355cc78ed16aa4dcd092d44d,1,1,csharp,BASE_553_MATRIX,binding.graph;effect.graph;nodes.declaration,,object_members,CSHARP::properties_accessors
UASF_0081,5dcda42ebfffed83b255e0fb,1,1,r,BASE_553_MATRIX,binding.graph;effect.graph;operations;runtime.contract;scope.binding,,uncategorized,R::r.active_binding
UASF_0082,a3a38020d7669cb36b7fe9cb,1,1,csharp,BASE_553_MATRIX,binding.graph;evaluation.order,,call_resolution,CSHARP::named_optional_arguments
UASF_0083,6e283faf5ed6574305aff1a8,1,1,r,BASE_553_MATRIX,binding.graph;evaluation.order;operations;runtime.contract;scope.binding,,uncategorized,R::r.delayed_assignment
UASF_0084,213f6b65a65c5491a2899d02,1,1,cpp,BASE_553_MATRIX,binding.graph;linkage.odr;validation.contract,,modules_linkage,CPP::cpp_odr
UASF_0085,2abb5fb17a48439332ff2c35,13,1,kotlin,BASE_553_MATRIX,binding.graph;memory.model;nodes.declaration;operations;scope.binding;types.structure,,uncategorized,KOTLIN::kotlin.annotation_use_site;KOTLIN::kotlin.backing_field_accessor;KOTLIN::kotlin.companion_object;KOTLIN::kotlin.constructor_init_order;KOTLIN::kotlin.context_receivers_parameters;KOTLIN::kotlin.data_class;KOTLIN::kotlin.delegated_property;KOTLIN::kotlin.enum_entry_semantics;KOTLIN::kotlin.extension_function_property;KOTLIN::kotlin.internal_visibility;KOTLIN::kotlin.object_singleton;KOTLIN::kotlin.sealed_class_interface;KOTLIN::kotlin.value_class
UASF_0086,8e80f7122c45f419d949ebda,2,1,go,BASE_553_MATRIX,binding.graph;name.resolution;operations;types.structure,binding.graph;dispatch.graph;types.graph,declaration;type,GO::go.method;GO::go.embedding
UASF_0087,9a4bddd00a336ef4e1ab0e1c,1,1,cpp,BASE_553_MATRIX,binding.graph;name.resolution;scope.binding,,modules_linkage,CPP::cpp_name_lookup
UASF_0088,00b208a94858e7ed598eddcd,1,1,csharp,BASE_553_MATRIX,binding.graph;nodes.declaration,,declarations,CSHARP::partial_types_methods
UASF_0089,5cc9a1d2d6fea73dea4f3335,1,1,csharp,BASE_553_MATRIX,binding.graph;nodes.declaration;operations,,object_members,CSHARP::indexers
UASF_0090,e2bc5d21336cd1ab9be2b53c,8,1,java,BASE_553_MATRIX,binding.graph;nodes.declaration;runtime.contract;scope.binding;types.structure,,declarations_object_model,JAVA::java.annotation_semantics;JAVA::java.class_interface_inheritance;JAVA::java.enums_semantics;JAVA::java.inner_local_anonymous_classes;JAVA::java.records;JAVA::java.sealed_classes_interfaces;JAVA::java.static_instance_initialization_order;JAVA::java.value_class_preview
UASF_0091,b9cd3a20064c6b3813a6f328,1,1,cpp,BASE_553_MATRIX,binding.graph;nodes.declaration;types.origin,,patterns_bindings,CPP::cpp_structured_bindings
UASF_0092,1e2ebd80a1572350c278f524,1,1,rust,BASE_553_MATRIX,binding.graph;nodes.expression;ownership.lifetime,,uncategorized,RUST::rust.ref_patterns
UASF_0093,ddd29d8a918fd1db3f6c6191,1,1,csharp,BASE_553_MATRIX,binding.graph;operations;runtime.contract,,object_model,CSHARP::virtual_override_new_dispatch
UASF_0094,27efb88b0bc5dbf26dd43a7f,1,1,csharp,BASE_553_MATRIX,binding.graph;operations;scope.binding,,call_resolution,CSHARP::extension_methods
UASF_0095,0bc7940b8ad4b13d85f83a87,1,1,csharp,BASE_553_MATRIX,binding.graph;operations;types.structure,,object_model,CSHARP::static_abstract_interface_members
UASF_0096,b82614a4e241a6014732357a,1,1,rust,BASE_553_MATRIX,binding.graph;ownership.lifetime;types.origin,,uncategorized,RUST::rust.region_inference
UASF_0097,7fe4fb1be1fbf910d5f7d014,2,1,csharp,BASE_553_MATRIX,binding.graph;runtime.contract,,object_model,CSHARP::default_interface_members;CSHARP::explicit_interface_impl
UASF_0098,953036acd2d889b3527f83f9,2,1,csharp,BASE_553_MATRIX,binding.graph;runtime.contract;types.structure,,object_model,CSHARP::class_inheritance;CSHARP::interface_implementation
UASF_0099,8d173390202f84ca225fb326,1,1,csharp,BASE_553_MATRIX,binding.graph;scope.binding,,declarations,CSHARP::global_usings_file_namespace
UASF_0100,33459073896da6022125e209,1,1,csharp,BASE_553_MATRIX,binding.graph;types.structure,,types_generics,CSHARP::generic_constraints
UASF_0101,5da3291df80d877517159940,3,1,kotlin,BASE_553_MATRIX,capture.shadowing;compiletime.semantics;data.flow;evaluation.order;nodes.declaration;nodes.expression;scope.binding,,uncategorized,KOTLIN::kotlin.crossinline_noinline;KOTLIN::kotlin.inline_function;KOTLIN::kotlin.nonlocal_return
UASF_0102,bf15a96aee38b79cb6a5ea6e,1,1,rust,BASE_553_MATRIX,capture.shadowing;compiletime.semantics;dialect.extension;scope.binding,,uncategorized,RUST::rust.macro_rules_hygiene
UASF_0103,95994ccc34a6ed4923de9178,1,1,rust,BASE_553_MATRIX,capture.shadowing;compiletime.semantics;scope.binding,,uncategorized,RUST::rust.name_resolution_hygiene
UASF_0104,52b7d52c634de2ca1d937e6d,1,1,csharp,BASE_553_MATRIX,capture.shadowing;lowering.pipeline;memory.model,,closures,CSHARP::closure_capture_rewriting
UASF_0105,77d594919d597f48bfbe7857,1,1,rust,BASE_553_MATRIX,capture.shadowing;operations;types.structure,,uncategorized,RUST::rust.fn_traits
UASF_0106,cf94f5e61affdb795b061b24,1,1,cpp,BASE_553_MATRIX,capture.shadowing;ownership.lifetime;types.structure,,patterns_bindings,CPP::cpp_lambdas_capture
UASF_0107,e7cc617f03fa4314b0815856,1,1,cpp,BASE_553_MATRIX,compiletime.evaluation;compiletime.semantics;operations,,compiletime,CPP::cpp_constexpr
UASF_0108,0658841da50ee8f518cb8a19,1,1,cpp,BASE_553_MATRIX,compiletime.evaluation;initialization.order;validation.contract,,compiletime,CPP::cpp_consteval_constinit
UASF_0109,86b0ae9b0a7fa5673a3fef0f,1,1,csharp,BASE_553_MATRIX,compiletime.semantics;control.flow,,patterns_control,CSHARP::pattern_exhaustiveness
UASF_0110,4741802ce7ed4fff66328cf0,4,1,kotlin,BASE_553_MATRIX,compiletime.semantics;control.flow;data.flow;effect.graph;purity;scope.binding;types.structure,,uncategorized,KOTLIN::kotlin.calls_in_place_effect;KOTLIN::kotlin.const_evaluation;KOTLIN::kotlin.contracts_dsl;KOTLIN::kotlin.returns_implies_effect
UASF_0111,1cea059b352a8153a548943b,3,1,java,BASE_553_MATRIX,compiletime.semantics;control.flow;data.flow;lowering.pipeline;memory.model;runtime.contract,,jit_vm_optimization,JAVA::java.escape_analysis_scalar_replacement;JAVA::java.safepoint_deoptimization_osr;JAVA::java.tiered_jit_compilation
UASF_0112,4016aece854c9915aa842960,6,1,java,BASE_553_MATRIX,compiletime.semantics;control.flow;data.flow;lowering.pipeline;runtime.contract;types.structure,,bytecode_jvm,JAVA::java.bytecode_operand_stack_frames;JAVA::java.bytecode_verification;JAVA::java.classfile_descriptors_signatures;JAVA::java.constant_pool;JAVA::java.exception_table_bytecode;JAVA::java.invokedynamic_bootstrap
UASF_0113,7bf325c3a9ec31d47026a71d,1,1,rust,BASE_553_MATRIX,compiletime.semantics;control.flow;data.flow;types.structure,,uncategorized,RUST::rust.match_exhaustiveness
UASF_0114,277691a870674f84c9cc2d57,1,1,csharp,BASE_553_MATRIX,compiletime.semantics;conversion.semantics,,types_conversions,CSHARP::constant_expression_conversions
UASF_0115,da1c3904e901945e0d50c544,1,1,csharp,BASE_553_MATRIX,compiletime.semantics;data.flow;ownership.lifetime,,refs_memory,CSHARP::scoped_refs_escape_analysis
UASF_0116,8c6b9fcbf7b8c113d55ebd43,1,1,csharp,BASE_553_MATRIX,compiletime.semantics;dialect.extension,,metaprogramming,CSHARP::source_generators_compiletime
UASF_0117,4d03f1d21e9a5e590c6131fd,1,1,rust,BASE_553_MATRIX,compiletime.semantics;dialect.extension;effect.graph;lowering.pipeline,,uncategorized,RUST::rust.proc_macro
UASF_0118,c18792ac0b5b0f110ad9c1a3,2,2,generic_archetype;nim,BASE_553_MATRIX;SOURCE_DERIVED_MISSING_LANGUAGE,compiletime.semantics;dialect.extension;lowering.pipeline,compiletime.graph;data.flow,meta,GEN::compile_time_eval;NIM::source.compile_time_eval
UASF_0119,d134de24dda5d14244339054,4,4,generic_archetype;julia;nim;swift,BASE_553_MATRIX;SOURCE_DERIVED_MISSING_LANGUAGE,compiletime.semantics;dialect.extension;lowering.pipeline,compiletime.graph;dialect.extension,meta,GEN::macro;JULIA::source.macro_expansion;NIM::source.macro_template;SWIFT::source.macro
UASF_0120,bd2233433f8ede40b3a441a1,2,2,generic_archetype;julia,BASE_553_MATRIX;SOURCE_DERIVED_MISSING_LANGUAGE,compiletime.semantics;dialect.extension;lowering.pipeline,contract.graph;lowering.graph,meta,GEN::optimizer;JULIA::source.optimizer
UASF_0121,fc78a920d8f6e30964869cc3,2,2,generic_archetype;nim,BASE_553_MATRIX;SOURCE_DERIVED_MISSING_LANGUAGE,compiletime.semantics;dialect.extension;lowering.pipeline,dialect.extension;runtime.graph,meta,GEN::bytecode_vm;NIM::source.bytecode_vm
UASF_0122,8b6704b210b3d423c65d72fb,8,4,generic_archetype;julia;nim;zig,BASE_553_MATRIX;SOURCE_DERIVED_MISSING_LANGUAGE,compiletime.semantics;dialect.extension;lowering.pipeline,lowering.graph,meta,GEN::code_generation;GEN::ir;JULIA::source.code_generation_pipeline;JULIA::source.lowered_ir;NIM::source.code_generation;NIM::source.compiler_ir;ZIG::source.code_generation;ZIG::source.compiler_ir
