state_id,language,rule,symbol,path
S000025,r,binary_operator,_expression,$.members[5].content.members[0].content
S000025,r,binary_operator,_newline,$.members[5].content.members[2].content
S000025,r,binary_operator,_expression,$.members[5].content.members[3].content
S000025,r,binary_operator,_expression,$.members[6].content.members[0].content
S000025,r,binary_operator,_newline,$.members[6].content.members[2].content
S000025,r,binary_operator,_expression,$.members[6].content.members[3].content
S000025,r,binary_operator,_expression,$.members[7].content.members[0].content
S000025,r,binary_operator,_newline,$.members[7].content.members[2].content
S000025,r,binary_operator,_expression,$.members[7].content.members[3].content
S000025,r,binary_operator,_expression,$.members[8].content.members[0].content
S000025,r,binary_operator,_newline,$.members[8].content.members[2].content
S000025,r,binary_operator,_expression,$.members[8].content.members[3].content
S000025,r,binary_operator,_expression,$.members[9].content.members[0].content
S000025,r,binary_operator,_newline,$.members[9].content.members[2].content
S000025,r,binary_operator,_expression,$.members[9].content.members[3].content
S000025,r,binary_operator,_expression,$.members[10].content.members[0].content
S000025,r,binary_operator,_newline,$.members[10].content.members[2].content
S000025,r,binary_operator,_expression,$.members[10].content.members[3].content
S000025,r,binary_operator,_expression,$.members[11].content.members[0].content
S000025,r,binary_operator,_newline,$.members[11].content.members[2].content
S000025,r,binary_operator,_expression,$.members[11].content.members[3].content
S000025,r,binary_operator,_expression,$.members[12].content.members[0].content
S000025,r,binary_operator,_newline,$.members[12].content.members[2].content
S000025,r,binary_operator,_expression,$.members[12].content.members[3].content
S000025,r,binary_operator,_expression,$.members[13].content.members[0].content
S000025,r,binary_operator,_newline,$.members[13].content.members[2].content
S000025,r,binary_operator,_expression,$.members[13].content.members[3].content
S000025,r,binary_operator,_expression,$.members[14].content.members[0].content
S000025,r,binary_operator,_newline,$.members[14].content.members[2].content
S000025,r,binary_operator,_expression,$.members[14].content.members[3].content
S000025,r,binary_operator,_expression,$.members[15].content.members[0].content
S000025,r,binary_operator,_newline,$.members[15].content.members[2].content
S000025,r,binary_operator,_expression,$.members[15].content.members[3].content
S000025,r,binary_operator,_expression,$.members[16].content.members[0].content
S000025,r,binary_operator,_newline,$.members[16].content.members[2].content
S000025,r,binary_operator,_expression,$.members[16].content.members[3].content
S000025,r,binary_operator,_expression,$.members[17].content.members[0].content
S000025,r,binary_operator,_newline,$.members[17].content.members[2].content
S000025,r,binary_operator,_expression,$.members[17].content.members[3].content
S000025,r,binary_operator,_expression,$.members[18].content.members[0].content
S000025,r,binary_operator,_newline,$.members[18].content.members[2].content
S000025,r,binary_operator,_expression,$.members[18].content.members[3].content
S000025,r,binary_operator,_expression,$.members[19].content.members[0].content
S000025,r,binary_operator,_newline,$.members[19].content.members[2].content
S000025,r,binary_operator,_expression,$.members[19].content.members[3].content
S000025,r,binary_operator,_expression,$.members[20].content.members[0].content
S000025,r,binary_operator,_newline,$.members[20].content.members[2].content
S000025,r,binary_operator,_expression,$.members[20].content.members[3].content
S000025,r,binary_operator,_expression,$.members[21].content.members[0].content
S000025,r,binary_operator,_newline,$.members[21].content.members[2].content
S000025,r,binary_operator,_expression,$.members[21].content.members[3].content
S000025,r,binary_operator,_expression,$.members[22].content.members[0].content
S000025,r,binary_operator,_newline,$.members[22].content.members[2].content
S000025,r,binary_operator,_expression,$.members[22].content.members[3].content
S000025,r,binary_operator,_expression,$.members[23].content.members[0].content
S000025,r,binary_operator,_newline,$.members[23].content.members[2].content
S000025,r,binary_operator,_expression,$.members[23].content.members[3].content
S000025,r,binary_operator,_expression,$.members[24].content.members[0].content
S000025,r,binary_operator,_newline,$.members[24].content.members[2].content
S000025,r,binary_operator,_expression,$.members[24].content.members[3].content
S000025,r,binary_operator,_expression,$.members[25].content.members[0].content
S000025,r,binary_operator,_newline,$.members[25].content.members[2].content
S000025,r,binary_operator,_expression,$.members[25].content.members[3].content
S000025,r,binary_operator,_expression,$.members[26].content.members[0].content
S000025,r,binary_operator,_newline,$.members[26].content.members[2].content
S000025,r,binary_operator,_expression,$.members[26].content.members[3].content
S000026,r,extract_operator,_expression,$.members[0].content.members[0].content
S000026,r,extract_operator,_newline,$.members[0].content.members[2].content
S000026,r,extract_operator,_string_or_identifier,$.members[0].content.members[3].members[0].content
S000026,r,extract_operator,_expression,$.members[1].content.members[0].content
S000026,r,extract_operator,_newline,$.members[1].content.members[2].content
S000026,r,extract_operator,_string_or_identifier,$.members[1].content.members[3].members[0].content
S000027,r,namespace_operator,_string_or_identifier,$.members[0].content.members[0].content
S000027,r,namespace_operator,_string_or_identifier,$.members[0].content.members[2].members[0].content
S000027,r,namespace_operator,_string_or_identifier,$.members[1].content.members[0].content
S000027,r,namespace_operator,_string_or_identifier,$.members[1].content.members[2].members[0].content
S000028,r,integer,_float_literal,$.members[0]
S000029,r,complex,_float_literal,$.members[0]
S000030,r,float,_float_literal,$
S000033,r,_float_literal,_hex_literal,$.members[0]
S000033,r,_float_literal,_number_literal,$.members[1]
S000034,r,string,_raw_string,$.members[0]
S000034,r,string,_single_quoted_string,$.members[1]
S000034,r,string,_double_quoted_string,$.members[2]
S000035,r,_raw_string,_raw_string_open,$.members[0].content.content
S000035,r,_raw_string,_raw_string_content,$.members[1].members[0].content.content
S000035,r,_raw_string,_raw_string_close,$.members[2].content.content
S000036,r,_single_quoted_string,_single_quoted_string_content,$.members[1].members[0].content.content
S000037,r,_double_quoted_string,_double_quoted_string_content,$.members[1].members[0].content.content
S000038,r,_single_quoted_string_content,escape_sequence,$.content.members[1]
S000039,r,_double_quoted_string_content,escape_sequence,$.content.members[1]
S000044,r,_identifier,dots,$.members[0]
S000044,r,_identifier,dot_dot_i,$.members[1]
S000044,r,_identifier,identifier,$.members[2]
S000045,r,_string_or_identifier,string,$.members[0]
S000045,r,_string_or_identifier,_identifier,$.members[1]
S000046,r,_argument_name_string_or_identifier_or_null,_string_or_identifier,$.content.members[0]
S000046,r,_argument_name_string_or_identifier_or_null,null,$.content.members[1]
S000055,r,_expression,function_definition,$.members[0]
S000055,r,_expression,if_statement,$.members[1]
S000055,r,_expression,for_statement,$.members[2]
S000055,r,_expression,while_statement,$.members[3]
S000055,r,_expression,repeat_statement,$.members[4]
S000055,r,_expression,braced_expression,$.members[5]
S000055,r,_expression,parenthesized_expression,$.members[6]
S000055,r,_expression,call,$.members[7]
S000055,r,_expression,subset,$.members[8]
S000055,r,_expression,subset2,$.members[9]
S000055,r,_expression,unary_operator,$.members[10]
S000055,r,_expression,binary_operator,$.members[11]
S000055,r,_expression,extract_operator,$.members[12]
S000055,r,_expression,namespace_operator,$.members[13]
S000055,r,_expression,integer,$.members[14]
S000055,r,_expression,complex,$.members[15]
S000055,r,_expression,float,$.members[16]
S000055,r,_expression,string,$.members[17]
S000055,r,_expression,identifier,$.members[18]
S000055,r,_expression,dots,$.members[19]
S000055,r,_expression,dot_dot_i,$.members[20]
S000055,r,_expression,next,$.members[21]
S000055,r,_expression,break,$.members[22]
S000055,r,_expression,true,$.members[23]
S000055,r,_expression,false,$.members[24]
S000055,r,_expression,null,$.members[25]
S000055,r,_expression,inf,$.members[26]
S000055,r,_expression,nan,$.members[27]
S000055,r,_expression,na,$.members[28]
S000058,r,_else,_external_else,$.content
S000059,r,_open_parenthesis,_external_open_parenthesis,$.content
S000060,r,_close_parenthesis,_external_close_parenthesis,$.content
S000061,r,_open_brace,_external_open_brace,$.content
S000062,r,_close_brace,_external_close_brace,$.content
S000063,r,_open_bracket,_external_open_bracket,$.content
S000064,r,_close_bracket,_external_close_bracket,$.content
S000065,r,_open_bracket2,_external_open_bracket2,$.content
S000066,r,_close_bracket2,_external_close_bracket2,$.content
S000067,go,source_file,_statement,$.members[0].content.members[0].members[0]
S000067,go,source_file,_top_level_declaration,$.members[0].content.members[1].members[0]
S000067,go,source_file,_top_level_declaration,$.members[1].members[0]
S000068,go,_top_level_declaration,package_clause,$.members[0]
S000068,go,_top_level_declaration,function_declaration,$.members[1]
S000068,go,_top_level_declaration,method_declaration,$.members[2]
S000068,go,_top_level_declaration,import_declaration,$.members[3]
S000069,go,package_clause,_package_identifier,$.members[1]
S000070,go,import_declaration,import_spec,$.members[1].members[0]
S000070,go,import_declaration,import_spec_list,$.members[1].members[1]
S000071,go,import_spec,dot,$.members[0].members[0].content.members[0]
S000071,go,import_spec,blank_identifier,$.members[0].members[0].content.members[1]
S000071,go,import_spec,_package_identifier,$.members[0].members[0].content.members[2]
S000071,go,import_spec,_string_literal,$.members[1].content
S000074,go,import_spec_list,import_spec,$.members[1].members[0].members[0]
S000074,go,import_spec_list,import_spec,$.members[1].members[0].members[1].content.members[1]
S000075,go,_declaration,const_declaration,$.members[0]
S000075,go,_declaration,type_declaration,$.members[1]
S000075,go,_declaration,var_declaration,$.members[2]
S000076,go,const_declaration,const_spec,$.members[1].members[0]
S000076,go,const_declaration,const_spec,$.members[1].members[1].members[1].content.members[0]
S000077,go,const_spec,identifier,$.content.members[0].content.members[0]
S000077,go,const_spec,identifier,$.content.members[0].content.members[1].content.members[1]
S000077,go,const_spec,_type,$.content.members[1].members[0].members[0].members[0].content
S000077,go,const_spec,expression_list,$.content.members[1].members[0].members[2].content
S000078,go,var_declaration,var_spec,$.members[1].members[0]
S000078,go,var_declaration,var_spec_list,$.members[1].members[1]
S000079,go,var_spec,identifier,$.members[0].members[0].content
S000079,go,var_spec,identifier,$.members[0].members[1].content.members[1].content
S000079,go,var_spec,_type,$.members[1].members[0].members[0].content
S000079,go,var_spec,expression_list,$.members[1].members[0].members[1].members[0].members[1].content
S000079,go,var_spec,expression_list,$.members[1].members[1].members[1].content
S000080,go,var_spec_list,var_spec,$.members[1].content.members[0]
S000081,go,function_declaration,identifier,$.content.members[1].content
S000081,go,function_declaration,type_parameter_list,$.content.members[2].content.members[0]
S000081,go,function_declaration,parameter_list,$.content.members[3].content
S000081,go,function_declaration,parameter_list,$.content.members[4].content.members[0].members[0]
S000081,go,function_declaration,_simple_type,$.content.members[4].content.members[0].members[1]
S000081,go,function_declaration,block,$.content.members[5].content.members[0]
S000082,go,method_declaration,parameter_list,$.content.members[1].content
S000082,go,method_declaration,_field_identifier,$.content.members[2].content
S000082,go,method_declaration,parameter_list,$.content.members[3].content
S000082,go,method_declaration,parameter_list,$.content.members[4].content.members[0].members[0]
S000082,go,method_declaration,_simple_type,$.content.members[4].content.members[0].members[1]
S000082,go,method_declaration,block,$.content.members[5].content.members[0]
S000083,go,type_parameter_list,type_parameter_declaration,$.members[1].members[0]
S000083,go,type_parameter_list,type_parameter_declaration,$.members[1].members[1].content.members[1]
S000084,go,type_parameter_declaration,identifier,$.members[0].members[0].content
S000084,go,type_parameter_declaration,identifier,$.members[0].members[1].content.members[1].content
S000084,go,type_parameter_declaration,type_elem,$.members[1].content.content
S000085,go,parameter_list,parameter_declaration,$.members[1].members[0].members[0].members[0].members[0].members[0]
S000085,go,parameter_list,variadic_parameter_declaration,$.members[1].members[0].members[0].members[0].members[0].members[1]
S000085,go,parameter_list,parameter_declaration,$.members[1].members[0].members[0].members[0].members[1].content.members[1].members[0]
S000085,go,parameter_list,variadic_parameter_declaration,$.members[1].members[0].members[0].members[0].members[1].content.members[1].members[1]
S000086,go,parameter_declaration,identifier,$.members[0].members[0].members[0].content
S000086,go,parameter_declaration,identifier,$.members[0].members[0].members[1].content.members[1].content
S000086,go,parameter_declaration,_type,$.members[1].content
S000087,go,variadic_parameter_declaration,identifier,$.members[0].content.members[0]
S000087,go,variadic_parameter_declaration,_type,$.members[2].content
S000088,go,type_alias,_type_identifier,$.members[0].content
S000088,go,type_alias,type_parameter_list,$.members[1].content.members[0]
S000088,go,type_alias,_type,$.members[3].content
S000089,go,type_declaration,type_spec,$.members[1].members[0]
S000089,go,type_declaration,type_alias,$.members[1].members[1]
S000089,go,type_declaration,type_spec,$.members[1].members[2].members[1].members[0].members[0].members[0]
S000089,go,type_declaration,type_alias,$.members[1].members[2].members[1].members[0].members[0].members[1]
S000089,go,type_declaration,type_spec,$.members[1].members[2].members[1].members[0].members[1].content.members[1].members[0]
S000089,go,type_declaration,type_alias,$.members[1].members[2].members[1].members[0].members[1].content.members[1].members[1]
S000090,go,type_spec,_type_identifier,$.members[0].content
S000090,go,type_spec,type_parameter_list,$.members[1].content.members[0]
S000090,go,type_spec,_type,$.members[2].content
S000091,go,field_name_list,_field_identifier,$.members[0]
S000091,go,field_name_list,_field_identifier,$.members[1].content.members[1]
S000092,go,expression_list,_expression,$.members[0]
S000092,go,expression_list,_expression,$.members[1].content.members[1]
S000093,go,_type,_simple_type,$.members[0]
S000093,go,_type,parenthesized_type,$.members[1]
S000094,go,parenthesized_type,_type,$.members[1]
S000095,go,_simple_type,_type_identifier,$.members[0].content
S000095,go,_simple_type,generic_type,$.members[1]
S000095,go,_simple_type,qualified_type,$.members[2]
S000095,go,_simple_type,pointer_type,$.members[3]
S000095,go,_simple_type,struct_type,$.members[4]
S000095,go,_simple_type,interface_type,$.members[5]
S000095,go,_simple_type,array_type,$.members[6]
S000095,go,_simple_type,slice_type,$.members[7]
S000095,go,_simple_type,map_type,$.members[8].content
S000095,go,_simple_type,channel_type,$.members[9]
S000095,go,_simple_type,function_type,$.members[10]
S000095,go,_simple_type,negated_type,$.members[11]
S000096,go,generic_type,_type_identifier,$.content.members[0].content.members[0]
S000096,go,generic_type,qualified_type,$.content.members[0].content.members[1]
S000096,go,generic_type,negated_type,$.content.members[0].content.members[2]
S000096,go,generic_type,type_arguments,$.content.members[1].content
S000097,go,type_arguments,type_elem,$.content.members[1].members[0]
S000097,go,type_arguments,type_elem,$.content.members[1].members[1].content.members[1]
S000098,go,pointer_type,_type,$.content.members[1]
S000099,go,array_type,_expression,$.content.members[1].content
S000099,go,array_type,_type,$.content.members[3].content
S000100,go,implicit_length_array_type,_type,$.members[3].content
S000101,go,slice_type,_type,$.content.members[2].content
S000102,go,struct_type,field_declaration_list,$.members[1]
S000103,go,negated_type,_type,$.content.members[1]
S000104,go,field_declaration_list,field_declaration,$.members[1].members[0].members[0]
S000104,go,field_declaration_list,field_declaration,$.members[1].members[0].members[1].content.members[1]
S000105,go,field_declaration,_field_identifier,$.members[0].members[0].members[0].members[0].content
S000105,go,field_declaration,_field_identifier,$.members[0].members[0].members[0].members[1].content.members[1].content
S000105,go,field_declaration,_type,$.members[0].members[0].members[1].content
S000105,go,field_declaration,_type_identifier,$.members[0].members[1].members[1].content.members[0]
S000105,go,field_declaration,qualified_type,$.members[0].members[1].members[1].content.members[1]
S000105,go,field_declaration,generic_type,$.members[0].members[1].members[1].content.members[2]
S000105,go,field_declaration,_string_literal,$.members[1].content.members[0]
S000106,go,interface_type,_interface_elem,$.members[2].members[0].members[0]
S000106,go,interface_type,_interface_elem,$.members[2].members[0].members[1].content.members[1]
S000107,go,_interface_elem,method_elem,$.members[0]
S000107,go,_interface_elem,type_elem,$.members[1]
S000108,go,method_elem,_field_identifier,$.members[0].content
S000108,go,method_elem,parameter_list,$.members[1].content
S000108,go,method_elem,parameter_list,$.members[2].content.members[0].members[0]
S000108,go,method_elem,_simple_type,$.members[2].content.members[0].members[1]
S000109,go,type_elem,_type,$.members[0]
S000109,go,type_elem,_type,$.members[1].content.members[1]
S000110,go,map_type,_type,$.content.members[2].content
S000110,go,map_type,_type,$.content.members[4].content
S000111,go,channel_type,_type,$.content.members[0].members[1].content
S000111,go,channel_type,_type,$.content.members[1].members[2].content
S000111,go,channel_type,_type,$.content.members[2].content.members[2].content
S000112,go,function_type,parameter_list,$.content.members[1].content
S000112,go,function_type,parameter_list,$.content.members[2].content.members[0].members[0]
S000112,go,function_type,_simple_type,$.content.members[2].content.members[0].members[1]
S000113,go,block,statement_list,$.members[1].members[0]
S000114,go,statement_list,_statement,$.members[0].members[0]
S000114,go,statement_list,_statement,$.members[0].members[1].content.members[1]
S000114,go,statement_list,empty_labeled_statement,$.members[0].members[2].members[0].members[1].members[0].content
S000114,go,statement_list,empty_labeled_statement,$.members[1].content
S000115,go,_statement,_declaration,$.members[0]
S000115,go,_statement,_simple_statement,$.members[1]
S000115,go,_statement,return_statement,$.members[2]
S000115,go,_statement,go_statement,$.members[3]
S000115,go,_statement,defer_statement,$.members[4]
S000115,go,_statement,if_statement,$.members[5]
S000115,go,_statement,for_statement,$.members[6]
S000115,go,_statement,expression_switch_statement,$.members[7]
S000115,go,_statement,type_switch_statement,$.members[8]
S000115,go,_statement,select_statement,$.members[9]
S000115,go,_statement,labeled_statement,$.members[10]
S000115,go,_statement,fallthrough_statement,$.members[11]
S000115,go,_statement,break_statement,$.members[12]
S000115,go,_statement,continue_statement,$.members[13]
S000115,go,_statement,goto_statement,$.members[14]
S000115,go,_statement,block,$.members[15]
S000115,go,_statement,empty_statement,$.members[16]
S000117,go,_simple_statement,expression_statement,$.members[0]
S000117,go,_simple_statement,send_statement,$.members[1]
S000117,go,_simple_statement,inc_statement,$.members[2]
S000117,go,_simple_statement,dec_statement,$.members[3]
S000117,go,_simple_statement,assignment_statement,$.members[4]
S000117,go,_simple_statement,short_var_declaration,$.members[5]
S000118,go,expression_statement,_expression,$
S000119,go,send_statement,_expression,$.members[0].content
S000119,go,send_statement,_expression,$.members[2].content
S000120,go,receive_statement,expression_list,$.members[0].members[0].members[0].content
S000120,go,receive_statement,_expression,$.members[1].content
S000121,go,inc_statement,_expression,$.members[0]
S000122,go,dec_statement,_expression,$.members[0]
S000123,go,assignment_statement,expression_list,$.members[0].content
S000123,go,assignment_statement,expression_list,$.members[2].content
S000124,go,short_var_declaration,expression_list,$.members[0].content
S000124,go,short_var_declaration,expression_list,$.members[2].content
S000125,go,labeled_statement,identifier,$.members[0].content.content
S000125,go,labeled_statement,_statement,$.members[2]
S000126,go,empty_labeled_statement,identifier,$.members[0].content.content
S000128,go,break_statement,identifier,$.members[1].members[0].content
S000129,go,continue_statement,identifier,$.members[1].members[0].content
S000130,go,goto_statement,identifier,$.members[1].content
S000131,go,return_statement,expression_list,$.members[1].members[0]
S000132,go,go_statement,_expression,$.members[1]
S000133,go,defer_statement,_expression,$.members[1]
S000134,go,if_statement,_simple_statement,$.members[1].members[0].members[0].content
S000134,go,if_statement,_expression,$.members[2].content
S000134,go,if_statement,block,$.members[3].content
S000134,go,if_statement,block,$.members[4].members[0].members[1].content.members[0]
S000134,go,if_statement,if_statement,$.members[4].members[0].members[1].content.members[1]
S000135,go,for_statement,_expression,$.members[1].members[0].members[0]
S000135,go,for_statement,for_clause,$.members[1].members[0].members[1]
S000135,go,for_statement,range_clause,$.members[1].members[0].members[2]
S000135,go,for_statement,block,$.members[2].content
S000136,go,for_clause,_simple_statement,$.members[0].content.members[0]
S000136,go,for_clause,_expression,$.members[2].content.members[0]
S000136,go,for_clause,_simple_statement,$.members[4].content.members[0]
S000137,go,range_clause,expression_list,$.members[0].members[0].members[0].content
S000137,go,range_clause,_expression,$.members[2].content
S000138,go,expression_switch_statement,_simple_statement,$.members[1].members[0].members[0].content
S000138,go,expression_switch_statement,_expression,$.members[2].content.members[0]
S000138,go,expression_switch_statement,expression_case,$.members[4].content.members[0]
S000138,go,expression_switch_statement,default_case,$.members[4].content.members[1]
S000139,go,expression_case,expression_list,$.members[1].content
S000139,go,expression_case,statement_list,$.members[3].members[0]
S000140,go,default_case,statement_list,$.members[2].members[0]
S000141,go,type_switch_statement,_type_switch_header,$.members[1]
S000141,go,type_switch_statement,type_case,$.members[3].content.members[0]
S000141,go,type_switch_statement,default_case,$.members[3].content.members[1]
S000142,go,_type_switch_header,_simple_statement,$.members[0].members[0].members[0].content
S000142,go,_type_switch_header,expression_list,$.members[1].members[0].members[0].content
S000142,go,_type_switch_header,_expression,$.members[2].content
S000143,go,type_case,_type,$.members[1].content.members[0]
S000143,go,type_case,_type,$.members[1].content.members[1].content.members[1]
S000143,go,type_case,statement_list,$.members[3].members[0]
S000144,go,select_statement,communication_case,$.members[2].content.members[0]
S000144,go,select_statement,default_case,$.members[2].content.members[1]
S000145,go,communication_case,send_statement,$.members[1].content.members[0]
S000145,go,communication_case,receive_statement,$.members[1].content.members[1]
S000145,go,communication_case,statement_list,$.members[3].members[0]
S000146,go,_expression,unary_expression,$.members[0]
S000146,go,_expression,binary_expression,$.members[1]
S000146,go,_expression,selector_expression,$.members[2]
S000146,go,_expression,index_expression,$.members[3]
S000146,go,_expression,slice_expression,$.members[4]
S000146,go,_expression,call_expression,$.members[5]
S000146,go,_expression,type_assertion_expression,$.members[6]
S000146,go,_expression,type_conversion_expression,$.members[7]
S000146,go,_expression,type_instantiation_expression,$.members[8]
S000146,go,_expression,identifier,$.members[9]
S000146,go,_expression,composite_literal,$.members[11]
S000146,go,_expression,func_literal,$.members[12]
S000146,go,_expression,_string_literal,$.members[13]
S000146,go,_expression,int_literal,$.members[14]
S000146,go,_expression,float_literal,$.members[15]
S000146,go,_expression,imaginary_literal,$.members[16]
S000146,go,_expression,rune_literal,$.members[17]
S000146,go,_expression,nil,$.members[18]
S000146,go,_expression,true,$.members[19]
S000146,go,_expression,false,$.members[20]
S000146,go,_expression,iota,$.members[21]
S000146,go,_expression,parenthesized_expression,$.members[22]
S000147,go,parenthesized_expression,_expression,$.members[1]
S000148,go,call_expression,special_argument_list,$.content.members[0].members[1].content.content
S000148,go,call_expression,_expression,$.content.members[1].members[0].content
S000148,go,call_expression,type_arguments,$.content.members[1].members[1].content.members[0]
S000148,go,call_expression,argument_list,$.content.members[1].members[2].content
S000149,go,variadic_argument,_expression,$.content.members[0]
S000150,go,special_argument_list,_type,$.members[1].members[0].members[0]
S000150,go,special_argument_list,_expression,$.members[1].members[0].members[1].content.members[1]
S000151,go,argument_list,_expression,$.members[1].members[0].members[0].members[0]
S000151,go,argument_list,variadic_argument,$.members[1].members[0].members[0].members[1]
S000151,go,argument_list,_expression,$.members[1].members[0].members[1].content.members[1].members[0]
S000151,go,argument_list,variadic_argument,$.members[1].members[0].members[1].content.members[1].members[1]
S000152,go,selector_expression,_expression,$.content.members[0].content
