case_id,language,case_name,exact_row_class,atoms
60,r,Calls With `return` As Argument Name,failure_row_003,CALL|EXPRESSION|FIELD|FUNCTION|PARSER
61,r,`return` Is Just An Identifier,failure_row_008,CALL|FIELD|FUNCTION|PARSER
66,r,Help Operator,failure_row_009,EXPRESSION|FIELD|PARSER
67,r,Complex Expressions,failure_row_010,CALL|CONTROL_FLOW|EXPRESSION|FIELD|FUNCTION|PARSER
68,r,Precedence Tests,failure_row_009,EXPRESSION|FIELD|PARSER
74,r,Identifiers,failure_row_011,PARSER
80,r,Raw Strings,failure_row_006,CALL|EXPRESSION|PARSER
89,go,Single const declarations without types,failure_row_012,AGGREGATE|CONTAINER|DECLARATION|EXPRESSION|FUNCTION|GENERIC|PARSER
90,go,Single const declarations with types,failure_row_013,AGGREGATE|CONTAINER|DECLARATION|EXPRESSION|FUNCTION|GENERIC|PARSER|TYPE
91,go,Grouped const declarations,failure_row_012,AGGREGATE|CONTAINER|DECLARATION|EXPRESSION|FUNCTION|GENERIC|PARSER
92,go,Const declarations with implicit values,failure_row_012,AGGREGATE|CONTAINER|DECLARATION|EXPRESSION|FUNCTION|GENERIC|PARSER
93,go,Var declarations without types,failure_row_012,AGGREGATE|CONTAINER|DECLARATION|EXPRESSION|FUNCTION|GENERIC|PARSER
94,go,Var declarations with types,failure_row_013,AGGREGATE|CONTAINER|DECLARATION|EXPRESSION|FUNCTION|GENERIC|PARSER|TYPE
95,go,Var declarations with no expressions,failure_row_014,DECLARATION|FUNCTION|GENERIC|PARSER|TYPE
96,go,Grouped var declarations,failure_row_012,AGGREGATE|CONTAINER|DECLARATION|EXPRESSION|FUNCTION|GENERIC|PARSER
97,go,Function declarations,failure_row_015,AGGREGATE|CALL|CONTAINER|DECLARATION|FUNCTION|GENERIC|INDEX_SLICE|PARSER|TYPE
98,go,Single-line function declarations,failure_row_016,AGGREGATE|CALL|CONTAINER|DECLARATION|EXPRESSION|FUNCTION|PARSER
99,go,Variadic function declarations,failure_row_017,AGGREGATE|CONTAINER|DECLARATION|FUNCTION|PARSER|TYPE
100,go,Method declarations,failure_row_018,AGGREGATE|CONTAINER|DECLARATION|FIELD|FUNCTION|PARSER|TYPE
101,go,Type declarations,failure_row_019,DECLARATION|PARSER|TYPE
103,go,Call expressions,failure_row_016,AGGREGATE|CALL|CONTAINER|DECLARATION|EXPRESSION|FUNCTION|PARSER
104,go,Nested call expressions,failure_row_016,AGGREGATE|CALL|CONTAINER|DECLARATION|EXPRESSION|FUNCTION|PARSER
105,go,Generic call expressions,failure_row_020,AGGREGATE|CALL|CONTAINER|DECLARATION|EXPRESSION|FUNCTION|GENERIC|INDEX_SLICE|PARSER|TYPE
106,go,Calls to 'make' and 'new',failure_row_021,AGGREGATE|CALL|CONTAINER|DECLARATION|EXPRESSION|FIELD|FUNCTION|PARSER|TYPE
107,go,Selector expressions,failure_row_022,AGGREGATE|CALL|CONTAINER|DECLARATION|EXPRESSION|FIELD|FUNCTION|PARSER
108,go,Indexing expressions,failure_row_023,AGGREGATE|CONTAINER|DECLARATION|EXPRESSION|FUNCTION|INDEX_SLICE|PARSER
109,go,Type assertion expressions,failure_row_024,AGGREGATE|CONTAINER|DECLARATION|EXPRESSION|FUNCTION|PARSER|TYPE
110,go,Type conversion expressions,failure_row_025,AGGREGATE|CALL|CONTAINER|DECLARATION|EXPRESSION|FIELD|FUNCTION|INDEX_SLICE|PARSER|TYPE
111,go,Unary expressions,failure_row_016,AGGREGATE|CALL|CONTAINER|DECLARATION|EXPRESSION|FUNCTION|PARSER
112,go,Int literals,failure_row_012,AGGREGATE|CONTAINER|DECLARATION|EXPRESSION|FUNCTION|GENERIC|PARSER
113,go,Float literals,failure_row_012,AGGREGATE|CONTAINER|DECLARATION|EXPRESSION|FUNCTION|GENERIC|PARSER
114,go,Rune literals,failure_row_026,AGGREGATE|CONTAINER|DECLARATION|EXPRESSION|PARSER
115,go,Imaginary literals,failure_row_012,AGGREGATE|CONTAINER|DECLARATION|EXPRESSION|FUNCTION|GENERIC|PARSER
117,go,Slice literals,failure_row_027,AGGREGATE|CONTAINER|DECLARATION|EXPRESSION|INDEX_SLICE|PARSER|TYPE
118,go,Array literals with implicit length,failure_row_028,AGGREGATE|CONTAINER|DECLARATION|EXPRESSION|PARSER|TYPE
119,go,Map literals,failure_row_028,AGGREGATE|CONTAINER|DECLARATION|EXPRESSION|PARSER|TYPE
120,go,Struct literals,failure_row_029,AGGREGATE|CALL|CONTAINER|DECLARATION|EXPRESSION|FIELD|GENERIC|PARSER|TYPE
121,go,Function literals,failure_row_024,AGGREGATE|CONTAINER|DECLARATION|EXPRESSION|FUNCTION|PARSER|TYPE
122,go,Package clauses,failure_row_030,DECLARATION|PARSER
123,go,Single import declarations,failure_row_030,DECLARATION|PARSER
124,go,Grouped import declarations,failure_row_030,DECLARATION|PARSER
126,go,Comments with asterisks,failure_row_030,DECLARATION|PARSER
127,go,Non-ascii variable names,failure_row_030,DECLARATION|PARSER
128,go,Declaration statements,failure_row_031,AGGREGATE|CONTAINER|DECLARATION|EXPRESSION|FUNCTION|PARSER
129,go,Expression statements,failure_row_016,AGGREGATE|CALL|CONTAINER|DECLARATION|EXPRESSION|FUNCTION|PARSER
130,go,Send statements,failure_row_032,AGGREGATE|CONTAINER|DECLARATION|FUNCTION|PARSER
131,go,Increment/Decrement statements,failure_row_032,AGGREGATE|CONTAINER|DECLARATION|FUNCTION|PARSER
132,go,Assignment statements,failure_row_031,AGGREGATE|CONTAINER|DECLARATION|EXPRESSION|FUNCTION|PARSER
133,go,Short var declarations,failure_row_031,AGGREGATE|CONTAINER|DECLARATION|EXPRESSION|FUNCTION|PARSER
134,go,If statements,failure_row_033,AGGREGATE|CALL|CONTAINER|CONTROL_FLOW|DECLARATION|EXPRESSION|FIELD|FUNCTION|PARSER
135,go,For statements,failure_row_034,AGGREGATE|CALL|CONTAINER|CONTROL_FLOW|DECLARATION|EXPRESSION|FUNCTION|PARSER
138,go,Select statements,failure_row_022,AGGREGATE|CALL|CONTAINER|DECLARATION|EXPRESSION|FIELD|FUNCTION|PARSER
139,go,Go and defer statements,failure_row_022,AGGREGATE|CALL|CONTAINER|DECLARATION|EXPRESSION|FIELD|FUNCTION|PARSER
141,go,Labels at the ends of statement blocks,failure_row_035,AGGREGATE|CONTAINER|DECLARATION|EXPRESSION|FIELD|FUNCTION|PARSER
143,go,Nested control statements,failure_row_036,AGGREGATE|CALL|CONTAINER|CONTROL_FLOW|DECLARATION|EXPRESSION|FIELD|FUNCTION|INDEX_SLICE|PARSER
147,go,Slice types,failure_row_037,DECLARATION|INDEX_SLICE|PARSER|TYPE
148,go,Struct types,failure_row_038,AGGREGATE|CALL|CONTAINER|DECLARATION|FIELD|FUNCTION|GENERIC|PARSER|TYPE
149,go,Interface types,failure_row_018,AGGREGATE|CONTAINER|DECLARATION|FIELD|FUNCTION|PARSER|TYPE
150,go,Interface embedded struct types,failure_row_039,AGGREGATE|CONTAINER|DECLARATION|FIELD|PARSER|TYPE
151,go,Map types,failure_row_014,DECLARATION|FUNCTION|GENERIC|PARSER|TYPE
152,go,Pointer types,failure_row_014,DECLARATION|FUNCTION|GENERIC|PARSER|TYPE
153,go,Channel types,failure_row_040,AGGREGATE|CONTAINER|DECLARATION|FIELD|FUNCTION|GENERIC|PARSER|TYPE
154,go,Function types,failure_row_041,AGGREGATE|CONTAINER|DECLARATION|FUNCTION|GENERIC|PARSER|TYPE
155,go,Type Aliases,failure_row_038,AGGREGATE|CALL|CONTAINER|DECLARATION|FIELD|FUNCTION|GENERIC|PARSER|TYPE
158,rust,Async Block,failure_row_042,ASYNC|DECLARATION|EXPRESSION|PARSER
159,rust,Async closure,failure_row_043,CLOSURE|DECLARATION|EXPRESSION|FUNCTION|PARSER
163,rust,Modules,failure_row_044,AGGREGATE|CONTAINER|DECLARATION|PARSER
168,rust,Impl with lifetimes first,failure_row_045,FUNCTION|GENERIC|PARSER|TYPE
169,rust,Functions with precise capture syntax,failure_row_046,CALL|FUNCTION|GENERIC|LEXER|PARSER|TYPE
176,rust,Let declarations with if expressions as the value,failure_row_047,CONTROL_FLOW|DECLARATION|EXPRESSION|PARSER
178,rust,Structs,failure_row_039,AGGREGATE|CONTAINER|DECLARATION|FIELD|PARSER|TYPE
179,rust,Unions,failure_row_039,AGGREGATE|CONTAINER|DECLARATION|FIELD|PARSER|TYPE
180,rust,Generic structs,failure_row_048,AGGREGATE|CONTAINER|DECLARATION|FIELD|FUNCTION|GENERIC|LEXER|PARSER|TYPE
187,rust,Constant items,failure_row_049,AGGREGATE|CONTAINER|DECLARATION|PARSER|TYPE
188,rust,Static items,failure_row_050,EXPRESSION|PARSER|TYPE
190,rust,Type aliases,failure_row_051,AGGREGATE|CALL|CONTAINER|EXPRESSION|FUNCTION|GENERIC|PARSER|TYPE
191,rust,Type alias where clauses,failure_row_052,CALL|EXPRESSION|FUNCTION|GENERIC|PARSER|TYPE
196,rust,Attribute macros,failure_row_053,CALL|EXPRESSION|FIELD|FUNCTION|LEXER|PARSER
199,rust,Inherent Impls,failure_row_054,AGGREGATE|CALL|CONTAINER|DECLARATION|FIELD|FUNCTION|GENERIC|LEXER|PARSER|TYPE
204,rust,Trait impl signature,failure_row_055,CALL|FUNCTION|GENERIC|PARSER|TYPE
211,rust,Associated Types,failure_row_049,AGGREGATE|CONTAINER|DECLARATION|PARSER|TYPE
212,rust,Associated Type Definitions,failure_row_049,AGGREGATE|CONTAINER|DECLARATION|PARSER|TYPE
214,rust,Higher-ranked types,failure_row_056,AGGREGATE|CALL|CONTAINER|DECLARATION|FUNCTION|GENERIC|LEXER|PARSER|TYPE
215,rust,Visibility modifiers,failure_row_057,FUNCTION|PARSER
217,rust,Where clauses,failure_row_058,AGGREGATE|CALL|CONTAINER|DECLARATION|EXPRESSION|FIELD|FUNCTION|GENERIC|LEXER|PARSER|PATTERN|TYPE
222,rust,Const generics with default,failure_row_040,AGGREGATE|CONTAINER|DECLARATION|FIELD|FUNCTION|GENERIC|PARSER|TYPE
227,rust,Raw identifiers,failure_row_059,EXPRESSION|FIELD|FUNCTION|PARSER|TYPE
228,rust,Unary operator expressions,failure_row_005,EXPRESSION|PARSER
229,rust,Reference expressions,failure_row_009,EXPRESSION|FIELD|PARSER
230,rust,Try expressions,failure_row_060,CALL|EXCEPTION|EXPRESSION|FIELD|PARSER
231,rust,Binary operator expressions,failure_row_005,EXPRESSION|PARSER
233,rust,Range expressions,failure_row_061,CONTROL_FLOW|EXPRESSION|PARSER
235,rust,Compound assignment expressions,failure_row_009,EXPRESSION|FIELD|PARSER
237,rust,Call expressions,failure_row_003,CALL|EXPRESSION|FIELD|FUNCTION|PARSER
242,rust,If expressions,failure_row_062,CONTROL_FLOW|DECLARATION|EXPRESSION|FIELD|FUNCTION|PARSER|PATTERN
244,rust,If let expressions,failure_row_063,AGGREGATE|CLOSURE|CONTAINER|CONTROL_FLOW|EXPRESSION|FIELD|FUNCTION|PARSER|PATTERN|TYPE
245,rust,While let expressions,failure_row_064,AGGREGATE|CONTAINER|CONTROL_FLOW|EXPRESSION|PARSER|PATTERN
248,rust,Loop expressions,failure_row_065,CONTROL_FLOW|EXPRESSION|LEXER|PARSER
249,rust,For expressions,failure_row_066,CALL|CONTROL_FLOW|EXPRESSION|PARSER
253,rust,Scoped functions,failure_row_067,CALL|EXPRESSION|GENERIC|PARSER|TYPE
254,rust,Scoped functions with fully qualified syntax,failure_row_068,CALL|EXPRESSION|PARSER|TYPE
255,rust,Scoped functions with macros as types,failure_row_006,CALL|EXPRESSION|PARSER
257,rust,Generic functions,failure_row_069,CALL|EXPRESSION|FIELD|FUNCTION|GENERIC|PARSER|TYPE
259,rust,Closures with typed parameteres,failure_row_070,CALL|CLOSURE|EXPRESSION|FIELD|FUNCTION|PARSER
260,rust,Generators,failure_row_071,CLOSURE|CONTROL_FLOW|EXPRESSION|FUNCTION|PARSER
263,rust,Raw reference expression conflicts,failure_row_072,CALL|DECLARATION|EXPRESSION|PARSER
272,rust,Macro invocation - no arguments,failure_row_006,CALL|EXPRESSION|PARSER
273,rust,Macro invocation - arbitrary tokens,failure_row_073,CALL|EXPRESSION|LEXER|PARSER
284,rust,Block comments,failure_row_011,PARSER
285,rust,Nested block comments,failure_row_005,EXPRESSION|PARSER
286,rust,Line comments,failure_row_011,PARSER
288,rust,Block doc comments,failure_row_011,PARSER
289,rust,Nested doc block comments,failure_row_005,EXPRESSION|PARSER
296,rust,The unit type,failure_row_050,EXPRESSION|PARSER|TYPE
298,rust,Reference types,failure_row_050,EXPRESSION|PARSER|TYPE
299,rust,Raw pointer types,failure_row_050,EXPRESSION|PARSER|TYPE
300,rust,Generic types,failure_row_074,CALL|GENERIC|LEXER|PARSER|TYPE
301,rust,Scoped types,failure_row_067,CALL|EXPRESSION|GENERIC|PARSER|TYPE
305,rust,Trait objects,failure_row_046,CALL|FUNCTION|GENERIC|LEXER|PARSER|TYPE
306,rust,Type cast expressions with generics,failure_row_067,CALL|EXPRESSION|GENERIC|PARSER|TYPE
307,cpp,template functions vs relational expressions,failure_row_075,AGGREGATE|CALL|CONTAINER|CONTROL_FLOW|DECLARATION|EXPRESSION|FIELD|FUNCTION|GENERIC|PARSER|TYPE
310,cpp,Concept definition,failure_row_076,AGGREGATE|CALL|CONTAINER|DECLARATION|EXPRESSION|FUNCTION|GENERIC|PARSER|TYPE
315,cpp,Constraints,failure_row_076,AGGREGATE|CALL|CONTAINER|DECLARATION|EXPRESSION|FUNCTION|GENERIC|PARSER|TYPE
319,cpp,Reference declarations,failure_row_076,AGGREGATE|CALL|CONTAINER|DECLARATION|EXPRESSION|FUNCTION|GENERIC|PARSER|TYPE
320,cpp,R-value reference declarations,failure_row_024,AGGREGATE|CONTAINER|DECLARATION|EXPRESSION|FUNCTION|PARSER|TYPE
327,cpp,Nested classes,failure_row_039,AGGREGATE|CONTAINER|DECLARATION|FIELD|PARSER|TYPE
329,cpp,Default member initializers,failure_row_077,AGGREGATE|CALL|CONTAINER|DECLARATION|FIELD|GENERIC|PARSER|TYPE
332,cpp,Operator overload declarations,failure_row_024,AGGREGATE|CONTAINER|DECLARATION|EXPRESSION|FUNCTION|PARSER|TYPE
335,cpp,Template specializations,failure_row_078,AGGREGATE|CALL|CONTAINER|DECLARATION|EXPRESSION|FIELD|FUNCTION|GENERIC|PARSER|TYPE
341,cpp,Explicit template instantiations,failure_row_076,AGGREGATE|CALL|CONTAINER|DECLARATION|EXPRESSION|FUNCTION|GENERIC|PARSER|TYPE
345,cpp,Enums,failure_row_039,AGGREGATE|CONTAINER|DECLARATION|FIELD|PARSER|TYPE
350,cpp,Variable storage classes,failure_row_079,DECLARATION|EXPRESSION|PARSER
367,cpp,Explicit destructor calls,failure_row_080,AGGREGATE|CALL|CONTAINER|EXPRESSION|FIELD|FUNCTION|PARSER
368,cpp,New and Delete expressions,failure_row_076,AGGREGATE|CALL|CONTAINER|DECLARATION|EXPRESSION|FUNCTION|GENERIC|PARSER|TYPE
373,cpp,Comma expressions at the start of blocks,failure_row_081,AGGREGATE|CALL|CONTAINER|EXPRESSION|FUNCTION|PARSER
376,cpp,Template calls,failure_row_082,AGGREGATE|CALL|CONTAINER|CONTROL_FLOW|EXPRESSION|FIELD|FUNCTION|GENERIC|PARSER|TYPE
383,cpp,Three-way comparison,failure_row_083,DECLARATION|EXPRESSION|PARSER|TYPE
384,cpp,Fold Expressions,failure_row_076,AGGREGATE|CALL|CONTAINER|DECLARATION|EXPRESSION|FUNCTION|GENERIC|PARSER|TYPE
387,cpp,Dependent operator templates,failure_row_084,AGGREGATE|CALL|CONTAINER|EXPRESSION|FIELD|FUNCTION|GENERIC|PARSER|TYPE
389,cpp,While with assignment expression,failure_row_061,CONTROL_FLOW|EXPRESSION|PARSER
390,cpp,Parenthesized Expressions that are not Fold Expressions,failure_row_085,AGGREGATE|CONTAINER|CONTROL_FLOW|EXPRESSION|FUNCTION|PARSER
404,cpp,Modules in preprocessor sections,failure_row_011,PARSER
405,cpp,Reflection operator,failure_row_078,AGGREGATE|CALL|CONTAINER|DECLARATION|EXPRESSION|FIELD|FUNCTION|GENERIC|PARSER|TYPE
406,cpp,Splice type specifiers and requirements,failure_row_076,AGGREGATE|CALL|CONTAINER|DECLARATION|EXPRESSION|FUNCTION|GENERIC|PARSER|TYPE
407,cpp,Splice expressions,failure_row_086,AGGREGATE|CALL|CONTAINER|DECLARATION|EXPRESSION|FIELD|FUNCTION|GENERIC|INDEX_SLICE|PARSER|TYPE
409,cpp,Annotations,failure_row_078,AGGREGATE|CALL|CONTAINER|DECLARATION|EXPRESSION|FIELD|FUNCTION|GENERIC|PARSER|TYPE
411,cpp,Returning braced initializer lists,failure_row_087,AGGREGATE|CONTAINER|FUNCTION|PARSER|TYPE
412,cpp,Range-based for loops,failure_row_088,AGGREGATE|CALL|CONTAINER|CONTROL_FLOW|DECLARATION|EXPRESSION|FIELD|FUNCTION|PARSER|TYPE
425,cpp,Namespaced types,failure_row_089,AGGREGATE|CALL|CONTAINER|DECLARATION|EXPRESSION|GENERIC|PARSER|TYPE
426,cpp,Dependent type names,failure_row_078,AGGREGATE|CALL|CONTAINER|DECLARATION|EXPRESSION|FIELD|FUNCTION|GENERIC|PARSER|TYPE
427,cpp,Template types with empty argument lists,failure_row_089,AGGREGATE|CALL|CONTAINER|DECLARATION|EXPRESSION|GENERIC|PARSER|TYPE
429,cpp,Decltype,failure_row_076,AGGREGATE|CALL|CONTAINER|DECLARATION|EXPRESSION|FUNCTION|GENERIC|PARSER|TYPE
432,cpp,casts vs multiplications,failure_row_090,AGGREGATE|CALL|CONTAINER|EXPRESSION|FUNCTION|PARSER|TYPE
435,cpp,Comments after for loops with ambiguities,failure_row_091,AGGREGATE|CONTAINER|CONTROL_FLOW|DECLARATION|EXPRESSION|FUNCTION|PARSER|SEMANTIC_LOWERING|TYPE
438,cpp,Struct declarations,failure_row_039,AGGREGATE|CONTAINER|DECLARATION|FIELD|PARSER|TYPE
439,cpp,Union declarations,failure_row_039,AGGREGATE|CONTAINER|DECLARATION|FIELD|PARSER|TYPE
441,cpp,Struct declarations containing preprocessor directives,failure_row_092,AGGREGATE|CONTAINER|DECLARATION|EXPRESSION|FIELD|PARSER|TYPE
442,cpp,Primitive-typed variable declarations,failure_row_093,DECLARATION|EXPRESSION|FIELD|PARSER|TYPE
443,cpp,Variable storage classes,failure_row_079,DECLARATION|EXPRESSION|PARSER
444,cpp,Composite-typed variable declarations,failure_row_092,AGGREGATE|CONTAINER|DECLARATION|EXPRESSION|FIELD|PARSER|TYPE
446,cpp,Typedefs,failure_row_021,AGGREGATE|CALL|CONTAINER|DECLARATION|EXPRESSION|FIELD|FUNCTION|PARSER|TYPE
447,cpp,Function declarations,failure_row_017,AGGREGATE|CONTAINER|DECLARATION|FUNCTION|PARSER|TYPE
452,cpp,Local array declarations,failure_row_031,AGGREGATE|CONTAINER|DECLARATION|EXPRESSION|FUNCTION|PARSER
454,cpp,Number literals,failure_row_094,AGGREGATE|CONTAINER|DECLARATION|LEXER|PARSER
458,cpp,Function calls,failure_row_081,AGGREGATE|CALL|CONTAINER|EXPRESSION|FUNCTION|PARSER
459,cpp,GNU inline assembly,failure_row_095,AGGREGATE|CONTAINER|EXPRESSION|PARSER|TYPE
468,cpp,Pointer operations,failure_row_081,AGGREGATE|CALL|CONTAINER|EXPRESSION|FUNCTION|PARSER
469,cpp,Type-casts,failure_row_096,AGGREGATE|CONTAINER|EXPRESSION|FIELD|FUNCTION|PARSER|TYPE
470,cpp,Sizeof expressions,failure_row_096,AGGREGATE|CONTAINER|EXPRESSION|FIELD|FUNCTION|PARSER|TYPE
472,cpp,Offsetof expressions,failure_row_096,AGGREGATE|CONTAINER|EXPRESSION|FIELD|FUNCTION|PARSER|TYPE
477,cpp,Generic Expressions,failure_row_076,AGGREGATE|CALL|CONTAINER|DECLARATION|EXPRESSION|FUNCTION|GENERIC|PARSER|TYPE
479,cpp,Restrict Type Qualifier,failure_row_024,AGGREGATE|CONTAINER|DECLARATION|EXPRESSION|FUNCTION|PARSER|TYPE
484,cpp,Object-like macro definitions,failure_row_002,FIELD|FUNCTION|PARSER
488,cpp,General if blocks,failure_row_097,CALL|CONTROL_FLOW|EXPRESSION|FIELD|PARSER
489,cpp,Preprocessor conditionals in functions,failure_row_081,AGGREGATE|CALL|CONTAINER|EXPRESSION|FUNCTION|PARSER
490,cpp,Preprocessor conditionals in struct/union bodies,failure_row_092,AGGREGATE|CONTAINER|DECLARATION|EXPRESSION|FIELD|PARSER|TYPE
492,cpp,Preprocessor expressions,failure_row_098,AGGREGATE|CALL|CONTAINER|DECLARATION|EXPRESSION|PARSER
494,cpp,For loops,failure_row_034,AGGREGATE|CALL|CONTAINER|CONTROL_FLOW|DECLARATION|EXPRESSION|FUNCTION|PARSER
504,cpp,Type modifiers,failure_row_017,AGGREGATE|CONTAINER|DECLARATION|FUNCTION|PARSER|TYPE
506,c,casts vs multiplications,failure_row_090,AGGREGATE|CALL|CONTAINER|EXPRESSION|FUNCTION|PARSER|TYPE
509,c,Call expressions vs empty declarations w/ macros as types,failure_row_099,AGGREGATE|CALL|CONTAINER|DECLARATION|EXPRESSION|FUNCTION|PARSER|TYPE
510,c,Comments after for loops with ambiguities,failure_row_091,AGGREGATE|CONTAINER|CONTROL_FLOW|DECLARATION|EXPRESSION|FUNCTION|PARSER|SEMANTIC_LOWERING|TYPE
513,c,Struct declarations,failure_row_039,AGGREGATE|CONTAINER|DECLARATION|FIELD|PARSER|TYPE
514,c,Union declarations,failure_row_039,AGGREGATE|CONTAINER|DECLARATION|FIELD|PARSER|TYPE
515,c,Enum declarations,failure_row_100,AGGREGATE|CONTAINER|CONTROL_FLOW|EXPRESSION|FIELD|PARSER|TYPE
516,c,Struct declarations containing preprocessor directives,failure_row_092,AGGREGATE|CONTAINER|DECLARATION|EXPRESSION|FIELD|PARSER|TYPE
517,c,Primitive-typed variable declarations,failure_row_093,DECLARATION|EXPRESSION|FIELD|PARSER|TYPE
518,c,Variable storage classes,failure_row_079,DECLARATION|EXPRESSION|PARSER
519,c,Composite-typed variable declarations,failure_row_092,AGGREGATE|CONTAINER|DECLARATION|EXPRESSION|FIELD|PARSER|TYPE
521,c,Typedefs,failure_row_021,AGGREGATE|CALL|CONTAINER|DECLARATION|EXPRESSION|FIELD|FUNCTION|PARSER|TYPE
522,c,Function declarations,failure_row_017,AGGREGATE|CONTAINER|DECLARATION|FUNCTION|PARSER|TYPE
525,c,Function definitions with macro attributes,failure_row_021,AGGREGATE|CALL|CONTAINER|DECLARATION|EXPRESSION|FIELD|FUNCTION|PARSER|TYPE
528,c,Local array declarations,failure_row_031,AGGREGATE|CONTAINER|DECLARATION|EXPRESSION|FUNCTION|PARSER
530,c,More Assembly,failure_row_023,AGGREGATE|CONTAINER|DECLARATION|EXPRESSION|FUNCTION|INDEX_SLICE|PARSER
531,c,Static in Array Declarations,failure_row_032,AGGREGATE|CONTAINER|DECLARATION|FUNCTION|PARSER
532,c,Number literals,failure_row_094,AGGREGATE|CONTAINER|DECLARATION|LEXER|PARSER
533,c,Identifiers,failure_row_101,AGGREGATE|CONTAINER|EXPRESSION|FUNCTION|PARSER
536,c,Function calls,failure_row_081,AGGREGATE|CALL|CONTAINER|EXPRESSION|FUNCTION|PARSER
537,c,GNU inline assembly,failure_row_095,AGGREGATE|CONTAINER|EXPRESSION|PARSER|TYPE
546,c,Pointer operations,failure_row_081,AGGREGATE|CALL|CONTAINER|EXPRESSION|FUNCTION|PARSER
547,c,Type-casts,failure_row_096,AGGREGATE|CONTAINER|EXPRESSION|FIELD|FUNCTION|PARSER|TYPE
548,c,Sizeof expressions,failure_row_096,AGGREGATE|CONTAINER|EXPRESSION|FIELD|FUNCTION|PARSER|TYPE
550,c,Offsetof expressions,failure_row_096,AGGREGATE|CONTAINER|EXPRESSION|FIELD|FUNCTION|PARSER|TYPE
555,c,Generic Expressions,failure_row_076,AGGREGATE|CALL|CONTAINER|DECLARATION|EXPRESSION|FUNCTION|GENERIC|PARSER|TYPE
557,c,Restrict Type Qualifier,failure_row_024,AGGREGATE|CONTAINER|DECLARATION|EXPRESSION|FUNCTION|PARSER|TYPE
559,c,Concatenated strings,failure_row_080,AGGREGATE|CALL|CONTAINER|EXPRESSION|FIELD|FUNCTION|PARSER
565,c,call modifiers,failure_row_102,AGGREGATE|CALL|CONTAINER|DECLARATION|FIELD|FUNCTION|PARSER|TYPE
568,c,Object-like macro definitions,failure_row_002,FIELD|FUNCTION|PARSER
572,c,Mixing #elif and #elifdef,failure_row_103,CONTROL_FLOW|DECLARATION|FIELD|PARSER|TYPE
573,c,General if blocks,failure_row_097,CALL|CONTROL_FLOW|EXPRESSION|FIELD|PARSER
574,c,Preprocessor conditionals in functions,failure_row_081,AGGREGATE|CALL|CONTAINER|EXPRESSION|FUNCTION|PARSER
575,c,Preprocessor conditionals in struct/union bodies,failure_row_092,AGGREGATE|CONTAINER|DECLARATION|EXPRESSION|FIELD|PARSER|TYPE
577,c,Preprocessor expressions,failure_row_098,AGGREGATE|CALL|CONTAINER|DECLARATION|EXPRESSION|PARSER
579,c,For loops,failure_row_034,AGGREGATE|CALL|CONTAINER|CONTROL_FLOW|DECLARATION|EXPRESSION|FUNCTION|PARSER
589,c,Type modifiers,failure_row_017,AGGREGATE|CONTAINER|DECLARATION|FUNCTION|PARSER|TYPE
597,python,Print used as an identifier,failure_row_104,AGGREGATE|CALL|CONTAINER|EXPRESSION|PARSER
600,python,Async / await used as identifiers,failure_row_005,EXPRESSION|PARSER
602,python,Math operators,failure_row_005,EXPRESSION|PARSER
