structural_kind,seed_feature_count,semantic_axes,concrete_relations,layers,fields
ConvertExpr,1,data.flow;evaluation.order;nodes.expression;operations,data.def_use;data.operand;data.result;evaluation.before;operation.kind;type.constraint;type.convert;type.has;type.origin;type.parameter,structure.expression;data.flow;evaluation,id;kind;source_span;semantic_facets;attributes;extensions;type_ref;operation;value;operands;results;evaluation_order
DeferCleanupStmt,1,control.flow;effects.control;evaluation.order,control.false;control.loop_back;control.next;control.true;effect.has;evaluation.before,control.flow;effect;evaluation,id;kind;source_span;semantic_facets;attributes;extensions;condition;branches;effects;evaluation_order
DeferStmt,1,control.flow;effect.graph,control.false;control.loop_back;control.next;control.true;effect.has,control.flow;effect,id;kind;source_span;semantic_facets;attributes;extensions;condition;branches;effects
Deref,1,data.flow;memory.model;types.structure,data.def_use;data.operand;data.result;memory.aliases;memory.borrows;memory.owns;storage.resides_in;type.constraint;type.convert;type.has;type.origin;type.parameter,type.value;data.flow;memory.lifetime,id;kind;source_span;semantic_facets;attributes;extensions;type_ref;type_shape;operands;results;ownership;lifetime;provenance;storage;memory_model
DispatchResolution,1,conversion.semantics;types.origin;types.structure,conversion.converts;dispatch.resolves;overload.candidate;type.constraint;type.convert;type.has;type.origin;type.parameter,type.value,id;kind;source_span;semantic_facets;attributes;extensions;type_ref;type_origin;type_shape;conversion;dispatch;candidates
DispatchSemantics,1,effect.graph;purity;runtime.contract,dispatch.resolves;overload.candidate;runtime.requires;type.constraint;type.convert;type.has;type.origin;type.parameter,effect;lowering.runtime.validation,id;kind;source_span;semantic_facets;attributes;extensions;type_ref;dispatch;candidates;effects;runtime_contract
Effect,8,effect.graph;purity;runtime.contract,binding.declares;binding.refers;binding.shadows;data.def_use;data.operand;data.result;effect.has;memory.aliases;memory.borrows;memory.owns;name.resolves;runtime.requires;storage.resides_in,effect;lowering.runtime.validation,id;kind;source_span;semantic_facets;attributes;extensions;binding_refs;symbol;operands;results;effects;ownership;lifetime;provenance;storage;runtime_contract
EmbeddedField,1,binding.graph;name.resolution;operations;types.structure,binding.declares;binding.refers;binding.shadows;dispatch.resolves;name.resolves;operation.kind;overload.candidate;type.constraint;type.convert;type.has;type.origin;type.parameter,structure.expression;type.value;binding.scope;data.flow,id;kind;source_span;semantic_facets;attributes;extensions;binding_refs;symbol;type_ref;type_shape;operation;operands;results;dispatch;candidates
ExecutionModel,1,compiletime.semantics;dialect.extension;lowering.pipeline,dialect.requires;runtime.requires,compiletime.meta;lowering.runtime.validation;dialect.extension,id;kind;source_span;semantic_facets;attributes;extensions;compiletime_contract;lowering;runtime_contract;dialect
FloatType,1,conversion.semantics;types.origin;types.structure,conversion.converts;type.constraint;type.convert;type.has;type.origin;type.parameter,type.value,id;kind;source_span;semantic_facets;attributes;extensions;type_ref;type_origin;type_shape;conversion
ForEachStmt,2,binding.graph;control.flow;data.flow;effects.control;evaluation.order,binding.declares;binding.refers;binding.shadows;control.false;control.loop_back;control.next;control.true;data.def_use;data.operand;data.result;effect.has;evaluation.before;name.resolves,binding.scope;control.flow;data.flow;effect;evaluation,id;kind;source_span;semantic_facets;attributes;extensions;binding_refs;symbol;operands;results;condition;branches;effects;evaluation_order
ForeignDeclCall,2,abi.ffi;dialect.extension;effect.graph;memory.model;ownership.lifetime,abi.calls;dialect.requires;effect.has;memory.aliases;memory.borrows;memory.owns;storage.resides_in,effect;memory.lifetime;abi.layout;dialect.extension,id;kind;source_span;semantic_facets;attributes;extensions;effects;ownership;lifetime;provenance;storage;memory_model;abi_contract;calling_convention;dialect
FunctionDecl,1,nodes.declaration;scope.binding;types.structure,binding.declares;binding.refers;binding.shadows;capture.captures;control.false;control.loop_back;control.next;control.true;data.def_use;data.operand;data.result;effect.has;name.resolves;scope.parent,structure.declaration;type.value;binding.scope,id;kind;source_span;semantic_facets;attributes;extensions;scope_id;binding_refs;name;symbol;type_ref;type_shape;operands;results;condition;branches;effects
FunctionType,1,conversion.semantics;types.origin;types.structure,conversion.converts;effect.has;type.constraint;type.convert;type.has;type.origin;type.parameter,type.value,id;kind;source_span;semantic_facets;attributes;extensions;type_ref;type_origin;type_shape;conversion;effects
GenericParam,1,types.structure;validation.contract,contract.requires;type.constraint;type.convert;type.has;type.origin;type.parameter;validation.proves,type.value;lowering.runtime.validation,id;kind;source_span;semantic_facets;attributes;extensions;type_ref;type_shape;validation
GenericParamDecl,1,nodes.declaration;scope.binding;types.structure,binding.declares;binding.refers;binding.shadows;name.resolves;type.constraint;type.convert;type.has;type.origin;type.parameter,structure.declaration;type.value;binding.scope,id;kind;source_span;semantic_facets;attributes;extensions;scope_id;binding_refs;name;symbol;type_ref;type_shape
GotoLabelStmt,1,control.flow;effects.control;evaluation.order,control.false;control.loop_back;control.next;control.true;evaluation.before,control.flow;effect;evaluation,id;kind;source_span;semantic_facets;attributes;extensions;condition;branches;effects;evaluation_order
IRFact,1,compiletime.semantics;dialect.extension;lowering.pipeline,dialect.requires;lowering.requires,compiletime.meta;lowering.runtime.validation;dialect.extension,id;kind;source_span;semantic_facets;attributes;extensions;compiletime_contract;lowering;dialect
IfStmt,1,control.flow;effects.control;evaluation.order,control.false;control.loop_back;control.next;control.true;data.def_use;data.operand;data.result;effect.has;evaluation.before,control.flow;effect;evaluation,id;kind;source_span;semantic_facets;attributes;extensions;operands;results;condition;branches;effects;evaluation_order
ImportDecl,1,nodes.declaration;scope.binding;types.structure,binding.declares;binding.refers;binding.shadows;capture.captures;name.resolves;scope.parent,structure.declaration;type.value;binding.scope,id;kind;source_span;semantic_facets;attributes;extensions;scope_id;binding_refs;name;symbol;type_ref;type_shape
IndexExpr,1,data.flow;evaluation.order;nodes.expression;operations,data.def_use;data.operand;data.result;effect.has;evaluation.before;operation.kind,structure.expression;data.flow;evaluation,id;kind;source_span;semantic_facets;attributes;extensions;operation;value;operands;results;effects;evaluation_order
Instantiation,1,types.structure;validation.contract,contract.requires;type.constraint;type.convert;type.has;type.origin;type.parameter;validation.proves,type.value;lowering.runtime.validation,id;kind;source_span;semantic_facets;attributes;extensions;type_ref;type_shape;validation
IntegerType,1,conversion.semantics;types.origin;types.structure,conversion.converts;type.constraint;type.convert;type.has;type.origin;type.parameter,type.value,id;kind;source_span;semantic_facets;attributes;extensions;type_ref;type_origin;type_shape;conversion
InterfaceType,1,name.resolution;operations;types.structure,dispatch.resolves;name.resolves;operation.kind;overload.candidate;type.constraint;type.convert;type.has;type.origin;type.parameter,structure.expression;type.value;binding.scope;data.flow,id;kind;source_span;semantic_facets;attributes;extensions;binding_refs;symbol;type_ref;type_shape;operation;operands;results;dispatch;candidates
InterfaceTypeDecl,1,nodes.declaration;scope.binding;types.structure,binding.declares;binding.refers;binding.shadows;capture.captures;dispatch.resolves;name.resolves;overload.candidate;scope.parent;type.constraint;type.convert;type.has;type.origin;type.parameter,structure.declaration;type.value;binding.scope,id;kind;source_span;semantic_facets;attributes;extensions;scope_id;binding_refs;name;symbol;type_ref;type_shape;dispatch;candidates
LayoutContract,1,abi.ffi;memory.model;ownership.lifetime,layout.field;type.constraint;type.convert;type.has;type.origin;type.parameter,memory.lifetime;abi.layout,id;kind;source_span;semantic_facets;attributes;extensions;type_ref;members;ownership;lifetime;memory_model;layout;abi_contract;calling_convention
LifetimeRegion,1,binding.graph;capture.shadowing;scope.binding,lifetime.outlives;memory.aliases;memory.borrows;memory.owns;storage.resides_in,binding.scope,id;kind;source_span;semantic_facets;attributes;extensions;scope_id;binding_refs;ownership;lifetime;provenance;storage
LiteralExpr,4,data.flow;evaluation.order;nodes.expression;operations,data.def_use;data.operand;data.result;evaluation.before;operation.kind,structure.expression;data.flow;evaluation,id;kind;source_span;semantic_facets;attributes;extensions;operation;value;operands;results;evaluation_order
LoopStmt,2,control.flow;effects.control;evaluation.order,control.false;control.loop_back;control.next;control.true;data.def_use;data.operand;data.result;effect.has;evaluation.before,control.flow;effect;evaluation,id;kind;source_span;semantic_facets;attributes;extensions;operands;results;condition;branches;effects;evaluation_order
LoweringFact,1,compiletime.semantics;dialect.extension;lowering.pipeline,dialect.requires;lowering.requires,compiletime.meta;lowering.runtime.validation;dialect.extension,id;kind;source_span;semantic_facets;attributes;extensions;compiletime_contract;lowering;dialect
MacroCompileTime,1,compiletime.semantics;dialect.extension;lowering.pipeline,compiletime.depends;dialect.requires,compiletime.meta;lowering.runtime.validation;dialect.extension,id;kind;source_span;semantic_facets;attributes;extensions;compiletime_contract;lowering;dialect
MapIndexExpr,1,data.flow;effect.graph;types.structure,data.def_use;data.operand;data.result;effect.has;type.constraint;type.convert;type.has;type.origin;type.parameter,type.value;data.flow;effect,id;kind;source_span;semantic_facets;attributes;extensions;type_ref;type_shape;operands;results;effects
MapType,2,conversion.semantics;data.flow;effect.graph;types.origin;types.structure,conversion.converts;data.def_use;data.operand;data.result;effect.has;type.constraint;type.convert;type.has;type.origin;type.parameter,type.value;data.flow;effect,id;kind;source_span;semantic_facets;attributes;extensions;type_ref;type_origin;type_shape;operands;results;conversion;effects
MemberAccessExpr,1,data.flow;evaluation.order;nodes.expression;operations,binding.declares;binding.refers;binding.shadows;data.def_use;data.operand;data.result;evaluation.before;name.resolves;operation.kind,structure.expression;data.flow;evaluation,id;kind;source_span;semantic_facets;attributes;extensions;binding_refs;symbol;operation;value;operands;results;evaluation_order
MemoryManagement,2,abi.ffi;memory.model;ownership.lifetime,effect.has;memory.aliases;memory.borrows;memory.owns;storage.resides_in,memory.lifetime;abi.layout,id;kind;source_span;semantic_facets;attributes;extensions;effects;ownership;lifetime;provenance;storage;memory_model;abi_contract;calling_convention
MemoryModelContract,2,concurrency.model;memory.model;memory.ordering;synchronization,concurrency.atomic_order;concurrency.communicates;concurrency.spawns;concurrency.synchronizes;memory.aliases;memory.borrows;memory.owns;storage.resides_in,memory.lifetime;concurrency,id;kind;source_span;semantic_facets;attributes;extensions;ownership;lifetime;provenance;storage;memory_model;memory_order;synchronization;concurrency_contract
MethodDecl,1,binding.graph;name.resolution;operations;types.structure,binding.declares;binding.refers;binding.shadows;dispatch.resolves;name.resolves;operation.kind;overload.candidate;type.constraint;type.convert;type.has;type.origin;type.parameter,structure.expression;type.value;binding.scope;data.flow,id;kind;source_span;semantic_facets;attributes;extensions;binding_refs;symbol;type_ref;type_shape;operation;operands;results;dispatch;candidates
MethodExpr,1,binding.graph;name.resolution;operations;types.structure,binding.declares;binding.refers;binding.shadows;dispatch.resolves;name.resolves;operation.kind;overload.candidate;type.constraint;type.convert;type.has;type.origin;type.parameter,structure.expression;type.value;binding.scope;data.flow,id;kind;source_span;semantic_facets;attributes;extensions;binding_refs;symbol;type_ref;type_shape;operation;operands;results;dispatch;candidates
MethodSet,1,name.resolution;operations;types.structure,dispatch.resolves;name.resolves;operation.kind;overload.candidate;type.constraint;type.convert;type.has;type.origin;type.parameter,structure.expression;type.value;binding.scope;data.flow,id;kind;source_span;semantic_facets;attributes;extensions;binding_refs;symbol;type_ref;type_shape;operation;operands;results;dispatch;candidates
MethodValue,1,binding.graph;name.resolution;operations;types.structure,binding.declares;binding.refers;binding.shadows;dispatch.resolves;name.resolves;operation.kind;overload.candidate;type.constraint;type.convert;type.has;type.origin;type.parameter,structure.expression;type.value;binding.scope;data.flow,id;kind;source_span;semantic_facets;attributes;extensions;binding_refs;symbol;type_ref;type_shape;operation;operands;results;dispatch;candidates
ModuleDecl,1,nodes.declaration;scope.binding;types.structure,binding.declares;binding.refers;binding.shadows;capture.captures;name.resolves;scope.parent,structure.declaration;type.value;binding.scope,id;kind;source_span;semantic_facets;attributes;extensions;scope_id;binding_refs;name;symbol;type_ref;type_shape
NilLiteral,1,data.flow;types.structure,data.def_use;data.operand;data.result;type.constraint;type.convert;type.has;type.origin;type.parameter,type.value;data.flow,id;kind;source_span;semantic_facets;attributes;extensions;type_ref;type_shape;operands;results
NominalTypeDecl,1,nodes.declaration;scope.binding;types.structure,binding.declares;binding.refers;binding.shadows;capture.captures;name.resolves;scope.parent;type.constraint;type.convert;type.has;type.origin;type.parameter,structure.declaration;type.value;binding.scope,id;kind;source_span;semantic_facets;attributes;extensions;scope_id;binding_refs;name;symbol;type_ref;type_shape
OperationExpr,2,data.flow;evaluation.order;nodes.expression;operations,data.def_use;data.operand;data.result;effect.has;evaluation.before;operation.kind,structure.expression;data.flow;evaluation,id;kind;source_span;semantic_facets;attributes;extensions;operation;value;operands;results;effects;evaluation_order
OptimizationFact,1,compiletime.semantics;dialect.extension;lowering.pipeline,contract.requires;dialect.requires;lowering.requires,compiletime.meta;lowering.runtime.validation;dialect.extension,id;kind;source_span;semantic_facets;attributes;extensions;compiletime_contract;lowering;dialect
OptionalType,1,conversion.semantics;types.origin;types.structure,conversion.converts;type.constraint;type.convert;type.has;type.origin;type.parameter,type.value,id;kind;source_span;semantic_facets;attributes;extensions;type_ref;type_origin;type_shape;conversion
OwnershipSemantics,1,abi.ffi;memory.model;ownership.lifetime,lifetime.outlives;memory.aliases;memory.borrows;memory.owns;storage.resides_in,memory.lifetime;abi.layout,id;kind;source_span;semantic_facets;attributes;extensions;ownership;lifetime;provenance;storage;memory_model;abi_contract;calling_convention
PanicRecover,1,control.flow;effect.graph,control.false;control.loop_back;control.next;control.true;effect.has,control.flow;effect,id;kind;source_span;semantic_facets;attributes;extensions;condition;branches;effects
ParameterDecl,1,nodes.declaration;scope.binding;types.structure,binding.declares;binding.refers;binding.shadows;capture.captures;name.resolves;scope.parent,structure.declaration;type.value;binding.scope,id;kind;source_span;semantic_facets;attributes;extensions;scope_id;binding_refs;name;symbol;type_ref;type_shape
PointerType,2,conversion.semantics;data.flow;memory.model;types.origin;types.structure,conversion.converts;data.def_use;data.operand;data.result;memory.aliases;memory.borrows;memory.owns;storage.resides_in;type.constraint;type.convert;type.has;type.origin;type.parameter,type.value;data.flow;memory.lifetime,id;kind;source_span;semantic_facets;attributes;extensions;type_ref;type_origin;type_shape;operands;results;conversion;ownership;lifetime;provenance;storage;memory_model
RaisePanicStmt,1,control.flow;effects.control;evaluation.order,control.false;control.loop_back;control.next;control.true;effect.has;evaluation.before,control.flow;effect;evaluation,id;kind;source_span;semantic_facets;attributes;extensions;condition;branches;effects;evaluation_order
ReceiveExpr,1,concurrency.model;data.flow;effect.graph,concurrency.atomic_order;concurrency.communicates;concurrency.spawns;concurrency.synchronizes;data.def_use;data.operand;data.result;effect.has,data.flow;effect;concurrency,id;kind;source_span;semantic_facets;attributes;extensions;operands;results;effects;memory_order;synchronization;concurrency_contract
RecordTypeDecl,1,nodes.declaration;scope.binding;types.structure,binding.declares;binding.refers;binding.shadows;capture.captures;layout.field;name.resolves;scope.parent;type.constraint;type.convert;type.has;type.origin;type.parameter,structure.declaration;type.value;binding.scope,id;kind;source_span;semantic_facets;attributes;extensions;scope_id;binding_refs;name;symbol;type_ref;type_shape;members;layout
ReferenceType,1,conversion.semantics;types.origin;types.structure,conversion.converts;memory.aliases;memory.borrows;memory.owns;storage.resides_in;type.constraint;type.convert;type.has;type.origin;type.parameter,type.value,id;kind;source_span;semantic_facets;attributes;extensions;type_ref;type_origin;type_shape;conversion;ownership;lifetime;provenance;storage
ReflectionOp,1,effect.graph;purity;runtime.contract,effect.has;runtime.requires;type.constraint;type.convert;type.has;type.origin;type.parameter,effect;lowering.runtime.validation,id;kind;source_span;semantic_facets;attributes;extensions;type_ref;effects;runtime_contract
ReturnStmt,1,control.flow;effects.control;evaluation.order,control.false;control.loop_back;control.next;control.true;data.def_use;data.operand;data.result;evaluation.before,control.flow;effect;evaluation,id;kind;source_span;semantic_facets;attributes;extensions;operands;results;condition;branches;effects;evaluation_order
SafetyRegion,2,abi.ffi;abi.layout;dialect.extension;memory.model;ownership.lifetime,dialect.requires;effect.has;layout.field;memory.aliases;memory.borrows;memory.owns;storage.resides_in,memory.lifetime;abi.layout;dialect.extension,id;kind;source_span;semantic_facets;attributes;extensions;members;effects;ownership;lifetime;provenance;storage;memory_model;layout;abi_contract;calling_convention;dialect
Scope,1,binding.graph;capture.shadowing;scope.binding,scope.parent,binding.scope,id;kind;source_span;semantic_facets;attributes;extensions;scope_id;binding_refs
SelectStmt,1,concurrency.model;control.flow;effect.graph,concurrency.atomic_order;concurrency.communicates;concurrency.spawns;concurrency.synchronizes;control.false;control.loop_back;control.next;control.true;effect.has,control.flow;effect;concurrency,id;kind;source_span;semantic_facets;attributes;extensions;condition;branches;effects;memory_order;synchronization;concurrency_contract
SendStmt,1,concurrency.model;data.flow;effect.graph,concurrency.atomic_order;concurrency.communicates;concurrency.spawns;concurrency.synchronizes;data.def_use;data.operand;data.result;effect.has,data.flow;effect;concurrency,id;kind;source_span;semantic_facets;attributes;extensions;operands;results;effects;memory_order;synchronization;concurrency_contract
ShadowingRelation,1,binding.graph;capture.shadowing;scope.binding,binding.declares;binding.refers;binding.shadows;name.resolves;scope.parent,binding.scope,id;kind;source_span;semantic_facets;attributes;extensions;scope_id;binding_refs;symbol
SliceExpr,2,data.flow;evaluation.order;memory.model;nodes.expression;operations;types.structure,data.def_use;data.operand;data.result;effect.has;evaluation.before;memory.aliases;memory.borrows;memory.owns;operation.kind;storage.resides_in;type.constraint;type.convert;type.has;type.origin;type.parameter,structure.expression;type.value;data.flow;evaluation;memory.lifetime,id;kind;source_span;semantic_facets;attributes;extensions;type_ref;type_shape;operation;value;operands;results;effects;evaluation_order;ownership;lifetime;provenance;storage;memory_model
SliceType,1,data.flow;memory.model;types.structure,data.def_use;data.operand;data.result;memory.aliases;memory.borrows;memory.owns;storage.resides_in;type.constraint;type.convert;type.has;type.origin;type.parameter,type.value;data.flow;memory.lifetime,id;kind;source_span;semantic_facets;attributes;extensions;type_ref;type_shape;operands;results;ownership;lifetime;provenance;storage;memory_model
SpawnStmt,1,concurrency.model;control.flow;effect.graph,concurrency.atomic_order;concurrency.communicates;concurrency.spawns;concurrency.synchronizes;control.false;control.loop_back;control.next;control.true;effect.has,control.flow;effect;concurrency,id;kind;source_span;semantic_facets;attributes;extensions;condition;branches;effects;memory_order;synchronization;concurrency_contract
StringType,1,conversion.semantics;types.origin;types.structure,conversion.converts;type.constraint;type.convert;type.has;type.origin;type.parameter,type.value,id;kind;source_span;semantic_facets;attributes;extensions;type_ref;type_origin;type_shape;conversion
SwitchMatchStmt,1,control.flow;effects.control;evaluation.order,binding.declares;binding.refers;binding.shadows;control.false;control.loop_back;control.next;control.true;data.def_use;data.operand;data.result;evaluation.before;name.resolves,control.flow;effect;evaluation,id;kind;source_span;semantic_facets;attributes;extensions;binding_refs;symbol;operands;results;condition;branches;effects;evaluation_order
SymbolRef,1,data.flow;evaluation.order;nodes.expression;operations,binding.declares;binding.refers;binding.shadows;data.def_use;data.operand;data.result;evaluation.before;name.resolves;operation.kind,structure.expression;data.flow;evaluation,id;kind;source_span;semantic_facets;attributes;extensions;binding_refs;symbol;operation;value;operands;results;evaluation_order
SynchronizationOp,1,concurrency.model;memory.ordering;synchronization,concurrency.atomic_order;concurrency.communicates;concurrency.spawns;concurrency.synchronizes;effect.has,concurrency,id;kind;source_span;semantic_facets;attributes;extensions;effects;memory_order;synchronization;concurrency_contract
TryStmt,1,control.flow;effects.control;evaluation.order,control.false;control.loop_back;control.next;control.true;effect.has;evaluation.before,control.flow;effect;evaluation,id;kind;source_span;semantic_facets;attributes;extensions;condition;branches;effects;evaluation_order
TupleExpr,1,data.flow;evaluation.order;nodes.expression;operations,data.def_use;data.operand;data.result;evaluation.before;operation.kind,structure.expression;data.flow;evaluation,id;kind;source_span;semantic_facets;attributes;extensions;operation;value;operands;results;evaluation_order
TupleResult,1,binding.graph;data.flow;types.structure,binding.declares;binding.refers;binding.shadows;data.def_use;data.operand;data.result;name.resolves;type.constraint;type.convert;type.has;type.origin;type.parameter,type.value;binding.scope;data.flow,id;kind;source_span;semantic_facets;attributes;extensions;binding_refs;symbol;type_ref;type_shape;operands;results
TupleType,1,conversion.semantics;types.origin;types.structure,conversion.converts;type.constraint;type.convert;type.has;type.origin;type.parameter,type.value,id;kind;source_span;semantic_facets;attributes;extensions;type_ref;type_origin;type_shape;conversion
TypeAssertExpr,1,control.flow;effect.graph;types.structure,control.false;control.loop_back;control.next;control.true;effect.has;type.constraint;type.convert;type.has;type.origin;type.parameter,type.value;control.flow;effect,id;kind;source_span;semantic_facets;attributes;extensions;type_ref;type_shape;condition;branches;effects
TypeConstraint,1,conversion.semantics;types.origin;types.structure,contract.requires;conversion.converts;type.constraint;type.convert;type.has;type.origin;type.parameter,type.value,id;kind;source_span;semantic_facets;attributes;extensions;type_ref;type_origin;type_shape;conversion
TypeInferenceFact,1,conversion.semantics;types.origin;types.structure,contract.requires;conversion.converts;type.constraint;type.convert;type.has;type.origin;type.parameter,type.value,id;kind;source_span;semantic_facets;attributes;extensions;type_ref;type_origin;type_shape;conversion
TypeRelation,1,conversion.semantics;types.origin;types.structure,conversion.converts;type.constraint;type.convert;type.has;type.origin;type.parameter,type.value,id;kind;source_span;semantic_facets;attributes;extensions;type_ref;type_origin;type_shape;conversion
TypeSet,1,types.structure;validation.contract,contract.requires;type.constraint;type.convert;type.has;type.origin;type.parameter;validation.proves,type.value;lowering.runtime.validation,id;kind;source_span;semantic_facets;attributes;extensions;type_ref;type_shape;validation
