feature,family,recommended_layer,semanticprogram_axes,notes
method_group_conversion,call_resolution,core,types.origin;binding.graph;conversion.semantics,method group to delegate/expression tree
operator_overloading,call_resolution,core,operations;binding.graph;conversion.semantics,user-defined operator selection
lambda_target_typing,closures,core,types.origin;capture.shadowing;binding.graph,anonymous function target typing
closure_capture_rewriting,closures,core,capture.shadowing;memory.model;lowering.pipeline,display classes/capture lifetime
expression_trees,metaprogramming,dialect_or_runtime,dialect.extension;runtime.contract;nodes.expression,quoted expression-tree semantics
switch_expressions,patterns_control,core,control.flow;operations,expression-valued switch
type_patterns,patterns_control,core,control.flow;types.origin;binding.graph,type-test binding
relational_logical_patterns,patterns_control,core,control.flow;operations,relational/and/or/not patterns
property_positional_patterns,patterns_control,core,control.flow;binding.graph;operations,recursive deconstruction/property tests
list_patterns,patterns_control,core,control.flow;operations;types.structure,list/slice patterns
pattern_variable_scope,patterns_control,core,scope.binding;binding.graph;control.flow,flow-dependent pattern variable scope
pattern_exhaustiveness,patterns_control,core,control.flow;compiletime.semantics,exhaustiveness/reachability analysis
conditional_access,null_control,core,control.flow;evaluation.order;operations,?. short-circuit semantics
null_coalescing,null_control,core,control.flow;evaluation.order;operations,?? and ??= semantics
null_forgiving_operator,types_nullability,core,types.origin;compiletime.semantics,compile-time null-state suppression
async_await_csharp,async_iterators,core,control.flow;effect.graph;lowering.pipeline,awaiter protocol and suspension
async_state_machine,async_iterators,core,lowering.pipeline;runtime.contract;memory.model,generated async state machine
await_foreach,async_iterators,core,control.flow;effect.graph;operations,async enumeration
await_using,async_iterators,core,control.flow;effect.graph;runtime.contract,async disposal
yield_iterators,async_iterators,core,control.flow;lowering.pipeline;runtime.contract,yield return/break
iterator_state_machine,async_iterators,core,lowering.pipeline;runtime.contract,enumerator state machine
foreach_pattern,async_iterators,core,operations;binding.graph;control.flow,GetEnumerator pattern incl ref foreach
exception_filters,exceptions_resources,core,control.flow;effect.graph;runtime.contract,catch when filter ordering
using_dispose_pattern,exceptions_resources,core,effect.graph;control.flow;runtime.contract,using/IDisposable pattern
try_finally_unwind,exceptions_resources,core,control.flow;effect.graph;runtime.contract,finally and exceptional unwind
checked_unchecked_context,types_conversions,core,operations;conversion.semantics;runtime.contract,overflow context
ref_out_in_parameters,refs_memory,core,types.structure;ownership.lifetime;effect.graph,byref parameter modes
ref_returns_locals,refs_memory,core,types.structure;ownership.lifetime;data.flow,managed byref aliases
readonly_refs,refs_memory,core,ownership.lifetime;effect.graph,readonly ref semantics
scoped_refs_escape_analysis,refs_memory,core,ownership.lifetime;data.flow;compiletime.semantics,ref-safety escape scopes
ref_structs,refs_memory,core,types.structure;ownership.lifetime;memory.model,stack-only/ref-like restrictions
span_like_semantics,refs_memory,core,types.structure;memory.model;operations,span conversion/indexing/ref safety
stackalloc,unsafe_memory,dialect_or_runtime,memory.model;ownership.lifetime;operations,stack allocation lifetime
fixed_and_pinning,unsafe_memory,dialect_or_runtime,memory.model;ownership.lifetime;runtime.contract,fixed/pinning semantics
unsafe_pointer_ops,unsafe_memory,dialect_or_runtime,memory.model;operations;abi.ffi,pointer arithmetic/deref
volatile_semantics,concurrency_memory,core,memory.ordering;synchronization;runtime.contract,volatile field semantics
lock_monitor_semantics,concurrency_memory,core,synchronization;effect.graph;runtime.contract,lock -> Monitor enter/exit
interlocked_atomic_semantics,concurrency_memory,core,memory.ordering;synchronization;runtime.contract,atomic interlocked contract
attributes_metadata,metadata_runtime,dialect_or_runtime,nodes.declaration;runtime.contract;compiletime.semantics,attribute binding/emission
assemblies_modules_metadata,metadata_runtime,dialect_or_runtime,runtime.contract;abi.ffi;lowering.pipeline,CLR assembly/module metadata
explicit_interface_impl,object_model,core,binding.graph;runtime.contract,explicit interface member binding
reflection_dynamic_runtime,metadata_runtime,dialect_or_runtime,runtime.contract;dialect.extension,reflection/dynamic runtime interaction
top_level_statements,declarations,dialect_or_runtime,nodes.declaration;scope.binding;lowering.pipeline,implicit entrypoint program
global_usings_file_namespace,declarations,dialect_or_runtime,scope.binding;binding.graph,global using/file-scoped namespace
source_generators_compiletime,metaprogramming,dialect_or_runtime,compiletime.semantics;dialect.extension,compile-time source generation boundary
