feature_id,domain,feature,completion_score,language_demand,weighted_gap,coupling_centrality,matrix_priority,bundle,numpy_stress_evidence,default_boundary,current_evidence
EXPR011,expression,Cast/conversion,0.000,0.713,0.734,0.985,0.735,UB03,0,core,No cast node
CTRL016,control,Throw/panic,0.000,0.766,0.789,0.807,0.734,UB04,0,core,Effects can note throw; no executable throw node
CTRL015,control,Finally,0.000,0.766,0.789,0.807,0.734,UB04,0,core,No finally
CTRL014,control,Try/catch,0.000,0.766,0.789,0.807,0.734,UB04,0,core,No try/catch
TYPE019,type,Array,0.242,0.928,0.725,1.000,0.730,UB01,0,core,Element/Length can represent
EFF004,effect,Allocation/free,0.242,0.952,0.743,0.925,0.727,UB05,0,core,memory.allocate exists; free absent
EXPR006,expression,Conditional/ternary expression,0.000,0.697,0.718,0.985,0.719,UB03,0,core,No dedicated ternary expression
CTRL018,control,Resource/with,0.000,0.713,0.734,0.927,0.718,UB04,0,core,No with/resource node
EFF018,effect,Mutation summary,0.251,0.952,0.734,0.925,0.718,UB05,0,core,Partial through write effects; no region summary
CTRL009,control,Foreach/iterator loop,0.264,0.952,0.722,0.927,0.706,UB04,140,core,Current range lowering is narrow
TYPE005,type,Character/rune,0.000,0.679,0.699,1.000,0.704,UB01,0,core,No dedicated char/rune contract
IR009,ir,Rewrite invariants,0.262,0.952,0.724,0.906,0.702,UB07,0,core,Document evidence validation exists only at document level
TYPE032,type,Function type,0.333,1.000,0.687,1.000,0.692,UB01,34,core,Parameters/Result fields exist
SEM008,semantics,Overload resolution,0.000,0.679,0.699,0.955,0.692,UB02,1,core,No overload-set model
SEM043,semantics,Mutability semantics,0.291,0.952,0.695,0.955,0.688,UB02,0,core,Binding.Mutable exists; type/reference mutability incomplete
EXPR024,expression,Await,0.000,0.663,0.683,0.985,0.684,UB03,0,core,No await node
CTRL017,control,Defer,0.000,0.679,0.699,0.927,0.684,UB04,0,core,No defer node
TYPE031,type,Enum/sum/variant,0.169,0.781,0.669,1.000,0.674,UB01,0,core,enum kind possible; no variants
EXPR022,expression,Allocation/new,0.000,0.644,0.664,0.985,0.665,UB03,0,core,No explicit allocation expression
SEM005,semantics,Virtual dispatch,0.000,0.679,0.699,0.858,0.665,UB02,0,core,Dispatch string can name it; no method/class model
EXPR023,expression,Address/reference/dereference,0.000,0.644,0.664,0.971,0.661,UB03,2,core,No explicit pointer/reference operations
SEM031,semantics,Exception unwinding,0.000,0.679,0.699,0.810,0.652,UB02,0,core,No exception control model
CTRL005,control,Pattern match,0.000,0.644,0.664,0.913,0.646,UB04,0,core,No match node
TYPE042,type,Layout/alignment/size,0.000,0.655,0.674,0.864,0.643,UB01,0,ffi,No explicit layout fields
TYPE028,type,Struct/record,0.242,0.815,0.637,1.000,0.641,UB01,0,core,Fields exist
TYPE020,type,Slice/view,0.000,0.610,0.629,1.000,0.633,UB01,0,core,No dedicated slice/view type
TYPE034,type,Pointer,0.154,0.742,0.646,0.926,0.632,UB01,2,core,Pointer only in global contract; SemanticType can name a pointer but semantics are not enforced
TYPE029,type,Class/object,0.169,0.732,0.626,1.000,0.631,UB01,0,core,Kind/Name can represent partially
SEM022,semantics,Closure capture,0.000,0.629,0.648,0.910,0.630,UB02,0,core,No capture list/model
TYPE043,type,ABI/calling convention,0.000,0.639,0.658,0.864,0.628,UB01,0,ffi,Global ABI contract is unknown
SEM024,semantics,Object lifetime/destruction,0.000,0.610,0.629,0.955,0.622,UB02,0,core,No lifecycle semantics
TYPE033,type,Closure type,0.000,0.595,0.613,1.000,0.617,UB01,0,core,No closure environment type
TYPE017,type,Union type,0.000,0.595,0.613,1.000,0.617,UB01,0,core,No explicit union representation
TYPE008,type,Big integer,0.000,0.595,0.613,1.000,0.617,UB01,0,core,No dedicated semantics
TYPE049,type,Qualifiers,0.000,0.626,0.644,0.864,0.614,UB01,0,ffi,No structured qualifier set
TYPE010,type,Complex,0.000,0.591,0.609,1.000,0.614,UB01,0,core,No structured complex type behavior
EXPR027,expression,String interpolation,0.000,0.595,0.613,0.985,0.614,UB03,5,core,No interpolation node
EXPR010,expression,Slice,0.000,0.595,0.613,0.985,0.614,UB03,2,core,Slicing string field only; no slice expression tree
EXPR019,expression,Comprehension,0.000,0.595,0.613,0.985,0.614,UB03,0,core,No comprehension node
SEM028,semantics,Pointer provenance,0.000,0.644,0.664,0.785,0.612,UB02,2,ffi,No provenance model
REL018,relation,Generic specialization graph,0.107,0.713,0.656,0.811,0.611,UB15,0,core,No generic specialization graph
SEM004,semantics,Static dispatch,0.370,0.952,0.618,0.955,0.611,UB02,0,core,Dispatch string exists
TYPE001,type,Signed integers,0.370,0.928,0.602,1.000,0.607,UB01,0,core,SemanticType Bits/Signed can represent; frontend contract says integer width unknown
SEM042,semantics,Dynamic member/reflection semantics,0.000,0.595,0.613,0.955,0.606,UB02,0,core,No member-access/reflection model
TYPE035,type,Reference,0.154,0.713,0.621,0.919,0.606,UB01,2,core,Can use Kind/Element but semantics not enforced
SEM021,semantics,Iteration protocol,0.379,0.952,0.609,0.955,0.603,UB02,150,core,IterationExpr exists but generic foreach incomplete
TYPE041,type,Associated type,0.000,0.576,0.593,1.000,0.598,UB01,0,core,No model
TYPE024,type,Set,0.000,0.576,0.593,1.000,0.598,UB01,0,core,No explicit set type
TYPE053,type,Error/result type,0.000,0.576,0.593,1.000,0.598,UB01,0,core,No dedicated result/error-union type
TYPE027,type,Tensor,0.000,0.607,0.625,0.857,0.594,UB01,0,scientific,No general rank/shape vector
EXPR028,expression,Operator dispatch,0.000,0.576,0.593,0.985,0.594,UB03,0,core,Dispatch field exists; no operator-resolution model
SEM027,semantics,Undefined/implementation-defined behavior,0.000,0.610,0.629,0.841,0.594,UB02,0,ffi,No explicit UB contract
SEM023,semantics,Move/copy/borrow,0.000,0.610,0.629,0.838,0.593,UB02,0,core,No executable ownership semantics
SEM039,semantics,Integer promotion,0.000,0.576,0.593,0.955,0.587,UB02,0,core,No detailed promotion model
SEM044,semantics,Copy-on-write/value sharing,0.000,0.576,0.593,0.955,0.587,UB02,0,core,No explicit model
REL017,relation,Inheritance/override graph,0.107,0.713,0.656,0.714,0.586,UB16,0,core,No OOP graph
DECL016,declaration,Generic parameters,0.000,0.653,0.673,0.645,0.583,UB06,1,core,SemanticType.Constraints only; no first-class generic parameter declarations
SEM019,semantics,Broadcasting,0.000,0.607,0.625,0.809,0.582,UB02,0,scientific,No explicit broadcasting model
CTRL021,control,Label,0.000,0.576,0.593,0.927,0.581,UB04,0,core,No label
CTRL020,control,Goto,0.000,0.576,0.593,0.927,0.581,UB04,0,core,No goto
CTRL022,control,Fallthrough,0.000,0.576,0.593,0.927,0.581,UB04,0,core,No fallthrough
FOUND020,foundation,Canonical semantic operation namespace,0.367,0.952,0.621,0.818,0.581,UB08,94,core,SemanticSemantics.Operation exists but operation vocabulary is small
SEM029,semantics,Aliasing rules,0.000,0.610,0.629,0.785,0.580,UB02,0,ffi,No alias graph
EXPR015,expression,List/sequence literal,0.000,0.561,0.577,0.985,0.578,UB03,117,core,Calls/vectors approximate some sequence semantics; no list node
EXPR021,expression,Assignment expression,0.000,0.561,0.577,0.985,0.578,UB03,0,core,No expression assignment
EXPR020,expression,Generator expression,0.000,0.561,0.577,0.985,0.578,UB03,0,core,No generator-expression node
EXPR025,expression,Yield,0.000,0.561,0.577,0.985,0.578,UB03,0,core,No yield node
EXPR029,expression,Spread/unpack,0.000,0.561,0.577,0.985,0.578,UB03,118,core,No unpack node
EXPR017,expression,Map/dict literal,0.000,0.561,0.577,0.985,0.578,UB03,117,core,No map literal node
EXPR014,expression,Tuple literal,0.000,0.561,0.577,0.985,0.578,UB03,124,core,No tuple expression node
EXPR013,expression,Identity comparison,0.000,0.561,0.577,0.985,0.578,UB03,19,core,No explicit identity operation in current mapping
TYPE046,type,Type origin,0.416,0.952,0.573,1.000,0.577,UB01,2,core,TypeOrigin exists
CTRL025,control,Early-exit/error propagation,0.000,0.576,0.593,0.909,0.576,UB04,0,core,No generic early-propagation node
SEM026,semantics,Error model,0.292,0.814,0.593,0.906,0.576,UB02,0,core,ErrorModel string exists; executable nodes absent
SEM013,semantics,Identity semantics,0.000,0.561,0.577,0.954,0.571,UB02,19,core,No explicit identity operation
SEM036,semantics,Variadic/unpack,0.000,0.561,0.577,0.954,0.571,UB02,1,core,No full unpack model
SEM035,semantics,Keyword/positional constraints,0.000,0.561,0.577,0.954,0.571,UB02,2,core,No full model
SEM020,semantics,Vectorization/recycling,0.000,0.591,0.609,0.809,0.567,UB02,0,scientific,No explicit universal model
TYPE002,type,Unsigned integers,0.342,0.831,0.563,1.000,0.567,UB01,0,core,Representable in SemanticType; not captured
TYPE050,type,Opaque/incomplete type,0.000,0.576,0.593,0.864,0.566,UB01,0,ffi,No explicit incomplete/opaque representation
TYPE051,type,Recursive type,0.000,0.542,0.558,1.000,0.562,UB01,0,core,Inline types lack stable type IDs
TYPE054,type,Reference-counted/ARC type,0.000,0.542,0.558,1.000,0.562,UB01,0,core,Ownership string can name it; no executable semantics
EXPR016,expression,Set literal,0.000,0.542,0.558,0.985,0.559,UB03,0,core,No set node
SEM040,semantics,C arithmetic conversions,0.000,0.576,0.593,0.833,0.558,UB02,0,c_cpp,No dedicated C conversion dialect
REL013,relation,Exception-flow graph,0.107,0.679,0.624,0.716,0.558,UB17,0,core,No exception graph
EFF017,effect,Unsafe/UB risk,0.000,0.576,0.593,0.811,0.553,UB05,0,ffi,No unsafe effect
SEM049,semantics,Vector/matrix layout semantics,0.000,0.573,0.590,0.809,0.549,UB02,0,scientific,No general layout semantics
TYPE018,type,Intersection type,0.000,0.526,0.542,1.000,0.546,UB01,0,core,No explicit intersection representation
CTRL019,control,Assert,0.000,0.542,0.558,0.927,0.546,UB04,0,core,No assert node
EFF016,effect,Reflection,0.000,0.542,0.558,0.925,0.546,UB05,0,core,No reflection effect
FOUND003,foundation,Source spans,0.408,0.952,0.581,0.815,0.542,UB08,0,core,SemanticSourceSpan exists; docs say population is not yet present
TYPE016,type,Optional/nullable,0.212,0.663,0.538,1.000,0.542,UB01,0,core,Nullable string exists; no full optional node
SEM007,semantics,Multiple dispatch,0.000,0.542,0.558,0.894,0.539,UB02,0,core,No resolver/model
EFF012,effect,Atomic,0.000,0.557,0.574,0.807,0.534,UB05,0,concurrency,No atomic effect axis
IR002,ir,MIR basic blocks/CFG,0.000,0.537,0.553,0.892,0.533,UB07,0,core,Flow matrices exist but no separate MIR
IR004,ir,Explicit load/store,0.000,0.537,0.553,0.892,0.533,UB07,0,core,No MIR memory ops
IR006,ir,LIR/machine operations,0.000,0.537,0.553,0.889,0.533,UB07,0,core,No LIR
TYPE044,type,Nominal vs structural identity,0.000,0.508,0.523,1.000,0.527,UB01,0,core,No explicit identity mode
TYPE052,type,Dependent/value-sized type,0.000,0.508,0.523,1.000,0.527,UB01,0,core,No dependent type expression
TYPE055,type,GC-managed object type,0.000,0.508,0.523,1.000,0.527,UB01,0,core,No execution/analysis model
TYPE011,type,Unit/void,0.000,0.508,0.523,1.000,0.527,UB01,0,core,No explicit unit/void field semantics
TYPE012,type,Never/bottom,0.000,0.508,0.523,1.000,0.527,UB01,0,core,No never type semantics
TYPE045,type,Variance,0.000,0.508,0.523,1.000,0.527,UB01,0,core,No model
TYPE009,type,Decimal,0.000,0.508,0.523,1.000,0.527,UB01,0,core,No dedicated semantics
DECL007,declaration,Rich parameter model,0.405,0.926,0.568,0.799,0.527,UB06,171,core,Default + named/missing args exist; Passing string exists but is not populated richly
SEM041,semantics,R recycling,0.000,0.542,0.558,0.834,0.525,UB02,0,r,No explicit recycling contract
EXPR030,expression,Type expression,0.000,0.508,0.523,0.985,0.524,UB03,0,core,No type-expression node
EXPR031,expression,Block expression,0.000,0.508,0.523,0.985,0.524,UB03,0,core,BlockStmt only
EXPR012,expression,Type test,0.000,0.508,0.523,0.985,0.524,UB03,0,core,No type-test node
TYPE047,type,Shape/stride/order,0.000,0.538,0.555,0.833,0.522,UB01,0,scientific,Rows/Columns only; no general strides/order
EFF021,effect,Blocking/suspension,0.000,0.542,0.558,0.807,0.520,UB05,0,concurrency,No dedicated effect
REL015,relation,Memory dependency graph,0.107,0.605,0.557,0.813,0.519,UB11,0,core,No memory dependency graph
IR003,ir,SSA/phi,0.000,0.521,0.537,0.892,0.518,UB07,0,core,No SSA layer
EXPR026,expression,Match expression,0.000,0.508,0.523,0.956,0.518,UB03,0,core,No match expression
SEM045,semantics,Ordering/comparison totality,0.000,0.508,0.523,0.954,0.517,UB02,2,core,No explicit comparator contract
SEM011,semantics,Division/remainder semantics,0.000,0.508,0.523,0.954,0.517,UB02,3,core,Operation IDs exist but detailed numeric contracts absent
SEM047,semantics,Determinism,0.000,0.508,0.523,0.954,0.517,UB02,0,core,Effects imply some nondeterminism; no explicit property
SEM046,semantics,Resource lifetime,0.000,0.508,0.523,0.954,0.517,UB02,0,core,No resource-lifetime graph
CTRL023,control,Labeled break/continue,0.000,0.508,0.523,0.927,0.512,UB04,0,core,No label target on break/continue
EFF022,effect,Nontermination,0.000,0.508,0.523,0.925,0.511,UB05,0,core,No dedicated effect
EFF008,effect,Process/environment,0.000,0.508,0.523,0.925,0.511,UB05,0,core,No process/env effect axes
EFF020,effect,Resource acquire/release,0.000,0.508,0.523,0.925,0.511,UB05,0,core,No explicit resource acquire/release axes
IR011,ir,Normalization phases,0.000,0.508,0.523,0.920,0.510,UB07,0,core,No phase field
IR005,ir,Lowered calls/ABI,0.000,0.537,0.553,0.779,0.508,UB07,0,ffi,No MIR ABI layer
CTRL024,control,Exception filter,0.000,0.508,0.523,0.909,0.508,UB04,0,core,No exception handling
SEM030,semantics,Memory ordering,0.000,0.523,0.539,0.837,0.508,UB02,0,concurrency,No memory-order model
REL023,relation,Shape-flow graph,0.107,0.607,0.558,0.694,0.495,UB18,0,scientific,No shape graph
REL022,relation,Dispatch candidate graph,0.107,0.576,0.530,0.813,0.494,UB12,0,core,No candidate graph
REL019,relation,Resource lifetime graph,0.107,0.576,0.530,0.810,0.494,UB19,0,core,No resource graph
SEM032,semantics,Async cancellation,0.000,0.508,0.523,0.837,0.493,UB02,0,concurrency,No async model
EXPR032,expression,Macro/compile-time expression,0.000,0.508,0.523,0.835,0.493,UB03,0,meta,No macro expression
SEM050,semantics,Metaprogram expansion boundary,0.000,0.508,0.523,0.801,0.485,UB20,7,meta,No macro expansion model
TYPE003,type,Floating point,0.498,0.928,0.480,1.000,0.484,UB01,0,core,Bits/IEEE754 representable; current runtime binary64
DECL012,declaration,Enum/sum declaration,0.000,0.547,0.563,0.574,0.472,UB06,0,core,SemanticType can say enum; no variant model
REL011,relation,Alias/points-to graph,0.107,0.576,0.530,0.700,0.471,UB21,0,ffi,No alias/points-to graph
FOUND014,foundation,Type IDs,0.049,0.508,0.497,0.818,0.465,UB08,0,core,SemanticType is inline/recursive; no stable type table
TYPE015,type,Dynamic/any,0.551,0.971,0.449,1.000,0.452,UB01,0,core,unknown/dynamic contract exists
SEM006,semantics,Dynamic dispatch,0.268,0.595,0.448,0.954,0.444,UB02,0,core,Dispatch can be unknown/dynamic; no full object model
TYPE038,type,Lifetime/borrow region,0.169,0.542,0.464,0.867,0.443,UB01,0,core,Lifetime string exists; no borrow graph
REL014,relation,Async/task dependency graph,0.107,0.542,0.498,0.695,0.442,UB22,0,concurrency,No async graph
TYPE026,type,Matrix,0.257,0.607,0.464,0.857,0.442,UB01,0,scientific,Rows/Columns/Element exist
REL012,relation,Ownership/borrow graph,0.107,0.542,0.498,0.691,0.441,UB23,0,rust,No borrow graph
REL009,relation,Type-flow/constraint graph,0.107,0.508,0.467,0.832,0.439,UB24,0,core,No type-constraint graph
REL021,relation,Pattern binding graph,0.107,0.508,0.467,0.816,0.436,UB14,31,core,No pattern AST
FOUND010,foundation,Imports/exports,0.107,0.508,0.467,0.815,0.436,UB08,0,core,No first-class import/export nodes
FOUND011,foundation,Namespaces,0.107,0.508,0.467,0.815,0.436,UB08,0,core,No first-class namespace node
REL024,relation,Capability requirement graph,0.107,0.508,0.467,0.812,0.436,UB25,0,core,Dialects carry capabilities; no per-node requirement graph
REL020,relation,Transformation provenance graph,0.107,0.508,0.467,0.812,0.436,UB26,0,core,No explicit transformation mapping
REL016,relation,Module dependency graph,0.107,0.508,0.467,0.811,0.435,UB27,0,core,No first-class module dependency graph
TYPE036,type,Mutability/const/readonly,0.352,0.644,0.430,1.000,0.433,UB01,0,core,SemanticBinding.Mutable exists; type qualifier model incomplete
TYPE037,type,Ownership,0.184,0.542,0.455,0.847,0.431,UB01,0,core,Ownership string exists; frontend unknown
FOUND017,foundation,Diagnostic model,0.126,0.508,0.457,0.818,0.427,UB08,0,core,Errors are mostly fmt.Errorf strings
DECL018,declaration,Annotations/decorators,0.000,0.516,0.532,0.478,0.426,UB06,48,core,Attributes map is generic; no executable decorator semantics
DECL010,declaration,Class declaration,0.000,0.516,0.532,0.473,0.425,UB06,1,core,SemanticType kind can say class; no class node
SEM018,semantics,Slice bounds semantics,0.237,0.542,0.426,0.954,0.421,UB02,0,core,Slicing string exists; no structured slice
FOUND009,foundation,Modules/packages,0.140,0.508,0.450,0.815,0.420,UB08,0,core,Origin.Modules exists only as []string; no executable module nodes
TYPE048,type,Nullability semantics,0.212,0.508,0.412,1.000,0.415,UB01,0,core,Nullable string exists
CONC002,concurrency,Async task,0.000,0.516,0.532,0.427,0.415,UB09,0,concurrency,No executable task node
TYPE006,type,String/text,0.582,0.952,0.410,1.000,0.413,UB01,0,core,String type axis + utf8 contract
TYPE004,type,Boolean,0.586,0.952,0.406,1.000,0.409,UB01,0,core,Type axis boolean exists
DECL017,declaration,Generic constraints,0.000,0.479,0.493,0.532,0.405,UB06,0,core,Constraints []string is coarse
DECL011,declaration,Interface/trait/protocol,0.000,0.479,0.493,0.435,0.386,UB06,0,core,No first-class node
SEM038,semantics,Floating special behavior,0.269,0.508,0.382,0.954,0.378,UB02,0,core,NaN literal separated; no full float contract
SEM016,semantics,Negative indexing,0.326,0.542,0.376,0.954,0.372,UB02,0,core,NegativeIndex field exists; often unknown
DECL009,declaration,Struct/record declaration,0.000,0.441,0.454,0.523,0.372,UB06,0,core,SemanticType can carry Fields; no executable declaration
DECL013,declaration,Field/property declaration,0.000,0.448,0.461,0.438,0.362,UB06,0,core,SemanticField exists only in types
DECL014,declaration,Method declaration,0.000,0.448,0.461,0.431,0.361,UB06,0,core,No method node
TYPE021,type,Vector,0.416,0.591,0.356,1.000,0.358,UB01,0,core,Element can represent; current value model dynamic_vector
CONC004,concurrency,Future/promise,0.000,0.448,0.461,0.389,0.353,UB09,0,concurrency,No model
CONC012,concurrency,Cancellation,0.000,0.448,0.461,0.384,0.352,UB09,0,concurrency,No model
SEM017,semantics,Out-of-bounds policy,0.326,0.508,0.352,0.954,0.349,UB02,0,core,OutOfBounds field exists; often unknown
EXPR018,expression,Range expression,0.403,0.557,0.343,0.985,0.343,UB03,8,core,IterationExpr exists but general range is narrow
DECL019,declaration,Visibility/access,0.000,0.410,0.423,0.495,0.341,UB06,0,core,No visibility model
DECL021,declaration,Overload set,0.000,0.410,0.423,0.487,0.340,UB06,0,core,No overload-set node
SEM037,semantics,String encoding,0.363,0.508,0.333,0.954,0.330,UB02,10,core,Global utf8 contract only
CTRL007,control,Do-while/repeat,0.383,0.508,0.323,0.927,0.316,UB04,0,core,RepeatStmt exists; no explicit do-while condition node
DECL005,declaration,Function declaration,0.652,0.920,0.330,0.797,0.305,UB06,39,core,FunctionExpr assigned to names; no dedicated declaration node
DECL022,declaration,Extension declaration,0.000,0.342,0.352,0.455,0.279,UB06,0,core,No extension/impl declaration node
SEM048,semantics,Purity,0.508,0.508,0.257,0.954,0.254,UB02,0,core,SummarizeEffects derives purity
TYPE014,type,Missing/NA/undefined/NaN,0.609,0.595,0.240,0.920,0.234,UB01,0,core,NA and NaN separated; missing call arg; undefined absent
SYS014,system,Reflection,0.000,0.311,0.320,0.288,0.232,UB29,0,meta,No reflection node
REL002,relation,Control-flow relation,0.762,0.981,0.241,0.817,0.225,UB30,0,core,Control sparse matrix exists
REL003,relation,Data-flow relation,0.762,0.968,0.237,0.813,0.221,UB11,0,core,Data sparse matrix exists
TYPE013,type,Null,0.642,0.595,0.219,1.000,0.221,UB01,0,core,null axis exists
REL007,relation,Effect relation,0.762,0.952,0.233,0.819,0.218,UB31,0,core,Effects sparse matrix exists
REL006,relation,Evaluation-order relation,0.762,0.952,0.233,0.817,0.218,UB32,0,core,Order sparse matrix exists
REL004,relation,Binding relation,0.762,0.952,0.233,0.816,0.218,UB14,0,core,Binding sparse matrix exists
REL005,relation,Scope relation,0.762,0.952,0.233,0.810,0.218,UB33,0,core,Scopes + scope-membership matrix exist
REL001,relation,Syntax relation,0.762,0.952,0.233,0.809,0.217,UB34,0,core,Syntax sparse matrix exists
DECL015,declaration,Constructor/destructor,0.000,0.274,0.282,0.319,0.208,UB06,0,core,No lifecycle declarations
SEM001,semantics,Evaluation order,0.796,0.981,0.206,0.954,0.204,UB02,0,core,EvaluationOrder field + order matrix
CTRL003,control,If/else,0.796,0.981,0.206,0.927,0.202,UB04,0,core,IfStmt exists
CTRL006,control,While,0.796,0.981,0.206,0.927,0.202,UB04,0,core,WhileStmt exists
CONC010,concurrency,Atomics,0.000,0.274,0.282,0.263,0.201,UB09,0,concurrency,No executable atomics
EXPR005,expression,Binary operation,0.796,0.952,0.200,0.985,0.200,UB03,7,core,BinaryExpr + operation mapping
EXPR009,expression,Index,0.796,0.952,0.200,0.985,0.200,UB03,0,core,IndexExpr exists
EXPR002,expression,Typed literal,0.796,0.952,0.200,0.985,0.200,UB03,10,core,LiteralExpr/Text; type mostly binary64/dynamic
EXPR004,expression,Unary operation,0.796,0.952,0.200,0.985,0.200,UB03,0,core,UnaryExpr + operation mapping
SYS018,system,Unsafe region,0.000,0.274,0.282,0.252,0.200,UB10,0,ffi,No unsafe region node
SYS013,system,Compile-time evaluation,0.000,0.274,0.282,0.245,0.199,UB35,0,meta,No compile-time evaluation node
EXPR007,expression,Call,0.796,0.952,0.200,0.973,0.199,UB03,48,core,CallExpr exists; dispatch remains coarse
CTRL013,control,Return,0.796,0.966,0.203,0.927,0.199,UB04,0,core,ReturnStmt exists
CTRL011,control,Break,0.796,0.966,0.203,0.927,0.199,UB04,0,core,BreakStmt exists
SEM003,semantics,Short circuit,0.796,0.952,0.200,0.954,0.198,UB02,0,core,ShortCircuit field exists for &&/||
EXPR001,expression,Identifier reference,0.796,0.952,0.200,0.946,0.197,UB03,0,core,IdentExpr + SemanticExpression.Binding
CTRL002,control,Expression statement,0.796,0.952,0.200,0.927,0.196,UB04,84,core,ExprStmt exists
CTRL012,control,Continue,0.796,0.952,0.200,0.927,0.196,UB04,0,core,NextStmt exists
CTRL001,control,Block,0.796,0.952,0.200,0.927,0.196,UB04,84,core,BlockStmt exists
EFF005,effect,I/O,0.796,0.952,0.200,0.925,0.196,UB05,0,core,io.read/io.write exist
EFF002,effect,Global read/write,0.796,0.952,0.200,0.925,0.196,UB05,0,core,global.read/global.write exist
EFF001,effect,Local read/write,0.796,0.952,0.200,0.925,0.196,UB05,0,core,local.read/local.write exist
EFF019,effect,Purity summary,0.796,0.952,0.200,0.925,0.196,UB05,0,core,SummarizeEffects exists
IR001,ir,HIR preservation,0.796,0.952,0.200,0.920,0.195,UB07,0,core,Current SemanticProgram is HIR-like
EFF009,effect,Exception/panic,0.796,0.952,0.200,0.891,0.193,UB05,0,core,exception.throw exists
FOUND012,foundation,Symbol IDs,0.796,0.952,0.200,0.818,0.187,UB08,0,core,SemanticBinding.ID exists
FOUND001,foundation,Schema versioning,0.796,0.952,0.200,0.817,0.187,UB08,0,core,SemanticDocumentSchema/SemanticDocumentVersion
FOUND018,foundation,Semantic validation,0.796,0.952,0.200,0.817,0.187,UB08,0,core,ParseSemanticDocument validates schema/evidence/dialects
FOUND002,foundation,Stable node IDs,0.796,0.952,0.200,0.817,0.187,UB08,0,core,assignDocumentIDs; SemanticStatement/Expression.ID
FOUND016,foundation,Capability contracts,0.796,0.952,0.200,0.816,0.187,UB08,0,core,BackendCapability exists; backends currently declare only core
FOUND008,foundation,Origin/provenance,0.796,0.952,0.200,0.815,0.187,UB08,0,core,SemanticOrigin exists
FOUND013,foundation,Scope IDs,0.796,0.952,0.200,0.814,0.187,UB08,0,core,SemanticScope and scope-membership matrix exist
SEM015,semantics,Index base,0.674,0.542,0.182,0.954,0.180,UB02,0,core,IndexBase exists globally and locally; currently fixed 1
SYS008,system,Intrinsic/SIMD,0.000,0.236,0.243,0.265,0.174,UB10,0,ffi,No intrinsic node
DECL003,declaration,Assignment,0.796,0.889,0.187,0.761,0.170,UB06,0,core,AssignStmt exists
EXPR003,expression,Special value literal,0.686,0.508,0.164,0.985,0.164,UB03,0,core,NULL/NA/NaN distinguished; missing call arg exists; undefined absent
DECL020,declaration,Static/class/instance member kind,0.000,0.205,0.211,0.374,0.160,UB06,0,core,No member-kind model
DECL023,declaration,Associated type/constant,0.000,0.205,0.211,0.370,0.160,UB06,0,core,No associated-member model
SYS007,system,Inline assembly,0.000,0.205,0.211,0.230,0.148,UB10,0,ffi,No asm node
