language,construct_id,construct,required,required_state,ts_required,semantic_required,ts_match_count,ts_evidence_names,requirement_class,requirement_vector_13,implementation_class,implementation_role_vector,uast_structures,uasf_seed,semantic_axes,uast_relations,uast_fields,uast_layers,current_frontend_capability,missing,ROLE_MODULE_SCOPE,ROLE_IMPORT,ROLE_DECLARATION,ROLE_BINDING,ROLE_ASSIGNMENT,ROLE_FUNCTION,ROLE_PARAMETER,ROLE_CALL_DISPATCH,ROLE_MEMBER_ACCESS,ROLE_INDEX_SLICE,ROLE_LITERAL,ROLE_CONTAINER_AGGREGATE,ROLE_ITERATION,ROLE_CONTROL_BRANCH,ROLE_CONTROL_TRANSFER,ROLE_CLOSURE_CAPTURE,ROLE_COMPREHENSION,ROLE_PATTERN,ROLE_EXCEPTION,ROLE_ASYNC_CONCURRENCY,ROLE_TYPE_DECL,ROLE_TYPE_EXPR,ROLE_GENERIC,ROLE_MEMORY_REFERENCE,ROLE_CONVERSION_ASSERT,ROLE_ANNOTATION_MODIFIER,ROLE_MACRO_COMPILETIME,ROLE_FFI_ABI,ROLE_SYNCHRONIZATION,ROLE_OPERATOR,ROLE_LABEL_GOTO,ROLE_OWNERSHIP_LIFETIME
java,C001,ModuleNamespace,1,BOTH,1,1,9,exports_module_directive;module;module_body;module_declaration;module_directive;opens_module_directive;provides_module_directive;requires_module_directive;uses_module_directive,RQ_cefb75e13be8,1111?111?111?,IMPL_b43af1291396,10110000000000000000000000000000,ModuleDecl,UASF_0304,nodes.declaration;scope.binding;types.structure,binding.declares;binding.refers;binding.shadows;capture.captures;name.resolves;scope.parent,attributes;binding_refs;extensions;id;kind;name;scope_id;semantic_facets;source_span;symbol;type_ref;type_shape,binding.scope;structure.declaration;type.value,PROJECT_JOIN,COMPUTE_REQUIRED_AND_NOT_CURRENT,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kotlin,C001,ModuleNamespace,1,SEM,0,1,0,,RQ_cefb75e13be8,1111?111?111?,IMPL_b43af1291396,10110000000000000000000000000000,ModuleDecl,UASF_0304,nodes.declaration;scope.binding;types.structure,binding.declares;binding.refers;binding.shadows;capture.captures;name.resolves;scope.parent,attributes;binding_refs;extensions;id;kind;name;scope_id;semantic_facets;source_span;symbol;type_ref;type_shape,binding.scope;structure.declaration;type.value,PROJECT_JOIN,COMPUTE_REQUIRED_AND_NOT_CURRENT,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
swift,C001,ModuleNamespace,?,PROJECT_SEM_LOOKUP,0,?,0,,RQ_cefb75e13be8,1111?111?111?,IMPL_b43af1291396,10110000000000000000000000000000,ModuleDecl,UASF_0304,nodes.declaration;scope.binding;types.structure,binding.declares;binding.refers;binding.shadows;capture.captures;name.resolves;scope.parent,attributes;binding_refs;extensions;id;kind;name;scope_id;semantic_facets;source_span;symbol;type_ref;type_shape,binding.scope;structure.declaration;type.value,PROJECT_JOIN,COMPUTE_REQUIRED_AND_NOT_CURRENT,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r,C002,ImportUse,1,SEM,0,1,0,,RQ_56890d627f5e,111111?111111,IMPL_add64281873a,11110000000000000000000000000000,ImportDecl,UASF_0304,nodes.declaration;scope.binding;types.structure,binding.declares;binding.refers;binding.shadows;capture.captures;name.resolves;scope.parent,attributes;binding_refs;extensions;id;kind;name;scope_id;semantic_facets;source_span;symbol;type_ref;type_shape,binding.scope;structure.declaration;type.value,PROJECT_JOIN,COMPUTE_REQUIRED_AND_NOT_CURRENT,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
go,C002,ImportUse,1,BOTH,1,1,4,import;import_declaration;import_spec;import_spec_list,RQ_56890d627f5e,111111?111111,IMPL_add64281873a,11110000000000000000000000000000,ImportDecl,UASF_0304,nodes.declaration;scope.binding;types.structure,binding.declares;binding.refers;binding.shadows;capture.captures;name.resolves;scope.parent,attributes;binding_refs;extensions;id;kind;name;scope_id;semantic_facets;source_span;symbol;type_ref;type_shape,binding.scope;structure.declaration;type.value,PROJECT_JOIN,COMPUTE_REQUIRED_AND_NOT_CURRENT,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rust,C002,ImportUse,1,BOTH,1,1,1,use_declaration,RQ_56890d627f5e,111111?111111,IMPL_add64281873a,11110000000000000000000000000000,ImportDecl,UASF_0304,nodes.declaration;scope.binding;types.structure,binding.declares;binding.refers;binding.shadows;capture.captures;name.resolves;scope.parent,attributes;binding_refs;extensions;id;kind;name;scope_id;semantic_facets;source_span;symbol;type_ref;type_shape,binding.scope;structure.declaration;type.value,PROJECT_JOIN,COMPUTE_REQUIRED_AND_NOT_CURRENT,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cpp,C002,ImportUse,1,BOTH,1,1,4,#include;import;import_declaration;preproc_include,RQ_56890d627f5e,111111?111111,IMPL_add64281873a,11110000000000000000000000000000,ImportDecl,UASF_0304,nodes.declaration;scope.binding;types.structure,binding.declares;binding.refers;binding.shadows;capture.captures;name.resolves;scope.parent,attributes;binding_refs;extensions;id;kind;name;scope_id;semantic_facets;source_span;symbol;type_ref;type_shape,binding.scope;structure.declaration;type.value,PROJECT_JOIN,COMPUTE_REQUIRED_AND_NOT_CURRENT,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c,C002,ImportUse,1,TS,1,?,2,#include;preproc_include,RQ_56890d627f5e,111111?111111,IMPL_add64281873a,11110000000000000000000000000000,ImportDecl,UASF_0304,nodes.declaration;scope.binding;types.structure,binding.declares;binding.refers;binding.shadows;capture.captures;name.resolves;scope.parent,attributes;binding_refs;extensions;id;kind;name;scope_id;semantic_facets;source_span;symbol;type_ref;type_shape,binding.scope;structure.declaration;type.value,PROJECT_JOIN,COMPUTE_REQUIRED_AND_NOT_CURRENT,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
python,C002,ImportUse,1,BOTH,1,1,9,_import_list;aliased_import;future_import_statement;import;import_from_statement;import_prefix;import_statement;relative_import;wildcard_import,RQ_56890d627f5e,111111?111111,IMPL_add64281873a,11110000000000000000000000000000,ImportDecl,UASF_0304,nodes.declaration;scope.binding;types.structure,binding.declares;binding.refers;binding.shadows;capture.captures;name.resolves;scope.parent,attributes;binding_refs;extensions;id;kind;name;scope_id;semantic_facets;source_span;symbol;type_ref;type_shape,binding.scope;structure.declaration;type.value,PROJECT_JOIN,COMPUTE_REQUIRED_AND_NOT_CURRENT,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zig,C002,ImportUse,?,PROJECT_SEM_LOOKUP,0,?,0,,RQ_56890d627f5e,111111?111111,IMPL_add64281873a,11110000000000000000000000000000,ImportDecl,UASF_0304,nodes.declaration;scope.binding;types.structure,binding.declares;binding.refers;binding.shadows;capture.captures;name.resolves;scope.parent,attributes;binding_refs;extensions;id;kind;name;scope_id;semantic_facets;source_span;symbol;type_ref;type_shape,binding.scope;structure.declaration;type.value,PROJECT_JOIN,COMPUTE_REQUIRED_AND_NOT_CURRENT,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
julia,C002,ImportUse,1,TS,1,?,7,_import_list;_importable;import;import_alias;import_path;import_statement;selected_import,RQ_56890d627f5e,111111?111111,IMPL_add64281873a,11110000000000000000000000000000,ImportDecl,UASF_0304,nodes.declaration;scope.binding;types.structure,binding.declares;binding.refers;binding.shadows;capture.captures;name.resolves;scope.parent,attributes;binding_refs;extensions;id;kind;name;scope_id;semantic_facets;source_span;symbol;type_ref;type_shape,binding.scope;structure.declaration;type.value,PROJECT_JOIN,COMPUTE_REQUIRED_AND_NOT_CURRENT,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nim,C002,ImportUse,1,TS,1,?,7,_import_body;_import_except;import;import_from_statement;import_statement;include;include_statement,RQ_56890d627f5e,111111?111111,IMPL_add64281873a,11110000000000000000000000000000,ImportDecl,UASF_0304,nodes.declaration;scope.binding;types.structure,binding.declares;binding.refers;binding.shadows;capture.captures;name.resolves;scope.parent,attributes;binding_refs;extensions;id;kind;name;scope_id;semantic_facets;source_span;symbol;type_ref;type_shape,binding.scope;structure.declaration;type.value,PROJECT_JOIN,COMPUTE_REQUIRED_AND_NOT_CURRENT,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
csharp,C002,ImportUse,1,BOTH,1,1,1,using_directive,RQ_56890d627f5e,111111?111111,IMPL_add64281873a,11110000000000000000000000000000,ImportDecl,UASF_0304,nodes.declaration;scope.binding;types.structure,binding.declares;binding.refers;binding.shadows;capture.captures;name.resolves;scope.parent,attributes;binding_refs;extensions;id;kind;name;scope_id;semantic_facets;source_span;symbol;type_ref;type_shape,binding.scope;structure.declaration;type.value,PROJECT_JOIN,COMPUTE_REQUIRED_AND_NOT_CURRENT,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
java,C002,ImportUse,1,BOTH,1,1,2,import;import_declaration,RQ_56890d627f5e,111111?111111,IMPL_add64281873a,11110000000000000000000000000000,ImportDecl,UASF_0304,nodes.declaration;scope.binding;types.structure,binding.declares;binding.refers;binding.shadows;capture.captures;name.resolves;scope.parent,attributes;binding_refs;extensions;id;kind;name;scope_id;semantic_facets;source_span;symbol;type_ref;type_shape,binding.scope;structure.declaration;type.value,PROJECT_JOIN,COMPUTE_REQUIRED_AND_NOT_CURRENT,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kotlin,C002,ImportUse,1,BOTH,1,1,6,_import_identifier;import;import_alias;import_header;import_list;wildcard_import,RQ_56890d627f5e,111111?111111,IMPL_add64281873a,11110000000000000000000000000000,ImportDecl,UASF_0304,nodes.declaration;scope.binding;types.structure,binding.declares;binding.refers;binding.shadows;capture.captures;name.resolves;scope.parent,attributes;binding_refs;extensions;id;kind;name;scope_id;semantic_facets;source_span;symbol;type_ref;type_shape,binding.scope;structure.declaration;type.value,PROJECT_JOIN,COMPUTE_REQUIRED_AND_NOT_CURRENT,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
swift,C002,ImportUse,1,TS,1,?,4,_import_kind;canImport;import;import_declaration,RQ_56890d627f5e,111111?111111,IMPL_add64281873a,11110000000000000000000000000000,ImportDecl,UASF_0304,nodes.declaration;scope.binding;types.structure,binding.declares;binding.refers;binding.shadows;capture.captures;name.resolves;scope.parent,attributes;binding_refs;extensions;id;kind;name;scope_id;semantic_facets;source_span;symbol;type_ref;type_shape,binding.scope;structure.declaration;type.value,PROJECT_JOIN,COMPUTE_REQUIRED_AND_NOT_CURRENT,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r,C003,VariableDeclaration,1,SEM,0,1,0,,RQ_c75bf26d62d6,1111?11?11111,IMPL_02fbdf0d1dcb,00110000000000000000000000000000,VariableDecl;VariableDeclGroup,UASF_0075;UASF_0303,binding.graph;data.flow;nodes.declaration;scope.binding;types.structure,binding.declares;binding.refers;binding.shadows;data.def_use;data.operand;data.result;effect.has;name.resolves;scope.parent,attributes;binding_refs;effects;extensions;id;kind;name;operands;results;scope_id;semantic_facets;source_span;symbol;type_ref;type_shape,binding.scope;data.flow;structure.declaration;type.value,PROJECT_JOIN,COMPUTE_REQUIRED_AND_NOT_CURRENT,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
go,C003,VariableDeclaration,1,BOTH,1,1,2,short_var_declaration;var_declaration,RQ_c75bf26d62d6,1111?11?11111,IMPL_02fbdf0d1dcb,00110000000000000000000000000000,VariableDecl;VariableDeclGroup,UASF_0075;UASF_0303,binding.graph;data.flow;nodes.declaration;scope.binding;types.structure,binding.declares;binding.refers;binding.shadows;data.def_use;data.operand;data.result;effect.has;name.resolves;scope.parent,attributes;binding_refs;effects;extensions;id;kind;name;operands;results;scope_id;semantic_facets;source_span;symbol;type_ref;type_shape,binding.scope;data.flow;structure.declaration;type.value,PROJECT_JOIN,COMPUTE_REQUIRED_AND_NOT_CURRENT,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rust,C003,VariableDeclaration,1,BOTH,1,1,2,_declaration_statement;let_declaration,RQ_c75bf26d62d6,1111?11?11111,IMPL_02fbdf0d1dcb,00110000000000000000000000000000,VariableDecl;VariableDeclGroup,UASF_0075;UASF_0303,binding.graph;data.flow;nodes.declaration;scope.binding;types.structure,binding.declares;binding.refers;binding.shadows;data.def_use;data.operand;data.result;effect.has;name.resolves;scope.parent,attributes;binding_refs;effects;extensions;id;kind;name;operands;results;scope_id;semantic_facets;source_span;symbol;type_ref;type_shape,binding.scope;data.flow;structure.declaration;type.value,PROJECT_JOIN,COMPUTE_REQUIRED_AND_NOT_CURRENT,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cpp,C003,VariableDeclaration,1,SEM,0,1,0,,RQ_c75bf26d62d6,1111?11?11111,IMPL_02fbdf0d1dcb,00110000000000000000000000000000,VariableDecl;VariableDeclGroup,UASF_0075;UASF_0303,binding.graph;data.flow;nodes.declaration;scope.binding;types.structure,binding.declares;binding.refers;binding.shadows;data.def_use;data.operand;data.result;effect.has;name.resolves;scope.parent,attributes;binding_refs;effects;extensions;id;kind;name;operands;results;scope_id;semantic_facets;source_span;symbol;type_ref;type_shape,binding.scope;data.flow;structure.declaration;type.value,PROJECT_JOIN,COMPUTE_REQUIRED_AND_NOT_CURRENT,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c,C003,VariableDeclaration,?,PROJECT_SEM_LOOKUP,0,?,0,,RQ_c75bf26d62d6,1111?11?11111,IMPL_02fbdf0d1dcb,00110000000000000000000000000000,VariableDecl;VariableDeclGroup,UASF_0075;UASF_0303,binding.graph;data.flow;nodes.declaration;scope.binding;types.structure,binding.declares;binding.refers;binding.shadows;data.def_use;data.operand;data.result;effect.has;name.resolves;scope.parent,attributes;binding_refs;effects;extensions;id;kind;name;operands;results;scope_id;semantic_facets;source_span;symbol;type_ref;type_shape,binding.scope;data.flow;structure.declaration;type.value,PROJECT_JOIN,COMPUTE_REQUIRED_AND_NOT_CURRENT,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
python,C003,VariableDeclaration,1,SEM,0,1,0,,RQ_c75bf26d62d6,1111?11?11111,IMPL_02fbdf0d1dcb,00110000000000000000000000000000,VariableDecl;VariableDeclGroup,UASF_0075;UASF_0303,binding.graph;data.flow;nodes.declaration;scope.binding;types.structure,binding.declares;binding.refers;binding.shadows;data.def_use;data.operand;data.result;effect.has;name.resolves;scope.parent,attributes;binding_refs;effects;extensions;id;kind;name;operands;results;scope_id;semantic_facets;source_span;symbol;type_ref;type_shape,binding.scope;data.flow;structure.declaration;type.value,PROJECT_JOIN,COMPUTE_REQUIRED_AND_NOT_CURRENT,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zig,C003,VariableDeclaration,1,TS,1,?,3,_variable_declaration_expression_statement;_variable_declaration_header;variable_declaration,RQ_c75bf26d62d6,1111?11?11111,IMPL_02fbdf0d1dcb,00110000000000000000000000000000,VariableDecl;VariableDeclGroup,UASF_0075;UASF_0303,binding.graph;data.flow;nodes.declaration;scope.binding;types.structure,binding.declares;binding.refers;binding.shadows;data.def_use;data.operand;data.result;effect.has;name.resolves;scope.parent,attributes;binding_refs;effects;extensions;id;kind;name;operands;results;scope_id;semantic_facets;source_span;symbol;type_ref;type_shape,binding.scope;data.flow;structure.declaration;type.value,PROJECT_JOIN,COMPUTE_REQUIRED_AND_NOT_CURRENT,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
julia,C003,VariableDeclaration,?,PROJECT_SEM_LOOKUP,0,?,0,,RQ_c75bf26d62d6,1111?11?11111,IMPL_02fbdf0d1dcb,00110000000000000000000000000000,VariableDecl;VariableDeclGroup,UASF_0075;UASF_0303,binding.graph;data.flow;nodes.declaration;scope.binding;types.structure,binding.declares;binding.refers;binding.shadows;data.def_use;data.operand;data.result;effect.has;name.resolves;scope.parent,attributes;binding_refs;effects;extensions;id;kind;name;operands;results;scope_id;semantic_facets;source_span;symbol;type_ref;type_shape,binding.scope;data.flow;structure.declaration;type.value,PROJECT_JOIN,COMPUTE_REQUIRED_AND_NOT_CURRENT,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nim,C003,VariableDeclaration,1,TS,1,?,2,_variable_declaration_section;variable_declaration,RQ_c75bf26d62d6,1111?11?11111,IMPL_02fbdf0d1dcb,00110000000000000000000000000000,VariableDecl;VariableDeclGroup,UASF_0075;UASF_0303,binding.graph;data.flow;nodes.declaration;scope.binding;types.structure,binding.declares;binding.refers;binding.shadows;data.def_use;data.operand;data.result;effect.has;name.resolves;scope.parent,attributes;binding_refs;effects;extensions;id;kind;name;operands;results;scope_id;semantic_facets;source_span;symbol;type_ref;type_shape,binding.scope;data.flow;structure.declaration;type.value,PROJECT_JOIN,COMPUTE_REQUIRED_AND_NOT_CURRENT,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
csharp,C003,VariableDeclaration,1,BOTH,1,1,3,local_declaration_statement;using_variable_declaration;variable_declaration,RQ_c75bf26d62d6,1111?11?11111,IMPL_02fbdf0d1dcb,00110000000000000000000000000000,VariableDecl;VariableDeclGroup,UASF_0075;UASF_0303,binding.graph;data.flow;nodes.declaration;scope.binding;types.structure,binding.declares;binding.refers;binding.shadows;data.def_use;data.operand;data.result;effect.has;name.resolves;scope.parent,attributes;binding_refs;effects;extensions;id;kind;name;operands;results;scope_id;semantic_facets;source_span;symbol;type_ref;type_shape,binding.scope;data.flow;structure.declaration;type.value,PROJECT_JOIN,COMPUTE_REQUIRED_AND_NOT_CURRENT,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
