case_id,fact,present
CASE_10c11572bbda5c553a1f6718,language_operation:UNSUPPORTED.EXPRESSION.OPERAND,0
CASE_10c11572bbda5c553a1f6718,language_operation:UNSUPPORTED.IF.CONDITION,0
CASE_10c11572bbda5c553a1f6718,language_operation:UNSUPPORTED.WHILE.CONDITION,0
CASE_10c11572bbda5c553a1f6718,numeric:binary64,1
CASE_10c11572bbda5c553a1f6718,operand:alternate,0
CASE_10c11572bbda5c553a1f6718,operand:argument,1
CASE_10c11572bbda5c553a1f6718,operand:base,0
CASE_10c11572bbda5c553a1f6718,operand:binding,0
CASE_10c11572bbda5c553a1f6718,operand:body,1
CASE_10c11572bbda5c553a1f6718,operand:condition,1
CASE_10c11572bbda5c553a1f6718,operand:consequent,0
CASE_10c11572bbda5c553a1f6718,operand:else,0
CASE_10c11572bbda5c553a1f6718,operand:expression,1
CASE_10c11572bbda5c553a1f6718,operand:key,0
CASE_10c11572bbda5c553a1f6718,operand:left,0
CASE_10c11572bbda5c553a1f6718,operand:member,0
CASE_10c11572bbda5c553a1f6718,operand:operand,1
CASE_10c11572bbda5c553a1f6718,operand:parameter,1
CASE_10c11572bbda5c553a1f6718,operand:right,0
CASE_10c11572bbda5c553a1f6718,operand:sequence,0
CASE_10c11572bbda5c553a1f6718,operand:statement,1
CASE_10c11572bbda5c553a1f6718,operand:target,1
CASE_10c11572bbda5c553a1f6718,operand:then,1
CASE_10c11572bbda5c553a1f6718,operand:value,1
CASE_10c11572bbda5c553a1f6718,operation:ASSIGNMENT,1
CASE_10c11572bbda5c553a1f6718,operation:BIT_AND,0
CASE_10c11572bbda5c553a1f6718,operation:BIT_OR,0
CASE_10c11572bbda5c553a1f6718,operation:CALL,1
CASE_10c11572bbda5c553a1f6718,operation:DIV,0
CASE_10c11572bbda5c553a1f6718,operation:EQ,0
CASE_10c11572bbda5c553a1f6718,operation:GT,0
CASE_10c11572bbda5c553a1f6718,operation:ITERATION,0
CASE_10c11572bbda5c553a1f6718,operation:LE,0
CASE_10c11572bbda5c553a1f6718,operation:LITERAL,1
CASE_10c11572bbda5c553a1f6718,operation:LOAD,1
CASE_10c11572bbda5c553a1f6718,operation:LT,0
CASE_10c11572bbda5c553a1f6718,operation:MUL,0
CASE_10c11572bbda5c553a1f6718,operation:NE,0
CASE_10c11572bbda5c553a1f6718,operation:NOT,1
CASE_10c11572bbda5c553a1f6718,operation:OR,0
CASE_10c11572bbda5c553a1f6718,operation:RETURN,1
CASE_10c11572bbda5c553a1f6718,operation:SUB,0
CASE_10c11572bbda5c553a1f6718,operation:UNSUPPORTED.ASSIGN.TARGET,1
CASE_10c11572bbda5c553a1f6718,operation:UNSUPPORTED.BINARY.LEFT,0
CASE_10c11572bbda5c553a1f6718,operation:UNSUPPORTED.EXPRESSION.OPERAND,0
CASE_10c11572bbda5c553a1f6718,operation:UNSUPPORTED.IF.CONDITION,0
CASE_10c11572bbda5c553a1f6718,operation:UNSUPPORTED.WHILE.CONDITION,0
CASE_10c11572bbda5c553a1f6718,primitive:ASSIGNMENT,1
CASE_10c11572bbda5c553a1f6718,primitive:BIT_AND,0
CASE_10c11572bbda5c553a1f6718,primitive:BIT_OR,0
CASE_10c11572bbda5c553a1f6718,primitive:CALL,1
CASE_10c11572bbda5c553a1f6718,primitive:DIV,0
CASE_10c11572bbda5c553a1f6718,primitive:EQ,0
CASE_10c11572bbda5c553a1f6718,primitive:GT,0
CASE_10c11572bbda5c553a1f6718,primitive:ITERATION,0
CASE_10c11572bbda5c553a1f6718,primitive:LE,0
CASE_10c11572bbda5c553a1f6718,primitive:LITERAL,1
CASE_10c11572bbda5c553a1f6718,primitive:LOAD,1
CASE_10c11572bbda5c553a1f6718,primitive:LT,0
CASE_10c11572bbda5c553a1f6718,primitive:MUL,0
CASE_10c11572bbda5c553a1f6718,primitive:NE,0
CASE_10c11572bbda5c553a1f6718,primitive:NOT,1
CASE_10c11572bbda5c553a1f6718,primitive:OR,0
CASE_10c11572bbda5c553a1f6718,primitive:RETURN,1
CASE_10c11572bbda5c553a1f6718,primitive:SUB,0
CASE_10c11572bbda5c553a1f6718,primitive_family:BINDING,1
CASE_10c11572bbda5c553a1f6718,primitive_family:CALL,1
CASE_10c11572bbda5c553a1f6718,primitive_family:COMPARE,0
CASE_10c11572bbda5c553a1f6718,primitive_family:CONTROL,1
CASE_10c11572bbda5c553a1f6718,primitive_family:ITERATION,0
CASE_10c11572bbda5c553a1f6718,primitive_family:LITERAL,1
CASE_10c11572bbda5c553a1f6718,primitive_family:LOAD,1
CASE_10c11572bbda5c553a1f6718,primitive_family:LOGICAL_BINARY,0
CASE_10c11572bbda5c553a1f6718,primitive_family:LOGICAL_UNARY,1
CASE_10c11572bbda5c553a1f6718,primitive_family:OPERATION,0
CASE_10c11572bbda5c553a1f6718,representation:tagged_dynamic_binary64,1
CASE_10c11572bbda5c553a1f6718,result:statement,1
CASE_10c11572bbda5c553a1f6718,result:value,1
CASE_10c11572bbda5c553a1f6718,route:DIRECT,1
CASE_10c11572bbda5c553a1f6718,route:RUNTIME,0
CASE_10c11572bbda5c553a1f6718,target:go,1
CASE_10c11572bbda5c553a1f6718,target:python,0
CASE_10c11572bbda5c553a1f6718,target:rust,1
CASE_10c11572bbda5c553a1f6718,uast:AddressOf,0
CASE_10c11572bbda5c553a1f6718,uast:AggregateExpr,0
CASE_10c11572bbda5c553a1f6718,uast:AssignStmt,1
CASE_10c11572bbda5c553a1f6718,uast:BindingPattern,0
CASE_10c11572bbda5c553a1f6718,uast:CallExpr,1
CASE_10c11572bbda5c553a1f6718,uast:ClosureExpr,1
CASE_10c11572bbda5c553a1f6718,uast:Deref,0
CASE_10c11572bbda5c553a1f6718,uast:ForEachStmt,0
CASE_10c11572bbda5c553a1f6718,uast:IfStmt,1
CASE_10c11572bbda5c553a1f6718,uast:IndexExpr,1
CASE_10c11572bbda5c553a1f6718,uast:LiteralExpr,1
CASE_10c11572bbda5c553a1f6718,uast:MemberAccessExpr,0
CASE_10c11572bbda5c553a1f6718,uast:ModuleDecl,0
CASE_10c11572bbda5c553a1f6718,uast:OperationExpr,1
CASE_10c11572bbda5c553a1f6718,uast:ReturnStmt,1
CASE_10c11572bbda5c553a1f6718,uast:Scope,1
CASE_10c11572bbda5c553a1f6718,uast:SliceExpr,0
CASE_10c11572bbda5c553a1f6718,uast:SymbolRef,1
CASE_2e7d18728fc540a4041c3c03,arity:0,1
CASE_2e7d18728fc540a4041c3c03,arity:1,1
CASE_2e7d18728fc540a4041c3c03,arity:10,0
CASE_2e7d18728fc540a4041c3c03,arity:11,0
CASE_2e7d18728fc540a4041c3c03,arity:12,0
CASE_2e7d18728fc540a4041c3c03,arity:13,0
CASE_2e7d18728fc540a4041c3c03,arity:14,0
CASE_2e7d18728fc540a4041c3c03,arity:17,0
CASE_2e7d18728fc540a4041c3c03,arity:2,1
CASE_2e7d18728fc540a4041c3c03,arity:3,1
CASE_2e7d18728fc540a4041c3c03,arity:37,0
CASE_2e7d18728fc540a4041c3c03,arity:38,0
CASE_2e7d18728fc540a4041c3c03,arity:4,1
CASE_2e7d18728fc540a4041c3c03,arity:5,0
CASE_2e7d18728fc540a4041c3c03,arity:6,0
CASE_2e7d18728fc540a4041c3c03,arity:7,0
CASE_2e7d18728fc540a4041c3c03,arity:8,0
CASE_2e7d18728fc540a4041c3c03,arity:9,0
CASE_2e7d18728fc540a4041c3c03,control_flow:structured,1
CASE_2e7d18728fc540a4041c3c03,effects:call.unknown,1
CASE_2e7d18728fc540a4041c3c03,effects:control,1
CASE_2e7d18728fc540a4041c3c03,effects:local.read,1
CASE_2e7d18728fc540a4041c3c03,effects:local.write,1
CASE_2e7d18728fc540a4041c3c03,evaluation_order:eager_left_to_right,1
CASE_2e7d18728fc540a4041c3c03,family:BINDING,1
CASE_2e7d18728fc540a4041c3c03,family:CALL,1
CASE_2e7d18728fc540a4041c3c03,family:COMPARE,0
CASE_2e7d18728fc540a4041c3c03,family:CONTROL,1
CASE_2e7d18728fc540a4041c3c03,family:ITERATION,0
CASE_2e7d18728fc540a4041c3c03,family:LITERAL,1
CASE_2e7d18728fc540a4041c3c03,family:LOAD,1
CASE_2e7d18728fc540a4041c3c03,family:LOGICAL_BINARY,0
CASE_2e7d18728fc540a4041c3c03,family:LOGICAL_UNARY,0
CASE_2e7d18728fc540a4041c3c03,family:OPERATION,0
CASE_2e7d18728fc540a4041c3c03,kind:AddressOf,0
CASE_2e7d18728fc540a4041c3c03,kind:AggregateExpr,0
CASE_2e7d18728fc540a4041c3c03,kind:AssignStmt,1
CASE_2e7d18728fc540a4041c3c03,kind:BindingPattern,0
CASE_2e7d18728fc540a4041c3c03,kind:CallExpr,1
CASE_2e7d18728fc540a4041c3c03,kind:ClosureExpr,1
CASE_2e7d18728fc540a4041c3c03,kind:Deref,0
CASE_2e7d18728fc540a4041c3c03,kind:ForEachStmt,0
CASE_2e7d18728fc540a4041c3c03,kind:IfStmt,1
CASE_2e7d18728fc540a4041c3c03,kind:IndexExpr,1
CASE_2e7d18728fc540a4041c3c03,kind:LiteralExpr,1
CASE_2e7d18728fc540a4041c3c03,kind:MemberAccessExpr,0
CASE_2e7d18728fc540a4041c3c03,kind:ModuleDecl,0
CASE_2e7d18728fc540a4041c3c03,kind:OperationExpr,1
CASE_2e7d18728fc540a4041c3c03,kind:ReturnStmt,1
CASE_2e7d18728fc540a4041c3c03,kind:Scope,1
CASE_2e7d18728fc540a4041c3c03,kind:SliceExpr,0
CASE_2e7d18728fc540a4041c3c03,kind:SymbolRef,1
CASE_2e7d18728fc540a4041c3c03,language_operation:ASSIGNMENT,1
CASE_2e7d18728fc540a4041c3c03,language_operation:BIT_AND,0
CASE_2e7d18728fc540a4041c3c03,language_operation:BIT_OR,0
CASE_2e7d18728fc540a4041c3c03,language_operation:CALL,1
CASE_2e7d18728fc540a4041c3c03,language_operation:DIV,0
CASE_2e7d18728fc540a4041c3c03,language_operation:EQ,0
CASE_2e7d18728fc540a4041c3c03,language_operation:GT,0
CASE_2e7d18728fc540a4041c3c03,language_operation:ITERATION,0
CASE_2e7d18728fc540a4041c3c03,language_operation:LE,0
CASE_2e7d18728fc540a4041c3c03,language_operation:LITERAL,1
CASE_2e7d18728fc540a4041c3c03,language_operation:LOAD,1
CASE_2e7d18728fc540a4041c3c03,language_operation:LT,0
CASE_2e7d18728fc540a4041c3c03,language_operation:MUL,0
CASE_2e7d18728fc540a4041c3c03,language_operation:NE,0
CASE_2e7d18728fc540a4041c3c03,language_operation:NOT,0
CASE_2e7d18728fc540a4041c3c03,language_operation:OR,0
CASE_2e7d18728fc540a4041c3c03,language_operation:RETURN,1
CASE_2e7d18728fc540a4041c3c03,language_operation:SUB,0
CASE_2e7d18728fc540a4041c3c03,language_operation:UNSUPPORTED.ASSIGN.TARGET,1
CASE_2e7d18728fc540a4041c3c03,language_operation:UNSUPPORTED.BINARY.LEFT,0
CASE_2e7d18728fc540a4041c3c03,language_operation:UNSUPPORTED.EXPRESSION.OPERAND,0
CASE_2e7d18728fc540a4041c3c03,language_operation:UNSUPPORTED.IF.CONDITION,0
CASE_2e7d18728fc540a4041c3c03,language_operation:UNSUPPORTED.WHILE.CONDITION,0
CASE_2e7d18728fc540a4041c3c03,numeric:binary64,1
CASE_2e7d18728fc540a4041c3c03,operand:alternate,0
CASE_2e7d18728fc540a4041c3c03,operand:argument,1
CASE_2e7d18728fc540a4041c3c03,operand:base,0
CASE_2e7d18728fc540a4041c3c03,operand:binding,0
CASE_2e7d18728fc540a4041c3c03,operand:body,1
CASE_2e7d18728fc540a4041c3c03,operand:condition,1
CASE_2e7d18728fc540a4041c3c03,operand:consequent,0
CASE_2e7d18728fc540a4041c3c03,operand:else,0
CASE_2e7d18728fc540a4041c3c03,operand:expression,1
CASE_2e7d18728fc540a4041c3c03,operand:key,0
CASE_2e7d18728fc540a4041c3c03,operand:left,0
CASE_2e7d18728fc540a4041c3c03,operand:member,0
CASE_2e7d18728fc540a4041c3c03,operand:operand,0
CASE_2e7d18728fc540a4041c3c03,operand:parameter,1
CASE_2e7d18728fc540a4041c3c03,operand:right,0
CASE_2e7d18728fc540a4041c3c03,operand:sequence,0
CASE_2e7d18728fc540a4041c3c03,operand:statement,1
CASE_2e7d18728fc540a4041c3c03,operand:target,1
CASE_2e7d18728fc540a4041c3c03,operand:then,1
CASE_2e7d18728fc540a4041c3c03,operand:value,1
CASE_2e7d18728fc540a4041c3c03,operation:ASSIGNMENT,1
CASE_2e7d18728fc540a4041c3c03,operation:BIT_AND,0
CASE_2e7d18728fc540a4041c3c03,operation:BIT_OR,0
CASE_2e7d18728fc540a4041c3c03,operation:CALL,1
CASE_2e7d18728fc540a4041c3c03,operation:DIV,0
CASE_2e7d18728fc540a4041c3c03,operation:EQ,0
CASE_2e7d18728fc540a4041c3c03,operation:GT,0
CASE_2e7d18728fc540a4041c3c03,operation:ITERATION,0
CASE_2e7d18728fc540a4041c3c03,operation:LE,0
CASE_2e7d18728fc540a4041c3c03,operation:LITERAL,1
CASE_2e7d18728fc540a4041c3c03,operation:LOAD,1
CASE_2e7d18728fc540a4041c3c03,operation:LT,0
CASE_2e7d18728fc540a4041c3c03,operation:MUL,0
CASE_2e7d18728fc540a4041c3c03,operation:NE,0
CASE_2e7d18728fc540a4041c3c03,operation:NOT,0
CASE_2e7d18728fc540a4041c3c03,operation:OR,0
CASE_2e7d18728fc540a4041c3c03,operation:RETURN,1
CASE_2e7d18728fc540a4041c3c03,operation:SUB,0
CASE_2e7d18728fc540a4041c3c03,operation:UNSUPPORTED.ASSIGN.TARGET,1
CASE_2e7d18728fc540a4041c3c03,operation:UNSUPPORTED.BINARY.LEFT,0
CASE_2e7d18728fc540a4041c3c03,operation:UNSUPPORTED.EXPRESSION.OPERAND,0
CASE_2e7d18728fc540a4041c3c03,operation:UNSUPPORTED.IF.CONDITION,0
CASE_2e7d18728fc540a4041c3c03,operation:UNSUPPORTED.WHILE.CONDITION,0
CASE_2e7d18728fc540a4041c3c03,primitive:ASSIGNMENT,1
CASE_2e7d18728fc540a4041c3c03,primitive:BIT_AND,0
CASE_2e7d18728fc540a4041c3c03,primitive:BIT_OR,0
CASE_2e7d18728fc540a4041c3c03,primitive:CALL,1
CASE_2e7d18728fc540a4041c3c03,primitive:DIV,0
CASE_2e7d18728fc540a4041c3c03,primitive:EQ,0
CASE_2e7d18728fc540a4041c3c03,primitive:GT,0
CASE_2e7d18728fc540a4041c3c03,primitive:ITERATION,0
CASE_2e7d18728fc540a4041c3c03,primitive:LE,0
CASE_2e7d18728fc540a4041c3c03,primitive:LITERAL,1
CASE_2e7d18728fc540a4041c3c03,primitive:LOAD,1
CASE_2e7d18728fc540a4041c3c03,primitive:LT,0
CASE_2e7d18728fc540a4041c3c03,primitive:MUL,0
CASE_2e7d18728fc540a4041c3c03,primitive:NE,0
CASE_2e7d18728fc540a4041c3c03,primitive:NOT,0
CASE_2e7d18728fc540a4041c3c03,primitive:OR,0
CASE_2e7d18728fc540a4041c3c03,primitive:RETURN,1
CASE_2e7d18728fc540a4041c3c03,primitive:SUB,0
CASE_2e7d18728fc540a4041c3c03,primitive_family:BINDING,1
CASE_2e7d18728fc540a4041c3c03,primitive_family:CALL,1
CASE_2e7d18728fc540a4041c3c03,primitive_family:COMPARE,0
CASE_2e7d18728fc540a4041c3c03,primitive_family:CONTROL,1
CASE_2e7d18728fc540a4041c3c03,primitive_family:ITERATION,0
CASE_2e7d18728fc540a4041c3c03,primitive_family:LITERAL,1
CASE_2e7d18728fc540a4041c3c03,primitive_family:LOAD,1
CASE_2e7d18728fc540a4041c3c03,primitive_family:LOGICAL_BINARY,0
CASE_2e7d18728fc540a4041c3c03,primitive_family:LOGICAL_UNARY,0
CASE_2e7d18728fc540a4041c3c03,primitive_family:OPERATION,0
CASE_2e7d18728fc540a4041c3c03,representation:tagged_dynamic_binary64,1
CASE_2e7d18728fc540a4041c3c03,result:statement,1
CASE_2e7d18728fc540a4041c3c03,result:value,1
CASE_2e7d18728fc540a4041c3c03,route:DIRECT,1
CASE_2e7d18728fc540a4041c3c03,route:RUNTIME,0
CASE_2e7d18728fc540a4041c3c03,target:go,1
CASE_2e7d18728fc540a4041c3c03,target:python,0
CASE_2e7d18728fc540a4041c3c03,target:rust,1
CASE_2e7d18728fc540a4041c3c03,uast:AddressOf,0
CASE_2e7d18728fc540a4041c3c03,uast:AggregateExpr,0
CASE_2e7d18728fc540a4041c3c03,uast:AssignStmt,1
CASE_2e7d18728fc540a4041c3c03,uast:BindingPattern,0
CASE_2e7d18728fc540a4041c3c03,uast:CallExpr,1
CASE_2e7d18728fc540a4041c3c03,uast:ClosureExpr,1
CASE_2e7d18728fc540a4041c3c03,uast:Deref,0
CASE_2e7d18728fc540a4041c3c03,uast:ForEachStmt,0
CASE_2e7d18728fc540a4041c3c03,uast:IfStmt,1
CASE_2e7d18728fc540a4041c3c03,uast:IndexExpr,1
CASE_2e7d18728fc540a4041c3c03,uast:LiteralExpr,1
CASE_2e7d18728fc540a4041c3c03,uast:MemberAccessExpr,0
CASE_2e7d18728fc540a4041c3c03,uast:ModuleDecl,0
CASE_2e7d18728fc540a4041c3c03,uast:OperationExpr,1
CASE_2e7d18728fc540a4041c3c03,uast:ReturnStmt,1
CASE_2e7d18728fc540a4041c3c03,uast:Scope,1
CASE_2e7d18728fc540a4041c3c03,uast:SliceExpr,0
CASE_2e7d18728fc540a4041c3c03,uast:SymbolRef,1
CASE_35f8d40fe164be6296e89ec6,arity:0,1
CASE_35f8d40fe164be6296e89ec6,arity:1,1
CASE_35f8d40fe164be6296e89ec6,arity:10,0
CASE_35f8d40fe164be6296e89ec6,arity:11,0
CASE_35f8d40fe164be6296e89ec6,arity:12,0
CASE_35f8d40fe164be6296e89ec6,arity:13,0
CASE_35f8d40fe164be6296e89ec6,arity:14,0
CASE_35f8d40fe164be6296e89ec6,arity:17,0
CASE_35f8d40fe164be6296e89ec6,arity:2,0
CASE_35f8d40fe164be6296e89ec6,arity:3,0
CASE_35f8d40fe164be6296e89ec6,arity:37,0
CASE_35f8d40fe164be6296e89ec6,arity:38,0
CASE_35f8d40fe164be6296e89ec6,arity:4,0
CASE_35f8d40fe164be6296e89ec6,arity:5,0
CASE_35f8d40fe164be6296e89ec6,arity:6,0
CASE_35f8d40fe164be6296e89ec6,arity:7,0
CASE_35f8d40fe164be6296e89ec6,arity:8,0
CASE_35f8d40fe164be6296e89ec6,arity:9,0
CASE_35f8d40fe164be6296e89ec6,control_flow:structured,0
CASE_35f8d40fe164be6296e89ec6,effects:call.unknown,0
CASE_35f8d40fe164be6296e89ec6,effects:control,1
CASE_35f8d40fe164be6296e89ec6,effects:local.read,0
CASE_35f8d40fe164be6296e89ec6,effects:local.write,0
CASE_35f8d40fe164be6296e89ec6,evaluation_order:eager_left_to_right,1
CASE_35f8d40fe164be6296e89ec6,family:BINDING,0
CASE_35f8d40fe164be6296e89ec6,family:CALL,0
CASE_35f8d40fe164be6296e89ec6,family:COMPARE,0
CASE_35f8d40fe164be6296e89ec6,family:CONTROL,0
CASE_35f8d40fe164be6296e89ec6,family:ITERATION,0
CASE_35f8d40fe164be6296e89ec6,family:LITERAL,0
CASE_35f8d40fe164be6296e89ec6,family:LOAD,0
CASE_35f8d40fe164be6296e89ec6,family:LOGICAL_BINARY,0
CASE_35f8d40fe164be6296e89ec6,family:LOGICAL_UNARY,0
CASE_35f8d40fe164be6296e89ec6,family:OPERATION,0
CASE_35f8d40fe164be6296e89ec6,kind:AddressOf,0
CASE_35f8d40fe164be6296e89ec6,kind:AggregateExpr,0
CASE_35f8d40fe164be6296e89ec6,kind:AssignStmt,0
CASE_35f8d40fe164be6296e89ec6,kind:BindingPattern,0
CASE_35f8d40fe164be6296e89ec6,kind:CallExpr,0
CASE_35f8d40fe164be6296e89ec6,kind:ClosureExpr,0
CASE_35f8d40fe164be6296e89ec6,kind:Deref,0
CASE_35f8d40fe164be6296e89ec6,kind:ForEachStmt,0
CASE_35f8d40fe164be6296e89ec6,kind:IfStmt,0
CASE_35f8d40fe164be6296e89ec6,kind:IndexExpr,0
CASE_35f8d40fe164be6296e89ec6,kind:LiteralExpr,0
CASE_35f8d40fe164be6296e89ec6,kind:MemberAccessExpr,0
CASE_35f8d40fe164be6296e89ec6,kind:ModuleDecl,1
CASE_35f8d40fe164be6296e89ec6,kind:OperationExpr,0
CASE_35f8d40fe164be6296e89ec6,kind:ReturnStmt,0
CASE_35f8d40fe164be6296e89ec6,kind:Scope,1
CASE_35f8d40fe164be6296e89ec6,kind:SliceExpr,0
CASE_35f8d40fe164be6296e89ec6,kind:SymbolRef,0
CASE_35f8d40fe164be6296e89ec6,language_operation:ASSIGNMENT,0
CASE_35f8d40fe164be6296e89ec6,language_operation:BIT_AND,0
CASE_35f8d40fe164be6296e89ec6,language_operation:BIT_OR,0
CASE_35f8d40fe164be6296e89ec6,language_operation:CALL,0
CASE_35f8d40fe164be6296e89ec6,language_operation:DIV,0
CASE_35f8d40fe164be6296e89ec6,language_operation:EQ,0
CASE_35f8d40fe164be6296e89ec6,language_operation:GT,0
CASE_35f8d40fe164be6296e89ec6,language_operation:ITERATION,0
CASE_35f8d40fe164be6296e89ec6,language_operation:LE,0
CASE_35f8d40fe164be6296e89ec6,language_operation:LITERAL,0
CASE_35f8d40fe164be6296e89ec6,language_operation:LOAD,0
CASE_35f8d40fe164be6296e89ec6,language_operation:LT,0
CASE_35f8d40fe164be6296e89ec6,language_operation:MUL,0
CASE_35f8d40fe164be6296e89ec6,language_operation:NE,0
CASE_35f8d40fe164be6296e89ec6,language_operation:NOT,0
CASE_35f8d40fe164be6296e89ec6,language_operation:OR,0
CASE_35f8d40fe164be6296e89ec6,language_operation:RETURN,0
CASE_35f8d40fe164be6296e89ec6,language_operation:SUB,0
CASE_35f8d40fe164be6296e89ec6,language_operation:UNSUPPORTED.ASSIGN.TARGET,0
CASE_35f8d40fe164be6296e89ec6,language_operation:UNSUPPORTED.BINARY.LEFT,0
CASE_35f8d40fe164be6296e89ec6,language_operation:UNSUPPORTED.EXPRESSION.OPERAND,0
CASE_35f8d40fe164be6296e89ec6,language_operation:UNSUPPORTED.IF.CONDITION,0
CASE_35f8d40fe164be6296e89ec6,language_operation:UNSUPPORTED.WHILE.CONDITION,0
CASE_35f8d40fe164be6296e89ec6,numeric:binary64,1
CASE_35f8d40fe164be6296e89ec6,operand:alternate,0
CASE_35f8d40fe164be6296e89ec6,operand:argument,0
CASE_35f8d40fe164be6296e89ec6,operand:base,0
CASE_35f8d40fe164be6296e89ec6,operand:binding,0
CASE_35f8d40fe164be6296e89ec6,operand:body,0
CASE_35f8d40fe164be6296e89ec6,operand:condition,0
CASE_35f8d40fe164be6296e89ec6,operand:consequent,0
CASE_35f8d40fe164be6296e89ec6,operand:else,0
CASE_35f8d40fe164be6296e89ec6,operand:expression,0
CASE_35f8d40fe164be6296e89ec6,operand:key,0
CASE_35f8d40fe164be6296e89ec6,operand:left,0
CASE_35f8d40fe164be6296e89ec6,operand:member,0
CASE_35f8d40fe164be6296e89ec6,operand:operand,0
CASE_35f8d40fe164be6296e89ec6,operand:parameter,0
CASE_35f8d40fe164be6296e89ec6,operand:right,0
CASE_35f8d40fe164be6296e89ec6,operand:sequence,0
