feature,category,file,line,snippet
call,expression,docs/SIL/Types.md,612,"list of a call expression. Formally, substitution flattens these pack"
call,expression,include/swift/AST/ActorIsolation.h,490,"// within an ApplyExpr. In particular, it stores the isolation of the caller"
call,expression,include/swift/AST/ActorIsolation.h,491,"// and the callee of the ApplyExpr, to be used for inserting implicit actor"
call,expression,include/swift/AST/ASTBridging.h,1929,"SWIFT_NAME(""BridgedCallExpr.createParsed(_:fn:args:)"")"
call,expression,include/swift/AST/ASTBridging.h,1930,"BridgedCallExpr BridgedCallExpr_createParsed(BridgedASTContext cContext,"
call,expression,include/swift/AST/ASTTypeIDs.h,28,class ApplyExpr;
capture,binding,CHANGELOG.md,48,static immortal objects when there are no captures. For example:
capture,binding,CHANGELOG.md,63,"When there are captures, such as `\Array<Double>.[i]`, a key path"
capture,binding,CHANGELOG.md,552,let backtrace = try! Backtrace.capture()
capture,binding,CHANGELOG.md,755,construct a parameter pack of closures where each closure captures the
capture,binding,CHANGELOG.md,854,and key path literal expressions that cannot capture non-Sendable values.
capture,binding,CHANGELOG.md,871,because it doesn't capture any non-Sendable values.
capture,binding,CHANGELOG.md,1657,"Implicit `self` is now permitted for `weak self` captures, after `self` is unwrapped."
capture,binding,CHANGELOG.md,1676,"In Swift 5 language modes, implicit `self` is permitted for `weak self` captures in _non-escaping_ closures even before `self` is unwrapped. For example, this code compiles successfully in Swift 5 language mode:"
cast_conversion,expression,CHANGELOG.md,873,The same applies to keypath-as-function conversions:
cast_conversion,expression,CHANGELOG.md,1514,Swift 5.9 introduces warnings that catch conversions from an inout
cast_conversion,expression,CHANGELOG.md,2013,"conversions with the `==`, `!=`, `<`,`<=`,`>`, and `>=` operators."
cast_conversion,expression,CHANGELOG.md,3642,Conversions between tuple types are now fully implemented.
cast_conversion,expression,CHANGELOG.md,4715,Adds a new family of conversion initializers to all numeric types that
cast_conversion,expression,CHANGELOG.md,4926,`Unsafe[Mutable]Pointer<Void>`. Conversion from `UnsafePointer<T>`
cast_conversion,expression,CHANGELOG.md,4929,to a type. Binding memory allows for safe conversion between pointer types.
cast_conversion,expression,CHANGELOG.md,5031,"Swift eliminates implicit bridging conversions. Use `as` to force the conversion from a Swift value type to its corresponding object. For example, use `string as NSString`. Use `as AnyObject` to convert a Swift value to its boxed `id` representation."
channel,concurrency,benchmark/CMakeLists.txt,136,single-source/NIOChannelPipeline
channel,concurrency,benchmark/single-source/NIOChannelPipeline.swift,1,//===--- NIOChannelPipeline.swift -----------------------------------------===//
channel,concurrency,benchmark/single-source/NIOChannelPipeline.swift,15,// Mini benchmark implementing the gist of SwiftNIO's ChannelPipeline as
channel,concurrency,benchmark/single-source/NIOChannelPipeline.swift,22,"name: ""NIOChannelPipeline"","
channel,concurrency,benchmark/utils/main.swift,132,import NIOChannelPipeline
channel,concurrency,benchmark/utils/main.swift,355,register(NIOChannelPipeline.benchmarks)
channel,concurrency,docs/DebuggingTheCompiler.md,1370,"log channels that are useful for debugging Swift issues are the ""types"" and"
channel,concurrency,docs/DebuggingTheCompiler.md,1371,"""expression"" log channels."
class,declaration,CHANGELOG.md,145,public class Base: ~Sendable {
class,declaration,CHANGELOG.md,402,class NonSendableAhmed {
class,declaration,CHANGELOG.md,407,class Maria {
class,declaration,CHANGELOG.md,469,class NotSendable {
class,declaration,CHANGELOG.md,523,class MyType: @MainActor P {
class,declaration,CHANGELOG.md,814,class MyViewController: @preconcurrency ViewDelegateProtocol {
class,declaration,CHANGELOG.md,1275,class MyModel {
class,declaration,CHANGELOG.md,1351,class MutableData { ... }
closure_lambda,expression,CHANGELOG.md,165,whether the reference appears in a closure. Previously the type-checker could incorrectly permit
closure_lambda,expression,CHANGELOG.md,166,"forward references within a closure that it would reject outside of the closure, however this"
closure_lambda,expression,CHANGELOG.md,174,"- `lazy` local variables with initializers that forward reference a local variable in a closure,"
closure_lambda,expression,CHANGELOG.md,191,"- Forward references to local computed variables from a closure, e.g:"
closure_lambda,expression,CHANGELOG.md,200,Both cases were already invalid if there was no closure involved. These are now consistently
closure_lambda,expression,CHANGELOG.md,203,"This then allows for consistent shadowing behavior inside and outside of closures, allowing the"
closure_lambda,expression,CHANGELOG.md,254,Trailing closures syntax is now supported following array literals. This enables support for
closure_lambda,expression,CHANGELOG.md,255,calling `Array` and `Dictionary` trailing closure initializers using sugared type syntax:
code_generation,meta,CHANGELOG.md,6141,* Code generation for large `struct` and `enum` types has been improved to reduce
code_generation,meta,CHANGELOG.md,6577,Code generation for vector types in the simd module has been improved to
code_generation,meta,CMakeLists.txt,367,option(SWIFT_TOOLS_LD64_LTO_CODEGEN_ONLY_FOR_SUPPORTING_TARGETS
code_generation,meta,CONTRIBUTING.md,265,"Swift uses the LLVM Core for code generation and optimization (among other things), [Clang](http://clang.llvm.org/) for interoperability with C and Objective-C, and [LLDB](http://lldb.llvm.org/) for debugging and the REPL."
code_generation,meta,benchmark/single-source/StringTests.swift,617,"<p>It is my pleasure to announce a new open source project for the Swift Server ecosystem, <a href=""https://github.com/apple/swift-service-discovery"">Swift Service Discovery</a>. Service Discovery is a Swift package designed to establish a standard API that ca"
code_generation,meta,cmake/modules/AddPureSwift.cmake,51,"""$<$<COMPILE_LANGUAGE:Swift>:SHELL:-Xfrontend -cas-backend>"""
code_generation,meta,cmake/modules/AddSwift.cmake,340,"# The LLVM backend is built with these defines on most 32-bit platforms,"
code_generation,meta,cmake/modules/AddSwift.cmake,903,# [THINLTO_LD64_ADD_FLTO_CODEGEN_ONLY]
compile_time_eval,meta,CHANGELOG.md,47,are not entirely folded away at compile time will be emitted as
compile_time_eval,meta,CHANGELOG.md,685,at compile time. This guarantee is accomplished through _data isolation_; the
compile_time_eval,meta,CHANGELOG.md,1265,diagnose all potential for data races at compile time unless an explicit
compile_time_eval,meta,CHANGELOG.md,3881,and could sometimes crash at compile time or run time.
compile_time_eval,meta,CHANGELOG.md,5880,* **Availability checking**. Swift reports an error at compile time if you call an
compile_time_eval,meta,CHANGELOG.md,6343,impacting compile time. **(20486658)**
compile_time_eval,meta,CHANGELOG.md,7229,and enables better performance (at the cost of increased compile time). The
compile_time_eval,meta,CHANGELOG.md,8252,"In order to avoid breaking existing code, we're making this a compile time"
comprehension,expression,CHANGELOG.md,5988,list comprehensions in other languages.
comprehension,expression,docs/ErrorHandlingRationale.md,219,"highly problematic. They undermine the easy comprehension of code, and"
comprehension,expression,Runtimes/cmake/modules/ResourceEmbedding.cmake,181,# Evaluate generator expression
comprehension,expression,stdlib/cmake/modules/AddSwiftStdlib.cmake,1394,# TODO(compnerd) switch to the generator expression when cmake is upgraded
comprehension,expression,stdlib/cmake/modules/AddSwiftStdlib.cmake,1798,# Please note that using a generator expression to fit
comprehension,expression,stdlib/public/runtime/CMakeLists.txt,224,# TODO(compnerd) switch to the generator expression when cmake is upgraded
constant,declaration,CHANGELOG.md,73,An optional `reason:` parameter accepts a string literal for documentation.
constant,declaration,CHANGELOG.md,144,// constant and thus may be marked as `Sendable`.
constant,declaration,CHANGELOG.md,254,Trailing closures syntax is now supported following array literals. This enables support for
constant,declaration,CHANGELOG.md,854,and key path literal expressions that cannot capture non-Sendable values.
constant,declaration,CHANGELOG.md,1700,* `BareSlashRegexLiterals` enables the regex literal syntax of [SE-0354][].
constant,declaration,CHANGELOG.md,1806,Or via a [regex literal][SE-0354]:
constant,declaration,CHANGELOG.md,1812,"In Swift 6, `/` will also be supported as a delimiter for `Regex` literals."
constant,declaration,CHANGELOG.md,2070,Use of closures becomes less cumbersome by removing the need to constantly specify explicit
continue,control,include/swift/AST/ASTBridging.h,2478,"SWIFT_NAME(""BridgedContinueStmt.createParsed(_:loc:targetName:targetLoc:)"")"
continue,control,include/swift/AST/ASTBridging.h,2479,BridgedContinueStmt BridgedContinueStmt_createParsed(
continue,control,include/swift/AST/Stmt.h,1668,"/// ContinueStmt - The ""continue"" and ""continue label"" statement."
continue,control,include/swift/AST/Stmt.h,1669,class ContinueStmt : public Stmt {
continue,control,include/swift/AST/Stmt.h,1676,"ContinueStmt(SourceLoc Loc, Identifier TargetName, SourceLoc TargetLoc,"
continue,control,include/swift/AST/TypeCheckerTypeIDZone.def,526,"LabeledStmt *(const ContinueStmt *),"
continue,control,include/swift/AST/TypeCheckRequests.h,54,class ContinueStmt;
continue,control,include/swift/AST/TypeCheckRequests.h,4535,/// Lookup the target of a continue statement.
defer_cleanup,control,CHANGELOG.md,102,* [SE-0493][]: `defer` statements now support `async` calls. The isolation of the body of the `defer` statement is always the same as the isolation of its enclosing scope.
defer_cleanup,control,CHANGELOG.md,107,defer { await resource.cleanup() }
defer_cleanup,control,CHANGELOG.md,269,cancellation in a given scope. This functionality is intended for use with cleanup actions which
defer_cleanup,control,CHANGELOG.md,271,cancellation and returning early). It may also be used within `defer` blocks to conveniently
defer_cleanup,control,CHANGELOG.md,272,express such guaranteed-to-run-to-completion cleanups.
defer_cleanup,control,CHANGELOG.md,278,cleanup()
defer_cleanup,control,CHANGELOG.md,1724,defer {
defer_cleanup,control,CHANGELOG.md,1739,"This is a control-flow sensitive check, meaning an illegal access does not necessarily appear on a source line after an escape of `self` (in the example above, consider _when_ the `defer` is executed). The compiler will always point out one of the escapes of `"
dynamic_dispatch,effect,CHANGELOG.md,7564,vtable lookup or direct access to access (non-dynamic) `@objc` declarations.
dynamic_dispatch,effect,CHANGELOG.md,7571,// Accessed by objc_msgSend from ObjC; may be accessed by vtable
dynamic_dispatch,effect,CHANGELOG.md,8543,"subclass, and provides better performance (since dynamic dispatch is avoided"
dynamic_dispatch,effect,benchmark/single-source/PolymorphicCalls.swift,15,"Essentially, it checks how good a compiler can optimize virtual calls of class"
dynamic_dispatch,effect,docs/ABIStabilityManifesto.md,259,"Following that are superclass members, parent type metadata, generic parameter metadata, class members, and *vtables*, described below. Library evolution may present many changes to what exactly is present and will likely make many of the contents opaque to ac"
dynamic_dispatch,effect,docs/ABIStabilityManifesto.md,263,"Invoking a non-final instance method involves calling a function that is not known at compile time: it must be resolved at run time. This is solved through the use of a *vtable*, or virtual method table (so called because overridable methods are also known as "
dynamic_dispatch,effect,docs/ABIStabilityManifesto.md,265,"Alternatively, we may decide to perform inter-module calls through opaque *thunks*, or compiler-created intermediary functions, which then perform either direct or vtable dispatch as needed [[#46513](https://github.com/swiftlang/swift/issues/46513)]. This enab"
dynamic_dispatch,effect,docs/FailableInitializers.md,137,is dispatched through the vtable and invoked using a standard
enum,declaration,CHANGELOG.md,894,enum Lunch: ~Copyable {
enum,declaration,CHANGELOG.md,2585,The compiler now correctly rejects `@available` annotations on enum cases with
enum,declaration,CHANGELOG.md,2592,public enum Pen {
enum,declaration,CHANGELOG.md,3243,Enum cases can now satisfy static protocol requirements. A static get-only property of type `Self` can be witnessed by an enum case with no associated values and a static function with arguments and returning `Self` can be witnessed by an enum case with associ
enum,declaration,CHANGELOG.md,3251,enum E: P {
enum,declaration,CHANGELOG.md,3297,enum Foo: Comparable {
enum,declaration,CHANGELOG.md,3536,"enum Foo { case bar(x: Int, x: Int) }"
enum,declaration,CHANGELOG.md,3668,"type inside struct, enum and class declarations. For example, the"
exception_try,control,CHANGELOG.md,1069,"available to a `Sequence`-driven `for`-`in` loop, except for the `where`"
exception_try,control,CHANGELOG.md,1178,"an error of type `ParseError`. For example, a `do..catch` block will infer"
exception_try,control,CHANGELOG.md,1184,} catch {
exception_try,control,CHANGELOG.md,1449,} catch {
exception_try,control,CHANGELOG.md,1514,Swift 5.9 introduces warnings that catch conversions from an inout
exception_try,control,CHANGELOG.md,1743,"Finally, the diagnostic about non-isolated default-value expressions introduced for Swift 5.6 in the Xcode 13.3 release has been removed. The proposed rule was not precise enough to avoid flagging an innocuous yet common pattern in SwiftUI code involving `@Sta"
exception_try,control,CHANGELOG.md,3230,Catch clauses in a `do`-`catch` statement can now include multiple patterns in a comma-separated list. The body of a `catch` clause will be executed if a thrown error matches any of its patterns.
exception_try,control,CHANGELOG.md,3235,"} catch TaskError.someFailure(let msg),"
ffi,memory,CHANGELOG.md,602,an argument exactly matches a parameter with an external property wrapper.
ffi,memory,CHANGELOG.md,1409,"macro Codable() = #externalMacro(module: ""MyMacros"", type: ""CodableMacro"")"
ffi,memory,CHANGELOG.md,1422,"macro assert(_ condition: Bool) = #externalMacro(module: ""PowerAssertMacros"", type: ""AssertMacro"")"
ffi,memory,CHANGELOG.md,1435,macro AddCompletionHandler() = #externalMacro(
ffi,memory,CHANGELOG.md,2492,`withUnsafeTemporaryAllocation` which provides an efficient temporarily
ffi,memory,CHANGELOG.md,3792,"clarity, and efficiency."
ffi,memory,CHANGELOG.md,4368,* Use more efficient `SubSequence` types for lazy filter and map
ffi,memory,CHANGELOG.md,4625,Correct: `buffer[n..<m] = smaller_buffer.suffix(from: 0)`
filesystem,effect,benchmark/scripts/test_compare_perf_tests.py,347,class FileSystemIntegration(unittest.TestCase):
filesystem,effect,benchmark/scripts/test_compare_perf_tests.py,899,"class Test_compare_perf_tests_main(OldAndNewLog, FileSystemIntegration):"
filesystem,effect,cmake/caches/EmscriptenHostLLVM.cmake,30,"""-sALLOW_MEMORY_GROWTH=1;-sSTACK_SIZE=8388608;-sINITIAL_MEMORY=134217728;-sMODULARIZE=1;-sEXPORT_NAME=createLLVMDriver;-sFORCE_FILESYSTEM=1;-sEXIT_RUNTIME=0;-sENVIRONMENT=node,web;-sEXPORTED_RUNTIME_METHODS=FS,callMain;-gseparate-dwarf"""
filesystem,effect,cmake/caches/EmscriptenHostSwift.cmake,45,"# filesystem directly (NODERAWFS), and emit DWARF into a sidecar so the main"
filesystem,effect,cmake/modules/AddSwift.cmake,242,# to use the ANSI codepaths by default as any filesystem access can cause
filesystem,effect,cmake/modules/AddSwift.cmake,383,# the Windows SDK on case sensitive file systems.
filesystem,effect,cmake/modules/SwiftConfigureSDK.cmake,548,# the Windows SDK on case sensitive file systems.
filesystem,effect,docs/DebuggingTheCompiler.md,978,- We need to do this because the build needs a case-sensitive file system and your host machine probably has a case-insensitive file system
for,control,include/swift/AST/DiagnosticsParse.def,1232,"""C-style for statement was removed in Swift 3"", ())"
for,control,include/swift/AST/Expr.h,6555,std::optional<ForCollectionInit> ForExpressionPreamble;
for,control,include/swift/AST/Expr.h,6620,std::optional<ForCollectionInit> getForExpressionPreamble() const {
for,control,include/swift/AST/Expr.h,6621,return this->ForExpressionPreamble;
for,control,include/swift/AST/Expr.h,6624,void setForExpressionPreamble(ForCollectionInit newPreamble) {
for,control,include/swift/AST/Expr.h,6625,this->ForExpressionPreamble = newPreamble;
for,control,include/swift/Basic/Features.def,458,"EXPERIMENTAL_FEATURE(ForExpressions, false)"
for,control,include/swift/Sema/SyntacticElementTarget.h,265,static SyntacticElementTarget forExprPattern(ExprPattern *pattern);
foreach_iteration,control,CHANGELOG.md,1746,the following code diagnosed a warning in Swift 5.6 about the `T.Iterator : IteratorProtocol`
foreach_iteration,control,CHANGELOG.md,1750,func firstElement<T: Sequence>(_: T) -> T.Element where T.Iterator: IteratorProtocol {...}
foreach_iteration,control,CHANGELOG.md,2507,a type name. For instance:
foreach_iteration,control,CHANGELOG.md,2941,`AsyncSequence` and its corresponding `AsyncIterator`.
foreach_iteration,control,CHANGELOG.md,3324,This proposal also introduces new diagnostics for inserting `self` into the
foreach_iteration,control,CHANGELOG.md,4072,The new CaseIterable protocol describes types which have a static
foreach_iteration,control,CHANGELOG.md,4078,enum Suit: CaseIterable {
foreach_iteration,control,CHANGELOG.md,4093,"`Decodable`). For instance, if there is a generic wrapper type that can only"
function,declaration,CHANGELOG.md,24,"// ^ nonisolated after this change, cannot call mainActorFn without @MainActor annotation"
function,declaration,CHANGELOG.md,42,"// ^ nonisolated after this change, cannot call mainActorFn without @MainActor annotation"
function,declaration,CHANGELOG.md,233,func functionAvailableOnVersion26() {
function,declaration,CHANGELOG.md,239,functionAvailableOnVersion26()
function,declaration,CHANGELOG.md,269,cancellation in a given scope. This functionality is intended for use with cleanup actions which
function,declaration,CHANGELOG.md,376,func synchronous() { // synchronous function
function,declaration,CHANGELOG.md,460,"Nonisolated asynchronous functions may now execute on the calling actor, when the upcoming feature `NonisolatedNonsendingByDefault`"
function,declaration,CHANGELOG.md,462,"over where nonisolated asynchronous functions execute, and allows for the default behavior of their execution to be changed"
function_type,type,CHANGELOG.md,1171,function signature. For example:
function_type,type,CHANGELOG.md,1936,"* References to `optional` methods on a protocol metatype, as well as references to dynamically looked up methods on `AnyObject` are now supported on par with other function references. The type of such a reference (formerly an immediate optional by mistake) h"
function_type,type,CHANGELOG.md,2442,"* References to `Self` or so-called ""`Self` requirements"" in the type signatures"
function_type,type,CHANGELOG.md,3492,A method override is no longer allowed to have a generic signature with
function_type,type,CHANGELOG.md,4981,Argument labels have been removed from Swift function types. They are now
function_type,type,CHANGELOG.md,4995,Explicitly-written function types can no longer carry argument labels. You can still provide parameter names for documentation purposes using the '_' in the argument label position:
function_type,type,CHANGELOG.md,4999,"(token: Token, error: Error?) -> Void // error: function types cannot have argument labels"
function_type,type,CHANGELOG.md,5100,"final`) and they must use the same signature as their global counterparts. As part of this change, protocol-declared operator requirements must be declared `static` explicitly:"
gc,memory,benchmark/single-source/ToddCoxeter.swift,11,"// 1) There is no garbage collection for nodes in the graph, so when two nodes"
gc,memory,docs/WeakReferences.md,56,before it formally leaves scope). This is pervasive in GC environments
gc,memory,docs/WeakReferences.md,79,type map (in a precise-GC environment). We will call this *dangling
gc,memory,docs/WeakReferences.md,85,"properties. In GC and ARC, accessors just use the normal semantics for"
gc,memory,docs/WeakReferences.md,91,"In GC and ARC, variables qualified with `__weak` are immediately zeroed"
gc,memory,docs/proposals/Accessors.rst,789,"* using a garbage collector to manage all accessible memory, which"
gc,memory,docs/proposals/TypeState.rst,29,Typestate + GC + ARC
gc,memory,docs/proposals/TypeState.rst,36,of our objects adopt. This was a hard-won lesson dealing with GC where just
generic,declaration,CHANGELOG.md,296,`mutableBytes`) as well as the two generic `append()` methods of
generic,declaration,CHANGELOG.md,314,to be initialized. The same constraint applies to the type parameter of
generic,declaration,CHANGELOG.md,342,"module; this means that certain declarations, such as local variables and generic parameter types, cannot be found"
generic,declaration,CHANGELOG.md,972,"You can now suppress `Copyable` on protocols, generic parameters,"
generic,declaration,CHANGELOG.md,999,"By writing `~Copyable` on a generic type, you're suppressing a default"
generic,declaration,CHANGELOG.md,1002,protocols and be substituted for those generic types. Full functionality of this
generic,declaration,CHANGELOG.md,1036,"the `any` keyword, but this was not enforced in nested generic argument positions."
generic,declaration,CHANGELOG.md,1048,If a generic argument of a constrained opaque return type did not
generic_constraint,type,CHANGELOG.md,314,to be initialized. The same constraint applies to the type parameter of
generic_constraint,type,CHANGELOG.md,317,"To safely use `MutableSpan`'s `mutableBytes`, an additional safety constraint"
