grammar_rule,file,line,definition,quality_class,quality_weight,mapped_features
fun,src/main/gram.y,1242,= R_Bracket2Symbol ||,possible_grammar_rule,0.45,
fun,src/main/gram.y,1243,= R_DollarSymbol ||,possible_grammar_rule,0.45,
fun,src/main/gram.y,1244,= R_AtsignSymbol) {,likely_action_or_c_overmatch,0.12,
use_pipebind,src/main/gram.y,1330,((lookup != NULL) && StringTrue(lookup)) ? 1 : 0;,possible_grammar_rule,0.45,literal_null;literal_string
EatLines,src/main/gram.y,1374,0;,likely_action_or_c_overmatch,0.12,
tag,src/main/gram.y,1407,"installTrChar(STRING_ELT(tag, 0));",likely_action_or_c_overmatch,0.12,literal_string
tmp,src/main/gram.y,1440,"CONS(s, R_NilValue);",likely_action_or_c_overmatch,0.12,literal_null
R_NullSymbol,src/main/gram.y,1574,"install(""NULL"");",likely_action_or_c_overmatch,0.12,literal_null
R_PlaceholderToken,src/main/gram.y,1575,"ScalarString(mkChar(""_""));",likely_action_or_c_overmatch,0.12,literal_string
R_PipeBindSymbol,src/main/gram.y,1578,"install(""=>"");",likely_action_or_c_overmatch,0.12,
busy,src/main/gram.y,1619,true;,likely_action_or_c_overmatch,0.12,
busy,src/main/gram.y,1659,false;,likely_action_or_c_overmatch,0.12,
busy,src/main/gram.y,1674,true;,likely_action_or_c_overmatch,0.12,
contextp,src/main/gram.y,1693,contextstack;,likely_action_or_c_overmatch,0.12,
SavedToken,src/main/gram.y,1695,0;,likely_action_or_c_overmatch,0.12,
SavedLval,src/main/gram.y,1696,R_NilValue;,likely_action_or_c_overmatch,0.12,literal_null
EatLines,src/main/gram.y,1697,0;,likely_action_or_c_overmatch,0.12,
EndOfFile,src/main/gram.y,1698,0;,likely_action_or_c_overmatch,0.12,
xxcharcount,src/main/gram.y,1699,0;,likely_action_or_c_overmatch,0.12,literal_string
npush,src/main/gram.y,1700,0;,likely_action_or_c_overmatch,0.12,
HavePipeBind,src/main/gram.y,1701,FALSE;,likely_action_or_c_overmatch,0.12,
R_ParseContextLast,src/main/gram.y,1712,0;,likely_action_or_c_overmatch,0.12,
Status,src/main/gram.y,1740,1; /* safety */,likely_action_or_c_overmatch,0.12,
GenerateCode,src/main/gram.y,1802,gencode;,likely_action_or_c_overmatch,0.12,
fp_parse,src/main/gram.y,1803,fp;,likely_action_or_c_overmatch,0.12,
ptr_getc,src/main/gram.y,1804,file_getc;,likely_action_or_c_overmatch,0.12,pointer
keepSource,src/main/gram.y,1826,"asBool(GetOption1(install(""keep.source"")));",likely_action_or_c_overmatch,0.12,literal_boolean
GenerateCode,src/main/gram.y,1838,gencode;,likely_action_or_c_overmatch,0.12,
iob,src/main/gram.y,1839,buffer;,likely_action_or_c_overmatch,0.12,
ptr_getc,src/main/gram.y,1840,buffer_getc;,likely_action_or_c_overmatch,0.12,pointer
rval,src/main/gram.y,1900,R_Parse1(status);,likely_action_or_c_overmatch,0.12,
t,src/main/gram.y,1927,CDR(t);,likely_action_or_c_overmatch,0.12,
GenerateCode,src/main/gram.y,1949,1;,likely_action_or_c_overmatch,0.12,
fp_parse,src/main/gram.y,1950,fp;,likely_action_or_c_overmatch,0.12,
ptr_getc,src/main/gram.y,1951,file_getc;,likely_action_or_c_overmatch,0.12,pointer
c,src/main/gram.y,1964,Rconn_fgetc(con_parse);,likely_action_or_c_overmatch,0.12,
GenerateCode,src/main/gram.y,1973,1;,likely_action_or_c_overmatch,0.12,
con_parse,src/main/gram.y,1974,con;,likely_action_or_c_overmatch,0.12,
ptr_getc,src/main/gram.y,1975,con_getc;,likely_action_or_c_overmatch,0.12,pointer
txtb,src/main/gram.y,1985,&textb;,likely_action_or_c_overmatch,0.12,
GenerateCode,src/main/gram.y,1986,1;,likely_action_or_c_overmatch,0.12,
ptr_getc,src/main/gram.y,1987,text_getc;,likely_action_or_c_overmatch,0.12,pointer
rval,src/main/gram.y,1988,"R_Parse(n, status, srcfile);",likely_action_or_c_overmatch,0.12,
bufp,src/main/gram.y,2019,buf;,likely_action_or_c_overmatch,0.12,
GenerateCode,src/main/gram.y,2023,1;,likely_action_or_c_overmatch,0.12,
iob,src/main/gram.y,2024,buffer;,likely_action_or_c_overmatch,0.12,
ptr_getc,src/main/gram.y,2025,buffer_getc;,likely_action_or_c_overmatch,0.12,pointer
bufp,src/main/gram.y,2044,buf;,likely_action_or_c_overmatch,0.12,
rval,src/main/gram.y,2057,R_CurrentExpr;,likely_action_or_c_overmatch,0.12,
t,src/main/gram.y,2083,CDR(t);,likely_action_or_c_overmatch,0.12,
c,src/main/gram.y,2151,xxgetc();,likely_action_or_c_overmatch,0.12,
yylval,src/main/gram.y,2256,install(s);,likely_action_or_c_overmatch,0.12,
f,src/main/gram.y,2286,R_atof(s); /* FIXME: make certain the value is legitimate. */,possible_grammar_rule,0.45,
t,src/main/gram.y,2287,"allocVector(CPLXSXP, 1);",likely_action_or_c_overmatch,0.12,
R_ParseError,src/main/gram.y,2375,yylloc.first_line;,likely_action_or_c_overmatch,0.12,
R_ParseErrorCol,src/main/gram.y,2376,yylloc.first_column;,likely_action_or_c_overmatch,0.12,
R_ParseErrorFile,src/main/gram.y,2377,PS_SRCFILE;,likely_action_or_c_overmatch,0.12,
expecting,src/main/gram.y,2385,"strstr(s1 + sizeof yyunexpected -1, yyexpecting);",likely_action_or_c_overmatch,0.12,
formlist,src/main/gram.y,2448,CDR(formlist);,likely_action_or_c_overmatch,0.12,array_list;for
blankwct,src/main/gram.y,2467,"Ri18n_wctype(""blank"");",likely_action_or_c_overmatch,0.12,
c,src/main/gram.y,2479,xxgetc();,likely_action_or_c_overmatch,0.12,
clen,src/main/gram.y,2483,"mbcs_get_next(c, &wc);  /* always 2 */",likely_action_or_c_overmatch,0.12,
c,src/main/gram.y,2486,R_EOF;,likely_action_or_c_overmatch,0.12,
c,src/main/gram.y,2500,xxgetc();,likely_action_or_c_overmatch,0.12,
clen,src/main/gram.y,2504,"mbcs_get_next(c, &wc);",likely_action_or_c_overmatch,0.12,
c,src/main/gram.y,2507,R_EOF;,likely_action_or_c_overmatch,0.12,
c,src/main/gram.y,2548,xxgetc();,likely_action_or_c_overmatch,0.12,
maybeLine,src/main/gram.y,2550,false;,likely_action_or_c_overmatch,0.12,
c,src/main/gram.y,2556,processLineDirective(&type);,likely_action_or_c_overmatch,0.12,
_last_column,src/main/gram.y,2564,prevcols[prevpos];,likely_action_or_c_overmatch,0.12,
_last_parsed,src/main/gram.y,2565,prevparse[prevpos];,likely_action_or_c_overmatch,0.12,
doSave,src/main/gram.y,2568,!maybeLine;,likely_action_or_c_overmatch,0.12,
doSave,src/main/gram.y,2574,(yyp - yytext) < sizeof(yytext) - 2;,likely_action_or_c_overmatch,0.12,
_last_column,src/main/gram.y,2576,ParseState.xxcolno ;,likely_action_or_c_overmatch,0.12,
_last_parsed,src/main/gram.y,2577,ParseState.xxparseno ;,likely_action_or_c_overmatch,0.12,
c,src/main/gram.y,2578,xxgetc();,likely_action_or_c_overmatch,0.12,
seendot,src/main/gram.y,2616,1;,likely_action_or_c_overmatch,0.12,
seenexp,src/main/gram.y,2623,1;,likely_action_or_c_overmatch,0.12,
c,src/main/gram.y,2625,xxgetc();,likely_action_or_c_overmatch,0.12,
c,src/main/gram.y,2629,xxgetc();,likely_action_or_c_overmatch,0.12,
seenexp,src/main/gram.y,2648,1;,likely_action_or_c_overmatch,0.12,
seendot,src/main/gram.y,2649,seendot == 1 ? seendot : 2;,possible_grammar_rule,0.45,
c,src/main/gram.y,2651,xxgetc();,likely_action_or_c_overmatch,0.12,
c,src/main/gram.y,2655,xxgetc();,likely_action_or_c_overmatch,0.12,
seendot,src/main/gram.y,2662,1;,likely_action_or_c_overmatch,0.12,
last,src/main/gram.y,2665,c;,likely_action_or_c_overmatch,0.12,
asNumeric,src/main/gram.y,2689,1;,likely_action_or_c_overmatch,0.12,literal_numeric
seenexp,src/main/gram.y,2690,1;,likely_action_or_c_overmatch,0.12,
yylval,src/main/gram.y,2695,GenerateCode ? mkComplex(yytext) : R_NilValue;,possible_grammar_rule,0.45,literal_null
yylval,src/main/gram.y,2699,GenerateCode ? mkInt(yytext) : R_NilValue;,possible_grammar_rule,0.45,literal_null
yylval,src/main/gram.y,2706,(a != (double) b) ? mkFloat(yytext) : mkInt(yytext);,possible_grammar_rule,0.45,literal_numeric
yylval,src/main/gram.y,2712,GenerateCode ? mkFloat(yytext) : R_NilValue;,possible_grammar_rule,0.45,literal_null;literal_numeric
stext,src/main/gram.y,2732,(char *)RAW(st1);       \,likely_action_or_c_overmatch,0.12,literal_string
bp,src/main/gram.y,2736,stext+nc; }		    \,likely_action_or_c_overmatch,0.12,
clen,src/main/gram.y,2769,utf8clen(c);,likely_action_or_c_overmatch,0.12,
c,src/main/gram.y,2771,xxgetc();,likely_action_or_c_overmatch,0.12,
res,src/main/gram.y,2779,"mbtoucs(wc, s, clen);",likely_action_or_c_overmatch,0.12,
res,src/main/gram.y,2786,"mbtoucs(wc, s, clen);",likely_action_or_c_overmatch,0.12,
c,src/main/gram.y,2792,xxgetc();,likely_action_or_c_overmatch,0.12,
nb,src/main/gram.y,2814,cnt*4; /* UCS-2/UTF-16 so max 4 bytes per wchar_t */,likely_action_or_c_overmatch,0.12,literal_string
nb,src/main/gram.y,2816,cnt*6;,likely_action_or_c_overmatch,0.12,
res,src/main/gram.y,2845,min;,likely_action_or_c_overmatch,0.12,
res,src/main/gram.y,2851,(int) (cc - c);,likely_action_or_c_overmatch,0.12,
currtext_truncated,src/main/gram.y,2868,true;                                 \,likely_action_or_c_overmatch,0.12,
c,src/main/gram.y,2905,'\\';,likely_action_or_c_overmatch,0.12,
c,src/main/gram.y,2908,xxgetc();,likely_action_or_c_overmatch,0.12,
c,src/main/gram.y,2913,xxgetc();,likely_action_or_c_overmatch,0.12,
octal,src/main/gram.y,2917,8 * octal + c - '0';,likely_action_or_c_overmatch,0.12,
c,src/main/gram.y,2918,xxgetc();,likely_action_or_c_overmatch,0.12,
octal,src/main/gram.y,2922,8 * octal + c - '0';,likely_action_or_c_overmatch,0.12,
c,src/main/gram.y,2935,octal;,likely_action_or_c_overmatch,0.12,
oct_or_hex,src/main/gram.y,2936,true;,likely_action_or_c_overmatch,0.12,
c,src/main/gram.y,2941,xxgetc();,likely_action_or_c_overmatch,0.12,
val,src/main/gram.y,2957,16*val + ext;,likely_action_or_c_overmatch,0.12,
c,src/main/gram.y,2963,val;,likely_action_or_c_overmatch,0.12,
oct_or_hex,src/main/gram.y,2964,true;,likely_action_or_c_overmatch,0.12,
c,src/main/gram.y,2973,xxgetc();,likely_action_or_c_overmatch,0.12,
delim,src/main/gram.y,2976,true;,likely_action_or_c_overmatch,0.12,
c,src/main/gram.y,2980,xxgetc();,likely_action_or_c_overmatch,0.12,
val,src/main/gram.y,2996,16*val + ext;,likely_action_or_c_overmatch,0.12,
c,src/main/gram.y,3000,xxgetc();,likely_action_or_c_overmatch,0.12,
use_wcs,src/main/gram.y,3011,true;,likely_action_or_c_overmatch,0.12,
c,src/main/gram.y,3020,xxgetc();,likely_action_or_c_overmatch,0.12,
delim,src/main/gram.y,3023,true;,likely_action_or_c_overmatch,0.12,
c,src/main/gram.y,3027,xxgetc();,likely_action_or_c_overmatch,0.12,
val,src/main/gram.y,3043,16*val + ext;,likely_action_or_c_overmatch,0.12,
c,src/main/gram.y,3047,xxgetc();,likely_action_or_c_overmatch,0.12,
val,src/main/gram.y,3067,val - 0x010000;,likely_action_or_c_overmatch,0.12,
val,src/main/gram.y,3069,0xDC00 | (val & 0x03FF);,possible_grammar_rule,0.45,
use_wcs,src/main/gram.y,3073,true;,likely_action_or_c_overmatch,0.12,
c,src/main/gram.y,3079,'\a';,likely_action_or_c_overmatch,0.12,
c,src/main/gram.y,3082,'\b';,likely_action_or_c_overmatch,0.12,
c,src/main/gram.y,3085,'\f';,likely_action_or_c_overmatch,0.12,
c,src/main/gram.y,3088,'\n';,likely_action_or_c_overmatch,0.12,
c,src/main/gram.y,3091,'\r';,likely_action_or_c_overmatch,0.12,
c,src/main/gram.y,3094,'\t';,likely_action_or_c_overmatch,0.12,
c,src/main/gram.y,3097,'\v';,likely_action_or_c_overmatch,0.12,
default,src/main/gram.y,3106,{,likely_action_or_c_overmatch,0.12,
c,src/main/gram.y,3120,R_EOF;,likely_action_or_c_overmatch,0.12,
c,src/main/gram.y,3129,xxgetc();,likely_action_or_c_overmatch,0.12,
c,src/main/gram.y,3134,'\\';,likely_action_or_c_overmatch,0.12,
res,src/main/gram.y,3152,"(int) mbtoucs(&wc, s, 2);",likely_action_or_c_overmatch,0.12,
res,src/main/gram.y,3160,"(int) mbrtowc(&wc, s, 2, &mb_st);",likely_action_or_c_overmatch,0.12,
c,src/main/gram.y,3226,xxgetc();,likely_action_or_c_overmatch,0.12,
clen,src/main/gram.y,3265,"mbcs_get_next2(c, &wc);",likely_action_or_c_overmatch,0.12,
c,src/main/gram.y,3268,R_EOF;,likely_action_or_c_overmatch,0.12,
c,src/main/gram.y,3277,xxgetc();,likely_action_or_c_overmatch,0.12,
res,src/main/gram.y,3293,"(int) mbtoucs(&wc, s, 2);",likely_action_or_c_overmatch,0.12,
res,src/main/gram.y,3301,"(int) mbrtowc(&wc, s, 2, &mb_st);",likely_action_or_c_overmatch,0.12,
yylval,src/main/gram.y,3359,install(yytext);,likely_action_or_c_overmatch,0.12,
used,src/main/gram.y,3378,"Mbrtowc(&wc, p, n, &mb_st); p += used; n -= used;",likely_action_or_c_overmatch,0.12,
clen,src/main/gram.y,3414,"mbcs_get_next(c, &wc);",likely_action_or_c_overmatch,0.12,
c,src/main/gram.y,3420,xxgetc();,likely_action_or_c_overmatch,0.12,
clen,src/main/gram.y,3424,1;,likely_action_or_c_overmatch,0.12,
clen,src/main/gram.y,3427,"mbcs_get_next(c, &wc);",likely_action_or_c_overmatch,0.12,
HavePlaceholder,src/main/gram.y,3450,true;,likely_action_or_c_overmatch,0.12,
c,src/main/gram.y,3480,SkipSpace();,likely_action_or_c_overmatch,0.12,
tok,src/main/gram.y,3482,NumericValue(c);,likely_action_or_c_overmatch,0.12,literal_numeric
linenumber,src/main/gram.y,3483,atoi(yytext);,likely_action_or_c_overmatch,0.12,enum;literal_numeric
c,src/main/gram.y,3484,SkipSpace();,likely_action_or_c_overmatch,0.12,
tok,src/main/gram.y,3486,"StringValue(c, false);",likely_action_or_c_overmatch,0.12,literal_string
c,src/main/gram.y,3523,SavedToken;,likely_action_or_c_overmatch,0.12,
yylval,src/main/gram.y,3524,SavedLval;,likely_action_or_c_overmatch,0.12,
SavedLval,src/main/gram.y,3525,R_NilValue;,likely_action_or_c_overmatch,0.12,literal_null
SavedToken,src/main/gram.y,3526,0;,likely_action_or_c_overmatch,0.12,
xxcharsave,src/main/gram.y,3533,xxcharcount; /* want to be able to go back one token */,likely_action_or_c_overmatch,0.12,literal_string
c,src/main/gram.y,3535,SkipSpace();,likely_action_or_c_overmatch,0.12,
yylval,src/main/gram.y,3597,"install_and_save(""<="");",likely_action_or_c_overmatch,0.12,
yylval,src/main/gram.y,3601,"install_and_save(""<-"");",likely_action_or_c_overmatch,0.12,
yylval,src/main/gram.y,3606,"install_and_save(""<<-"");",likely_action_or_c_overmatch,0.12,
yylval,src/main/gram.y,3612,"install_and_save(""<"");",likely_action_or_c_overmatch,0.12,
yylval,src/main/gram.y,3617,"install_and_save2(""<<-"", ""->>"");",likely_action_or_c_overmatch,0.12,
yylval,src/main/gram.y,3621,"install_and_save2(""<-"", ""->"");",likely_action_or_c_overmatch,0.12,
yylval,src/main/gram.y,3625,"install_and_save(""-"");",likely_action_or_c_overmatch,0.12,
yylval,src/main/gram.y,3629,"install_and_save("">="");",likely_action_or_c_overmatch,0.12,
yylval,src/main/gram.y,3632,"install_and_save("">"");",likely_action_or_c_overmatch,0.12,
yylval,src/main/gram.y,3636,"install_and_save(""!="");",likely_action_or_c_overmatch,0.12,
yylval,src/main/gram.y,3639,"install_and_save(""!"");",likely_action_or_c_overmatch,0.12,
yylval,src/main/gram.y,3643,"install_and_save(""=="");",likely_action_or_c_overmatch,0.12,
yylval,src/main/gram.y,3647,"install_and_save(""=>"");",likely_action_or_c_overmatch,0.12,
HavePipeBind,src/main/gram.y,3648,true;,likely_action_or_c_overmatch,0.12,
yylval,src/main/gram.y,3651,"install_and_save(""="");",likely_action_or_c_overmatch,0.12,
yylval,src/main/gram.y,3656,"install_and_save("":::"");",possible_grammar_rule,0.45,
yylval,src/main/gram.y,3660,"install_and_save(""::"");",possible_grammar_rule,0.45,
yylval,src/main/gram.y,3665,"install_and_save("":="");",possible_grammar_rule,0.45,
yylval,src/main/gram.y,3668,"install_and_save("":"");",possible_grammar_rule,0.45,
yylval,src/main/gram.y,3672,"install_and_save(""&&"");",likely_action_or_c_overmatch,0.12,
yylval,src/main/gram.y,3675,"install_and_save(""&"");",likely_action_or_c_overmatch,0.12,
yylval,src/main/gram.y,3679,"install_and_save(""||"");",possible_grammar_rule,0.45,
yylval,src/main/gram.y,3683,"install_and_save(""|>"");",possible_grammar_rule,0.45,
yylval,src/main/gram.y,3686,"install_and_save(""|"");",possible_grammar_rule,0.45,
yylval,src/main/gram.y,3689,"install_and_save(""{"");",likely_action_or_c_overmatch,0.12,
yylval,src/main/gram.y,3695,"install_and_save(""("");",likely_action_or_c_overmatch,0.12,
yylval,src/main/gram.y,3702,"install_and_save(""[["");",likely_action_or_c_overmatch,0.12,
yylval,src/main/gram.y,3705,"install_and_save(""["");",likely_action_or_c_overmatch,0.12,
yylval,src/main/gram.y,3711,"install_and_save(""?"");",likely_action_or_c_overmatch,0.12,
yylval,src/main/gram.y,3720,"install_and_save2(""^"", ""**"");",likely_action_or_c_overmatch,0.12,
yylval,src/main/gram.y,3723,"install_and_save(""*"");",likely_action_or_c_overmatch,0.12,
yylval,src/main/gram.y,3734,install(yytext);,likely_action_or_c_overmatch,0.12,
clen,src/main/gram.y,3743,1;,likely_action_or_c_overmatch,0.12,
clen,src/main/gram.y,3746,"mbcs_get_next(c, &wc);",likely_action_or_c_overmatch,0.12,
_current_token,src/main/gram.y,3799,res ;,likely_action_or_c_overmatch,0.12,
tok,src/main/gram.y,3819,token_();,likely_action_or_c_overmatch,0.12,
tok,src/main/gram.y,3841,token_();,likely_action_or_c_overmatch,0.12,
EatLines,src/main/gram.y,3878,1;,likely_action_or_c_overmatch,0.12,
SavedToken,src/main/gram.y,3885,tok;,likely_action_or_c_overmatch,0.12,
xxlinesave,src/main/gram.y,3886,yylloc.first_line;,likely_action_or_c_overmatch,0.12,
xxcolsave,src/main/gram.y,3887,yylloc.first_column;,likely_action_or_c_overmatch,0.12,
xxbytesave,src/main/gram.y,3888,yylloc.first_byte;,likely_action_or_c_overmatch,0.12,
xxparsesave,src/main/gram.y,3889,yylloc.first_parsed;,likely_action_or_c_overmatch,0.12,
SavedLval,src/main/gram.y,3890,yylval;,likely_action_or_c_overmatch,0.12,
EatLines,src/main/gram.y,3947,1;,likely_action_or_c_overmatch,0.12,
EatLines,src/main/gram.y,3955,1;,likely_action_or_c_overmatch,0.12,
EatLines,src/main/gram.y,3964,1;,likely_action_or_c_overmatch,0.12,
EatLines,src/main/gram.y,3985,0;,likely_action_or_c_overmatch,0.12,
EatLines,src/main/gram.y,4010,1;,likely_action_or_c_overmatch,0.12,
EatLines,src/main/gram.y,4024,0;,likely_action_or_c_overmatch,0.12,
EatLines,src/main/gram.y,4037,0;,likely_action_or_c_overmatch,0.12,
loc,src/main/gram.y,4101,childs[ii] ;,likely_action_or_c_overmatch,0.12,
len,src/main/gram.y,4156,(len < length(x)) ? len : length(x);,possible_grammar_rule,0.45,
id,src/main/gram.y,4184,_ID(i);,likely_action_or_c_overmatch,0.12,
parent,src/main/gram.y,4185,ID_PARENT( id ) ;,likely_action_or_c_overmatch,0.12,
parent,src/main/gram.y,4187,ID_PARENT( parent ) ;,likely_action_or_c_overmatch,0.12,
parent,src/main/gram.y,4200,ID_PARENT( id ) ;,likely_action_or_c_overmatch,0.12,
id,src/main/gram.y,4203,parent;,likely_action_or_c_overmatch,0.12,
parent,src/main/gram.y,4204,ID_PARENT( parent );,likely_action_or_c_overmatch,0.12,
Consequently,src/main/gram.y,4226,the first non-terminal after a comment that encloses the,likely_action_or_c_overmatch,0.12,
orphan,src/main/gram.y,4265,0;,likely_action_or_c_overmatch,0.12,
j,src/main/gram.y,4272,ID_ID(jparent);,likely_action_or_c_overmatch,0.12,
comment_line,src/main/gram.y,4288,_FIRST_PARSED( i ) ;,likely_action_or_c_overmatch,0.12,
comment_first_col,src/main/gram.y,4289,_FIRST_COLUMN( i ) ;,likely_action_or_c_overmatch,0.12,
orphan,src/main/gram.y,4291,1 ;,likely_action_or_c_overmatch,0.12,
this_first_parsed,src/main/gram.y,4293,_FIRST_PARSED( j ) ;,likely_action_or_c_overmatch,0.12,
this_first_col,src/main/gram.y,4294,_FIRST_COLUMN( j ) ;,likely_action_or_c_overmatch,0.12,
this_last_parsed,src/main/gram.y,4295,_LAST_PARSED( j ) ;,likely_action_or_c_overmatch,0.12,
orphan,src/main/gram.y,4306,0;,likely_action_or_c_overmatch,0.12,
xlat,src/main/gram.y,4340,token;,likely_action_or_c_overmatch,0.12,
new_data_count,src/main/gram.y,4384,INIT_DATA_COUNT;,likely_action_or_c_overmatch,0.12,
new_data_count,src/main/gram.y,4388,2*DATA_COUNT;,likely_action_or_c_overmatch,0.12,
new_count,src/main/gram.y,4401,INIT_DATA_COUNT/2 - 1;,likely_action_or_c_overmatch,0.12,
new_count,src/main/gram.y,4404,ID_COUNT;,likely_action_or_c_overmatch,0.12,
new_count,src/main/gram.y,4407,2*new_count + 1;,likely_action_or_c_overmatch,0.12,
srcfile,src/main/gram.y,4433,"R_findVar(install(""filename""), srcfile);",likely_action_or_c_overmatch,0.12,
lineno,src/main/gram.y,4456,"lloc->first_line,",likely_action_or_c_overmatch,0.12,
colno,src/main/gram.y,4457,lloc->first_column;,likely_action_or_c_overmatch,0.12,
cond,src/main/gram.y,4463,"R_makeErrorCondition(call, ""parseError"", subclassname,",likely_action_or_c_overmatch,0.12,call;class
cond,src/main/gram.y,4468,"R_makeErrorCondition(call, ""parseError"", subclassname,",likely_action_or_c_overmatch,0.12,call;class
cond,src/main/gram.y,4474,"R_makeErrorCondition(call, ""parseError"", subclassname,",likely_action_or_c_overmatch,0.12,call;class
cond,src/main/gram.y,4480,"R_makeErrorCondition(call, ""parseError"", subclassname,",likely_action_or_c_overmatch,0.12,call;class
