witness_id,demand_primitive,closure_primitive,classification,exact_existing,parameterized_existing,derived_existing
CASE_199138151d2b59b78c8d6a11,LOAD,LOAD,EXACT_EXISTING,true,false,false
CASE_9bb0cf071877c609164377fc,ITERATION,ITERATION,EXACT_EXISTING,true,false,false
CASE_7cc4f0e090f0dfd270ce9b89,STORE,STORE,EXACT_EXISTING,true,false,false
CASE_12d6e0a2f85fcc76674d7d19,CALL,CALL,EXACT_EXISTING,true,false,false
CASE_810b782d8c51434433e65c3f,CONTROL_TRANSFER,CONTROL_TRANSFER,EXACT_EXISTING,true,false,false
CASE_8272072bb3da56a9be678a95,BINARY:MUL,BINARY:MUL,EXACT_EXISTING,true,false,false
CASE_840ece4c6961309cd2338f6a,COMPARE:GE,COMPARE:GE,EXACT_EXISTING,true,false,false
CASE_5ad11def79baa62041483894,CONTROL_TRANSFER,CONTROL_TRANSFER,EXACT_EXISTING,true,false,false
CASE_6f566ed37079b15b92909764,LOAD,LOAD,EXACT_EXISTING,true,false,false
CASE_7bd7f2d0c4a02c41bdea131f,ITERATION,ITERATION,EXACT_EXISTING,true,false,false
CASE_b8d674deab77a9c9d4b08786,STORE,STORE,EXACT_EXISTING,true,false,false
CASE_b5a1f706347c4eaec1f203bb,COMPARE:LE,COMPARE:LE,EXACT_EXISTING,true,false,false
CASE_648dc829a91f6bc798209ec6,COMPARE:NE,COMPARE:NE,EXACT_EXISTING,true,false,false
CASE_302deee3977e33fd1f468399,STORE,STORE,EXACT_EXISTING,true,false,false
CASE_199138151d2b59b78c8d6a11,LITERAL,LITERAL,EXACT_EXISTING,true,false,false
CASE_1c98cfbcc09e61415b5eb6af,BINARY:MUL,BINARY:MUL,EXACT_EXISTING,true,false,false
CASE_f1cb7e63bc5a51fb37495966,STORE,STORE,EXACT_EXISTING,true,false,false
CASE_10989dcb73d1c7d41efada80,ITERATION,ITERATION,EXACT_EXISTING,true,false,false
CASE_1e883cfa9fd5747cf752254f,CALL,CALL,EXACT_EXISTING,true,false,false
CASE_a69a80f1236c6888ce868269,LITERAL,LITERAL,EXACT_EXISTING,true,false,false
CASE_fd82a37d45398c012728a873,COMPARE:NE,COMPARE:NE,EXACT_EXISTING,true,false,false
CASE_b8b28be9104a959cd910ffcc,CONTROL_TRANSFER,CONTROL_TRANSFER,EXACT_EXISTING,true,false,false
CASE_69c02dec666743f5b9865fd9,CALL,CALL,EXACT_EXISTING,true,false,false
CASE_77a27ee7f1b4873e6639ba17,LITERAL,LITERAL,EXACT_EXISTING,true,false,false
CASE_dc19b2bf3492cb2465b7da81,CONTROL_TRANSFER,CONTROL_TRANSFER,EXACT_EXISTING,true,false,false
CASE_2d85947c35d75afc4bf139fd,CONTROL_TRANSFER,CONTROL_TRANSFER,EXACT_EXISTING,true,false,false
CASE_46a86edf86c98b5c563c8f3e,COMPARE:NE,COMPARE:NE,EXACT_EXISTING,true,false,false
CASE_078ba66239d27d794c79c5da,BINARY:SUB,BINARY:SUB,EXACT_EXISTING,true,false,false
CASE_9fb77eaca37086f6228c7abe,CONTROL_TRANSFER,CONTROL_TRANSFER,EXACT_EXISTING,true,false,false
CASE_5108ea9cfe47ce8209d815b7,COMPARE:EQ,COMPARE:EQ,EXACT_EXISTING,true,false,false
CASE_e79555dd4d4ba9db4b0ea600,COMPARE:LT,COMPARE:LT,EXACT_EXISTING,true,false,false
CASE_0974ee939a0336a4e061a0b7,ITERATION,ITERATION,EXACT_EXISTING,true,false,false
CASE_8a0065b75a0c0c09cfc4f7bb,ITERATION,ITERATION,EXACT_EXISTING,true,false,false
CASE_0a69759a48bf20569f3e3dea,CONTROL_TRANSFER,CONTROL_TRANSFER,EXACT_EXISTING,true,false,false
CASE_abecf2247af8b2f2b824ee6e,COMPARE:EQ,COMPARE:EQ,EXACT_EXISTING,true,false,false
CASE_9bf346b0c5a5c78a7f63fc90,BINARY:ADD,BINARY:ADD,EXACT_EXISTING,true,false,false
CASE_4f718f71b5902fc726c7f906,COMPARE:LT,COMPARE:LT,EXACT_EXISTING,true,false,false
CASE_2193e812387793fe741ebe59,CALL,CALL,EXACT_EXISTING,true,false,false
CASE_c4280857befb9a48b834e01f,BITWISE_BINARY:OR,BITWISE_BINARY:XOR,PARAMETERIZED_EXISTING,false,true,false
CASE_a63ceab49cb80fdcbf54c192,LOAD,LOAD,EXACT_EXISTING,true,false,false
CASE_633e2ff5f00127937b6a29a7,STORE,STORE,EXACT_EXISTING,true,false,false
CASE_8a6644a3677f05b60407e118,COMPARE:EQ,COMPARE:EQ,EXACT_EXISTING,true,false,false
CASE_718957e8a177009668c18d70,BINARY:ADD,BINARY:ADD,EXACT_EXISTING,true,false,false
CASE_f7c63116460117afdd9cb05b,LITERAL,LITERAL,EXACT_EXISTING,true,false,false
CASE_6275242599a68cd0b461f77d,CALL,CALL,EXACT_EXISTING,true,false,false
CASE_4a319d28e77a38a4aedee3ea,BINARY:SUB,BINARY:SUB,EXACT_EXISTING,true,false,false
CASE_6c5872a90b612fccc7535775,STORE,STORE,EXACT_EXISTING,true,false,false
CASE_e79555dd4d4ba9db4b0ea600,STORE,STORE,EXACT_EXISTING,true,false,false
CASE_d22262bbb7ad2cd877ffd1d2,STORE,STORE,EXACT_EXISTING,true,false,false
CASE_72b83a105420c1cdc003b627,COMPARE:GT,COMPARE:GT,EXACT_EXISTING,true,false,false
CASE_df913a009c11066382b5fe8a,CONTROL_TRANSFER,CONTROL_TRANSFER,EXACT_EXISTING,true,false,false
CASE_e32b1d5bb6daa92d193db53c,STORE,STORE,EXACT_EXISTING,true,false,false
CASE_d76f6f994faa9904097fa5c8,ITERATION,ITERATION,EXACT_EXISTING,true,false,false
CASE_47f9520c13a380ac2ca2f484,CONTROL_TRANSFER,CONTROL_TRANSFER,EXACT_EXISTING,true,false,false
CASE_046c453c23416487a21aee90,COMPARE:EQ,COMPARE:EQ,EXACT_EXISTING,true,false,false
CASE_b3900adeeed25fc95326e941,COMPARE:NE,COMPARE:NE,EXACT_EXISTING,true,false,false
CASE_0846d9ec1effa2e0fbc2026a,BINARY:DIV,BINARY:DIV,EXACT_EXISTING,true,false,false
CASE_faa554a06a28b95bfe9380a7,CALL,CALL,EXACT_EXISTING,true,false,false
CASE_32fa3d223f2a27b5414f5050,BINARY:ADD,BINARY:ADD,EXACT_EXISTING,true,false,false
CASE_f082f40c1b953556760d6f0e,CONTROL_TRANSFER,CONTROL_TRANSFER,EXACT_EXISTING,true,false,false
CASE_4e3925c2fa6159ca4c79cbce,COMPARE:NE,COMPARE:NE,EXACT_EXISTING,true,false,false
CASE_82624870e6f6f45f17bf6e5e,COMPARE:GT,COMPARE:GT,EXACT_EXISTING,true,false,false
CASE_83a3d2794ebfa4339f770d77,BINARY:DIV,BINARY:DIV,EXACT_EXISTING,true,false,false
CASE_98e47622f8f9739a44c020b9,CALL,CALL,EXACT_EXISTING,true,false,false
CASE_e313beba9485e5d73daa9409,LITERAL,LITERAL,EXACT_EXISTING,true,false,false
CASE_0c94dae2bf02a0f2e5ba2e1e,COMPARE:EQ,COMPARE:EQ,EXACT_EXISTING,true,false,false
CASE_7676442074028ba96a2522dc,LITERAL,LITERAL,EXACT_EXISTING,true,false,false
CASE_f9cc2788654c7b89ca981cca,LITERAL,LITERAL,EXACT_EXISTING,true,false,false
CASE_d056e7a68c481d38edf5f2de,CALL,CALL,EXACT_EXISTING,true,false,false
CASE_05a258e6de378a5eb0614fe8,STORE,STORE,EXACT_EXISTING,true,false,false
CASE_acd84f6339179c35715b287b,COMPARE:LE,COMPARE:LE,EXACT_EXISTING,true,false,false
CASE_7999e5fbe8c553d176613c71,COMPARE:GE,COMPARE:GE,EXACT_EXISTING,true,false,false
CASE_77a27ee7f1b4873e6639ba17,ITERATION,ITERATION,EXACT_EXISTING,true,false,false
CASE_003fd67e45cf57c7e729fca9,STORE,STORE,EXACT_EXISTING,true,false,false
CASE_61d4f1b62fd5dbeaa240ca4a,CALL,CALL,EXACT_EXISTING,true,false,false
CASE_cc472778e76ca57e79797da0,COMPARE:LT,COMPARE:LT,EXACT_EXISTING,true,false,false
CASE_2a13e20fdb61b16589884a82,COMPARE:EQ,COMPARE:EQ,EXACT_EXISTING,true,false,false
CASE_a9a94da384fc47f163a48130,LOAD,LOAD,EXACT_EXISTING,true,false,false
CASE_93be2fe91ee3298636e99f31,CONTROL_TRANSFER,CONTROL_TRANSFER,EXACT_EXISTING,true,false,false
CASE_76ab454be5107c76c508fd98,CALL,CALL,EXACT_EXISTING,true,false,false
CASE_9b9b306993881e7db8b5d141,LITERAL,LITERAL,EXACT_EXISTING,true,false,false
CASE_39116da3e00579fc3bfa22da,BINARY:ADD,BINARY:ADD,EXACT_EXISTING,true,false,false
CASE_5d780ddd1ef93a661e3d0079,LITERAL,LITERAL,EXACT_EXISTING,true,false,false
CASE_18bef4f465fdedbc31a2f157,STORE,STORE,EXACT_EXISTING,true,false,false
CASE_bb3bd4c09b09e28de2cb97f8,BINARY:ADD,BINARY:ADD,EXACT_EXISTING,true,false,false
CASE_77a27ee7f1b4873e6639ba17,LOAD,LOAD,EXACT_EXISTING,true,false,false
CASE_f9e83f9569a8a0fbc18e9560,CALL,CALL,EXACT_EXISTING,true,false,false
CASE_c88464e2e0012ec6e65af1bd,LOAD,LOAD,EXACT_EXISTING,true,false,false
CASE_a0fa1f036a6036ec60f3cfcd,CONTROL_TRANSFER,CONTROL_TRANSFER,EXACT_EXISTING,true,false,false
CASE_61d0f16987fd6fb72fa2f5c4,BINARY:ADD,BINARY:ADD,EXACT_EXISTING,true,false,false
CASE_b910ce5c9f9ada581bcb20a0,BINARY:ADD,BINARY:ADD,EXACT_EXISTING,true,false,false
CASE_3f555aa9488cb66ae8d16967,BINARY:SUB,BINARY:SUB,EXACT_EXISTING,true,false,false
CASE_57d5ae7e318b6f20d42bb1ba,CONTROL_TRANSFER,CONTROL_TRANSFER,EXACT_EXISTING,true,false,false
CASE_0ee77207ff491cb99f727cd0,CONTROL_TRANSFER,CONTROL_TRANSFER,EXACT_EXISTING,true,false,false
CASE_3e46f3ecc5ca6b9ee0ac78f6,COMPARE:EQ,COMPARE:EQ,EXACT_EXISTING,true,false,false
CASE_76ab454be5107c76c508fd98,LITERAL,LITERAL,EXACT_EXISTING,true,false,false
CASE_1aa4ad55cad499fc7250081e,CONTROL_TRANSFER,CONTROL_TRANSFER,EXACT_EXISTING,true,false,false
CASE_86b90078107c8f26b4a45a06,STORE,STORE,EXACT_EXISTING,true,false,false
CASE_c2e7de3e94c462064fe000e5,COMPARE:LT,COMPARE:LT,EXACT_EXISTING,true,false,false
CASE_49b94d375f26f2c8c33aeeb2,LITERAL,LITERAL,EXACT_EXISTING,true,false,false
CASE_183cdb79a9cbd5f6cb7d4f8d,LITERAL,LITERAL,EXACT_EXISTING,true,false,false
CASE_3667c18b71145ced2d0af2d4,LITERAL,LITERAL,EXACT_EXISTING,true,false,false
CASE_6805799c7de190f7258dd622,BITWISE_BINARY:AND,BITWISE_BINARY:XOR,PARAMETERIZED_EXISTING,false,true,false
CASE_3d1e1da0c5e26016fc648db5,COMPARE:LT,COMPARE:LT,EXACT_EXISTING,true,false,false
CASE_dfd4c3d636a070ee1bbc0cb2,COMPARE:LT,COMPARE:LT,EXACT_EXISTING,true,false,false
CASE_1d0e783c8093776e571320d1,BITWISE_BINARY:AND,BITWISE_BINARY:XOR,PARAMETERIZED_EXISTING,false,true,false
CASE_d1fe03adb18d357ddac81308,STORE,STORE,EXACT_EXISTING,true,false,false
CASE_0a3411c0072d2463c0edca51,CONTROL_TRANSFER,CONTROL_TRANSFER,EXACT_EXISTING,true,false,false
CASE_f1e3aad295abd791c003ca5f,CALL,CALL,EXACT_EXISTING,true,false,false
CASE_507020b1a11eeaa7826943ca,STORE,STORE,EXACT_EXISTING,true,false,false
CASE_af34551f63d65b5430bdedbb,LOAD,LOAD,EXACT_EXISTING,true,false,false
CASE_710f895363e95ecd264680ce,COMPARE:EQ,COMPARE:EQ,EXACT_EXISTING,true,false,false
CASE_a5708ce33390a49ec06fc672,COMPARE:EQ,COMPARE:EQ,EXACT_EXISTING,true,false,false
CASE_6e75b93ef1c9a07115d237a3,COMPARE:GE,COMPARE:GE,EXACT_EXISTING,true,false,false
CASE_01e7c956bcf668885da42147,COMPARE:EQ,COMPARE:EQ,EXACT_EXISTING,true,false,false
CASE_8749531d7763d8a9edd60f76,CALL,CALL,EXACT_EXISTING,true,false,false
CASE_192d6724295786feb021a11f,COMPARE:LT,COMPARE:LT,EXACT_EXISTING,true,false,false
CASE_c93d0b9da52cacf75b79e77c,COMPARE:GE,COMPARE:GE,EXACT_EXISTING,true,false,false
CASE_528763d1f9634336f2e10adb,BINARY:DIV,BINARY:DIV,EXACT_EXISTING,true,false,false
CASE_e8a4e65b625528f4637accf4,COMPARE:EQ,COMPARE:EQ,EXACT_EXISTING,true,false,false
CASE_c03d8919b2654917d7799e4b,ITERATION,ITERATION,EXACT_EXISTING,true,false,false
CASE_768931787508ff07ba5a9aa9,COMPARE:GT,COMPARE:GT,EXACT_EXISTING,true,false,false
CASE_61d0f16987fd6fb72fa2f5c4,CONTROL_TRANSFER,CONTROL_TRANSFER,EXACT_EXISTING,true,false,false
CASE_302deee3977e33fd1f468399,LITERAL,LITERAL,EXACT_EXISTING,true,false,false
CASE_e6111e0a628628328bb9fc78,CALL,CALL,EXACT_EXISTING,true,false,false
CASE_490dd6f9eb8716a804c1b12d,LOAD,LOAD,EXACT_EXISTING,true,false,false
CASE_f36bd298aadbbb550d01e97a,STORE,STORE,EXACT_EXISTING,true,false,false
CASE_8c83ca63975c4b5279af4919,COMPARE:GT,COMPARE:GT,EXACT_EXISTING,true,false,false
CASE_5fa574818fec626b9ab62b98,LOAD,LOAD,EXACT_EXISTING,true,false,false
CASE_130bc15027c4f9d20095eccb,COMPARE:NE,COMPARE:NE,EXACT_EXISTING,true,false,false
CASE_badf08a2058ef4fd8471a2a1,ITERATION,ITERATION,EXACT_EXISTING,true,false,false
CASE_2eb4bdd3b796220967abd748,LOAD,LOAD,EXACT_EXISTING,true,false,false
CASE_6e91155a5f3b93cc1ccc88b5,LITERAL,LITERAL,EXACT_EXISTING,true,false,false
CASE_9a4ed855a21579e0f7216798,CONTROL_TRANSFER,CONTROL_TRANSFER,EXACT_EXISTING,true,false,false
CASE_515a737b111451387f2d226b,BINARY:MUL,BINARY:MUL,EXACT_EXISTING,true,false,false
CASE_da4321e7b3ae606b682b8744,COMPARE:LT,COMPARE:LT,EXACT_EXISTING,true,false,false
CASE_b3900adeeed25fc95326e941,COMPARE:NE,COMPARE:NE,EXACT_EXISTING,true,false,false
CASE_dd0c314e5f50dede54615559,COMPARE:LT,COMPARE:LT,EXACT_EXISTING,true,false,false
CASE_66496562e1b47651460bad6d,STORE,STORE,EXACT_EXISTING,true,false,false
CASE_c5e5b008348b6ada68dc02fd,COMPARE:LT,COMPARE:LT,EXACT_EXISTING,true,false,false
CASE_5cdab0452f025943e67f85a9,BINARY:SUB,BINARY:SUB,EXACT_EXISTING,true,false,false
CASE_223eaac60d26ef1091ba3fde,BINARY:POW,BINARY:POW,EXACT_EXISTING,true,false,false
CASE_aa5a0dafa9d15181322d35a9,LOAD,LOAD,EXACT_EXISTING,true,false,false
CASE_047bbfd7fa4e15a44731f2fd,ITERATION,ITERATION,EXACT_EXISTING,true,false,false
CASE_5580bf15db1b0f39b1e7533a,COMPARE:EQ,COMPARE:EQ,EXACT_EXISTING,true,false,false
CASE_da74b2d94458d5a27ec488db,LITERAL,LITERAL,EXACT_EXISTING,true,false,false
CASE_4afacee0187ef364562edd81,COMPARE:GE,COMPARE:GE,EXACT_EXISTING,true,false,false
CASE_205fcfc3767538db44b56433,STORE,STORE,EXACT_EXISTING,true,false,false
CASE_7c75dfba555679bfb90e6a45,STORE,STORE,EXACT_EXISTING,true,false,false
CASE_796bde1afaf8e2d983f9f636,CONTROL_TRANSFER,CONTROL_TRANSFER,EXACT_EXISTING,true,false,false
CASE_aa085225f92096c20aae683b,BINARY:MUL,BINARY:MUL,EXACT_EXISTING,true,false,false
CASE_18bb5d88304dbbb9f407f54b,CONTROL_TRANSFER,CONTROL_TRANSFER,EXACT_EXISTING,true,false,false
CASE_93e803a32324de523ac9aafe,CALL,CALL,EXACT_EXISTING,true,false,false
CASE_161bb5d7eade1bf9431372eb,COMPARE:GT,COMPARE:GT,EXACT_EXISTING,true,false,false
CASE_a3853ed5f5369f78cd486606,CONTROL_TRANSFER,CONTROL_TRANSFER,EXACT_EXISTING,true,false,false
CASE_cf818ed6301858e8b1401750,STORE,STORE,EXACT_EXISTING,true,false,false
CASE_9bf3822d3ff942ae54a3f948,STORE,STORE,EXACT_EXISTING,true,false,false
CASE_483c9452d3a3497ca72bf95e,STORE,STORE,EXACT_EXISTING,true,false,false
CASE_955c74a5201909016376ab24,CONTROL_TRANSFER,CONTROL_TRANSFER,EXACT_EXISTING,true,false,false
CASE_43287a1bf8073382cdfb9a06,STORE,STORE,EXACT_EXISTING,true,false,false
CASE_0938e4292d0ac4f0ac739df0,LOAD,LOAD,EXACT_EXISTING,true,false,false
CASE_30db40a46ffcdc0231b24c9a,COMPARE:GT,COMPARE:GT,EXACT_EXISTING,true,false,false
CASE_fdba86e9c8ffcbfac1331c75,COMPARE:EQ,COMPARE:EQ,EXACT_EXISTING,true,false,false
CASE_c12c44a65e80b6a3a232f193,STORE,STORE,EXACT_EXISTING,true,false,false
CASE_2b207ad16aac4dc8b2bf278d,LITERAL,LITERAL,EXACT_EXISTING,true,false,false
CASE_7665ce51a2cfd1acce935122,CALL,CALL,EXACT_EXISTING,true,false,false
CASE_1537485a9b9916c4fa4f253e,CALL,CALL,EXACT_EXISTING,true,false,false
CASE_c02bf50a23897d0a75fbeefe,STORE,STORE,EXACT_EXISTING,true,false,false
CASE_528763d1f9634336f2e10adb,COMPARE:EQ,COMPARE:EQ,EXACT_EXISTING,true,false,false
CASE_6c78ebc6d64a709b5d4e9644,COMPARE:NE,COMPARE:NE,EXACT_EXISTING,true,false,false
CASE_de2f73a249dbeb8de76368a2,BINARY:ADD,BINARY:ADD,EXACT_EXISTING,true,false,false
CASE_796bde1afaf8e2d983f9f636,COMPARE:GT,COMPARE:GT,EXACT_EXISTING,true,false,false
CASE_1250aa6fea294eacfbe520e3,ITERATION,ITERATION,EXACT_EXISTING,true,false,false
CASE_f8f72b6763aa51487f62cce4,BINARY:SUB,BINARY:SUB,EXACT_EXISTING,true,false,false
CASE_7588d734ab25a8f33304d7f7,STORE,STORE,EXACT_EXISTING,true,false,false
CASE_82ebe6cbdac28e2a8a44e7da,ITERATION,ITERATION,EXACT_EXISTING,true,false,false
CASE_22b7a5cc09e5c2a328e6ecc8,LITERAL,LITERAL,EXACT_EXISTING,true,false,false
CASE_1b9206b110a080fa32391926,LOAD,LOAD,EXACT_EXISTING,true,false,false
CASE_8272072bb3da56a9be678a95,LOAD,LOAD,EXACT_EXISTING,true,false,false
CASE_d05ecbdd3a6d9a7c17d49e60,LOAD,LOAD,EXACT_EXISTING,true,false,false
CASE_7ac0282972fd8dab649931d5,LITERAL,LITERAL,EXACT_EXISTING,true,false,false
CASE_853ff708d98eed8ad5e88a31,CONTROL_TRANSFER,CONTROL_TRANSFER,EXACT_EXISTING,true,false,false
CASE_8272072bb3da56a9be678a95,STORE,STORE,EXACT_EXISTING,true,false,false
CASE_8d9c8f677b9038ca5c14053e,ITERATION,ITERATION,EXACT_EXISTING,true,false,false
CASE_af34551f63d65b5430bdedbb,COMPARE:GT,COMPARE:GT,EXACT_EXISTING,true,false,false
CASE_a91390b04fd4045a3c356cf0,COMPARE:LE,COMPARE:LE,EXACT_EXISTING,true,false,false
CASE_7aec13eec47712682574f5c6,COMPARE:GE,COMPARE:GE,EXACT_EXISTING,true,false,false
CASE_087fb51491877e515d147580,STORE,STORE,EXACT_EXISTING,true,false,false
CASE_578402a63ad7f0a7daed938b,BINARY:SUB,BINARY:SUB,EXACT_EXISTING,true,false,false
CASE_af795fdd67360d3c003ec6e3,BINARY:ADD,BINARY:ADD,EXACT_EXISTING,true,false,false
CASE_69e16bb0310a16479887a4d0,COMPARE:LT,COMPARE:LT,EXACT_EXISTING,true,false,false
CASE_9bce787cfb0cf8a269b1315e,LITERAL,LITERAL,EXACT_EXISTING,true,false,false
CASE_d6bc654eb16a11ea3dbc8f7c,CONTROL_TRANSFER,CONTROL_TRANSFER,EXACT_EXISTING,true,false,false
CASE_fd43a302b941d19d50e82287,LITERAL,LITERAL,EXACT_EXISTING,true,false,false
CASE_333c628111de8486a52ea2db,COMPARE:LT,COMPARE:LT,EXACT_EXISTING,true,false,false
CASE_32c157acf72e8f05c72852d7,CONTROL_TRANSFER,CONTROL_TRANSFER,EXACT_EXISTING,true,false,false
CASE_810b782d8c51434433e65c3f,COMPARE:EQ,COMPARE:EQ,EXACT_EXISTING,true,false,false
CASE_be1756d5829450f7e16103e9,LOAD,LOAD,EXACT_EXISTING,true,false,false
CASE_f7c63116460117afdd9cb05b,LOAD,LOAD,EXACT_EXISTING,true,false,false
CASE_39f85b05ccc287d63fd41837,COMPARE:EQ,COMPARE:EQ,EXACT_EXISTING,true,false,false
CASE_4abfd3ee564937f4d5dc6999,CALL,CALL,EXACT_EXISTING,true,false,false
CASE_8fc8218cf012bb6201b17e3a,STORE,STORE,EXACT_EXISTING,true,false,false
CASE_743059508a3901da6d7f1b06,STORE,STORE,EXACT_EXISTING,true,false,false
CASE_26279df164a475e3b50d38c6,BINARY:ADD,BINARY:ADD,EXACT_EXISTING,true,false,false
CASE_ef4abb4a559df45c21bd1eb4,LOGICAL_BINARY:AND,LOGICAL_BINARY:AND,EXACT_EXISTING,true,false,false
CASE_935ed95be64f48345f91afa7,STORE,STORE,EXACT_EXISTING,true,false,false
CASE_7665ce51a2cfd1acce935122,COMPARE:LE,COMPARE:LE,EXACT_EXISTING,true,false,false
CASE_f2a9f822e60495a10dfed15b,CALL,CALL,EXACT_EXISTING,true,false,false
CASE_feab402af81477ed6590e8fb,LITERAL,LITERAL,EXACT_EXISTING,true,false,false
CASE_1490961e93ffa8bea2d8308b,CALL,CALL,EXACT_EXISTING,true,false,false
CASE_4e3925c2fa6159ca4c79cbce,BINARY:MUL,BINARY:MUL,EXACT_EXISTING,true,false,false
CASE_ec8143048748ec0131cd574d,CONTROL_TRANSFER,CONTROL_TRANSFER,EXACT_EXISTING,true,false,false
CASE_3589be9b3260fa94637c5eed,LITERAL,LITERAL,EXACT_EXISTING,true,false,false
CASE_8749531d7763d8a9edd60f76,STORE,STORE,EXACT_EXISTING,true,false,false
CASE_0b584384d877175c6fa41ab1,ITERATION,ITERATION,EXACT_EXISTING,true,false,false
CASE_42a3ca90b51be1cc557a925d,STORE,STORE,EXACT_EXISTING,true,false,false
CASE_1c3f338d1873b30c4f7c3030,COMPARE:GT,COMPARE:GT,EXACT_EXISTING,true,false,false
CASE_a954525a950dd7da38a8cf2a,BINARY:SUB,BINARY:SUB,EXACT_EXISTING,true,false,false
CASE_7c34c527f74150404ac7a0aa,STORE,STORE,EXACT_EXISTING,true,false,false
CASE_18e9960de3b8e87eb963c6ad,LOGICAL_BINARY:AND,LOGICAL_BINARY:AND,EXACT_EXISTING,true,false,false
