feature,family,detection_terms,required_evidence_sources,semantic_layer,collector_change
kotlin.unit_type,types_inference_generics,kotlin.unit;unittype;unit type,FIR/type system + constraint tests,universal_core,Add dedicated Kotlin detector; emit structured semantic evidence rather than generic keyword-only hits.
kotlin.nothing_type,types_inference_generics,kotlin.nothing;nothingtype;nothing type,FIR/type system + constraint tests,universal_core,Add dedicated Kotlin detector; emit structured semantic evidence rather than generic keyword-only hits.
kotlin.unsigned_integer_types,types_inference_generics,ubyte;ushort;uint;ulong;unsigned,FIR/type system + constraint tests,universal_core,Add dedicated Kotlin detector; emit structured semantic evidence rather than generic keyword-only hits.
kotlin.value_class,declarations_objects,valueclass;value class;inline class,frontend/FIR + IR synthesis tests,core_plus_kotlin_dialect,Add dedicated Kotlin detector; emit structured semantic evidence rather than generic keyword-only hits.
kotlin.data_class,declarations_objects,dataclass;data class;copy$default,frontend/FIR + IR synthesis tests,core_plus_kotlin_dialect,Add dedicated Kotlin detector; emit structured semantic evidence rather than generic keyword-only hits.
kotlin.sealed_class_interface,declarations_objects,sealed;sealed class;sealed interface,frontend/FIR + IR synthesis tests,core_plus_kotlin_dialect,Add dedicated Kotlin detector; emit structured semantic evidence rather than generic keyword-only hits.
kotlin.enum_entry_semantics,declarations_objects,enumentry;enum entry;enumentries,frontend/FIR + IR synthesis tests,core_plus_kotlin_dialect,Add dedicated Kotlin detector; emit structured semantic evidence rather than generic keyword-only hits.
kotlin.object_singleton,declarations_objects,object declaration;objectliteral;singleton,frontend/FIR + IR synthesis tests,core_plus_kotlin_dialect,Add dedicated Kotlin detector; emit structured semantic evidence rather than generic keyword-only hits.
kotlin.companion_object,declarations_objects,companion object;companionobject,frontend/FIR + IR synthesis tests,core_plus_kotlin_dialect,Add dedicated Kotlin detector; emit structured semantic evidence rather than generic keyword-only hits.
kotlin.extension_function_property,declarations_objects,extension function;extension property;receiver type,frontend/FIR + IR synthesis tests,core_plus_kotlin_dialect,Add dedicated Kotlin detector; emit structured semantic evidence rather than generic keyword-only hits.
kotlin.delegated_property,declarations_objects,delegatedproperty;delegated property;providedelegate,frontend/FIR + IR synthesis tests,core_plus_kotlin_dialect,Add dedicated Kotlin detector; emit structured semantic evidence rather than generic keyword-only hits.
kotlin.backing_field_accessor,declarations_objects,backing field;property accessor;getter;setter,frontend/FIR + IR synthesis tests,core_plus_kotlin_dialect,Add dedicated Kotlin detector; emit structured semantic evidence rather than generic keyword-only hits.
kotlin.constructor_init_order,declarations_objects,primary constructor;secondary constructor;init block;delegatingconstructorcall,frontend/FIR + IR synthesis tests,core_plus_kotlin_dialect,Add dedicated Kotlin detector; emit structured semantic evidence rather than generic keyword-only hits.
kotlin.internal_visibility,declarations_objects,internal visibility;visibility internal;internal declaration,frontend/FIR + IR synthesis tests,core_plus_kotlin_dialect,Add dedicated Kotlin detector; emit structured semantic evidence rather than generic keyword-only hits.
kotlin.annotation_use_site,declarations_objects,use-site target;annotation target;annotation,frontend/FIR + IR synthesis tests,core_plus_kotlin_dialect,Add dedicated Kotlin detector; emit structured semantic evidence rather than generic keyword-only hits.
kotlin.context_receivers_parameters,declarations_objects,context receiver;context parameter;contextreceivers,frontend/FIR + IR synthesis tests,core_plus_kotlin_dialect,Add dedicated Kotlin detector; emit structured semantic evidence rather than generic keyword-only hits.
kotlin.operator_overloading,calls_resolution,operator fun;operatorfunction;operator convention,FIR resolution + overload tests,core_plus_kotlin_dialect,Add dedicated Kotlin detector; emit structured semantic evidence rather than generic keyword-only hits.
kotlin.infix_function,calls_resolution,infix fun;infixfunction,FIR resolution + overload tests,core_plus_kotlin_dialect,Add dedicated Kotlin detector; emit structured semantic evidence rather than generic keyword-only hits.
kotlin.named_arguments,calls_resolution,named argument;namedargument,FIR resolution + overload tests,core_plus_kotlin_dialect,Add dedicated Kotlin detector; emit structured semantic evidence rather than generic keyword-only hits.
kotlin.default_arguments,calls_resolution,default argument;defaultargument;default value,FIR resolution + overload tests,core_plus_kotlin_dialect,Add dedicated Kotlin detector; emit structured semantic evidence rather than generic keyword-only hits.
kotlin.vararg_spread,calls_resolution,vararg;spread operator;spreadargument,FIR resolution + overload tests,core_plus_kotlin_dialect,Add dedicated Kotlin detector; emit structured semantic evidence rather than generic keyword-only hits.
kotlin.trailing_lambda,calls_resolution,trailing lambda;trailinglambda,FIR resolution + overload tests,core_plus_kotlin_dialect,Add dedicated Kotlin detector; emit structured semantic evidence rather than generic keyword-only hits.
kotlin.implicit_receiver_tower,calls_resolution,tower resolver;implicit receiver;receivertower,FIR resolution + overload tests,core_plus_kotlin_dialect,Add dedicated Kotlin detector; emit structured semantic evidence rather than generic keyword-only hits.
kotlin.overload_resolution,calls_resolution,overload resolution;overloadresolution;candidate resolver,FIR resolution + overload tests,core_plus_kotlin_dialect,Add dedicated Kotlin detector; emit structured semantic evidence rather than generic keyword-only hits.
kotlin.member_extension_resolution,calls_resolution,extension receiver;dispatch receiver;member extension,FIR resolution + overload tests,core_plus_kotlin_dialect,Add dedicated Kotlin detector; emit structured semantic evidence rather than generic keyword-only hits.
kotlin.sam_conversion,calls_resolution,sam conversion;samconversion;single abstract method,FIR resolution + overload tests,core_plus_kotlin_dialect,Add dedicated Kotlin detector; emit structured semantic evidence rather than generic keyword-only hits.
kotlin.callable_reference,calls_resolution,callable reference;callablereference;property reference,FIR resolution + overload tests,core_plus_kotlin_dialect,Add dedicated Kotlin detector; emit structured semantic evidence rather than generic keyword-only hits.
kotlin.reflection_kclass,calls_resolution,kclass;reflection;callable reference,FIR resolution + overload tests,core_plus_kotlin_dialect,Add dedicated Kotlin detector; emit structured semantic evidence rather than generic keyword-only hits.
kotlin.destructuring_component,calls_resolution,destructuring;component1;component2;multidecl,FIR resolution + overload tests,core_plus_kotlin_dialect,Add dedicated Kotlin detector; emit structured semantic evidence rather than generic keyword-only hits.
kotlin.when_expression,control_patterns,when expression;whenexpression;when branch,frontend/FIR CFG + diagnostics tests,universal_core,Add dedicated Kotlin detector; emit structured semantic evidence rather than generic keyword-only hits.
kotlin.when_exhaustiveness,control_patterns,exhaustive when;when exhaustiveness;exhaustiveness,frontend/FIR CFG + diagnostics tests,universal_core,Add dedicated Kotlin detector; emit structured semantic evidence rather than generic keyword-only hits.
kotlin.range_progression_iteration,collections_iteration,progression;intrange;longrange;until;downTo,frontend + stdlib/range lowering tests,universal_core,Add dedicated Kotlin detector; emit structured semantic evidence rather than generic keyword-only hits.
kotlin.labeled_control_flow,control_patterns,labeled return;labelled return;break@;continue@;return@,frontend/FIR CFG + diagnostics tests,universal_core,Add dedicated Kotlin detector; emit structured semantic evidence rather than generic keyword-only hits.
kotlin.nonlocal_return,closures_inline,non-local return;nonlocal return;nonlocalreturn,frontend + IR inline lowering tests,core_plus_compiletime,Add dedicated Kotlin detector; emit structured semantic evidence rather than generic keyword-only hits.
kotlin.try_expression,exceptions_cleanup,try expression;tryexpression,frontend + IR/backend exception tests,universal_core,Add dedicated Kotlin detector; emit structured semantic evidence rather than generic keyword-only hits.
kotlin.exception_throw_catch_finally,exceptions_cleanup,throw;catch;finally;exception,frontend + IR/backend exception tests,universal_core,Add dedicated Kotlin detector; emit structured semantic evidence rather than generic keyword-only hits.
kotlin.inline_function,closures_inline,inline fun;inlinefunction;inline function,frontend + IR inline lowering tests,core_plus_compiletime,Add dedicated Kotlin detector; emit structured semantic evidence rather than generic keyword-only hits.
kotlin.crossinline_noinline,closures_inline,crossinline;noinline,frontend + IR inline lowering tests,core_plus_compiletime,Add dedicated Kotlin detector; emit structured semantic evidence rather than generic keyword-only hits.
kotlin.contracts_dsl,compiletime_contracts,contract;contracts dsl;kotlin.contracts,contracts/data-flow/const-eval tests,core_plus_kotlin_dialect,Add dedicated Kotlin detector; emit structured semantic evidence rather than generic keyword-only hits.
kotlin.calls_in_place_effect,compiletime_contracts,callsinplace;calls in place;invocationkind,contracts/data-flow/const-eval tests,core_plus_kotlin_dialect,Add dedicated Kotlin detector; emit structured semantic evidence rather than generic keyword-only hits.
kotlin.returns_implies_effect,compiletime_contracts,returnsimplies;returns implies;conditional effect,contracts/data-flow/const-eval tests,core_plus_kotlin_dialect,Add dedicated Kotlin detector; emit structured semantic evidence rather than generic keyword-only hits.
kotlin.suspend_resume,coroutines_concurrency,suspend;resumeWith;suspendcoroutine,coroutine lowering + continuation tests,core_plus_kotlin_dialect,Add dedicated Kotlin detector; emit structured semantic evidence rather than generic keyword-only hits.
kotlin.continuation_state_machine,coroutines_concurrency,continuation;coroutine state machine;continuationimpl,coroutine lowering + continuation tests,core_plus_kotlin_dialect,Add dedicated Kotlin detector; emit structured semantic evidence rather than generic keyword-only hits.
kotlin.coroutine_suspension_points,coroutines_concurrency,suspension point;suspendcall;coroutine,coroutine lowering + continuation tests,core_plus_kotlin_dialect,Add dedicated Kotlin detector; emit structured semantic evidence rather than generic keyword-only hits.
kotlin.suspend_lambda,coroutines_concurrency,suspend lambda;suspendlambda,coroutine lowering + continuation tests,core_plus_kotlin_dialect,Add dedicated Kotlin detector; emit structured semantic evidence rather than generic keyword-only hits.
kotlin.expect_actual,multiplatform_interop,expect ;actual ;expectactual;actualization,metadata/actualization + platform backends,kotlin_dialect,Add dedicated Kotlin detector; emit structured semantic evidence rather than generic keyword-only hits.
kotlin.jvm_boxing_unboxing,memory_abi,boxing;unboxing;boximpl;unboximpl,JVM/Native backend + ABI tests,backend_dialect,Add dedicated Kotlin detector; emit structured semantic evidence rather than generic keyword-only hits.
kotlin.java_nullability_enhancement,multiplatform_interop,nullability enhancement;java type enhancement;enhanced nullability,metadata/actualization + platform backends,kotlin_dialect,Add dedicated Kotlin detector; emit structured semantic evidence rather than generic keyword-only hits.
kotlin.jvm_signature_mangling,memory_abi,signature mangling;mangle;jvm signature,JVM/Native backend + ABI tests,backend_dialect,Add dedicated Kotlin detector; emit structured semantic evidence rather than generic keyword-only hits.
kotlin.js_dynamic_external,multiplatform_interop,dynamic type;external declaration;js external,metadata/actualization + platform backends,kotlin_dialect,Add dedicated Kotlin detector; emit structured semantic evidence rather than generic keyword-only hits.
kotlin.native_c_objc_interop,multiplatform_interop,c interop;objc interop;objective-c;interop,metadata/actualization + platform backends,kotlin_dialect,Add dedicated Kotlin detector; emit structured semantic evidence rather than generic keyword-only hits.
kotlin.klib_metadata,multiplatform_interop,klib;metadata serialization;kotlin metadata,metadata/actualization + platform backends,kotlin_dialect,Add dedicated Kotlin detector; emit structured semantic evidence rather than generic keyword-only hits.
kotlin.fir_semantic_resolution,ir_backends,firresolve;fir resolve;fir session;fir symbol,FIR/IR/backend implementation,lowering_evidence,Add dedicated Kotlin detector; emit structured semantic evidence rather than generic keyword-only hits.
kotlin.fir_data_flow,ir_backends,fir data flow;dataflowanalyzer;smartcast,FIR/IR/backend implementation,lowering_evidence,Add dedicated Kotlin detector; emit structured semantic evidence rather than generic keyword-only hits.
kotlin.fir_to_ir,ir_backends,fir2ir;fir to ir;fir2irclassifierstorage,FIR/IR/backend implementation,lowering_evidence,Add dedicated Kotlin detector; emit structured semantic evidence rather than generic keyword-only hits.
kotlin.ir_semantics,ir_backends,ir element;irfunction;irexpression;.ir.txt,FIR/IR/backend implementation,lowering_evidence,Add dedicated Kotlin detector; emit structured semantic evidence rather than generic keyword-only hits.
kotlin.jvm_backend_lowering,ir_backends,jvm lowering;backend.jvm;jvm backend,FIR/IR/backend implementation,lowering_evidence,Add dedicated Kotlin detector; emit structured semantic evidence rather than generic keyword-only hits.
kotlin.js_backend_lowering,ir_backends,js.translator;js backend;js lowering,FIR/IR/backend implementation,lowering_evidence,Add dedicated Kotlin detector; emit structured semantic evidence rather than generic keyword-only hits.
kotlin.native_backend_lowering,ir_backends,backend.native;native backend;konan,FIR/IR/backend implementation,lowering_evidence,Add dedicated Kotlin detector; emit structured semantic evidence rather than generic keyword-only hits.
kotlin.wasm_backend_lowering,ir_backends,wasm backend;wasm lowering;wasm,FIR/IR/backend implementation,lowering_evidence,Add dedicated Kotlin detector; emit structured semantic evidence rather than generic keyword-only hits.
kotlin.compiler_plugin_extension_points,ir_backends,compiler plugin;irgenerationextension;fir extension,FIR/IR/backend implementation,lowering_evidence,Add dedicated Kotlin detector; emit structured semantic evidence rather than generic keyword-only hits.
kotlin.const_evaluation,compiletime_contracts,const evaluation;constant evaluation;consteval;intrinsicconst,contracts/data-flow/const-eval tests,core_plus_kotlin_dialect,Add dedicated Kotlin detector; emit structured semantic evidence rather than generic keyword-only hits.
