feature,category,evidence_count,files_with_evidence,relative_weight,detection_terms,semanticprogram_axes
network,effect,715,70,0.029213483146067417,network;socket,effect.graph;purity;runtime.contract
optimizer,meta,1016,197,0.041511746680286,optimizer;optimization;constant folding;dead code,dialect.extension;compiletime.semantics;lowering.pipeline
optional_nullable,type,600,210,0.024514811031664963,optional;nullable;option type;nullability,types.structure;types.origin;conversion.semantics
overload_resolution,type,96,45,0.003922369765066394,overload;candidate function;method resolution;resolve call,types.structure;types.origin;conversion.semantics
ownership,memory,174,63,0.007109295199182839,ownership;owned;move semantics;borrow checker,memory.model;ownership.lifetime;abi.ffi
parameter,declaration,8637,661,0.35289070480081713,parameter;paramdecl;formal;argument,nodes.declaration;scope.binding;types.structure
pattern,expression,698,133,0.028518896833503574,pattern;match arm;destructure,nodes.expression;operations;evaluation.order;data.flow
pointer,type,284,39,0.01160367722165475,pointertype;pointer type;ptrtype;raw pointer,types.structure;types.origin;conversion.semantics
primitive_bool,type,1,1,4.0858018386108277e-05,boolean type;booltype,types.structure;types.origin;conversion.semantics
primitive_float,type,7509,439,0.30680286006128704,floating type;float32;float64;double;ieee,types.structure;types.origin;conversion.semantics
primitive_integer,type,23765,674,0.9709908069458631,integer type;int8;int16;int32;int64;uint32;isinteger,types.structure;types.origin;conversion.semantics
primitive_string,type,31,19,0.0012665985699693565,string type;strtype;text type,types.structure;types.origin;conversion.semantics
random,effect,2527,204,0.1032482124616956,random;rng,effect.graph;purity;runtime.contract
reference,type,29,17,0.00118488253319714,referencetype;reference type;borrow;lvalue reference,types.structure;types.origin;conversion.semantics
reflection,effect,467,77,0.019080694586312563,reflection;reflect;runtime type info;rtti,effect.graph;purity;runtime.contract
return,control,8,8,0.0003268641470888662,returnstmt;return statement,control.flow;evaluation.order;effects.control
scope,binding,2944,233,0.12028600612870276,scope;lexical scope;block scope,scope.binding;binding.graph;capture.shadowing
set,expression,0,0,0.0,setexpr;set literal,nodes.expression;operations;evaluation.order;data.flow
shadowing,binding,105,24,0.004290091930541369,shadowing;shadowed,scope.binding;binding.graph;capture.shadowing
slice,expression,11,7,0.00044943820224719103,sliceexpr;slicing;slice expression,nodes.expression;operations;evaluation.order;data.flow
struct,declaration,5713,655,0.23342185903983656,structdecl;struct ;record,nodes.declaration;scope.binding;types.structure
subtyping,type,1162,146,0.047477017364657814,subtype;assignable;variance;inheritance,types.structure;types.origin;conversion.semantics
switch_match,control,1,1,4.0858018386108277e-05,switchstmt;switch statement;matchexpr;matchstmt;caseclause,control.flow;evaluation.order;effects.control
symbol_table,binding,60,13,0.0024514811031664963,symbol table;symboltable;symtab;symbol table,scope.binding;binding.graph;capture.shadowing
task_async,concurrency,7787,414,0.31816138917262515,async;task;future;promise,concurrency.model;synchronization;memory.ordering
thread,concurrency,6031,284,0.246414708886619,thread;pthread;goroutine,concurrency.model;synchronization;memory.ordering
throw_raise,control,653,227,0.026680286006128703,throwstmt;throw ;raise ;panic,control.flow;evaluation.order;effects.control
time,effect,152,43,0.006210418794688458,clock;system time;monotonic time,effect.graph;purity;runtime.contract
tuple,expression,12486,471,0.5101532175689479,tupleexpr;tuple;product type,nodes.expression;operations;evaluation.order;data.flow
tuple_type,type,258,53,0.010541368743615935,tupletype;tuple type,types.structure;types.origin;conversion.semantics
type_inference,type,319,67,0.01303370786516854,type inference;infer type;inferctx;typeck;typecheck,types.structure;types.origin;conversion.semantics
unary_op,expression,27,10,0.0011031664964249233,unaryexpr;unaryop;prefixexpr;postfixexpr,nodes.expression;operations;evaluation.order;data.flow
union_sum,type,523,50,0.02136874361593463,uniontype;union type;sum type;variant type,types.structure;types.origin;conversion.semantics
unsafe,memory,2154,325,0.08800817160367722,unsafe;unchecked;raw pointer,memory.model;ownership.lifetime;abi.ffi
variable,declaration,17373,920,0.7098263534218591,vardecl;variable;let ;const ;static ,nodes.declaration;scope.binding;types.structure
visibility,declaration,2197,315,0.08976506639427988,public;private;protected;visibility;exported,nodes.declaration;scope.binding;types.structure
while,control,0,0,0.0,whilestmt;while statement;whileexpr,control.flow;evaluation.order;effects.control
yield,expression,728,152,0.029744637385086824,yieldexpr;yield ;generator,nodes.expression;operations;evaluation.order;data.flow
