EvidenceID,Language,Compiler,Stage,SourceArea,CompilerRepresentation,SemanticFeatures,RelationFeatures,PhaseClass,SuggestedMatrices,EvidenceClass,MappingGuidance,SourceURL,Notes
E0026,C#,Roslyn,Architecture,Lexer → Parser → Syntax Trees → Semantic Analysis → Lowering/Rewriting → Emit,Syntax + Bound tree,syntax_surface; binding; type; lowering,PHASE_BEFORE;SYMBOL_DEPENDENCY,MIXED,M_PHASE;M_LANG,EMPIRICALLY_PROVEN,Use syntax and bound layers as separate evidence planes.,https://github.com/dotnet/dotnet/blob/main/src/roslyn/.github/instructions/Compiler.instructions.md,
E0027,C#,Roslyn,Syntax inventory,Syntax.xml defines generated C# syntax node families,CSharpSyntaxNode,syntax_surface; node_kind; token_structure,PARENT_CHILD,PARSE,M_LANG,EMPIRICALLY_PROVEN,Automate accepted-form inventory directly from Syntax.xml.,https://github.com/dotnet/roslyn/blob/main/src/Compilers/CSharp/Portable/Syntax/Syntax.xml,
E0028,C#,Roslyn,Binding/scope,SemanticModel chooses binders based on position/scope,Binder/SemanticModel,scope; binding; generic_scope; attribute_scope,BINDING;REFERENCE;SCOPE_PARENT;TYPE_DEPENDENCY,SEMANTIC,M_REL;M_LANG,EMPIRICALLY_PROVEN,Evidence for context-sensitive scope and symbol resolution.,https://github.com/dotnet/roslyn/blob/main/src/Compilers/CSharp/Portable/Compilation/CSharpSemanticModel.cs,
E0029,C#,Roslyn,Lowering,LocalRewriter rewrites bound nodes; lambda is a distinct bound lowering case,Bound tree,lowering; lambda; closure; local_function,CAPTURE;BINDING;SEQUENCE_BEFORE,LOWERING,M_COMPOSE;M_REL,EMPIRICALLY_PROVEN,"Map bound semantic forms, not raw syntax, into canonical UAST patterns.",https://github.com/dotnet/roslyn/blob/main/src/Compilers/CSharp/Portable/Lowering/LocalRewriter/LocalRewriter.cs,
E0030,Java,javac,Parser,parser exposes expression and pattern parsing into JCTree,JCTree,syntax_surface; expression; pattern,PARENT_CHILD,PARSE,M_LANG,EMPIRICALLY_PROVEN,Inventory parser/JCTree forms as accepted-language forms.,https://github.com/openjdk/jdk/blob/master/src/jdk.compiler/share/classes/com/sun/tools/javac/parser/JavacParser.java,
E0031,Java,javac,Type attribution,"Attr attributes expressions, types, statements, generic bounds and annotations",typed JCTree + Env/Scope,type; generic; annotation; scope; binding,TYPE_DEPENDENCY;BINDING;SCOPE_PARENT,SEMANTIC,M_LANG;M_REL;M_PHASE,EMPIRICALLY_PROVEN,Use attributed types/scopes as semantic evidence rather than parser-only nodes.,https://github.com/openjdk/jdk/blob/master/src/jdk.compiler/share/classes/com/sun/tools/javac/comp/Attr.java,
E0032,Java,javac,Lowering,Lower rewrites high-level constructs such as enum switch mappings,lowered JCTree,desugaring; switch; enum; synthetic_state,CONTROL_EDGE;DATA_DEPENDENCY;SEQUENCE_BEFORE,LOWERING,M_COMPOSE;M_REL,EMPIRICALLY_PROVEN,"Seed guarded lowering recipes; synthetic support state is implementation evidence, not universal primitive authority.",https://github.com/openjdk/jdk/blob/master/src/jdk.compiler/share/classes/com/sun/tools/javac/comp/Lower.java,
E0033,Java,javac,Generation boundary,Gen maps flat Java trees to bytecodes and depends on Lower/Attr,flat JCTree,target_boundary; lowered_control; type_resolved,PHASE_BEFORE,LOWERING,M_PHASE,EMPIRICALLY_PROVEN,Frontend canonicalization should be complete before backend-generation-specific facts.,https://github.com/openjdk/jdk/blob/master/src/jdk.compiler/share/classes/com/sun/tools/javac/jvm/Gen.java,
E0034,Kotlin,K2/FIR,Architecture,K2/FIR is current frontend; FIR is semantic representation of user code,FIR,frontend_ir; semantic_representation; symbol,SYMBOL_DEPENDENCY,SEMANTIC,M_LANG;M_PHASE,EMPIRICALLY_PROVEN,FIR is excellent evidence for what must be known before backend IR.,https://github.com/JetBrains/kotlin/blob/master/compiler/AGENTS.md,
E0035,Kotlin,K2/FIR,Phases,RAW_FIR → IMPORTS → annotations → supertypes → TYPES → FIR2IR,FIR phases,import; annotation; type; supertype; phase,PHASE_BEFORE;MODULE_DEPENDENCY;TYPE_DEPENDENCY,MIXED,M_PHASE;M_DEP,EMPIRICALLY_PROVEN,Generate explicit phase matrix; do not mark unresolved type/import facts as canonical.,https://github.com/JetBrains/kotlin/blob/master/docs/fir/fir-basics.md,
E0036,Kotlin,K2/FIR,Node model,FirDeclaration has unique symbol; FirExpression has typeRef; FirTypeRef models type refs,FIR tree,declaration; symbol; expression; type_ref,SYMBOL_DEPENDENCY;TYPE_DEPENDENCY;REFERENCE,SEMANTIC,M_LANG;M_REL,EMPIRICALLY_PROVEN,Strong model for declaration/reference/type relation planes.,https://github.com/JetBrains/kotlin/blob/master/docs/fir/fir-basics.md,
E0037,Kotlin,K2/FIR,Modules,expect/actual and source-set/module dependencies include refinement and binding,FIR modules,module; dependency; expect_actual; type_refinement,MODULE_DEPENDENCY;SYMBOL_DEPENDENCY;TYPE_DEPENDENCY,SEMANTIC,M_DEP;M_REL,EMPIRICALLY_PROVEN,Use many-to-many relation representation; do not flatten expect/actual to simple import.,https://github.com/JetBrains/kotlin/blob/master/docs/fir/k2_kmp.md,
E0038,Kotlin,K2/FIR,Annotations/compiletime,FIR plugins use annotation predicates over declarations,FIR declarations + annotations,annotation; metadata; compiler_extension,TYPE_DEPENDENCY;PHASE_BEFORE,COMPILETIME,M_PHASE;M_LANG,EMPIRICALLY_PROVEN,Preserve annotation metadata and classify runtime observability separately.,https://github.com/JetBrains/kotlin/blob/master/docs/fir/fir-plugins.md,
E0039,Swift,swiftc,Architecture,AST is source-near and handled by resolution/typechecking/Sema; SIL is lower and explicit,AST → SIL,syntax_surface; semantic_analysis; typecheck; lowering,PHASE_BEFORE;TYPE_DEPENDENCY,MIXED,M_LANG;M_PHASE;M_COMPOSE,EMPIRICALLY_PROVEN,Use AST/Sema facts for frontend matrix; SIL only as lowering evidence.,https://github.com/swiftlang/swift/blob/main/docs/CompilerPerformance.md,
E0040,Swift,swiftc,Parser,Parser interface builds AST nodes for expressions/statements/patterns/source files,Swift AST,syntax_surface; expression; statement; pattern; source_file,PARENT_CHILD,PARSE,M_LANG,EMPIRICALLY_PROVEN,Use parser node inventory as accepted-form evidence.,https://github.com/swiftlang/swift/blob/main/include/swift/Parse/Parser.h,
E0041,Swift,swiftc,Module/frontend,"Frontend handles modules, AST context, reference dependency tracking",CompilerInstance/ASTContext,module; dependency; type_context; incremental_reference,MODULE_DEPENDENCY;SYMBOL_DEPENDENCY,SEMANTIC,M_DEP;M_REL,EMPIRICALLY_PROVEN,Seed module/reference dependency plane separately from syntax.,https://github.com/swiftlang/swift/blob/main/lib/Frontend/Frontend.cpp,
E0042,Julia,Julia compiler,Representations,"surface AST and lowered form; lowered form has fewer nodes, macros expanded, control flow explicit",Expr surface AST → lowered IR,syntax_surface; macro_expansion; lowering; control_flow,PHASE_BEFORE;CONTROL_EDGE;SEQUENCE_BEFORE,LOWERING,M_LANG;M_PHASE;M_COMPOSE,EMPIRICALLY_PROVEN,Excellent evidence for surface-preserving frontend plus canonical lowered relations.,https://github.com/JuliaLang/julia/blob/master/doc/src/devdocs/ast.md,
E0043,Julia,Julia compiler,Macro phase,JuliaSyntax parses; macro expansion normally happens during lowering,surface AST,parse; macro; compiletime; provenance,PHASE_BEFORE,COMPILETIME,M_PHASE,EMPIRICALLY_PROVEN,Macro expansion must be explicit phase with provenance; expanded semantics should not erase source origin.,https://github.com/JuliaLang/julia/blob/master/doc/src/devdocs/eval.md,
E0044,Julia,JuliaLowering,Desugaring,special surface forms recursively desugar to a smaller set of kinds,lowering syntax tree,desugaring; canonical_form; provenance,PARENT_CHILD;SEQUENCE_BEFORE,LOWERING,M_COMPOSE;M_LANG,EMPIRICALLY_PROVEN,Use as evidence for generated canonical normalization recipes.,https://github.com/JuliaLang/JuliaLowering.jl,
E0045,Julia,JuliaLowering,Function semantics,function definitions combine positional/default/keyword/typed/where/slurp/destructure features,lowered function forms,function; argument; default; keyword; generic; destructuring,BINDING;TYPE_DEPENDENCY;SEQUENCE_BEFORE,LOWERING,M_COMPOSE;M_REL,EMPIRICALLY_PROVEN,Treat function surface syntax as a relation-pattern family rather than one monolithic node.,https://github.com/JuliaLang/JuliaLowering.jl,
E0046,Nim,Nim compiler,AST,PNode/TNodeKind/newTree represent compiler syntax trees,PNode,syntax_surface; node_kind; source_info,PARENT_CHILD,PARSE,M_LANG,EMPIRICALLY_PROVEN,Automate accepted-form inventory from TNodeKind/PNode definitions.,https://github.com/nim-lang/Nim/blob/devel/compiler/ast.nim,
E0047,Nim,Nim compiler,Parser rewrite,parser explicitly rewrites dot-like/call forms into nkCall and related node forms,PNode,call; desugaring; receiver; object_construction,PARENT_CHILD;DATA_DEPENDENCY;SEQUENCE_BEFORE,LOWERING,M_LANG;M_COMPOSE,EMPIRICALLY_PROVEN,Treat parser rewrites as evidence for canonical call/rewrite patterns.,https://github.com/nim-lang/Nim/blob/devel/compiler/parser.nim,
E0048,Nim,Nim compiler,Source preservation,AST nodes retain line/source info and recursive info setters,PNode + TLineInfo,source_position; provenance; preservation,PARENT_CHILD,PARSE,M_LANG,EMPIRICALLY_PROVEN,Seed source-surface ownership/provenance requirements.,https://github.com/nim-lang/Nim/blob/devel/compiler/ast.nim,
E0049,R,R reference implementation,Grammar,grammar maps unary/binary/function/call/if/for/while/repeat/subscript forms to explicit constructors,SEXP language objects,unary; binary; function; call; conditional; iteration; subscript; assignment,PARENT_CHILD;CONTROL_EDGE;BINDING,PARSE,M_LANG;M_REL,EMPIRICALLY_PROVEN,Very strong direct seed for R grammar form → semantic feature mapping.,https://github.com/wch/r-source/blob/trunk/src/main/gram.y,
E0050,R,R reference implementation,Grammar,namespace operators and pipe forms have explicit grammar constructors,SEXP language objects,namespace; pipe; package_symbol; call_chain,MODULE_DEPENDENCY;DATA_DEPENDENCY;SEQUENCE_BEFORE,PARSE,M_LANG;M_DEP;M_REL,EMPIRICALLY_PROVEN,Use namespace/package forms for dependency extraction; pipe needs guarded evaluation-order semantics.,https://github.com/wch/r-source/blob/trunk/src/main/gram.y,
E0051,R,R reference implementation,Evaluation,eval.c is runtime semantic evidence for language objects/environments/calls,SEXP + environment,environment; dynamic_value; call; promise; evaluation,BINDING;REFERENCE;DATA_DEPENDENCY;SEQUENCE_BEFORE,RUNTIME,M_REL;M_REP,EMPIRICALLY_PROVEN,Use evaluation source to distinguish genuinely dynamic runtime semantics from frontend syntax.,https://github.com/wch/r-source/blob/trunk/src/main/eval.c,
E0052,Zig,zig compiler,AST/parser,"Ast stores source, token list, node list, extra data and parse errors",Ast,syntax_surface; token; node; source_position; parse_error,PARENT_CHILD,PARSE,M_LANG,EMPIRICALLY_PROVEN,Good model for exact source ownership plus explicit recovered/error states.,https://github.com/ziglang/zig/blob/master/lib/std/zig/Ast.zig,
E0053,Zig,zig compiler,Frontend stages,"public frontend modules expose Ast, AstGen and Zir",Ast → AstGen → ZIR,parse; lowering; compiletime; semantic_form,PHASE_BEFORE,MIXED,M_PHASE;M_LANG,EMPIRICALLY_PROVEN,Keep AST surface and generated semantic form as distinct evidence planes.,https://github.com/ziglang/zig/blob/master/lib/std/zig.zig,
E0054,Zig,zig compiler,Lowering,AstGen is the compiler's AST generation/lowering implementation toward ZIR,AstGen / ZIR,desugaring; compiletime; control; call; type_semantics,CONTROL_EDGE;TYPE_DEPENDENCY;PHASE_BEFORE,LOWERING,M_COMPOSE;M_PHASE,EMPIRICALLY_PROVEN,Mine AstGen by semantic families; do not promote every ZIR opcode to universal primitive.,https://github.com/ziglang/zig/blob/master/lib/std/zig/AstGen.zig,
E0055,Zig,zig compiler,Recovery,AST retains parser errors alongside nodes/tokens,Ast.errors,error_recovery; source_preservation,PARENT_CHILD,PARSE,M_LANG,EMPIRICALLY_PROVEN,Seed RECOVERED_ERROR mapping state instead of dropping invalid-but-parsed surface.,https://github.com/ziglang/zig/blob/master/lib/std/zig/Ast.zig,
