Language,Compiler,FrontendArea,PhaseClass,ObservedSemanticFeatures,SuggestedMatrix,EvidenceID,SourceURL
Rust,rustc,HIR carries binding/borrow/capture/desugaring-oriented data,SEMANTIC,binding_mode; borrow; capture; mutability; lifetime; desugaring,M_REL;M_LANG,E0016,https://github.com/rust-lang/rust/blob/main/compiler/rustc_hir/src/hir.rs
Rust,rustc,resolver and macro expansion run before analysis,SEMANTIC,module; import; macro_expansion; name_resolution,M_DEP;M_PHASE,E0017,https://github.com/rust-lang/rust/blob/main/compiler/rustc_driver_impl/src/lib.rs
C,Clang,Sema performs semantic analysis and builds AST from parse stream,SEMANTIC,declaration; expression; type; semantic_analysis,M_LANG;M_REL,E0018,https://github.com/llvm/llvm-project/blob/main/clang/lib/Sema/Sema.cpp
C,Clang,SemaStmt integrates scope/evaluation contexts and statement analysis,SEMANTIC,scope; evaluation_context; control_flow; ownership_context,M_REL;M_COMPOSE,E0019,https://github.com/llvm/llvm-project/blob/main/clang/lib/Sema/SemaStmt.cpp
C,Clang,ASTContext owns long-lived AST/type information,SEMANTIC,type; canonical_type; target_info; source_manager,M_LANG;M_REP,E0020,https://github.com/llvm/llvm-project/blob/main/clang/include/clang/AST/ASTContext.h
C,Clang,preprocessor/header/module machinery participates in frontend semantics,COMPILETIME,preprocessor; include; module; compiletime,M_PHASE;M_DEP,E0021,https://github.com/llvm/llvm-project/blob/main/clang/lib/Sema/Sema.cpp
C++,Clang,Sema builds typed C++ AST from parse stream,SEMANTIC,declaration; overload; type; semantic_analysis,M_LANG;M_REL,E0022,https://github.com/llvm/llvm-project/blob/main/clang/lib/Sema/Sema.cpp
C++,Clang,C++ declarations include lambda capture representation,SEMANTIC,lambda; closure; capture; class; method,M_REL;M_LANG,E0023,https://github.com/llvm/llvm-project/blob/main/clang/include/clang/AST/DeclCXX.h
C++,Clang,statement Sema includes scope/evaluation/ownership contexts,SEMANTIC,scope; control_flow; evaluation_context; ownership,M_REL;M_COMPOSE,E0024,https://github.com/llvm/llvm-project/blob/main/clang/lib/Sema/SemaStmt.cpp
C++,Clang,ASTContext canonicalizes and retains type information,SEMANTIC,type; canonical_type; templates_context; target_info,M_LANG;M_REP,E0025,https://github.com/llvm/llvm-project/blob/main/clang/include/clang/AST/ASTContext.h
C#,Roslyn,Lexer → Parser → Syntax Trees → Semantic Analysis → Lowering/Rewriting → Emit,MIXED,syntax_surface; binding; type; lowering,M_PHASE;M_LANG,E0026,https://github.com/dotnet/dotnet/blob/main/src/roslyn/.github/instructions/Compiler.instructions.md
C#,Roslyn,Syntax.xml defines generated C# syntax node families,PARSE,syntax_surface; node_kind; token_structure,M_LANG,E0027,https://github.com/dotnet/roslyn/blob/main/src/Compilers/CSharp/Portable/Syntax/Syntax.xml
C#,Roslyn,SemanticModel chooses binders based on position/scope,SEMANTIC,scope; binding; generic_scope; attribute_scope,M_REL;M_LANG,E0028,https://github.com/dotnet/roslyn/blob/main/src/Compilers/CSharp/Portable/Compilation/CSharpSemanticModel.cs
C#,Roslyn,LocalRewriter rewrites bound nodes; lambda is a distinct bound lowering case,LOWERING,lowering; lambda; closure; local_function,M_COMPOSE;M_REL,E0029,https://github.com/dotnet/roslyn/blob/main/src/Compilers/CSharp/Portable/Lowering/LocalRewriter/LocalRewriter.cs
Java,javac,parser exposes expression and pattern parsing into JCTree,PARSE,syntax_surface; expression; pattern,M_LANG,E0030,https://github.com/openjdk/jdk/blob/master/src/jdk.compiler/share/classes/com/sun/tools/javac/parser/JavacParser.java
Java,javac,"Attr attributes expressions, types, statements, generic bounds and annotations",SEMANTIC,type; generic; annotation; scope; binding,M_LANG;M_REL;M_PHASE,E0031,https://github.com/openjdk/jdk/blob/master/src/jdk.compiler/share/classes/com/sun/tools/javac/comp/Attr.java
Java,javac,Lower rewrites high-level constructs such as enum switch mappings,LOWERING,desugaring; switch; enum; synthetic_state,M_COMPOSE;M_REL,E0032,https://github.com/openjdk/jdk/blob/master/src/jdk.compiler/share/classes/com/sun/tools/javac/comp/Lower.java
Java,javac,Gen maps flat Java trees to bytecodes and depends on Lower/Attr,LOWERING,target_boundary; lowered_control; type_resolved,M_PHASE,E0033,https://github.com/openjdk/jdk/blob/master/src/jdk.compiler/share/classes/com/sun/tools/javac/jvm/Gen.java
Kotlin,K2/FIR,K2/FIR is current frontend; FIR is semantic representation of user code,SEMANTIC,frontend_ir; semantic_representation; symbol,M_LANG;M_PHASE,E0034,https://github.com/JetBrains/kotlin/blob/master/compiler/AGENTS.md
Kotlin,K2/FIR,RAW_FIR → IMPORTS → annotations → supertypes → TYPES → FIR2IR,MIXED,import; annotation; type; supertype; phase,M_PHASE;M_DEP,E0035,https://github.com/JetBrains/kotlin/blob/master/docs/fir/fir-basics.md
Kotlin,K2/FIR,FirDeclaration has unique symbol; FirExpression has typeRef; FirTypeRef models type refs,SEMANTIC,declaration; symbol; expression; type_ref,M_LANG;M_REL,E0036,https://github.com/JetBrains/kotlin/blob/master/docs/fir/fir-basics.md
Kotlin,K2/FIR,expect/actual and source-set/module dependencies include refinement and binding,SEMANTIC,module; dependency; expect_actual; type_refinement,M_DEP;M_REL,E0037,https://github.com/JetBrains/kotlin/blob/master/docs/fir/k2_kmp.md
Kotlin,K2/FIR,FIR plugins use annotation predicates over declarations,COMPILETIME,annotation; metadata; compiler_extension,M_PHASE;M_LANG,E0038,https://github.com/JetBrains/kotlin/blob/master/docs/fir/fir-plugins.md
Swift,swiftc,AST is source-near and handled by resolution/typechecking/Sema; SIL is lower and explicit,MIXED,syntax_surface; semantic_analysis; typecheck; lowering,M_LANG;M_PHASE;M_COMPOSE,E0039,https://github.com/swiftlang/swift/blob/main/docs/CompilerPerformance.md
Swift,swiftc,Parser interface builds AST nodes for expressions/statements/patterns/source files,PARSE,syntax_surface; expression; statement; pattern; source_file,M_LANG,E0040,https://github.com/swiftlang/swift/blob/main/include/swift/Parse/Parser.h
Swift,swiftc,"Frontend handles modules, AST context, reference dependency tracking",SEMANTIC,module; dependency; type_context; incremental_reference,M_DEP;M_REL,E0041,https://github.com/swiftlang/swift/blob/main/lib/Frontend/Frontend.cpp
Julia,Julia compiler,"surface AST and lowered form; lowered form has fewer nodes, macros expanded, control flow explicit",LOWERING,syntax_surface; macro_expansion; lowering; control_flow,M_LANG;M_PHASE;M_COMPOSE,E0042,https://github.com/JuliaLang/julia/blob/master/doc/src/devdocs/ast.md
Julia,Julia compiler,JuliaSyntax parses; macro expansion normally happens during lowering,COMPILETIME,parse; macro; compiletime; provenance,M_PHASE,E0043,https://github.com/JuliaLang/julia/blob/master/doc/src/devdocs/eval.md
Julia,JuliaLowering,special surface forms recursively desugar to a smaller set of kinds,LOWERING,desugaring; canonical_form; provenance,M_COMPOSE;M_LANG,E0044,https://github.com/JuliaLang/JuliaLowering.jl
Julia,JuliaLowering,function definitions combine positional/default/keyword/typed/where/slurp/destructure features,LOWERING,function; argument; default; keyword; generic; destructuring,M_COMPOSE;M_REL,E0045,https://github.com/JuliaLang/JuliaLowering.jl
Nim,Nim compiler,PNode/TNodeKind/newTree represent compiler syntax trees,PARSE,syntax_surface; node_kind; source_info,M_LANG,E0046,https://github.com/nim-lang/Nim/blob/devel/compiler/ast.nim
Nim,Nim compiler,parser explicitly rewrites dot-like/call forms into nkCall and related node forms,LOWERING,call; desugaring; receiver; object_construction,M_LANG;M_COMPOSE,E0047,https://github.com/nim-lang/Nim/blob/devel/compiler/parser.nim
Nim,Nim compiler,AST nodes retain line/source info and recursive info setters,PARSE,source_position; provenance; preservation,M_LANG,E0048,https://github.com/nim-lang/Nim/blob/devel/compiler/ast.nim
R,R reference implementation,grammar maps unary/binary/function/call/if/for/while/repeat/subscript forms to explicit constructors,PARSE,unary; binary; function; call; conditional; iteration; subscript; assignment,M_LANG;M_REL,E0049,https://github.com/wch/r-source/blob/trunk/src/main/gram.y
R,R reference implementation,namespace operators and pipe forms have explicit grammar constructors,PARSE,namespace; pipe; package_symbol; call_chain,M_LANG;M_DEP;M_REL,E0050,https://github.com/wch/r-source/blob/trunk/src/main/gram.y
R,R reference implementation,eval.c is runtime semantic evidence for language objects/environments/calls,RUNTIME,environment; dynamic_value; call; promise; evaluation,M_REL;M_REP,E0051,https://github.com/wch/r-source/blob/trunk/src/main/eval.c
Zig,zig compiler,"Ast stores source, token list, node list, extra data and parse errors",PARSE,syntax_surface; token; node; source_position; parse_error,M_LANG,E0052,https://github.com/ziglang/zig/blob/master/lib/std/zig/Ast.zig
Zig,zig compiler,"public frontend modules expose Ast, AstGen and Zir",MIXED,parse; lowering; compiletime; semantic_form,M_PHASE;M_LANG,E0053,https://github.com/ziglang/zig/blob/master/lib/std/zig.zig
Zig,zig compiler,AstGen is the compiler's AST generation/lowering implementation toward ZIR,LOWERING,desugaring; compiletime; control; call; type_semantics,M_COMPOSE;M_PHASE,E0054,https://github.com/ziglang/zig/blob/master/lib/std/zig/AstGen.zig
Zig,zig compiler,AST retains parser errors alongside nodes/tokens,PARSE,error_recovery; source_preservation,M_LANG,E0055,https://github.com/ziglang/zig/blob/master/lib/std/zig/Ast.zig
