language,layer,project,source_file,source_kind,compiler_node,evidence,canonical_primitive,evidence_status
cpp,ast,LLVM/Clang,sources\c_cpp\LLVM_Clang\DeclNodes.td,clang_decl_node,HLSLRootSignature,"def HLSLRootSignature : DeclNode<Named, ""HLSLRootSignature"">;",UNMAPPED_ORACLE_SEMANTICS,INSUFFICIENT_SEMANTIC_EVIDENCE
cpp,ast,LLVM/Clang,sources\c_cpp\LLVM_Clang\DeclNodes.td,clang_decl_node,ImplicitConceptSpecialization,def ImplicitConceptSpecialization : DeclNode<Decl>;,UNMAPPED_ORACLE_SEMANTICS,INSUFFICIENT_SEMANTIC_EVIDENCE
cpp,ast,LLVM/Clang,sources\c_cpp\LLVM_Clang\DeclNodes.td,clang_decl_node,Import,def Import : DeclNode<Decl>;,MODULE,STRUCTURALLY_EVIDENCED
cpp,ast,LLVM/Clang,sources\c_cpp\LLVM_Clang\DeclNodes.td,clang_decl_node,LifetimeExtendedTemporary,def LifetimeExtendedTemporary : DeclNode<Decl>;,CONDITIONAL,STRUCTURALLY_EVIDENCED
cpp,ast,LLVM/Clang,sources\c_cpp\LLVM_Clang\DeclNodes.td,clang_decl_node,LinkageSpec,"def LinkageSpec : DeclNode<Decl>, DeclContext;",UNMAPPED_ORACLE_SEMANTICS,INSUFFICIENT_SEMANTIC_EVIDENCE
cpp,ast,LLVM/Clang,sources\c_cpp\LLVM_Clang\DeclNodes.td,clang_decl_node,Named,"def Named : DeclNode<Decl, ""named declarations"", 1>;",BINDING_DECLARATION,STRUCTURALLY_EVIDENCED
cpp,ast,LLVM/Clang,sources\c_cpp\LLVM_Clang\DeclNodes.td,clang_decl_node,ObjCPropertyImpl,def ObjCPropertyImpl : DeclNode<Decl>;,MEMBER_ACCESS,STRUCTURALLY_EVIDENCED
cpp,ast,LLVM/Clang,sources\c_cpp\LLVM_Clang\DeclNodes.td,clang_decl_node,OMPAllocate,def OMPAllocate : DeclNode<Decl>;,MEMORY,STRUCTURALLY_EVIDENCED
cpp,ast,LLVM/Clang,sources\c_cpp\LLVM_Clang\DeclNodes.td,clang_decl_node,OMPGroupPrivate,def OMPGroupPrivate : DeclNode<Decl>;,UNMAPPED_ORACLE_SEMANTICS,INSUFFICIENT_SEMANTIC_EVIDENCE
cpp,ast,LLVM/Clang,sources\c_cpp\LLVM_Clang\DeclNodes.td,clang_decl_node,OMPRequires,def OMPRequires : DeclNode<Decl>;,UNMAPPED_ORACLE_SEMANTICS,INSUFFICIENT_SEMANTIC_EVIDENCE
cpp,ast,LLVM/Clang,sources\c_cpp\LLVM_Clang\DeclNodes.td,clang_decl_node,OMPThreadPrivate,def OMPThreadPrivate : DeclNode<Decl>;,UNMAPPED_ORACLE_SEMANTICS,INSUFFICIENT_SEMANTIC_EVIDENCE
cpp,ast,LLVM/Clang,sources\c_cpp\LLVM_Clang\DeclNodes.td,clang_decl_node,OpenACCDeclare,"def OpenACCDeclare : DeclNode<Decl, ""#pragma acc declare"">;",BINDING_DECLARATION,STRUCTURALLY_EVIDENCED_FAMILY
cpp,ast,LLVM/Clang,sources\c_cpp\LLVM_Clang\DeclNodes.td,clang_decl_node,OpenACCRoutine,"def OpenACCRoutine : DeclNode<Decl, ""#pragma acc routine"">;",UNMAPPED_ORACLE_SEMANTICS,INSUFFICIENT_SEMANTIC_EVIDENCE
cpp,ast,LLVM/Clang,sources\c_cpp\LLVM_Clang\DeclNodes.td,clang_decl_node,OutlinedFunction,"def OutlinedFunction : DeclNode<Decl>, DeclContext;",CLOSURE_FUNCTION,STRUCTURALLY_EVIDENCED
cpp,ast,LLVM/Clang,sources\c_cpp\LLVM_Clang\DeclNodes.td,clang_decl_node,PragmaComment,def PragmaComment : DeclNode<Decl>;,UNMAPPED_ORACLE_SEMANTICS,INSUFFICIENT_SEMANTIC_EVIDENCE
cpp,ast,LLVM/Clang,sources\c_cpp\LLVM_Clang\DeclNodes.td,clang_decl_node,PragmaDetectMismatch,def PragmaDetectMismatch : DeclNode<Decl>;,SWITCH_MATCH,STRUCTURALLY_EVIDENCED
cpp,ast,LLVM/Clang,sources\c_cpp\LLVM_Clang\DeclNodes.td,clang_decl_node,RequiresExprBody,"def RequiresExprBody : DeclNode<Decl>, DeclContext;",UNMAPPED_ORACLE_SEMANTICS,INSUFFICIENT_SEMANTIC_EVIDENCE
cpp,ast,LLVM/Clang,sources\c_cpp\LLVM_Clang\DeclNodes.td,clang_decl_node,StaticAssert,def StaticAssert : DeclNode<Decl>;,ASSERTION,STRUCTURALLY_EVIDENCED_SCHEMA
cpp,ast,LLVM/Clang,sources\c_cpp\LLVM_Clang\DeclNodes.td,clang_decl_node,TopLevelStmt,"def TopLevelStmt : DeclNode<Decl>, DeclContext;",UNMAPPED_ORACLE_SEMANTICS,INSUFFICIENT_SEMANTIC_EVIDENCE
cpp,ast,LLVM/Clang,sources\c_cpp\LLVM_Clang\DeclNodes.td,clang_decl_node,TranslationUnit,"def TranslationUnit : DeclNode<Decl>, DeclContext;",UNMAPPED_ORACLE_SEMANTICS,INSUFFICIENT_SEMANTIC_EVIDENCE
cpp,ast,LLVM/Clang,sources\c_cpp\LLVM_Clang\StmtNodes.td,clang_stmt_node,AbstractConditionalOperator,"def AbstractConditionalOperator : StmtNode<Expr, 1>;",BINARY_UNARY_OPERATOR,STRUCTURALLY_EVIDENCED
cpp,ast,LLVM/Clang,sources\c_cpp\LLVM_Clang\StmtNodes.td,clang_stmt_node,AddrLabelExpr,def AddrLabelExpr : StmtNode<Expr>;,CONTROL_TRANSFER,STRUCTURALLY_EVIDENCED
cpp,ast,LLVM/Clang,sources\c_cpp\LLVM_Clang\StmtNodes.td,clang_stmt_node,ArrayInitIndexExpr,def ArrayInitIndexExpr : StmtNode<Expr>;,INDEX_SLICE,STRUCTURALLY_EVIDENCED
cpp,ast,LLVM/Clang,sources\c_cpp\LLVM_Clang\StmtNodes.td,clang_stmt_node,ArrayInitLoopExpr,def ArrayInitLoopExpr : StmtNode<Expr>;,AGGREGATE,STRUCTURALLY_EVIDENCED
cpp,ast,LLVM/Clang,sources\c_cpp\LLVM_Clang\StmtNodes.td,clang_stmt_node,ArraySectionExpr,def ArraySectionExpr : StmtNode<Expr>;,INDEX_SLICE,STRUCTURALLY_EVIDENCED
cpp,ast,LLVM/Clang,sources\c_cpp\LLVM_Clang\StmtNodes.td,clang_stmt_node,ArraySubscriptExpr,def ArraySubscriptExpr : StmtNode<Expr>;,INDEX_SLICE,STRUCTURALLY_EVIDENCED
cpp,ast,LLVM/Clang,sources\c_cpp\LLVM_Clang\StmtNodes.td,clang_stmt_node,ArrayTypeTraitExpr,def ArrayTypeTraitExpr : StmtNode<Expr>;,AGGREGATE,STRUCTURALLY_EVIDENCED
cpp,ast,LLVM/Clang,sources\c_cpp\LLVM_Clang\StmtNodes.td,clang_stmt_node,AsmStmt,"def AsmStmt : StmtNode<Stmt, 1>;",UNMAPPED_ORACLE_SEMANTICS,INSUFFICIENT_SEMANTIC_EVIDENCE
cpp,ast,LLVM/Clang,sources\c_cpp\LLVM_Clang\StmtNodes.td,clang_stmt_node,AsTypeExpr,def AsTypeExpr : StmtNode<Expr>;,TYPE,STRUCTURALLY_EVIDENCED
cpp,ast,LLVM/Clang,sources\c_cpp\LLVM_Clang\StmtNodes.td,clang_stmt_node,AtomicExpr,def AtomicExpr : StmtNode<Expr>;,CONCURRENCY,STRUCTURALLY_EVIDENCED
cpp,ast,LLVM/Clang,sources\c_cpp\LLVM_Clang\StmtNodes.td,clang_stmt_node,AttributedStmt,def AttributedStmt : StmtNode<ValueStmt>;,ANNOTATION,STRUCTURALLY_EVIDENCED
cpp,ast,LLVM/Clang,sources\c_cpp\LLVM_Clang\StmtNodes.td,clang_stmt_node,BinaryConditionalOperator,def BinaryConditionalOperator : StmtNode<AbstractConditionalOperator>;,BINARY_UNARY_OPERATOR,STRUCTURALLY_EVIDENCED
cpp,ast,LLVM/Clang,sources\c_cpp\LLVM_Clang\StmtNodes.td,clang_stmt_node,BinaryOperator,def BinaryOperator : StmtNode<Expr>;,BINARY_UNARY_OPERATOR,STRUCTURALLY_EVIDENCED
cpp,ast,LLVM/Clang,sources\c_cpp\LLVM_Clang\StmtNodes.td,clang_stmt_node,BlockExpr,def BlockExpr : StmtNode<Expr>;,CLOSURE_FUNCTION,STRUCTURALLY_EVIDENCED
cpp,ast,LLVM/Clang,sources\c_cpp\LLVM_Clang\StmtNodes.td,clang_stmt_node,BreakStmt,def BreakStmt : StmtNode<LoopControlStmt>;,CONTROL_TRANSFER,STRUCTURALLY_EVIDENCED
cpp,ast,LLVM/Clang,sources\c_cpp\LLVM_Clang\StmtNodes.td,clang_stmt_node,BuiltinBitCastExpr,def BuiltinBitCastExpr : StmtNode<ExplicitCastExpr>;,CONVERSION,STRUCTURALLY_EVIDENCED
cpp,ast,LLVM/Clang,sources\c_cpp\LLVM_Clang\StmtNodes.td,clang_stmt_node,CallExpr,def CallExpr : StmtNode<Expr>;,CALL,STRUCTURALLY_EVIDENCED
cpp,ast,LLVM/Clang,sources\c_cpp\LLVM_Clang\StmtNodes.td,clang_stmt_node,CapturedStmt,def CapturedStmt : StmtNode<Stmt>;,UNMAPPED_ORACLE_SEMANTICS,INSUFFICIENT_SEMANTIC_EVIDENCE
cpp,ast,LLVM/Clang,sources\c_cpp\LLVM_Clang\StmtNodes.td,clang_stmt_node,CaseStmt,def CaseStmt : StmtNode<SwitchCase>;,SWITCH_MATCH,STRUCTURALLY_EVIDENCED
cpp,ast,LLVM/Clang,sources\c_cpp\LLVM_Clang\StmtNodes.td,clang_stmt_node,CastExpr,"def CastExpr : StmtNode<Expr, 1>;",CONVERSION,STRUCTURALLY_EVIDENCED
cpp,ast,LLVM/Clang,sources\c_cpp\LLVM_Clang\StmtNodes.td,clang_stmt_node,CharacterLiteral,def CharacterLiteral : StmtNode<Expr>;,LITERAL,STRUCTURALLY_EVIDENCED
cpp,ast,LLVM/Clang,sources\c_cpp\LLVM_Clang\StmtNodes.td,clang_stmt_node,ChooseExpr,def ChooseExpr : StmtNode<Expr>;,CONDITIONAL,STRUCTURALLY_EVIDENCED_FAMILY
cpp,ast,LLVM/Clang,sources\c_cpp\LLVM_Clang\StmtNodes.td,clang_stmt_node,CoawaitExpr,def CoawaitExpr : StmtNode<CoroutineSuspendExpr>;,CONCURRENCY,STRUCTURALLY_EVIDENCED
cpp,ast,LLVM/Clang,sources\c_cpp\LLVM_Clang\StmtNodes.td,clang_stmt_node,CompoundAssignOperator,def CompoundAssignOperator : StmtNode<BinaryOperator>;,BINARY_UNARY_OPERATOR,STRUCTURALLY_EVIDENCED
cpp,ast,LLVM/Clang,sources\c_cpp\LLVM_Clang\StmtNodes.td,clang_stmt_node,CompoundLiteralExpr,def CompoundLiteralExpr : StmtNode<Expr>;,LITERAL,STRUCTURALLY_EVIDENCED
cpp,ast,LLVM/Clang,sources\c_cpp\LLVM_Clang\StmtNodes.td,clang_stmt_node,CompoundStmt,def CompoundStmt : StmtNode<Stmt>;,AGGREGATE,STRUCTURALLY_EVIDENCED_FAMILY
cpp,ast,LLVM/Clang,sources\c_cpp\LLVM_Clang\StmtNodes.td,clang_stmt_node,ConceptSpecializationExpr,def ConceptSpecializationExpr : StmtNode<Expr>;,UNMAPPED_ORACLE_SEMANTICS,INSUFFICIENT_SEMANTIC_EVIDENCE
cpp,ast,LLVM/Clang,sources\c_cpp\LLVM_Clang\StmtNodes.td,clang_stmt_node,ConditionalOperator,def ConditionalOperator : StmtNode<AbstractConditionalOperator>;,BINARY_UNARY_OPERATOR,STRUCTURALLY_EVIDENCED
cpp,ast,LLVM/Clang,sources\c_cpp\LLVM_Clang\StmtNodes.td,clang_stmt_node,ConstantExpr,def ConstantExpr : StmtNode<FullExpr>;,LITERAL,STRUCTURALLY_EVIDENCED
cpp,ast,LLVM/Clang,sources\c_cpp\LLVM_Clang\StmtNodes.td,clang_stmt_node,ContinueStmt,def ContinueStmt : StmtNode<LoopControlStmt>;,CONTROL_TRANSFER,STRUCTURALLY_EVIDENCED
cpp,ast,LLVM/Clang,sources\c_cpp\LLVM_Clang\StmtNodes.td,clang_stmt_node,ConvertVectorExpr,def ConvertVectorExpr : StmtNode<Expr>;,CONVERSION,STRUCTURALLY_EVIDENCED
cpp,ast,LLVM/Clang,sources\c_cpp\LLVM_Clang\StmtNodes.td,clang_stmt_node,CoreturnStmt,def CoreturnStmt : StmtNode<Stmt>;,CONTROL_TRANSFER,STRUCTURALLY_EVIDENCED
cpp,ast,LLVM/Clang,sources\c_cpp\LLVM_Clang\StmtNodes.td,clang_stmt_node,CoroutineBodyStmt,def CoroutineBodyStmt : StmtNode<Stmt>;,UNMAPPED_ORACLE_SEMANTICS,INSUFFICIENT_SEMANTIC_EVIDENCE
cpp,ast,LLVM/Clang,sources\c_cpp\LLVM_Clang\StmtNodes.td,clang_stmt_node,CoroutineSuspendExpr,"def CoroutineSuspendExpr : StmtNode<Expr, 1>;",UNMAPPED_ORACLE_SEMANTICS,INSUFFICIENT_SEMANTIC_EVIDENCE
cpp,ast,LLVM/Clang,sources\c_cpp\LLVM_Clang\StmtNodes.td,clang_stmt_node,CoyieldExpr,def CoyieldExpr : StmtNode<CoroutineSuspendExpr>;,CONTROL_TRANSFER,STRUCTURALLY_EVIDENCED
cpp,ast,LLVM/Clang,sources\c_cpp\LLVM_Clang\StmtNodes.td,clang_stmt_node,CStyleCastExpr,def CStyleCastExpr : StmtNode<ExplicitCastExpr>;,CONVERSION,STRUCTURALLY_EVIDENCED
cpp,ast,LLVM/Clang,sources\c_cpp\LLVM_Clang\StmtNodes.td,clang_stmt_node,CUDAKernelCallExpr,def CUDAKernelCallExpr : StmtNode<CallExpr>;,CALL,STRUCTURALLY_EVIDENCED
cpp,ast,LLVM/Clang,sources\c_cpp\LLVM_Clang\StmtNodes.td,clang_stmt_node,CXXAddrspaceCastExpr,def CXXAddrspaceCastExpr : StmtNode<CXXNamedCastExpr>;,CONVERSION,STRUCTURALLY_EVIDENCED
cpp,ast,LLVM/Clang,sources\c_cpp\LLVM_Clang\StmtNodes.td,clang_stmt_node,CXXBindTemporaryExpr,def CXXBindTemporaryExpr : StmtNode<Expr>;,UNMAPPED_ORACLE_SEMANTICS,INSUFFICIENT_SEMANTIC_EVIDENCE
cpp,ast,LLVM/Clang,sources\c_cpp\LLVM_Clang\StmtNodes.td,clang_stmt_node,CXXBoolLiteralExpr,def CXXBoolLiteralExpr : StmtNode<Expr>;,LITERAL,STRUCTURALLY_EVIDENCED
cpp,ast,LLVM/Clang,sources\c_cpp\LLVM_Clang\StmtNodes.td,clang_stmt_node,CXXCatchStmt,def CXXCatchStmt : StmtNode<Stmt>;,EXCEPTION,STRUCTURALLY_EVIDENCED
cpp,ast,LLVM/Clang,sources\c_cpp\LLVM_Clang\StmtNodes.td,clang_stmt_node,CXXConstCastExpr,def CXXConstCastExpr : StmtNode<CXXNamedCastExpr>;,CONVERSION,STRUCTURALLY_EVIDENCED
cpp,ast,LLVM/Clang,sources\c_cpp\LLVM_Clang\StmtNodes.td,clang_stmt_node,CXXConstructExpr,def CXXConstructExpr : StmtNode<Expr>;,AGGREGATE,STRUCTURALLY_EVIDENCED
cpp,ast,LLVM/Clang,sources\c_cpp\LLVM_Clang\StmtNodes.td,clang_stmt_node,CXXDefaultArgExpr,def CXXDefaultArgExpr : StmtNode<Expr>;,UNMAPPED_ORACLE_SEMANTICS,INSUFFICIENT_SEMANTIC_EVIDENCE
cpp,ast,LLVM/Clang,sources\c_cpp\LLVM_Clang\StmtNodes.td,clang_stmt_node,CXXDefaultInitExpr,def CXXDefaultInitExpr : StmtNode<Expr>;,UNMAPPED_ORACLE_SEMANTICS,INSUFFICIENT_SEMANTIC_EVIDENCE
cpp,ast,LLVM/Clang,sources\c_cpp\LLVM_Clang\StmtNodes.td,clang_stmt_node,CXXDeleteExpr,def CXXDeleteExpr : StmtNode<Expr>;,DEALLOCATION,STRUCTURALLY_EVIDENCED_SCHEMA
cpp,ast,LLVM/Clang,sources\c_cpp\LLVM_Clang\StmtNodes.td,clang_stmt_node,CXXDependentScopeMemberExpr,def CXXDependentScopeMemberExpr : StmtNode<Expr>;,MEMBER_ACCESS,STRUCTURALLY_EVIDENCED
cpp,ast,LLVM/Clang,sources\c_cpp\LLVM_Clang\StmtNodes.td,clang_stmt_node,CXXDynamicCastExpr,def CXXDynamicCastExpr : StmtNode<CXXNamedCastExpr>;,CONVERSION,STRUCTURALLY_EVIDENCED
cpp,ast,LLVM/Clang,sources\c_cpp\LLVM_Clang\StmtNodes.td,clang_stmt_node,CXXExpansionSelectExpr,def CXXExpansionSelectExpr : StmtNode<Expr>;,CONDITIONAL,STRUCTURALLY_EVIDENCED
cpp,ast,LLVM/Clang,sources\c_cpp\LLVM_Clang\StmtNodes.td,clang_stmt_node,CXXExpansionStmtPattern,def CXXExpansionStmtPattern : StmtNode<Stmt>;,UNMAPPED_ORACLE_SEMANTICS,INSUFFICIENT_SEMANTIC_EVIDENCE
cpp,ast,LLVM/Clang,sources\c_cpp\LLVM_Clang\StmtNodes.td,clang_stmt_node,CXXFoldExpr,def CXXFoldExpr : StmtNode<Expr>;,UNMAPPED_ORACLE_SEMANTICS,INSUFFICIENT_SEMANTIC_EVIDENCE
cpp,ast,LLVM/Clang,sources\c_cpp\LLVM_Clang\StmtNodes.td,clang_stmt_node,CXXForRangeStmt,def CXXForRangeStmt : StmtNode<Stmt>;,ITERATION,STRUCTURALLY_EVIDENCED
cpp,ast,LLVM/Clang,sources\c_cpp\LLVM_Clang\StmtNodes.td,clang_stmt_node,CXXFunctionalCastExpr,def CXXFunctionalCastExpr : StmtNode<ExplicitCastExpr>;,CLOSURE_FUNCTION,STRUCTURALLY_EVIDENCED
cpp,ast,LLVM/Clang,sources\c_cpp\LLVM_Clang\StmtNodes.td,clang_stmt_node,CXXInheritedCtorInitExpr,def CXXInheritedCtorInitExpr : StmtNode<Expr>;,UNMAPPED_ORACLE_SEMANTICS,INSUFFICIENT_SEMANTIC_EVIDENCE
cpp,ast,LLVM/Clang,sources\c_cpp\LLVM_Clang\StmtNodes.td,clang_stmt_node,CXXMemberCallExpr,def CXXMemberCallExpr : StmtNode<CallExpr>;,CALL,STRUCTURALLY_EVIDENCED
cpp,ast,LLVM/Clang,sources\c_cpp\LLVM_Clang\StmtNodes.td,clang_stmt_node,CXXNamedCastExpr,"def CXXNamedCastExpr : StmtNode<ExplicitCastExpr, 1>;",CONVERSION,STRUCTURALLY_EVIDENCED
cpp,ast,LLVM/Clang,sources\c_cpp\LLVM_Clang\StmtNodes.td,clang_stmt_node,CXXNewExpr,def CXXNewExpr : StmtNode<Expr>;,ALLOCATION,STRUCTURALLY_EVIDENCED_SCHEMA
cpp,ast,LLVM/Clang,sources\c_cpp\LLVM_Clang\StmtNodes.td,clang_stmt_node,CXXNoexceptExpr,def CXXNoexceptExpr : StmtNode<Expr>;,EXCEPTION,STRUCTURALLY_EVIDENCED
cpp,ast,LLVM/Clang,sources\c_cpp\LLVM_Clang\StmtNodes.td,clang_stmt_node,CXXNullPtrLiteralExpr,def CXXNullPtrLiteralExpr : StmtNode<Expr>;,LITERAL,STRUCTURALLY_EVIDENCED
cpp,ast,LLVM/Clang,sources\c_cpp\LLVM_Clang\StmtNodes.td,clang_stmt_node,CXXOperatorCallExpr,def CXXOperatorCallExpr : StmtNode<CallExpr>;,CALL,STRUCTURALLY_EVIDENCED
cpp,ast,LLVM/Clang,sources\c_cpp\LLVM_Clang\StmtNodes.td,clang_stmt_node,CXXParenListInitExpr,def CXXParenListInitExpr: StmtNode<Expr>;,AGGREGATE,STRUCTURALLY_EVIDENCED
cpp,ast,LLVM/Clang,sources\c_cpp\LLVM_Clang\StmtNodes.td,clang_stmt_node,CXXPseudoDestructorExpr,def CXXPseudoDestructorExpr : StmtNode<Expr>;,AGGREGATE,STRUCTURALLY_EVIDENCED
cpp,ast,LLVM/Clang,sources\c_cpp\LLVM_Clang\StmtNodes.td,clang_stmt_node,CXXReflectExpr,def CXXReflectExpr : StmtNode<Expr>;,UNMAPPED_ORACLE_SEMANTICS,INSUFFICIENT_SEMANTIC_EVIDENCE
cpp,ast,LLVM/Clang,sources\c_cpp\LLVM_Clang\StmtNodes.td,clang_stmt_node,CXXReinterpretCastExpr,def CXXReinterpretCastExpr : StmtNode<CXXNamedCastExpr>;,CONVERSION,STRUCTURALLY_EVIDENCED
cpp,ast,LLVM/Clang,sources\c_cpp\LLVM_Clang\StmtNodes.td,clang_stmt_node,CXXRewrittenBinaryOperator,def CXXRewrittenBinaryOperator : StmtNode<Expr>;,BINARY_UNARY_OPERATOR,STRUCTURALLY_EVIDENCED
cpp,ast,LLVM/Clang,sources\c_cpp\LLVM_Clang\StmtNodes.td,clang_stmt_node,CXXScalarValueInitExpr,def CXXScalarValueInitExpr : StmtNode<Expr>;,UNMAPPED_ORACLE_SEMANTICS,INSUFFICIENT_SEMANTIC_EVIDENCE
cpp,ast,LLVM/Clang,sources\c_cpp\LLVM_Clang\StmtNodes.td,clang_stmt_node,CXXStaticCastExpr,def CXXStaticCastExpr : StmtNode<CXXNamedCastExpr>;,CONVERSION,STRUCTURALLY_EVIDENCED
cpp,ast,LLVM/Clang,sources\c_cpp\LLVM_Clang\StmtNodes.td,clang_stmt_node,CXXStdInitializerListExpr,def CXXStdInitializerListExpr : StmtNode<Expr>;,AGGREGATE,STRUCTURALLY_EVIDENCED
cpp,ast,LLVM/Clang,sources\c_cpp\LLVM_Clang\StmtNodes.td,clang_stmt_node,CXXTemporaryObjectExpr,def CXXTemporaryObjectExpr : StmtNode<CXXConstructExpr>;,AGGREGATE,STRUCTURALLY_EVIDENCED
cpp,ast,LLVM/Clang,sources\c_cpp\LLVM_Clang\StmtNodes.td,clang_stmt_node,CXXThisExpr,def CXXThisExpr : StmtNode<Expr>;,UNMAPPED_ORACLE_SEMANTICS,INSUFFICIENT_SEMANTIC_EVIDENCE
cpp,ast,LLVM/Clang,sources\c_cpp\LLVM_Clang\StmtNodes.td,clang_stmt_node,CXXThrowExpr,def CXXThrowExpr : StmtNode<Expr>;,EXCEPTION,STRUCTURALLY_EVIDENCED
cpp,ast,LLVM/Clang,sources\c_cpp\LLVM_Clang\StmtNodes.td,clang_stmt_node,CXXTryStmt,def CXXTryStmt : StmtNode<Stmt>;,EXCEPTION,STRUCTURALLY_EVIDENCED
cpp,ast,LLVM/Clang,sources\c_cpp\LLVM_Clang\StmtNodes.td,clang_stmt_node,CXXTypeidExpr,def CXXTypeidExpr : StmtNode<Expr>;,TYPE,STRUCTURALLY_EVIDENCED
cpp,ast,LLVM/Clang,sources\c_cpp\LLVM_Clang\StmtNodes.td,clang_stmt_node,CXXUnresolvedConstructExpr,def CXXUnresolvedConstructExpr : StmtNode<Expr>;,AGGREGATE,STRUCTURALLY_EVIDENCED
cpp,ast,LLVM/Clang,sources\c_cpp\LLVM_Clang\StmtNodes.td,clang_stmt_node,CXXUuidofExpr,def CXXUuidofExpr : StmtNode<Expr>;,ITERATION,STRUCTURALLY_EVIDENCED
cpp,ast,LLVM/Clang,sources\c_cpp\LLVM_Clang\StmtNodes.td,clang_stmt_node,DeclRefExpr,def DeclRefExpr : StmtNode<Expr>;,BINDING_REFERENCE,STRUCTURALLY_EVIDENCED_SCHEMA
cpp,ast,LLVM/Clang,sources\c_cpp\LLVM_Clang\StmtNodes.td,clang_stmt_node,DeclStmt,def DeclStmt  : StmtNode<Stmt>;,BINDING_DECLARATION,STRUCTURALLY_EVIDENCED_FAMILY
cpp,ast,LLVM/Clang,sources\c_cpp\LLVM_Clang\StmtNodes.td,clang_stmt_node,DefaultStmt,def DefaultStmt : StmtNode<SwitchCase>;,SWITCH_MATCH,STRUCTURALLY_EVIDENCED
cpp,ast,LLVM/Clang,sources\c_cpp\LLVM_Clang\StmtNodes.td,clang_stmt_node,DeferStmt,def DeferStmt : StmtNode<Stmt>;,LIFETIME,STRUCTURALLY_EVIDENCED
cpp,ast,LLVM/Clang,sources\c_cpp\LLVM_Clang\StmtNodes.td,clang_stmt_node,DependentCoawaitExpr,def DependentCoawaitExpr : StmtNode<Expr>;,CONCURRENCY,STRUCTURALLY_EVIDENCED
cpp,ast,LLVM/Clang,sources\c_cpp\LLVM_Clang\StmtNodes.td,clang_stmt_node,DependentScopeDeclRefExpr,def DependentScopeDeclRefExpr : StmtNode<Expr>;,BINDING_REFERENCE,STRUCTURALLY_EVIDENCED_SCHEMA
